code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh688111,2019-11-18,140.0,145.51,125.0,126.35,1.755124,42314660.0,5755770000.0,8420000000.0,58247000000.0,0.634971,126.35,2020-03-25,2019-12-31,145.40694894578584,36.876378580954956,99.4499669251174,9.598126335890806,125.58835876157895
sh688111,2019-11-19,133.0,138.32,128.01,136.01,0.076454,13576176.0,1801210000.0,9064000000.0,62701000000.0,0.203718,136.0099629,2020-03-25,2019-12-31,156.52584864198533,39.696221494745764,107.0546530494581,10.332070654054105,135.1900911423367
sh688111,2019-11-20,136.0,149.0,135.01,147.2,0.082273,9634684.0,1377920000.0,9810000000.0,67859000000.0,0.144569,147.19991057767172,2020-03-25,2019-12-31,169.4022035214188,42.961769260649,115.86133716022357,11.182022336381516,146.3125855108902
sh688111,2019-11-21,143.08,145.58,136.69,141.93,-0.035802,7719363.0,1091110000.0,9459000000.0,65429999999.99999,0.115827,141.9298593791699,2020-03-25,2019-12-31,163.33848386222067,41.423960900164516,111.71410263035744,10.781763973377776,141.07430232442928
sh688111,2019-11-22,139.49,143.0,132.0,133.48,-0.059536,7130685.0,976880000.0,8895000000.0,61534000000.0,0.107004,133.47992327117163,2020-03-25,2019-12-31,153.61256710955047,38.957389729951444,105.06213650093865,10.139768673969556,132.67530266124206
sh688111,2019-11-25,134.27,136.5,128.0,133.96,0.003596,5208118.0,695850000.0,8927000000.0,61755999999.99999,0.078154,133.95991707525476,2020-03-25,2019-12-31,154.166764624718,39.09793870320281,105.44117563870327,10.176350541646308,133.15240304961188
sh688111,2019-11-26,132.99,134.26,128.8,133.8,-0.001194,3045689.0,401620000.0,8917000000.0,61682000000.000015,0.045701,133.7999689342669,2020-03-25,2019-12-31,153.9820321196622,39.051089045452365,105.31482925944843,10.16415658575406,132.99341908037064
sh688111,2019-11-27,133.99,137.77,131.87,134.3,0.003737,2240352.0,301300000.0,8950000000.0,61912000000.0,0.033618,134.29997941817427,2020-03-25,2019-12-31,154.5562007164574,39.196702846568634,105.70752746524059,10.202056718932676,133.49041548747402
sh688111,2019-11-28,134.01,138.11,131.33,133.68,-0.004617,2999643.0,402880000.0,8909000000.0,61626000000.0,0.04501,133.67991641320057,2020-03-25,2019-12-31,153.84223454826855,39.01563525039796,105.21921578325552,10.154928727241003,132.87409023916834
sh688111,2019-11-29,133.22,140.0,133.22,136.5,0.021095,3486749.0,477500000.0,9097000000.0,62926000000.0,0.0523179999999999,136.49989424993706,2020-03-25,2019-12-31,157.08753531276324,39.83866977844647,107.43881433773305,10.369146871294054,135.6770691727636
sh688111,2019-12-02,136.0,142.0,135.99,138.29,0.0131139999999999,2916422.0,404170000.0,9216000000.0,63752000000.0,0.043762,138.28995386313068,2020-03-25,2019-12-31,159.14954949081908,40.361613255498824,108.849113111578,10.505257784361609,137.4563382578952
sh688111,2019-12-03,137.99,140.45,132.83,137.0,-0.009328,2267953.0,308850000.0,9130000000.0,63157000000.000015,0.034032,136.99998517349542,2020-03-25,2019-12-31,157.66420029476194,39.98491668304587,107.8332199270287,10.407211787660406,136.17414553462555
sh688111,2019-12-04,135.75,141.0,134.3,139.66,0.019416,2386285.0,330790000.0,9307000000.0,64383000000.000015,0.035808,139.65997688562402,2020-03-25,2019-12-31,160.72476855420078,40.76110155334393,109.92647210225135,10.609235975821209,138.81810274432587
sh688111,2019-12-05,139.01,141.0,136.35,138.08,-0.011313,2161965.0,299050000.0,9202000000.0,63654999999.99999,0.032441,138.08000356711696,2020-03-25,2019-12-31,158.9074001260837,40.300202217636745,108.68349691174392,10.489273815151495,137.24765354797933
sh688111,2019-12-06,137.25,139.9,134.85,136.9,-0.008546,1655789.0,226280000.0,9123000000.0,63111000000.0,0.024847,136.89997185663236,2020-03-25,2019-12-31,157.54936657540287,39.9557939228226,107.75468028587024,10.399631761024681,136.07473510075826
sh688111,2019-12-09,133.1,143.6,133.1,143.6,0.048941,3229564.0,448610000.0,9570000000.0,66200000000.0,0.04846,143.5999933792678,2020-03-25,2019-12-31,165.2607004688829,41.91145058216249,113.02878792800954,10.908647027932277,142.73436871132446
sh688111,2019-12-10,142.0,162.97,140.4,151.5,0.055014,5191733.0,791030000.0,10096000000.0,69841000000.0,0.077907,151.50000341503483,2020-03-25,2019-12-31,174.35003899467148,44.21658036418142,119.24537126405006,11.508622614468552,150.58675727160926
sh688111,2019-12-11,149.1,156.66,149.1,153.97,0.016304,2261336.0,345870000.0,10261000000.0,70980000000.0,0.033932,153.97005947071355,2020-03-25,2019-12-31,177.1934217414095,44.93768523144853,121.19008107447307,11.69631066529657,153.0419237621656
sh688111,2019-12-12,153.9,165.0,149.99,153.6,-0.002403,2077291.0,325710000.0,10236000000.0,70810000000.0,0.031172,153.60006941780543,2020-03-25,2019-12-31,176.76903625682175,44.830057639319115,120.89982587888755,11.668297523381941,152.6741640193651
sh688111,2019-12-13,154.91,156.0,149.99,153.61,6.500000000000001e-05,1791900.0,273260000.0,10237000000.0,70814000000.0,0.026888,153.61005342231758,2020-03-25,2019-12-31,176.77902179763558,44.832590053251565,120.90665541290132,11.668956656132872,152.68408784002636
sh688111,2019-12-16,153.79,167.0,151.93,167.0,0.087169,2567409.0,408810000.0,11129000000.0,76987000000.0,0.038526,167.0000881690876,2020-03-25,2019-12-31,192.18920765857837,48.74073785451575,131.4463337796627,12.686163274009399,165.99340709295362
sh688111,2019-12-17,165.7,173.29,162.1,165.9,-0.006587,1958178.0,325700000.0,11056000000.0,76480000000.0,0.029383,165.90005858831782,2020-03-25,2019-12-31,190.92354036042548,48.41975438857684,130.58069034341648,12.60261819782871,164.90000852043232
sh688111,2019-12-18,165.41,173.5,165.15,171.31,0.03261,2101750.0,354390000.0,11416000000.0,78974000000.0,0.031539,171.31005949888285,2020-03-25,2019-12-31,197.14952505784834,49.99871447546374,134.8389048010064,13.0135874680351,170.27739779828363
sh688111,2019-12-19,168.62,175.0,159.08,160.16,-0.065087,2614764.0,434930000.0,10673000000.0,73834000000.0,0.039237,160.16000165627906,2020-03-25,2019-12-31,184.31810511207706,46.74456257225656,126.06295359330296,12.166601883086884,159.19455280778675
sh688111,2019-12-20,160.01,167.8,156.3,166.95,0.042395,2411720.0,389130000.0,11126000000.0,76964000000.0,0.036189,166.949984926497,2020-03-25,2019-12-31,192.1317907988989,48.72617647440413,131.4070639590835,12.682373260691538,165.94360587407286
sh688111,2019-12-23,163.02,165.0,152.0,157.0,-0.059599,3307565.0,521360000.0,10463000000.0,72377000000.0,0.049631,156.9999327748627,2020-03-25,2019-12-31,180.68087187063955,45.82213079735912,123.57529582878469,11.926512778559733,156.05353290758399
sh688111,2019-12-24,157.0,163.45,155.0,163.2,0.03949,1524806.0,243790000.0,10876000000.0,75235000000.0,0.022881,163.19986012014203,2020-03-25,2019-12-31,187.81554078212093,47.63154055209961,128.45499788162834,12.397463129100979,162.2160869221045
sh688111,2019-12-25,160.8,166.98,160.56,161.4,-0.011029,1257989.0,205370000.0,10756000000.0,74405000000.0,0.018877,161.399928862877,2020-03-25,2019-12-31,185.74354106325126,47.1060646611148,127.03786957376964,12.260693083282494,160.4270056994406
sh688111,2019-12-26,160.13,165.95,160.1,165.32,0.024287,1330769.0,216880000.0,11017000000.0,76213000000.0,0.019969,165.3198489351697,2020-03-25,2019-12-31,190.2570055111023,48.250715758585336,130.12481894799683,12.558621086703965,164.3232963868629
sh688111,2019-12-27,164.22,166.97,161.05,161.7,-0.021897,1579247.0,259620000.0,10776000000.0,74544000000.0,0.023697,161.69984020303627,2020-03-25,2019-12-31,186.09053860653185,47.194066045267675,127.27519588074838,12.283597946377396,160.72510916587976
sh688111,2019-12-30,161.22,165.46,155.0,163.9,0.013605,2159682.0,343670000.0,10923000000.0,75558000000.0,0.032406,163.89976652899858,2020-03-25,2019-12-31,188.62187320283772,47.836032977145514,129.00648275324087,12.450688098738777,162.91177427608156
sh688111,2019-12-31,162.85,164.0,156.7,163.9,0.0,2898926.0,461450000.0,10923000000.0,75558000000.0,0.043498,163.89976652899858,2020-03-25,2019-12-31,188.62187320283772,47.836032977145514,129.00648275324087,12.450688098738777,162.91177427608156
sh688111,2020-01-02,163.21,163.47,152.88,156.5,-0.045149,4275380.0,669510000.0,10430000000.0,72147000000.0,0.064151,156.4998559699808,2020-03-25,2019-12-31,180.10670327384435,45.676516996242846,123.18259762299252,11.888612645381118,155.55647057929073
sh688111,2020-01-03,155.38,156.45,148.88,150.0,-0.0415339999999999,2966103.0,453380000.0,9996000000.0,69150000000.0,0.044509,149.99979095212367,2020-03-25,2019-12-31,172.62503681908237,43.77910585734948,118.06556926317009,11.394757431744969,149.09558813025052
sh688111,2020-01-06,150.5,153.89,147.26,152.79,0.0186,2346643.0,355640000.0,10182000000.0,70436000000.0,0.035213,152.78978706383316,2020-03-25,2019-12-31,175.83538819072868,44.59327693663439,120.26126444859938,11.606668611169756,151.86876606947317
sh688111,2020-01-07,150.02,156.38,150.02,152.98,0.0012439999999999,2909342.0,448940000.0,10195000000.0,70524000000.0,0.043656,152.97985755894052,2020-03-25,2019-12-31,176.0550700886329,44.64899004314844,120.41151419690249,11.62116953169027,152.05769081446354
sh688111,2020-01-08,152.05,152.5,147.02,148.81,-0.0272579999999999,2280282.0,338990000.0,9917000000.0,68601000000.0,0.034217,148.80993260159894,2020-03-25,2019-12-31,171.25452134238424,43.431532045119766,117.12821571977918,11.304291461679489,147.91290227824294
sh688111,2020-01-09,151.02,162.0,149.0,157.0,0.055037,4890013.0,764460000.0,10463000000.0,72377000000.0,0.073376,156.99998486219314,2020-03-25,2019-12-31,180.68087187063955,45.82213079735912,123.57529582878469,11.926512778559733,156.05358468093058
sh688111,2020-01-10,158.01,162.62,154.5,156.27,-0.00465,2103436.0,332990000.0,10414000000.0,72040000000.0,0.031564,156.26993493258394,2020-03-25,2019-12-31,179.83959005707442,45.608774923549625,122.99990758812397,11.870980844293674,155.32793551216426
sh688111,2020-01-13,156.37,160.0,153.62,154.77,-0.009599,2378767.0,369590000.0,10314000000.0,71349000000.0,0.035695,154.76989982716609,2020-03-25,2019-12-31,178.1145878814853,45.171300416717685,121.820105587244,11.757115661570092,153.836942659183
sh688111,2020-01-14,154.51,161.5,154.0,160.51,0.037087,2688582.0,423100000.0,10697000000.0,73995000000.0,0.040343,160.50985110205622,2020-03-25,2019-12-31,184.72002312983372,46.84649223303796,126.33784233735747,12.193131976311916,159.54229335158414
sh688111,2020-01-15,160.0,168.0,158.1,165.18,0.029095,2732588.0,448020000.0,11008000000.0,76148000000.0,0.041004,165.17988521987053,2020-03-25,2019-12-31,190.0947404728776,48.20956403218291,130.01383902027297,12.547910179501315,164.18417637664848
sh688111,2020-01-16,165.18,175.13,162.0,168.2,0.018283,2857884.0,482230000.0,11209000000.0,77540000000.0,0.042885,168.19986906134545,2020-03-25,2019-12-31,193.56970867609036,49.090844080677925,132.39051685706738,12.777288376825812,167.18595567334276
sh688111,2020-01-17,170.0,188.0,168.0,183.0,0.08799,3762210.0,664260000.0,12196000000.0,84363000000.0,0.0564519999999999,182.99977554005324,2020-03-25,2019-12-31,210.6025449192805,53.410509145966365,144.0399945010675,13.901604066728861,181.89664791304017
sh688111,2020-01-20,184.0,191.56,173.99,177.9,-0.027869,3325408.0,609500000.0,11856000000.0,82012000000.0,0.049898,177.89975479552749,2020-03-25,2019-12-31,204.73354330595205,51.922082857164796,140.02593588447004,13.514198792368306,176.82737023235165
sh688111,2020-01-21,177.8,182.1,167.02,170.0,-0.044407,2696996.0,468780000.0,11329000000.0,78370000000.0,0.04047,169.9997603843225,2020-03-25,2019-12-31,195.64170839496003,49.61631997166274,133.8076451649261,12.914058422644297,168.97499720244363
sh688111,2020-01-22,169.0,187.5,167.08,184.0,0.082353,3096961.0,549520000.0,12262000000.0,84824000000.0,0.046472,183.9997506512526,2020-03-25,2019-12-31,211.7533784980744,53.70236985168203,144.8270982961553,13.977569116273829,182.89059514705647
sh688111,2020-01-23,179.1,187.0,172.02,179.5,-0.024457,1793507.0,321660000.0,11962000000.0,82750000000.0,0.026913,179.49966874957494,2020-03-25,2019-12-31,206.57587558610365,52.389313227703106,141.2859849100119,13.635808784915346,178.41763986154493
sh688111,2020-02-03,163.0,186.0,163.0,171.9,-0.0423399999999999,3287286.0,580660000.0,11456000000.0,79246000000.0,0.0493269999999999,171.89965277471794,2020-03-25,2019-12-31,197.82854183318875,50.170918622870815,135.30331311394323,13.058408495098508,170.8634369898071
sh688111,2020-02-04,175.0,206.28,174.58,206.28,0.2,4332210.0,830530000.0,13747000000.0,95095000000.0,0.065007,206.27958332966153,2020-03-25,2019-12-31,237.39375092278584,60.20497572674836,162.36363426003123,15.670057237480663,205.03612438776852
sh688111,2020-02-05,210.0,226.48,202.55,211.95,0.027487,5799852.0,1236840000.0,14125000000.0,97709000000.0,0.087029,211.94959023664393,2020-03-25,2019-12-31,243.9193018446236,61.859908231608976,166.8267347380345,16.10080049021503,210.67195233881512
sh688111,2020-02-06,215.0,222.05,206.5,214.0,0.009672,4059412.0,868950000.0,14261000000.000004,98654000000.0,0.060915,213.99956667341272,2020-03-25,2019-12-31,246.27838586189085,62.458191023151926,168.44021214878933,16.25652060262282,212.7095714618361
sh688111,2020-02-07,218.81,246.0,218.81,245.0,0.14486,5586185.0,1300790000.0,16327000000.000004,112945000000.0,0.083825,244.99954390172329,2020-03-25,2019-12-31,281.9542268045012,71.50587290033748,192.84042979651113,18.61143713851678,243.52267998379767
sh688111,2020-02-10,239.99,240.0,220.0,226.92,-0.073796,5039965.0,1156250000.0,15122000000.0,104609999999.99995,0.075629,226.9195575599517,2020-03-25,2019-12-31,261.1468561336833,66.22895536858029,178.6093882953032,17.23796926876125,225.55168029171332
sh688111,2020-02-11,227.0,235.0,210.0,214.96,-0.0527059999999999,4720963.0,1031300000.0,14325000000.0,99097000000.0,0.070842,214.95953535919688,2020-03-25,2019-12-31,247.3842845070225,62.738655866171534,169.1965830408151,16.329519554788593,213.66375343025828
sh688111,2020-02-12,211.0,239.5,211.0,231.0,0.074619,3997262.0,906000000.0,15394000000.0,106491000000.0,0.059982,230.9996009281648,2020-03-25,2019-12-31,265.84255670138685,67.41982302031819,181.82097666528193,17.547926444887253,229.60712904747072
sh688111,2020-02-13,237.5,239.44,219.0,220.5,-0.045455,4535334.0,1018020000.0,14694999999.999996,101650000000.0,0.068053,220.49951406797507,2020-03-25,2019-12-31,253.7575559314494,64.35496905856218,173.55553312510833,16.75021103307124,219.17033699661795
sh688111,2020-02-14,223.5,231.0,211.66,218.0,-0.0113379999999999,2853756.0,629130000.0,14528000000.0,100498000000.0,0.042822,217.99949057747241,2020-03-25,2019-12-31,250.8817201770664,63.62563384601457,171.58862732914054,16.560380800802687,216.68538371575033
sh688111,2020-02-17,217.0,228.88,213.99,222.0,0.018349,2263667.0,500940000.0,14794999999.999996,102342000000.0,0.033966,221.99956323007842,2020-03-25,2019-12-31,255.48505449224191,64.79307666887723,174.73704250949172,16.864240998982552,220.66134382155062
sh688111,2020-02-18,222.0,231.0,217.1,229.7,0.034685,2569326.0,577270000.0,15308000000.000004,105892000000.0,0.038553,229.69961808071372,2020-03-25,2019-12-31,264.3472219645159,67.04059403393278,180.79825394671883,17.449221315435118,228.31498253200112
sh688111,2020-02-19,228.0,243.5,220.13,229.7,0.0,2848580.0,661200000.0,15308000000.000004,105892000000.0,0.042744,229.69961808071372,2020-03-25,2019-12-31,264.3472219645159,67.04059403393278,180.79825394671883,17.449221315435118,228.31498253200112
sh688111,2020-02-20,235.0,237.23,214.75,223.2,-0.028298,3520354.0,779850000.0,14875000000.0,102895000000.0,0.052823,223.19957828826568,2020-03-25,2019-12-31,256.8655555097539,65.1431828950394,175.6812255868964,16.955366101798965,221.85412515631054
sh688111,2020-02-21,216.0,243.48,216.0,227.6,0.0197129999999999,2837218.0,659650000.0,15168000000.0,104924000000.0,0.042573,227.59951157506222,2020-03-25,2019-12-31,261.93072108756905,66.42774986227819,179.14550671538478,17.28971118970946,226.22753552551688
sh688111,2020-02-24,227.1,241.5,227.1,236.88,0.040773,2414871.0,572440000.0,15786000000.000004,109202000000.0,0.036237,236.87942646051224,2020-03-25,2019-12-31,272.61025698796004,69.13616656304089,186.4496933431193,17.994653666831727,235.45151083149878
sh688111,2020-02-25,230.0,240.0,224.6,231.5,-0.022712,2062330.0,477060000.0,15428000000.0,106721000000.0,0.0309459999999999,231.49942092674107,2020-03-25,2019-12-31,266.4167252981821,67.56543682143447,182.21367487107412,17.58582657806587,230.10393611749376
sh688111,2020-02-26,229.8,229.8,217.5,222.0,-0.041037,2249922.0,498930000.0,14794999999.999996,102342000000.0,0.03376,221.99937919017043,2020-03-25,2019-12-31,255.48505449224191,64.79307666887723,174.73704250949172,16.864240998982552,220.6611608910402
sh688111,2020-02-27,222.38,237.5,213.0,234.31,0.05545,3967741.0,895640000.0,15615000000.0,108017000000.0,0.059538,234.30924476626535,2020-03-25,2019-12-31,269.65204052186294,68.38593893555053,184.42644389153784,17.799385589367986,232.89682226244835
sh688111,2020-02-28,222.0,249.85,222.0,235.52,0.005164,3254977.0,775660000.0,15696000000.0,108575000000.0,0.048841,235.51921770623835,2020-03-25,2019-12-31,271.0450234653922,68.73921067912826,185.37916388645976,17.891334608123064,234.09950145261163
sh688111,2020-03-02,237.0,251.0,225.2,249.46,0.059188,3120490.0,745140000.0,16625000000.0,115001000000.0,0.046823,249.4591291638352,2020-03-25,2019-12-31,287.08679478280976,72.80753366162035,196.3508102795925,18.95023137249607,247.95538274458883
sh688111,2020-03-03,251.01,292.0,250.3,270.0,0.082338,3113790.0,846170000.0,17993000000.0,124470000000.0,0.046725,269.9990949409271,2020-03-25,2019-12-31,310.7250662743483,78.80239054322907,212.51802467370615,20.510563377140944,268.3715330490128
sh688111,2020-03-04,264.0,273.16,248.38,257.25,-0.047222,3423463.0,884780000.0,17144000000.0,118592000000.0,0.05137,257.2491976796266,2020-03-25,2019-12-31,296.0513140484254,75.08100826948358,202.48202444046083,19.54196779964569,255.69849251537232
sh688111,2020-03-05,259.1,267.0,239.01,249.49,-0.0301649999999999,2808844.0,702890000.0,16627000000.000004,115015000000.0,0.042147,249.4892756316207,2020-03-25,2019-12-31,287.12174417565814,72.81639711038395,196.37471364864072,18.95253833712433,247.98534748864614
sh688111,2020-03-06,246.0,252.5,240.66,247.0,-0.00998,1646659.0,406630000.0,16461000000.000004,113867000000.0,0.024708,246.99937266081713,2020-03-25,2019-12-31,284.255893962089,72.0895943117688,194.41463738668673,18.763367237606715,245.51045372070945
sh688111,2020-03-09,238.0,251.7,227.5,227.81,-0.077692,1555460.0,372000000.0,15182000000.0,105020000000.0,0.02334,227.80949740005295,2020-03-25,2019-12-31,262.170374067101,66.48852779665717,179.30941553171544,17.30553037573184,226.4362555502401
sh688111,2020-03-10,221.94,236.3,201.77,229.0,0.005224,4277001.0,940660000.0,15261000000.000004,105569000000.0,0.064179,228.99957421447078,2020-03-25,2019-12-31,263.5408895437991,66.83610160888686,180.24676907510633,17.395996345797318,227.61915854923453
sh688111,2020-03-11,228.0,228.0,209.76,212.02,-0.074148,2244345.0,494210000.0,14129000000.0,97741000000.0,0.033679,212.01971378561623,2020-03-25,2019-12-31,243.99918617113423,61.88016754306863,166.8813710101447,16.106073552222487,210.7416531811259
sh688111,2020-03-12,206.98,219.0,201.08,215.52,0.016508,2595053.0,544540000.0,14363000000.0,99355000000.0,0.038939,215.5197352207892,2020-03-25,2019-12-31,248.0283518895145,62.901996564815,169.63708798470373,16.372033617223735,214.22057639183993
sh688111,2020-03-13,204.0,225.66,201.0,223.03,0.0348459999999999,3162544.0,684140000.0,14863000000.0,102817000000.0,0.047456,223.0297359142928,2020-03-25,2019-12-31,256.6708374638842,65.09380082335649,175.54804967362773,16.942513013155786,221.68530659678996
sh688111,2020-03-16,221.05,233.05,203.77,210.2,-0.057526,2056050.0,449630000.0,14008000000.000002,96902000000.0,0.0308519999999999,210.19972732608719,2020-03-25,2019-12-31,241.90471898543342,61.348993720735784,165.448876250755,15.967820457714405,208.93263764950302
sh688111,2020-03-17,215.0,224.0,204.1,217.0,0.03235,2131789.0,459550000.0,14461000000.000004,100037000000.0,0.031989,216.9996885050861,2020-03-25,2019-12-31,249.73088659827252,63.33377314029891,170.80152353405273,16.48441575125772,215.69160847746446
sh688111,2020-03-18,219.0,236.68,219.0,222.1,0.023502,2807533.0,640390000.0,14801000000.0,102388000000.0,0.042129,222.09961518433263,2020-03-25,2019-12-31,255.59988821160096,64.82219942910048,174.81558215065016,16.871821025618278,220.76079265990182
sh688111,2020-03-19,222.5,229.69,212.36,228.7,0.029716,2298935.0,511280000.0,15241000000.0,105431000000.0,0.034497,228.6995273491503,2020-03-25,2019-12-31,263.196388385722,66.74873332821711,180.011150151631,17.37325626589015,227.3209203745835
sh688111,2020-03-20,229.8,234.98,222.45,228.0,-0.003061,1658724.0,378420000.0,15194000000.0,105108000000.0,0.024891,227.99947809593453,2020-03-25,2019-12-31,262.3900559650052,66.5442409031712,179.45966528001853,17.320031296252353,226.62509103731688
sh688111,2020-03-23,222.39,233.0,210.0,214.0,-0.0614039999999999,1979109.0,441060000.0,14261000000.000004,98654000000.0,0.029698,213.9993981429318,2020-03-25,2019-12-31,246.27838586189085,62.458191023151926,168.44021214878933,16.25652060262282,212.7094039472615
sh688111,2020-03-24,220.1,224.93,204.5,218.0,0.018692,1742038.0,374340000.0,14528000000.0,100498000000.0,0.0261399999999999,217.99947489301945,2020-03-25,2019-12-31,250.8817201770664,63.62563384601457,171.58862732914054,16.560380800802687,216.6853681258437
sh688111,2020-03-25,227.0,241.2,227.0,235.89,0.082064,2424473.0,568180000.0,15719999999.999996,108745000000.0,0.036381,235.88938380064016,2020-03-25,2019-12-31,271.46940894998,68.8468382712577,185.66941908204527,17.919347750037698,234.4674361757229
sh688111,2020-03-26,236.0,254.99,232.5,249.53,0.057824,2232371.0,550600000.0,16629000000.0,115033000000.0,0.033498,249.52945152952842,2020-04-29,2020-03-31,248.39106814680375,68.98998356353965,159.6311378290467,18.60515327862235,248.02528120514793
sh688111,2020-03-27,252.89,260.2,243.0,245.8,-0.014948,1560797.0,390500000.0,16381000000.0,113314000000.0,0.02342,245.79948528806503,2020-04-29,2020-03-31,244.67922679567533,67.95902912658916,157.2456838642876,18.327126464699806,244.31779930169338
sh688111,2020-03-30,240.1,243.6,218.5,220.0,-0.104963,1992635.0,459390000.0,14661000000.000004,101420000000.0,0.029901,219.99963391377383,2020-04-29,2020-03-31,218.9964804138711,60.82571203927734,140.74039622214423,16.403420283900086,218.67347013358972
