date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx600436_convert,440.0,443.88,392.0,394.31,-0.098,,,,,,,,
2022-01-14,xx600436_convert,390.0,401.0,381.0,386.1,-0.0208,,,,,,,,
2022-01-21,xx600436_convert,384.1,404.3,369.83,379.22,-0.0178,,,,,,,,
2022-01-28,xx600436_convert,374.0,382.79,353.6,357.24,-0.058,,,,,,,,
2022-02-11,xx600436_convert,359.83,371.23,334.8,340.03,-0.0482,,,,,,,,
2022-02-18,xx600436_convert,335.0,364.3,335.0,358.3,0.0537,,,,,,,,
2022-02-25,xx600436_convert,358.79,363.5,344.81,356.97,-0.0037,,,,,,,,
2022-03-04,xx600436_convert,358.0,365.0,314.0,316.16,-0.1143,,,,,,,,
2022-03-11,xx600436_convert,309.98,321.97,296.96,318.52,0.0075,,,,,,,,
2022-03-18,xx600436_convert,318.0,320.66,290.0,312.98,-0.0174,,,,,,,,
2022-03-25,xx600436_convert,316.0,322.55,307.01,310.55,-0.0078,keep,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx600436_convert,304.34,325.5,302.34,316.57,0.0194,buy,0,1000000,1000000.0,0.0,0.0,,
2022-04-08,xx600436_convert,316.51,318.82,306.18,307.0,-0.0302,sell,600,810040.52,994240.52,184200.0,0.1853,47.48,
2022-04-15,xx600436_convert,307.0,316.6,294.38,313.71,0.0219,keep,480,846833.2700000001,997414.0700000001,150580.8,0.151,9.21,36.84
2022-04-22,xx600436_convert,313.71,318.0,293.19,296.17,-0.0559,keep,480,846833.2700000001,988994.8700000001,142161.6,0.1437,,
2022-04-29,xx600436_convert,292.01,308.66,282.41,306.15,0.0337,keep,480,846833.2700000001,993785.2700000001,146952.0,0.1479,,
2022-05-06,xx600436_convert,306.99,313.4,297.97,298.18,-0.026,keep,480,846833.2700000001,989959.6700000002,143126.4,0.1446,,
2022-05-13,xx600436_convert,297.0,312.5,293.3,305.15,0.0234,keep,480,846833.2700000001,993305.2700000001,146472.0,0.1475,,
2022-05-20,xx600436_convert,309.02,310.2,290.0,305.8,0.0021,keep,480,846833.2700000001,993617.2700000001,146784.0,0.1477,,
2022-05-27,xx600436_convert,308.5,308.8,291.25,295.38,-0.0341,keep,480,846833.2700000001,988615.6700000002,141782.4,0.1434,,
2022-06-02,xx600436_convert,296.38,311.0,295.0,301.02,0.0191,keep,480,846833.2700000001,991322.8700000001,144489.6,0.1458,,
2022-06-10,xx600436_convert,300.0,323.0,296.14,317.35,0.0542,keep,480,846833.2700000001,999161.2700000001,152328.0,0.1525,,
2022-06-17,xx600436_convert,314.9,340.35,308.0,338.32,0.0661,buy,480,846833.2700000001,1009226.8700000001,162393.6,0.1609,,
2022-06-24,xx600436_convert,341.0,345.0,330.21,342.29,0.0117,buy,880,710395.1700000002,1011610.3700000001,301215.2,0.2978,34.1,
2022-07-01,xx600436_convert,342.75,359.82,342.7,350.78,0.0248,buy,1280,573256.8900000001,1022255.29,448998.4,0.4392,34.28,
2022-07-08,xx600436_convert,353.01,357.98,338.49,338.49,-0.035,buy,1580,467324.41000000015,1002138.6100000002,534814.2,0.5337,26.48,
2022-07-15,xx600436_convert,338.0,338.0,319.0,319.15,-0.0536,sell,1785,399705.5100000001,969388.2600000001,569682.75,0.5877,16.9,
2022-07-22,xx600436_convert,319.8,321.0,303.01,310.5,-0.0271,keep,1428,513727.8300000002,957121.8300000002,443394.0,0.4633,28.54,114.17
2022-07-29,xx600436_convert,310.75,313.79,295.0,295.72,-0.0476,sell,1428,513727.8300000002,936015.9900000002,422288.16,0.4512,,
2022-08-05,xx600436_convert,294.95,299.88,286.01,298.67,0.01,sell,1143,597680.6600000001,939060.4700000002,341379.81,0.3635,21.01,84.06
2022-08-12,xx600436_convert,298.67,303.5,290.78,300.01,0.0045,sell,915,665690.0300000001,940199.1800000002,274509.15,0.292,17.02,68.09
2022-08-19,xx600436_convert,300.99,302.0,293.0,293.4,-0.022,sell,732,720700.5200000001,935469.3200000001,214768.8,0.2296,13.77,55.08
2022-08-26,xx600436_convert,291.45,295.6,286.89,294.0,0.002,sell,586,763197.5700000001,935481.5700000001,172284.0,0.1842,10.64,42.55
2022-09-02,xx600436_convert,291.16,303.9,287.06,296.11,0.0072,sell,469,797219.54,936095.13,138875.59,0.1484,8.52,34.06
2022-09-09,xx600436_convert,294.18,298.89,287.0,298.11,0.0068,sell,376,824543.1500000001,936632.5100000001,112089.36,0.1197,6.84,27.36
2022-09-16,xx600436_convert,298.96,304.0,293.2,293.2,-0.0165,keep,301,846936.3700000001,935189.5700000001,88253.2,0.0944,5.61,22.42
2022-09-23,xx600436_convert,292.0,294.95,250.22,252.69,-0.1382,sell,301,846936.3700000001,922996.06,76059.69,0.0824,,
2022-09-30,xx600436_convert,249.0,272.9,246.01,266.8,0.0558,keep,241,861855.8300000002,926154.6300000002,64298.8,0.0694,5.0,14.94
2022-10-14,xx600436_convert,265.1,272.9,246.01,270.45,0.0137,keep,241,861855.8300000002,927034.2800000001,65178.45,0.0703,,
2022-10-21,xx600436_convert,270.44,275.01,256.6,257.36,-0.0484,sell,241,861855.8300000002,923879.5900000002,62023.76,0.0671,,
2022-10-28,xx600436_convert,248.5,251.01,224.3,228.23,-0.1132,sell,193,873766.4200000002,917814.8100000002,44048.39,0.048,5.0,11.93
2022-11-04,xx600436_convert,226.18,257.0,222.5,254.85,0.1166,keep,155,882347.2900000002,921849.0400000002,39501.75,0.0429,5.0,8.59
