date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xx601816_convert,4.81,5.01,4.8,4.93,0.0207,,,,,,,
2022-01-14,xx601816_convert,4.9,5.01,4.83,4.86,-0.0142,,,,,,,
2022-01-21,xx601816_convert,4.85,5.02,4.82,4.97,0.0226,,,,,,,
2022-01-28,xx601816_convert,4.96,5.13,4.85,5.05,0.0161,,,,,,,
2022-02-11,xx601816_convert,5.09,5.49,5.06,5.35,0.0594,,,,,,,
2022-02-18,xx601816_convert,5.33,5.47,5.21,5.44,0.0168,,,,,,,
2022-02-25,xx601816_convert,5.43,5.46,5.06,5.1,-0.0625,,,,,,,
2022-03-04,xx601816_convert,5.09,5.29,5.01,5.21,0.0216,,,,,,,
2022-03-11,xx601816_convert,5.16,5.18,4.77,5.05,-0.0307,,,,,,,
2022-03-18,xx601816_convert,4.96,4.99,4.51,4.93,-0.0238,,,,,,,
2022-03-25,xx601816_convert,4.91,5.13,4.67,4.68,-0.0507,keep,0,1000000,1000000,0.0,0.0,
2022-04-01,xx601816_convert,4.62,4.94,4.57,4.91,0.0491,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-08,xx601816_convert,4.86,5.0,4.84,4.99,0.0163,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-15,xx601816_convert,5.0,5.09,4.85,4.93,-0.012,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-22,xx601816_convert,4.92,5.05,4.77,4.89,-0.0081,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-29,xx601816_convert,4.8,4.91,4.42,4.59,-0.0613,buy,0,1000000,1000000.0,0.0,0.0,
2022-05-06,xx601816_convert,4.57,4.63,4.4,4.43,-0.0349,keep,43600,800262.08,993410.08,193148.0,0.1944,49.92
2022-05-13,xx601816_convert,4.4,4.54,4.34,4.5,0.0158,keep,43600,800262.08,996462.08,196200.0,0.1969,
2022-05-20,xx601816_convert,4.5,4.69,4.45,4.67,0.0378,keep,43600,800262.08,1003874.08,203612.0,0.2028,
2022-05-27,xx601816_convert,4.69,4.81,4.51,4.75,0.0171,buy,43600,800262.08,1007362.08,207100.0,0.2056,
2022-06-02,xx601816_convert,4.82,4.87,4.59,4.65,-0.0211,buy,76700,640349.11,997004.11,356655.0,0.3577,39.97
2022-06-10,xx601816_convert,4.65,4.73,4.54,4.71,0.0129,keep,104100,512633.19,1002944.19,490311.0,0.4889,31.92
2022-06-17,xx601816_convert,4.66,4.77,4.54,4.69,-0.0042,keep,104100,512633.19,1000862.1900000001,488229.0,0.4878,
2022-06-24,xx601816_convert,4.7,4.9,4.65,4.89,0.0426,buy,104100,512633.19,1021682.19,509049.0,0.4982,
2022-07-01,xx601816_convert,4.88,5.1,4.81,4.9,0.002,buy,125000,410406.64,1022906.64,612500.0,0.5988,25.55
2022-07-08,xx601816_convert,4.91,4.95,4.79,4.86,-0.0082,keep,141600,328714.22000000003,1016890.22,688176.0,0.6767,20.42
2022-07-15,xx601816_convert,4.82,4.94,4.7,4.73,-0.0267,keep,141600,328714.22000000003,998482.2200000002,669768.0,0.6708,
2022-07-22,xx601816_convert,4.71,4.78,4.67,4.73,0.0,keep,141600,328714.22000000003,998482.2200000002,669768.0,0.6708,
2022-07-29,xx601816_convert,4.71,4.83,4.62,4.65,-0.0065,keep,143099,328714.22000000003,994124.5700000001,665410.35,0.6693,
2022-08-05,xx601816_convert,4.65,4.66,4.44,4.55,-0.0215,keep,143099,328714.22000000003,979814.6699999999,651100.45,0.6645,
2022-08-12,xx601816_convert,4.56,4.62,4.48,4.62,0.0154,keep,143099,328714.22000000003,989831.6000000001,661117.38,0.6679,
2022-08-19,xx601816_convert,4.6,4.64,4.52,4.57,-0.0108,keep,143099,328714.22000000003,982676.6500000001,653962.43,0.6655,
2022-08-26,xx601816_convert,4.55,4.59,4.49,4.56,-0.0022,keep,143099,328714.22000000003,981245.6599999999,652531.44,0.665,
2022-09-02,xx601816_convert,4.53,4.64,4.45,4.47,-0.0197,keep,143099,328714.22000000003,968366.75,639652.53,0.6605,
2022-09-09,xx601816_convert,4.46,4.62,4.42,4.6,0.0291,keep,143099,328714.22000000003,986969.6199999999,658255.4,0.6669,
2022-09-16,xx601816_convert,4.58,4.71,4.56,4.56,-0.0087,keep,143099,328714.22000000003,981245.6599999999,652531.44,0.665,
2022-09-23,xx601816_convert,4.58,4.61,4.44,4.46,-0.0219,keep,143099,328714.22000000003,966935.76,638221.54,0.66,
2022-09-30,xx601816_convert,4.43,4.64,4.43,4.52,0.0135,keep,143099,328714.22000000003,975521.7,646807.48,0.663,
2022-10-14,xx601816_convert,4.53,4.59,4.43,4.47,-0.0111,keep,143099,328714.22000000003,968366.75,639652.53,0.6605,
2022-10-21,xx601816_convert,4.48,4.61,4.45,4.53,0.0134,keep,143099,328714.22000000003,976952.6900000002,648238.47,0.6635,
2022-10-28,xx601816_convert,4.52,4.57,4.33,4.46,-0.0155,keep,143099,328714.22000000003,966935.76,638221.54,0.66,
2022-11-04,xx601816_convert,4.4,4.94,4.39,4.87,0.0919,keep,143099,328714.22000000003,1025606.3500000001,696892.13,0.6795,
2022-11-11,xx601816_convert,4.8,4.93,4.73,4.84,-0.0062,keep,143099,328714.22000000003,1021313.3800000001,692599.16,0.6781,
2022-11-18,xx601816_convert,4.86,4.93,4.72,4.73,-0.0227,keep,143099,328714.22000000003,1005572.49,676858.27,0.6731,
2022-11-25,xx601816_convert,4.7,4.82,4.63,4.74,0.0021,keep,143099,328714.22000000003,1007003.48,678289.26,0.6736,
2022-12-02,xx601816_convert,4.7,5.04,4.61,5.0,0.0549,keep,143099,328714.22000000003,1044209.22,715495.0,0.6852,
2022-12-09,xx601816_convert,5.1,5.36,4.7,4.71,-0.058,keep,143099,328714.22000000003,1002710.51,673996.29,0.6722,
2022-12-16,xx601816_convert,4.73,5.12,4.73,4.96,0.0531,keep,143099,328714.22000000003,1038485.26,709771.04,0.6835,
2022-12-23,xx601816_convert,5.01,5.06,4.74,4.86,-0.0202,keep,143099,328714.22000000003,1024175.3600000001,695461.14,0.679,
2022-12-30,xx601816_convert,4.91,5.03,4.81,4.92,0.0123,keep,143099,328714.22000000003,1032761.3,704047.08,0.6817,
2023-01-06,xx601816_convert,4.93,4.94,4.8,4.83,-0.0183,keep,143099,328714.22000000003,1019882.3900000001,691168.17,0.6777,
2023-01-13,xx601816_convert,4.84,5.0,4.82,4.95,0.0248,keep,143099,328714.22000000003,1037054.27,708340.05,0.683,
2023-01-20,xx601816_convert,4.96,5.03,4.85,4.93,-0.004,keep,143099,328714.22000000003,1034192.29,705478.07,0.6822,
2023-02-03,xx601816_convert,5.0,5.03,4.77,4.78,-0.0304,keep,143099,328714.22000000003,1012727.4400000002,684013.22,0.6754,
2023-02-10,xx601816_convert,4.78,4.8,4.73,4.76,-0.0042,keep,143099,328714.22000000003,1009865.46,681151.24,0.6745,
2023-02-17,xx601816_convert,4.77,4.87,4.75,4.81,0.0105,keep,143099,328714.22000000003,1017020.4099999999,688306.19,0.6768,
2023-02-24,xx601816_convert,4.83,4.93,4.8,4.87,0.0125,keep,143099,328714.22000000003,1025606.3500000001,696892.13,0.6795,
2023-03-03,xx601816_convert,4.85,5.32,4.83,5.27,0.0821,keep,143099,328714.22000000003,1082845.95,754131.73,0.6964,
2023-03-10,xx601816_convert,5.32,5.44,5.01,5.03,-0.0455,keep,143099,328714.22000000003,1048502.1900000002,719787.97,0.6865,
2023-03-17,xx601816_convert,5.05,5.27,5.04,5.18,0.0298,keep,143099,328714.22000000003,1069967.04,741252.82,0.6928,
2023-03-24,xx601816_convert,5.2,5.29,5.08,5.12,-0.0116,keep,143099,328714.22000000003,1061381.1,732666.88,0.6903,
2023-03-31,xx601816_convert,5.12,5.24,5.05,5.22,0.0195,keep,143099,328714.22000000003,1075691.0,746976.78,0.6944,
2023-04-07,xx601816_convert,5.22,5.32,5.2,5.23,0.0019,buy,143099,328714.22000000003,1077121.99,748407.77,0.6948,
2023-04-14,xx601816_convert,5.2,5.24,5.11,5.19,-0.0076,keep,155699,263051.81000000006,1071129.62,808077.81,0.7544,16.41
2023-04-21,xx601816_convert,5.2,5.38,5.19,5.22,0.0058,keep,155699,263051.81000000006,1075800.5899999999,812748.78,0.7555,
2023-04-28,xx601816_convert,5.23,5.45,5.08,5.43,0.0402,buy,155699,263051.81000000006,1108497.38,845445.57,0.7627,
2023-05-05,xx601816_convert,5.45,5.82,5.44,5.73,0.0552,buy,165299,210622.71000000005,1157785.98,947163.27,0.8181,13.1
2023-05-12,xx601816_convert,5.7,5.88,5.46,5.51,-0.0384,keep,172599,168929.29000000004,1119949.78,951020.49,0.8492,10.42
2023-05-19,xx601816_convert,5.53,5.7,5.41,5.58,0.0127,buy,172599,168929.29000000004,1132031.71,963102.42,0.8508,
2023-05-26,xx601816_convert,5.57,5.71,5.38,5.47,-0.0197,buy,178599,135440.92000000004,1112377.45,976936.53,0.8782,8.37
2023-06-02,xx601816_convert,5.49,5.77,5.4,5.51,0.0073,buy,183499,108484.18000000004,1119563.67,1011079.49,0.9031,6.74
2023-06-09,xx601816_convert,5.52,5.71,5.49,5.64,0.0236,,187399,86911.79000000004,1143842.15,1056930.36,0.924,5.39
