date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos
2022-01-07,xx601668_convert,4.99,5.28,4.96,5.24,0.048,,,,,,
2022-01-14,xx601668_convert,5.32,5.44,5.0,5.02,-0.042,,,,,,
2022-01-21,xx601668_convert,5.01,5.45,4.96,5.33,0.0618,,,,,,
2022-01-28,xx601668_convert,5.35,5.52,5.2,5.2,-0.0244,,,,,,
2022-02-11,xx601668_convert,5.27,5.77,5.27,5.6,0.0769,,,,,,
2022-02-18,xx601668_convert,5.6,5.63,5.26,5.5,-0.0179,,,,,,
2022-02-25,xx601668_convert,5.45,5.5,5.04,5.07,-0.0782,,,,,,
2022-03-04,xx601668_convert,5.06,5.5,5.03,5.45,0.075,,,,,,
2022-03-11,xx601668_convert,5.44,5.57,5.04,5.19,-0.0477,,,,,,
2022-03-18,xx601668_convert,5.13,5.32,4.67,4.98,-0.0405,,,,,,
2022-03-25,xx601668_convert,5.03,5.38,4.9,5.26,0.0562,keep,0,1000000,1000000,0.0,0.0
2022-04-01,xx601668_convert,5.22,5.55,5.2,5.51,0.0475,keep,0,1000000,1000000.0,0.0,0.0
2022-04-08,xx601668_convert,5.56,6.22,5.54,6.12,0.1107,sell,0,1000000,1000000.0,0.0,0.0
2022-04-15,xx601668_convert,6.11,6.24,5.84,6.04,-0.0131,sell,0,1000000.0,1000000.0,0.0,0.0
2022-04-22,xx601668_convert,6.05,6.23,5.72,5.89,-0.0248,sell,0,1000000.0,1000000.0,0.0,0.0
2022-04-29,xx601668_convert,5.8,6.3,5.65,6.28,0.0662,sell,0,1000000.0,1000000.0,0.0,0.0
2022-05-06,xx601668_convert,6.29,6.4,5.87,5.97,-0.0494,sell,0,1000000.0,1000000.0,0.0,0.0
2022-05-13,xx601668_convert,5.96,6.06,5.7,5.87,-0.0168,keep,0,1000000.0,1000000.0,0.0,0.0
2022-05-20,xx601668_convert,5.95,6.01,5.71,5.91,0.0068,keep,0,1000000.0,1000000.0,0.0,0.0
2022-05-27,xx601668_convert,5.88,5.9,5.57,5.64,-0.0457,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-02,xx601668_convert,5.65,5.7,5.42,5.45,-0.0337,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-10,xx601668_convert,5.45,5.49,5.27,5.48,0.0055,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-17,xx601668_convert,5.49,5.61,5.25,5.43,-0.0091,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-24,xx601668_convert,5.44,5.63,5.38,5.43,-0.0,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-01,xx601668_convert,5.43,5.59,5.26,5.47,0.0551,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-08,xx601668_convert,5.45,5.47,5.29,5.39,-0.0146,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-15,xx601668_convert,5.38,5.75,5.28,5.28,-0.0204,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-22,xx601668_convert,5.3,5.39,5.07,5.11,-0.0322,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-29,xx601668_convert,5.11,5.27,5.03,5.04,-0.0137,keep,0,1000000.0,1000000.0,0.0,0.0
2022-08-05,xx601668_convert,5.03,5.04,4.82,4.91,-0.0258,keep,0,1000000.0,1000000.0,0.0,0.0
2022-08-12,xx601668_convert,4.9,4.96,4.8,4.92,0.002,keep,0,1000000.0,1000000.0,0.0,0.0
2022-08-19,xx601668_convert,4.91,4.99,4.87,4.95,0.0061,keep,0,1000000.0,1000000.0,0.0,0.0
2022-08-26,xx601668_convert,4.95,5.03,4.91,5.01,0.0121,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-02,xx601668_convert,4.96,5.2,4.93,5.11,0.02,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-09,xx601668_convert,5.1,5.38,5.08,5.36,0.0489,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-16,xx601668_convert,5.34,5.41,5.15,5.15,-0.0392,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-23,xx601668_convert,5.17,5.29,5.05,5.22,0.0136,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-30,xx601668_convert,5.21,5.26,4.98,5.15,-0.0134,keep,0,1000000.0,1000000.0,0.0,0.0
2022-10-14,xx601668_convert,5.16,5.35,5.11,5.22,0.0136,keep,0,1000000.0,1000000.0,0.0,0.0
2022-10-21,xx601668_convert,5.22,5.25,5.08,5.16,-0.0115,keep,0,1000000.0,1000000.0,0.0,0.0
2022-10-28,xx601668_convert,5.15,5.16,4.83,4.9,-0.0504,sell,0,1000000.0,1000000.0,0.0,0.0
2022-11-04,xx601668_convert,4.91,4.95,4.68,4.82,-0.0163,sell,0,1000000.0,1000000.0,0.0,0.0
2022-11-11,xx601668_convert,4.8,5.23,4.8,5.18,0.0747,keep,0,1000000.0,1000000.0,0.0,0.0
2022-11-18,xx601668_convert,5.28,5.38,5.2,5.23,0.0097,keep,0,1000000.0,1000000.0,0.0,0.0
2022-11-25,xx601668_convert,5.19,5.78,5.11,5.74,0.0975,sell,0,1000000.0,1000000.0,0.0,0.0
2022-12-02,xx601668_convert,5.61,5.98,5.53,5.68,-0.0105,keep,0,1000000.0,1000000.0,0.0,0.0
2022-12-09,xx601668_convert,5.82,6.17,5.73,5.94,0.0458,keep,0,1000000.0,1000000.0,0.0,0.0
2022-12-16,xx601668_convert,5.9,5.95,5.58,5.69,-0.0421,keep,0,1000000.0,1000000.0,0.0,0.0
2022-12-23,xx601668_convert,5.67,5.74,5.37,5.42,-0.0475,sell,0,1000000.0,1000000.0,0.0,0.0
2022-12-30,xx601668_convert,5.42,5.5,5.29,5.43,0.0018,keep,0,1000000.0,1000000.0,0.0,0.0
2023-01-06,xx601668_convert,5.44,5.65,5.37,5.52,0.0166,keep,0,1000000.0,1000000.0,0.0,0.0
2023-01-13,xx601668_convert,5.54,5.56,5.35,5.45,-0.0127,keep,0,1000000.0,1000000.0,0.0,0.0
2023-01-20,xx601668_convert,5.44,5.57,5.31,5.57,0.022,keep,0,1000000.0,1000000.0,0.0,0.0
2023-02-03,xx601668_convert,5.6,5.62,5.39,5.41,-0.0287,sell,0,1000000.0,1000000.0,0.0,0.0
2023-02-10,xx601668_convert,5.37,5.52,5.34,5.43,0.0037,keep,0,1000000.0,1000000.0,0.0,0.0
2023-02-17,xx601668_convert,5.41,5.57,5.36,5.37,-0.011,keep,0,1000000.0,1000000.0,0.0,0.0
2023-02-24,xx601668_convert,5.38,5.79,5.37,5.62,0.0466,keep,0,1000000.0,1000000.0,0.0,0.0
2023-03-03,xx601668_convert,5.59,6.16,5.52,6.11,0.0872,sell,0,1000000.0,1000000.0,0.0,0.0
2023-03-10,xx601668_convert,6.21,6.28,5.83,5.84,-0.0442,keep,0,1000000.0,1000000.0,0.0,0.0
2023-03-17,xx601668_convert,5.95,6.32,5.92,6.23,0.0668,keep,0,1000000.0,1000000.0,0.0,0.0
2023-03-24,xx601668_convert,6.27,6.54,5.9,5.92,-0.0498,sell,0,1000000.0,1000000.0,0.0,0.0
2023-03-31,xx601668_convert,5.91,5.97,5.72,5.8,-0.0203,keep,0,1000000.0,1000000.0,0.0,0.0
2023-04-07,xx601668_convert,5.79,6.19,5.73,6.12,0.0552,sell,0,1000000.0,1000000.0,0.0,0.0
2023-04-14,xx601668_convert,6.11,6.53,6.05,6.49,0.0605,keep,0,1000000.0,1000000.0,0.0,0.0
2023-04-21,xx601668_convert,6.46,6.65,6.29,6.37,-0.0185,keep,0,1000000.0,1000000.0,0.0,0.0
2023-04-28,xx601668_convert,6.4,6.58,6.07,6.57,0.0314,keep,0,1000000.0,1000000.0,0.0,0.0
2023-05-05,xx601668_convert,6.5,7.05,6.45,6.92,0.0533,sell,0,1000000.0,1000000.0,0.0,0.0
2023-05-12,xx601668_convert,6.92,7.35,6.53,6.53,-0.0564,keep,0,1000000.0,1000000.0,0.0,0.0
2023-05-19,xx601668_convert,6.52,6.54,6.11,6.18,-0.0536,keep,0,1000000.0,1000000.0,0.0,0.0
2023-05-26,xx601668_convert,6.19,6.24,5.69,5.75,-0.0696,sell,0,1000000.0,1000000.0,0.0,0.0
2023-06-02,xx601668_convert,5.78,6.11,5.75,6.08,0.0574,keep,0,1000000.0,1000000.0,0.0,0.0
2023-06-09,xx601668_convert,6.06,6.22,5.96,6.18,0.0164,,0,1000000.0,1000000.0,0.0,0.0
