date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx601888_convert,221.68,222.47,206.9,207.78,-0.053,,,,,,,,
2022-01-14,xx601888_convert,204.0,213.79,194.28,200.49,-0.0351,,,,,,,,
2022-01-21,xx601888_convert,190.0,203.0,185.12,200.66,0.0008,,,,,,,,
2022-01-28,xx601888_convert,204.0,214.48,201.62,206.56,0.0294,,,,,,,,
2022-02-11,xx601888_convert,214.6,230.5,204.96,225.43,0.0914,,,,,,,,
2022-02-18,xx601888_convert,229.88,231.88,218.01,221.35,-0.0181,,,,,,,,
2022-02-25,xx601888_convert,219.0,220.0,201.6,210.12,-0.0507,,,,,,,,
2022-03-04,xx601888_convert,208.0,210.1,194.0,201.45,-0.0413,,,,,,,,
2022-03-11,xx601888_convert,197.2,198.0,179.01,186.6,-0.0737,,,,,,,,
2022-03-18,xx601888_convert,178.88,180.08,159.89,176.45,-0.0544,,,,,,,,
2022-03-25,xx601888_convert,175.8,175.99,162.5,162.85,-0.0771,keep,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx601888_convert,157.82,177.3,155.73,174.26,0.0701,buy,0,1000000,1000000.0,0.0,0.0,,
2022-04-08,xx601888_convert,168.2,168.6,160.81,164.48,-0.0561,sell,1100,814922.74,995850.74,180928.0,0.1817,46.26,
2022-04-15,xx601888_convert,161.19,185.8,153.59,182.24,0.108,keep,880,850338.02,1010709.22,160371.2,0.1587,8.86,35.46
2022-04-22,xx601888_convert,179.02,186.0,171.32,176.98,-0.0289,sell,880,850338.02,1006080.42,155742.4,0.1548,,
2022-04-29,xx601888_convert,168.38,187.66,166.1,181.99,0.0283,keep,704,879934.1,1008055.0599999999,128120.96,0.1271,7.41,29.63
2022-05-06,xx601888_convert,179.0,182.8,161.88,163.69,-0.1006,sell,704,879934.1,995171.86,115237.76,0.1158,,
2022-05-13,xx601888_convert,159.5,179.49,155.18,173.0,0.0569,keep,564,902234.79,999806.79,97572.0,0.0976,5.58,22.33
2022-05-20,xx601888_convert,174.55,178.0,165.32,175.75,0.0159,keep,564,902234.79,1001357.79,99123.0,0.099,,
2022-05-27,xx601888_convert,176.03,176.5,161.0,164.95,-0.0615,keep,564,902234.79,995266.5900000001,93031.8,0.0935,,
2022-06-02,xx601888_convert,169.89,179.8,166.3,175.39,0.0633,keep,564,902234.79,1001154.75,98919.96,0.0988,,
2022-06-10,xx601888_convert,177.0,194.49,172.42,187.75,0.0705,keep,564,902234.79,1008125.79,105891.0,0.105,,
2022-06-17,xx601888_convert,183.0,191.89,175.01,190.39,0.0141,keep,564,902234.79,1009614.75,107379.96,0.1064,,
2022-06-24,xx601888_convert,190.9,204.23,190.9,201.12,0.0564,keep,564,902234.79,1015666.4700000001,113431.68,0.1117,,
2022-07-01,xx601888_convert,211.0,237.8,210.0,225.11,0.1193,keep,564,902234.79,1029196.8300000001,126962.04,0.1234,,
2022-07-08,xx601888_convert,219.8,229.2,204.5,211.97,-0.0584,keep,564,902234.79,1021785.87,119551.08,0.117,,
2022-07-15,xx601888_convert,206.5,212.89,200.87,204.36,-0.0289,keep,568,902234.79,1018311.27,116076.48,0.114,,
2022-07-22,xx601888_convert,206.0,216.51,201.02,214.62,0.0502,keep,568,902234.79,1024138.9500000001,121904.16,0.119,,
2022-07-29,xx601888_convert,214.6,226.66,209.18,209.9,-0.022,keep,568,902234.79,1021457.99,119223.2,0.1167,,
2022-08-05,xx601888_convert,208.0,213.5,193.08,198.9,-0.0524,keep,568,902234.79,1015209.99,112975.2,0.1113,,
2022-08-12,xx601888_convert,186.0,202.49,184.0,195.66,-0.0163,keep,568,902234.79,1013369.67,111134.88,0.1097,,
2022-08-19,xx601888_convert,194.01,196.49,187.0,188.0,-0.0391,keep,568,902234.79,1009018.79,106784.0,0.1058,,
2022-08-26,xx601888_convert,187.0,201.18,186.66,192.41,0.0235,keep,568,902234.79,1011523.67,109288.88,0.108,,
2022-09-02,xx601888_convert,189.69,197.77,179.46,180.31,-0.0629,keep,568,902234.79,1004650.87,102416.08,0.1019,,
2022-09-09,xx601888_convert,179.0,191.6,175.2,191.09,0.0598,keep,568,902234.79,1010773.91,108539.12,0.1074,,
2022-09-16,xx601888_convert,194.99,195.0,188.0,188.51,-0.0135,keep,568,902234.79,1009308.47,107073.68,0.1061,,
2022-09-23,xx601888_convert,190.0,195.55,181.05,185.41,-0.0164,keep,568,902234.79,1007547.67,105312.88,0.1045,,
2022-09-30,xx601888_convert,185.33,204.45,185.3,198.25,0.0693,keep,568,902234.79,1014840.79,112606.0,0.111,,
2022-10-14,xx601888_convert,197.2,197.65,174.44,185.46,-0.0645,keep,568,902234.79,1007576.0700000001,105341.28,0.1045,,
2022-10-21,xx601888_convert,184.96,192.5,174.15,175.57,-0.0533,keep,568,902234.79,1001958.55,99723.76,0.0995,,
2022-10-28,xx601888_convert,174.05,178.0,165.03,167.45,-0.0462,keep,568,902234.79,997346.39,95111.6,0.0954,,
2022-11-04,xx601888_convert,164.1,199.0,156.51,197.09,0.177,keep,568,902234.79,1014181.91,111947.12,0.1104,,
2022-11-11,xx601888_convert,192.0,201.51,184.1,195.88,-0.0061,keep,568,902234.79,1013494.63,111259.84,0.1098,,
2022-11-18,xx601888_convert,195.88,200.87,186.13,190.8,-0.0259,keep,568,902234.79,1010609.1900000001,108374.4,0.1072,,
