date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx600309_convert,101.05,104.11,98.78,102.85,0.0183,,,,,,,,
2022-01-14,xx600309_convert,103.0,103.96,95.4,96.1,-0.0656,,,,,,,,
2022-01-21,xx600309_convert,96.3,99.28,92.91,93.67,-0.0253,,,,,,,,
2022-01-28,xx600309_convert,93.3,93.53,90.17,90.35,-0.0354,,,,,,,,
2022-02-11,xx600309_convert,90.95,100.98,90.8,98.14,0.0862,,,,,,,,
2022-02-18,xx600309_convert,97.0,100.25,96.1,98.42,0.0029,,,,,,,,
2022-02-25,xx600309_convert,97.81,99.44,92.54,94.5,-0.0398,,,,,,,,
2022-03-04,xx600309_convert,95.0,96.33,91.14,91.47,-0.0321,,,,,,,,
2022-03-11,xx600309_convert,90.75,91.48,80.32,82.81,-0.0947,,,,,,,,
2022-03-18,xx600309_convert,81.3,82.93,73.5,81.12,-0.0204,,,,,,,,
2022-03-25,xx600309_convert,81.13,81.59,77.74,77.85,-0.0403,sell,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx600309_convert,77.3,87.44,76.15,86.03,0.1051,buy,0,1000000.0,1000000.0,0.0,0.0,,
2022-04-08,xx600309_convert,85.38,89.22,85.08,88.52,0.0289,buy,2300,803553.9,1007149.9,203596.0,0.2022,49.1,
2022-04-15,xx600309_convert,88.52,89.29,84.53,84.65,-0.0437,buy,4100,644160.06,991225.06,347065.0,0.3501,39.84,
2022-04-22,xx600309_convert,84.0,84.55,78.23,79.81,-0.0572,buy,5600,518113.56000000006,965049.56,446936.0,0.4631,31.5,
2022-04-29,xx600309_convert,79.3,80.06,73.75,77.85,0.0069,buy,7080,414984.78,966162.78,551178.0,0.5705,25.78,
2022-05-06,xx600309_convert,79.45,82.59,78.63,79.5,0.0212,buy,8080,335504.91000000003,977864.91,642360.0,0.6569,19.87,
2022-05-13,xx600309_convert,78.9,84.08,76.11,81.99,0.0313,buy,8880,272361.13,1000432.33,728071.2,0.7278,15.78,
2022-05-20,xx600309_convert,82.64,84.48,80.5,84.18,0.0267,buy,9480,222758.73,1020785.13,798026.4,0.7818,12.4,
2022-05-27,xx600309_convert,84.18,85.37,81.4,83.51,-0.008,buy,9980,180653.21000000002,1014083.01,833429.8,0.8219,10.52,
2022-06-02,xx600309_convert,84.1,85.68,81.28,81.7,-0.0217,keep,10380,147000.80000000002,995046.8,848046.0,0.8523,8.41,
2022-06-10,xx600309_convert,81.7,87.68,80.36,87.42,0.07,buy,10380,147000.80000000002,1054420.4,907419.6,0.8606,,
2022-06-17,xx600309_convert,86.11,95.94,84.01,95.16,0.0885,buy,10680,121158.34000000001,1137467.14,1016308.8,0.8935,6.46,
2022-06-24,xx600309_convert,96.31,96.5,90.6,93.42,-0.0183,buy,10880,101889.34000000001,1118298.94,1016409.6,0.9089,5.0,
2022-07-01,xx600309_convert,93.8,98.66,93.06,96.59,0.0339,keep,11080,83122.34000000001,1153339.54,1070217.2,0.9279,5.0,
