date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos
2022-01-07,xx002460_convert,145.2,145.99,125.66,127.84,-0.1051,,,,,,
2022-01-14,xx002460_convert,128.5,132.98,125.35,128.63,0.0062,,,,,,
2022-01-21,xx002460_convert,128.06,130.26,119.22,122.61,-0.0468,,,,,,
2022-01-28,xx002460_convert,124.0,142.56,122.63,133.95,0.0925,,,,,,
2022-02-11,xx002460_convert,138.0,139.88,122.01,133.01,-0.007,,,,,,
2022-02-18,xx002460_convert,132.1,151.72,130.44,145.91,0.097,,,,,,
2022-02-25,xx002460_convert,146.16,153.22,144.01,149.73,0.0262,,,,,,
2022-03-04,xx002460_convert,149.0,153.09,140.6,141.45,-0.0553,,,,,,
2022-03-11,xx002460_convert,140.0,141.85,117.98,127.45,-0.099,,,,,,
2022-03-18,xx002460_convert,125.5,132.12,122.2,127.01,-0.0035,,,,,,
2022-03-25,xx002460_convert,126.36,133.8,125.1,128.35,0.0106,keep,0,1000000,1000000,0.0,0.0
2022-04-01,xx002460_convert,126.5,131.58,121.8,128.53,0.0014,keep,0,1000000,1000000.0,0.0,0.0
2022-04-08,xx002460_convert,130.5,130.5,122.67,123.68,-0.0377,keep,0,1000000,1000000.0,0.0,0.0
2022-04-15,xx002460_convert,121.82,121.82,111.99,114.5,-0.0742,keep,0,1000000,1000000.0,0.0,0.0
2022-04-22,xx002460_convert,113.98,116.25,100.61,101.42,-0.1142,keep,0,1000000,1000000.0,0.0,0.0
2022-04-29,xx002460_convert,99.07,111.6,89.9,110.67,0.0912,keep,0,1000000,1000000.0,0.0,0.0
2022-05-06,xx002460_convert,109.0,110.5,103.5,104.09,-0.0595,keep,0,1000000,1000000.0,0.0,0.0
2022-05-13,xx002460_convert,102.12,115.29,100.71,108.86,0.0458,keep,0,1000000,1000000.0,0.0,0.0
2022-05-20,xx002460_convert,109.99,123.55,107.36,121.52,0.1163,keep,0,1000000,1000000.0,0.0,0.0
2022-05-27,xx002460_convert,122.0,127.21,116.68,119.4,-0.0174,keep,0,1000000,1000000.0,0.0,0.0
2022-06-02,xx002460_convert,120.48,121.81,114.01,116.68,-0.0228,keep,0,1000000,1000000.0,0.0,0.0
2022-06-10,xx002460_convert,117.15,133.8,117.15,131.48,0.1268,keep,0,1000000,1000000.0,0.0,0.0
2022-06-17,xx002460_convert,129.38,141.99,129.38,140.2,0.0663,keep,0,1000000,1000000.0,0.0,0.0
2022-06-24,xx002460_convert,140.5,143.68,132.01,136.51,-0.0263,keep,0,1000000,1000000.0,0.0,0.0
2022-07-01,xx002460_convert,137.2,158.16,137.2,156.97,0.1499,keep,0,1000000,1000000.0,0.0,0.0
