date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx601225_convert,12.55,12.66,12.03,12.14,-0.0049,,,,,,,,
2022-01-14,xx601225_convert,12.36,13.18,12.2,12.2,0.0049,,,,,,,,
2022-01-21,xx601225_convert,12.25,13.5,12.19,13.22,0.0836,,,,,,,,
2022-01-28,xx601225_convert,13.11,13.41,12.41,12.54,-0.0514,,,,,,,,
2022-02-11,xx601225_convert,12.8,14.49,12.71,14.15,0.1284,,,,,,,,
2022-02-18,xx601225_convert,14.18,14.57,13.6,14.51,0.0254,,,,,,,,
2022-02-25,xx601225_convert,14.53,15.08,13.5,14.09,-0.0289,,,,,,,,
2022-03-04,xx601225_convert,14.0,15.47,14.0,15.2,0.0788,,,,,,,,
2022-03-11,xx601225_convert,15.65,15.84,14.13,14.68,-0.0342,,,,,,,,
2022-03-18,xx601225_convert,14.41,15.05,13.21,14.42,-0.0177,,,,,,,,
2022-03-25,xx601225_convert,14.31,15.52,14.31,15.3,0.061,keep,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx601225_convert,15.45,16.85,15.3,16.46,0.0758,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-08,xx601225_convert,16.35,17.0,15.65,16.96,0.0304,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-15,xx601225_convert,16.8,19.13,16.56,17.55,0.0348,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-22,xx601225_convert,17.08,17.93,16.33,16.57,-0.0558,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-29,xx601225_convert,16.34,17.59,15.1,17.21,0.0386,keep,0,1000000,1000000.0,0.0,0.0,,
2022-05-06,xx601225_convert,17.21,17.55,16.3,16.8,-0.0238,buy,0,1000000,1000000.0,0.0,0.0,,
2022-05-13,xx601225_convert,16.5,16.98,15.61,16.87,0.0042,sell,12100,800179.06,1004306.06,204127.0,0.2033,49.94,
2022-05-20,xx601225_convert,17.06,18.07,16.54,17.83,0.0569,sell,9680,841388.4800000001,1013982.8800000001,172594.4,0.1702,10.32,41.26
2022-05-27,xx601225_convert,18.0,19.68,17.88,19.36,0.0858,buy,7744,876173.5800000002,1026097.4200000002,149923.84,0.1461,8.71,34.83
2022-06-02,xx601225_convert,19.38,19.42,18.54,18.75,-0.0315,keep,16744,701619.9500000002,1015569.9500000002,313950.0,0.3091,43.63,
2022-06-10,xx601225_convert,18.84,21.49,18.79,21.3,0.136,buy,16744,701619.9500000002,1058267.1500000001,356647.2,0.337,,
2022-06-17,xx601225_convert,21.06,21.93,19.92,20.73,-0.0268,buy,23344,562523.1800000002,1046444.3000000002,483921.12,0.4624,34.77,
2022-06-24,xx601225_convert,20.3,20.36,18.99,19.82,-0.0439,buy,28844,450790.2500000002,1022478.3300000001,571688.08,0.5591,27.93,
2022-07-01,xx601225_convert,19.81,22.01,19.78,21.76,0.0979,sell,33344,361577.9500000002,1087143.3900000001,725565.44,0.6674,22.3,
2022-07-08,xx601225_convert,21.75,23.11,19.75,20.03,-0.0191,buy,28426,515869.2900000002,1085242.0700000003,569372.78,0.5247,38.62,154.48
2022-07-15,xx601225_convert,19.95,20.55,19.0,19.24,-0.0394,sell,33526,414047.8400000002,1059088.08,645040.24,0.6091,25.45,
2022-07-22,xx601225_convert,19.53,20.29,18.31,18.62,-0.0322,keep,26821,544765.8400000002,1044172.8600000002,499407.02,0.4783,32.72,130.88
2022-07-29,xx601225_convert,18.6,19.85,18.56,19.11,0.0263,keep,26821,544765.8400000002,1057315.1500000001,512549.31,0.4848,,
2022-08-05,xx601225_convert,19.08,19.61,18.21,18.55,-0.0293,keep,26821,544765.8400000002,1042295.3900000002,497529.55,0.4773,,
2022-08-12,xx601225_convert,18.4,21.02,18.3,20.91,0.1272,buy,26821,544765.8400000002,1105592.9500000002,560827.11,0.5073,,
2022-08-19,xx601225_convert,20.95,21.6,20.44,21.08,0.0081,keep,31921,437843.1200000002,1110737.8000000003,672894.68,0.6058,26.72,
