date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xx601668_convert,4.99,5.28,4.96,5.24,0.048,,,,,,,
2022-01-14,xx601668_convert,5.32,5.44,5.0,5.02,-0.042,,,,,,,
2022-01-21,xx601668_convert,5.01,5.45,4.96,5.33,0.0618,,,,,,,
2022-01-28,xx601668_convert,5.35,5.52,5.2,5.2,-0.0244,,,,,,,
2022-02-11,xx601668_convert,5.27,5.77,5.27,5.6,0.0769,,,,,,,
2022-02-18,xx601668_convert,5.6,5.63,5.26,5.5,-0.0179,,,,,,,
2022-02-25,xx601668_convert,5.45,5.5,5.04,5.07,-0.0782,,,,,,,
2022-03-04,xx601668_convert,5.06,5.5,5.03,5.45,0.075,,,,,,,
2022-03-11,xx601668_convert,5.44,5.57,5.04,5.19,-0.0477,,,,,,,
2022-03-18,xx601668_convert,5.13,5.32,4.67,4.98,-0.0405,,,,,,,
2022-03-25,xx601668_convert,5.03,5.38,4.9,5.26,0.0562,keep,0,1000000,1000000,0.0,0.0,
2022-04-01,xx601668_convert,5.22,5.55,5.2,5.51,0.0475,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-08,xx601668_convert,5.56,6.22,5.54,6.12,0.1107,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-15,xx601668_convert,6.11,6.24,5.84,6.04,-0.0131,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-22,xx601668_convert,6.05,6.23,5.72,5.89,-0.0248,buy,0,1000000,1000000.0,0.0,0.0,
2022-04-29,xx601668_convert,5.8,6.3,5.65,6.28,0.0662,buy,34400,800086.03,1016118.03,216032.0,0.2126,49.97
2022-05-06,xx601668_convert,6.29,6.4,5.87,5.97,-0.0494,keep,59700,640656.18,997065.18,356409.0,0.3575,39.85
2022-05-13,xx601668_convert,5.96,6.06,5.7,5.87,-0.0168,keep,59700,640656.18,991095.18,350439.0,0.3536,
2022-05-20,xx601668_convert,5.95,6.01,5.71,5.91,0.0068,keep,59700,640656.18,993483.18,352827.0,0.3551,
2022-05-27,xx601668_convert,5.88,5.9,5.57,5.64,-0.0457,keep,59700,640656.18,977364.18,336708.0,0.3445,
2022-06-02,xx601668_convert,5.65,5.7,5.42,5.45,-0.0337,keep,59700,640656.18,966021.18,325365.0,0.3368,
2022-06-10,xx601668_convert,5.45,5.49,5.27,5.48,0.0055,keep,59700,640656.18,967812.18,327156.0,0.338,
2022-06-17,xx601668_convert,5.49,5.61,5.25,5.43,-0.0091,keep,59700,640656.18,964827.18,324171.0,0.336,
2022-06-24,xx601668_convert,5.44,5.63,5.38,5.43,-0.0,keep,59700,640656.18,964827.18,324171.0,0.336,
2022-07-01,xx601668_convert,5.43,5.59,5.26,5.47,0.0551,buy,62528,640656.18,982684.3400000001,342028.16,0.3481,
2022-07-08,xx601668_convert,5.45,5.47,5.29,5.39,-0.0146,keep,85928,512860.24000000005,976012.16,463151.92,0.4745,31.94
2022-07-15,xx601668_convert,5.38,5.75,5.28,5.28,-0.0204,keep,85928,512860.24000000005,966560.0800000001,453699.84,0.4694,
2022-07-22,xx601668_convert,5.3,5.39,5.07,5.11,-0.0322,keep,85928,512860.24000000005,951952.3200000001,439092.08,0.4613,
2022-07-29,xx601668_convert,5.11,5.27,5.03,5.04,-0.0137,keep,85928,512860.24000000005,945937.3600000001,433077.12,0.4578,
2022-08-05,xx601668_convert,5.03,5.04,4.82,4.91,-0.0258,keep,85928,512860.24000000005,934766.7200000001,421906.48,0.4513,
2022-08-12,xx601668_convert,4.9,4.96,4.8,4.92,0.002,keep,85928,512860.24000000005,935626.0,422765.76,0.4519,
2022-08-19,xx601668_convert,4.91,4.99,4.87,4.95,0.0061,keep,85928,512860.24000000005,938203.8400000001,425343.6,0.4534,
2022-08-26,xx601668_convert,4.95,5.03,4.91,5.01,0.0121,keep,85928,512860.24000000005,943359.52,430499.28,0.4563,
2022-09-02,xx601668_convert,4.96,5.2,4.93,5.11,0.02,keep,85928,512860.24000000005,951952.3200000001,439092.08,0.4613,
2022-09-09,xx601668_convert,5.1,5.38,5.08,5.36,0.0489,keep,85928,512860.24000000005,973434.3200000001,460574.08,0.4731,
2022-09-16,xx601668_convert,5.34,5.41,5.15,5.15,-0.0392,keep,85928,512860.24000000005,955389.4400000001,442529.2,0.4632,
2022-09-23,xx601668_convert,5.17,5.29,5.05,5.22,0.0136,keep,85928,512860.24000000005,961404.4,448544.16,0.4666,
2022-09-30,xx601668_convert,5.21,5.26,4.98,5.15,-0.0134,keep,85928,512860.24000000005,955389.4400000001,442529.2,0.4632,
2022-10-14,xx601668_convert,5.16,5.35,5.11,5.22,0.0136,keep,85928,512860.24000000005,961404.4,448544.16,0.4666,
2022-10-21,xx601668_convert,5.22,5.25,5.08,5.16,-0.0115,keep,85928,512860.24000000005,956248.7200000001,443388.48,0.4637,
2022-10-28,xx601668_convert,5.15,5.16,4.83,4.9,-0.0504,keep,85928,512860.24000000005,933907.4400000001,421047.2,0.4508,
2022-11-04,xx601668_convert,4.91,4.95,4.68,4.82,-0.0163,keep,85928,512860.24000000005,927033.2000000001,414172.96,0.4468,
2022-11-11,xx601668_convert,4.8,5.23,4.8,5.18,0.0747,keep,85928,512860.24000000005,957967.28,445107.04,0.4646,
2022-11-18,xx601668_convert,5.28,5.38,5.2,5.23,0.0097,keep,85928,512860.24000000005,962263.6800000002,449403.44,0.467,
2022-11-25,xx601668_convert,5.19,5.78,5.11,5.74,0.0975,keep,85928,512860.24000000005,1006086.9600000001,493226.72,0.4902,
2022-12-02,xx601668_convert,5.61,5.98,5.53,5.68,-0.0105,keep,85928,512860.24000000005,1000931.28,488071.04,0.4876,
2022-12-09,xx601668_convert,5.82,6.17,5.73,5.94,0.0458,keep,85928,512860.24000000005,1023272.56,510412.32,0.4988,
2022-12-16,xx601668_convert,5.9,5.95,5.58,5.69,-0.0421,keep,85928,512860.24000000005,1001790.56,488930.32,0.4881,
2022-12-23,xx601668_convert,5.67,5.74,5.37,5.42,-0.0475,keep,85928,512860.24000000005,978590.0,465729.76,0.4759,
2022-12-30,xx601668_convert,5.42,5.5,5.29,5.43,0.0018,keep,85928,512860.24000000005,979449.28,466589.04,0.4764,
2023-01-06,xx601668_convert,5.44,5.65,5.37,5.52,0.0166,keep,85928,512860.24000000005,987182.8,474322.56,0.4805,
2023-01-13,xx601668_convert,5.54,5.56,5.35,5.45,-0.0127,keep,85928,512860.24000000005,981167.8400000001,468307.6,0.4773,
2023-01-20,xx601668_convert,5.44,5.57,5.31,5.57,0.022,keep,85928,512860.24000000005,991479.2000000001,478618.96,0.4827,
2023-02-03,xx601668_convert,5.6,5.62,5.39,5.41,-0.0287,keep,85928,512860.24000000005,977730.7200000001,464870.48,0.4755,
2023-02-10,xx601668_convert,5.37,5.52,5.34,5.43,0.0037,keep,85928,512860.24000000005,979449.28,466589.04,0.4764,
2023-02-17,xx601668_convert,5.41,5.57,5.36,5.37,-0.011,keep,85928,512860.24000000005,974293.6000000001,461433.36,0.4736,
2023-02-24,xx601668_convert,5.38,5.79,5.37,5.62,0.0466,keep,85928,512860.24000000005,995775.6000000001,482915.36,0.485,
2023-03-03,xx601668_convert,5.59,6.16,5.52,6.11,0.0872,keep,85928,512860.24000000005,1037880.3200000001,525020.08,0.5059,
2023-03-10,xx601668_convert,6.21,6.28,5.83,5.84,-0.0442,keep,85928,512860.24000000005,1014679.76,501819.52,0.4946,
2023-03-17,xx601668_convert,5.95,6.32,5.92,6.23,0.0668,keep,85928,512860.24000000005,1048191.6800000002,535331.44,0.5107,
2023-03-24,xx601668_convert,6.27,6.54,5.9,5.92,-0.0498,keep,85928,512860.24000000005,1021554.0,508693.76,0.498,
2023-03-31,xx601668_convert,5.91,5.97,5.72,5.8,-0.0203,keep,85928,512860.24000000005,1011242.64,498382.4,0.4928,
2023-04-07,xx601668_convert,5.79,6.19,5.73,6.12,0.0552,buy,85928,512860.24000000005,1038739.6000000001,525879.36,0.5063,
2023-04-14,xx601668_convert,6.11,6.53,6.05,6.49,0.0605,buy,102628,410630.69000000006,1076686.4100000001,666055.72,0.6186,25.55
2023-04-21,xx601668_convert,6.46,6.65,6.29,6.37,-0.0185,keep,115228,329088.31000000006,1063090.67,734002.36,0.6904,20.38
2023-04-28,xx601668_convert,6.4,6.58,6.07,6.57,0.0314,buy,115228,329088.31000000006,1086136.27,757047.96,0.697,
2023-05-05,xx601668_convert,6.5,7.05,6.45,6.92,0.0533,buy,125328,263320.87000000005,1130590.6300000001,867269.76,0.7671,16.44
2023-05-12,xx601668_convert,6.92,7.35,6.53,6.53,-0.0564,buy,132828,211332.88000000006,1078699.7200000002,867366.84,0.8041,12.99
2023-05-19,xx601668_convert,6.52,6.54,6.11,6.18,-0.0536,buy,139228,169530.43000000005,1029959.47,860429.04,0.8354,10.45
2023-05-26,xx601668_convert,6.19,6.24,5.69,5.75,-0.0696,keep,144628,136042.06000000006,967653.06,831611.0,0.8594,8.37
2023-06-02,xx601668_convert,5.78,6.11,5.75,6.08,0.0574,keep,144628,136042.06000000006,1015380.3,879338.24,0.866,
2023-06-09,xx601668_convert,6.06,6.22,5.96,6.18,0.0164,,144628,136042.06000000006,1029843.1,893801.04,0.8679,
