date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xx600547_convert,18.67,19.18,18.63,19.0,0.0096,,,,,,,
2022-01-14,xx600547_convert,18.98,20.08,18.95,19.36,0.0189,,,,,,,
2022-01-21,xx600547_convert,19.28,19.88,18.96,19.79,0.0222,,,,,,,
2022-01-28,xx600547_convert,19.6,20.24,18.08,18.75,-0.0526,,,,,,,
2022-02-11,xx600547_convert,18.81,19.55,18.71,18.97,0.0117,,,,,,,
2022-02-18,xx600547_convert,19.49,20.55,19.29,19.91,0.0496,,,,,,,
2022-02-25,xx600547_convert,19.95,21.84,19.75,20.76,0.0427,,,,,,,
2022-03-04,xx600547_convert,20.7,21.34,20.15,20.23,-0.0255,,,,,,,
2022-03-11,xx600547_convert,20.82,22.38,20.17,20.95,0.0356,,,,,,,
2022-03-18,xx600547_convert,20.58,21.04,18.08,18.96,-0.095,,,,,,,
2022-03-25,xx600547_convert,18.77,22.0,18.71,21.55,0.1366,buy,0,1000000,1000000,0.0,0.0,
2022-04-01,xx600547_convert,21.52,22.2,21.18,21.58,0.0014,buy,9200,801874.48,1000410.48,198536.0,0.1985,49.52
2022-04-08,xx600547_convert,21.46,23.35,21.39,23.15,0.0728,buy,16600,642956.76,1027246.76,384290.0,0.3741,39.72
2022-04-15,xx600547_convert,23.34,23.82,21.41,21.7,-0.0626,buy,22100,514499.65,994069.65,479570.0,0.4824,32.11
2022-04-22,xx600547_convert,22.0,22.14,19.68,20.21,-0.0687,buy,26700,413228.34,952835.3400000001,539607.0,0.5663,25.31
2022-04-29,xx600547_convert,19.69,19.86,17.91,19.16,-0.052,buy,30800,332438.15,922566.15,590128.0,0.6397,20.19
2022-05-06,xx600547_convert,18.99,19.24,18.3,18.43,-0.0381,buy,34200,267822.0,898128.0,630306.0,0.7018,16.15
2022-05-13,xx600547_convert,18.45,18.57,17.75,18.05,-0.0206,buy,37100,214274.62,883929.62,669655.0,0.7576,13.38
2022-05-20,xx600547_convert,18.04,18.15,17.39,18.12,0.0039,buy,39400,172749.24,886677.24,713928.0,0.8052,10.38
2022-05-27,xx600547_convert,18.2,18.78,17.9,18.51,0.0215,buy,41200,139963.05,902575.05,762612.0,0.8449,8.19
