date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos
2022-01-07,xx000938_convert,22.85,23.03,22.1,22.23,-0.0271,,,,,,
2022-01-14,xx000938_convert,22.11,23.34,21.86,22.56,0.0148,,,,,,
2022-01-21,xx000938_convert,22.96,26.33,22.83,24.06,0.0665,,,,,,
2022-01-28,xx000938_convert,24.06,24.34,20.96,21.07,-0.1243,,,,,,
2022-02-11,xx000938_convert,21.68,22.11,20.48,21.08,0.0005,,,,,,
2022-02-18,xx000938_convert,20.9,21.73,20.1,21.53,0.0213,,,,,,
2022-02-25,xx000938_convert,22.41,22.98,21.01,21.35,-0.0084,,,,,,
2022-03-04,xx000938_convert,21.17,22.5,20.93,21.68,0.0155,,,,,,
2022-03-11,xx000938_convert,21.55,21.55,19.0,20.38,-0.06,,,,,,
2022-03-18,xx000938_convert,20.12,20.6,18.56,19.86,-0.0255,,,,,,
2022-03-25,xx000938_convert,19.82,20.56,19.4,19.46,-0.0201,keep,0,1000000,1000000,0.0,0.0
2022-04-01,xx000938_convert,19.3,19.59,18.65,19.4,-0.0031,keep,0,1000000,1000000.0,0.0,0.0
2022-04-08,xx000938_convert,19.4,19.42,17.98,18.45,-0.049,sell,0,1000000,1000000.0,0.0,0.0
2022-04-15,xx000938_convert,18.37,18.38,17.16,17.5,-0.0515,sell,0,1000000.0,1000000.0,0.0,0.0
2022-04-22,xx000938_convert,17.4,18.0,16.28,16.89,-0.0349,sell,0,1000000.0,1000000.0,0.0,0.0
2022-04-29,xx000938_convert,16.6,17.2,14.22,17.0,0.0065,sell,0,1000000.0,1000000.0,0.0,0.0
2022-05-06,xx000938_convert,16.9,18.4,16.78,17.5,0.0294,sell,0,1000000.0,1000000.0,0.0,0.0
2022-05-13,xx000938_convert,17.35,18.62,17.31,17.93,0.0246,keep,0,1000000.0,1000000.0,0.0,0.0
2022-05-20,xx000938_convert,18.28,18.45,17.32,17.77,-0.0089,keep,0,1000000.0,1000000.0,0.0,0.0
2022-05-27,xx000938_convert,17.88,17.89,16.69,17.38,-0.0219,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-02,xx000938_convert,17.38,17.93,16.94,17.81,0.0247,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-10,xx000938_convert,17.81,18.43,17.52,17.93,0.0067,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-17,xx000938_convert,17.89,20.0,17.04,18.95,0.0569,keep,0,1000000.0,1000000.0,0.0,0.0
2022-06-24,xx000938_convert,18.99,19.3,18.25,18.85,-0.0053,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-01,xx000938_convert,18.82,20.83,18.71,20.14,0.0684,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-08,xx000938_convert,20.23,20.51,19.38,19.52,-0.0308,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-15,xx000938_convert,19.41,20.3,18.81,19.61,0.0046,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-22,xx000938_convert,19.52,20.44,19.4,19.6,-0.0005,keep,0,1000000.0,1000000.0,0.0,0.0
2022-07-29,xx000938_convert,19.6,19.75,18.48,18.57,-0.0526,sell,0,1000000.0,1000000.0,0.0,0.0
2022-08-05,xx000938_convert,18.44,19.24,17.48,19.16,0.0318,keep,0,1000000.0,1000000.0,0.0,0.0
2022-08-12,xx000938_convert,19.09,19.28,18.71,18.95,-0.0058,keep,0,1000000.0,1000000.0,0.0,0.0
2022-08-19,xx000938_convert,18.85,18.93,18.12,18.38,-0.0301,keep,0,1000000.0,1000000.0,0.0,0.0
2022-08-26,xx000938_convert,18.39,18.79,17.2,17.49,-0.0484,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-02,xx000938_convert,17.2,17.6,17.1,17.31,-0.0103,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-09,xx000938_convert,17.26,17.33,16.88,17.12,-0.011,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-16,xx000938_convert,17.17,17.4,16.6,16.7,-0.0245,sell,0,1000000.0,1000000.0,0.0,0.0
2022-09-23,xx000938_convert,16.71,16.88,16.0,16.55,-0.009,keep,0,1000000.0,1000000.0,0.0,0.0
2022-09-30,xx000938_convert,16.38,16.48,15.71,15.86,-0.0417,sell,0,1000000.0,1000000.0,0.0,0.0
2022-10-14,xx000938_convert,15.79,16.43,15.12,16.28,0.0265,keep,0,1000000.0,1000000.0,0.0,0.0
2022-10-21,xx000938_convert,16.29,16.83,16.21,16.42,0.0086,keep,0,1000000.0,1000000.0,0.0,0.0
2022-10-28,xx000938_convert,16.57,17.19,15.77,16.4,-0.0012,keep,0,1000000.0,1000000.0,0.0,0.0
2022-11-04,xx000938_convert,16.52,17.43,16.43,17.24,0.0512,keep,0,1000000.0,1000000.0,0.0,0.0
2022-11-11,xx000938_convert,17.25,17.67,17.04,17.63,0.0226,keep,0,1000000.0,1000000.0,0.0,0.0
2022-11-18,xx000938_convert,17.54,19.52,17.5,19.37,0.0987,keep,0,1000000.0,1000000.0,0.0,0.0
2022-11-25,xx000938_convert,18.98,19.7,18.59,18.81,-0.0289,keep,0,1000000.0,1000000.0,0.0,0.0
2022-12-02,xx000938_convert,18.45,19.84,18.41,19.47,0.0351,keep,0,1000000.0,1000000.0,0.0,0.0
