date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2022-01-07,xx002555,27.48,29.8,27.27,28.69,0.06,,,,,,,,
2022-01-14,xx002555,28.3,29.1,25.72,27.6,-0.04,,,,,,,,
2022-01-21,xx002555,27.59,30.24,26.69,27.48,-0.0,,,,,,,,
2022-01-28,xx002555,27.09,28.15,24.83,24.84,-0.1,,,,,,,,
2022-02-11,xx002555,25.14,25.55,23.65,24.69,-0.01,,,,,,,,
2022-02-18,xx002555,24.39,26.07,24.2,25.54,0.03,,,,,,,,
2022-02-25,xx002555,25.52,26.07,20.27,21.35,-0.16,,,,,,,,
2022-03-04,xx002555,21.34,21.42,20.36,21.19,-0.01,,,,,,,,
2022-03-11,xx002555,20.97,20.97,18.7,20.37,-0.04,,,,,,,,
2022-03-18,xx002555,20.22,22.69,18.11,22.41,0.1,,,,,,,,
2022-03-25,xx002555,22.91,23.54,21.88,22.11,-0.01,keep,0,1000000,0.0,0.0,1000000.0,,
2022-04-01,xx002555,21.96,24.99,21.78,24.61,0.11,buy,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-08,xx002555,24.36,25.13,23.09,23.25,-0.06,sell,8200,990766.04,190650.0,0.19,800116.04,49.96,
2022-04-15,xx002555,23.25,25.98,21.44,22.35,-0.04,sell,6560,984798.0,146616.0,0.15,838182.0,9.53,38.11
2022-04-22,xx002555,21.91,22.46,20.46,21.14,-0.05,sell,5248,977821.61,110942.72,0.11,866878.89,7.18,28.73
2022-04-29,xx002555,20.45,24.15,19.65,24.15,0.14,sell,4199,989699.5,101405.85,0.1,888293.65,5.36,21.44
2022-05-06,xx002555,23.86,24.15,22.34,22.76,-0.06,sell,3360,984752.39,76473.6,0.08,908278.79,5.0,20.01
2022-05-13,xx002555,22.52,23.22,21.16,22.39,-0.02,sell,2688,983569.7,60184.32,0.06,923385.38,5.0,15.13
2022-05-20,xx002555,22.4,23.63,20.6,21.65,-0.03,sell,2151,981960.9400000001,46569.15,0.05,935391.79,5.0,12.02
2022-05-27,xx002555,21.88,22.04,20.43,20.6,-0.03,sell,1752,981025.6199999999,36091.2,0.04,944934.42,5.0,9.56
2022-06-02,xx002555,20.6,21.8,20.09,21.14,0.03,sell,1402,981766.99,29638.28,0.03,952128.71,5.0,7.21
2022-06-10,xx002555,21.04,22.79,21.0,22.63,0.07,sell,1122,983397.08,25390.86,0.03,958006.22,5.0,5.89
2022-06-17,xx002555,22.36,23.47,20.92,22.67,0.0,sell,898,983360.27,20357.66,0.02,963002.61,5.0,5.01
2022-06-24,xx002555,22.67,23.19,21.3,21.43,-0.05,sell,719,982457.86,15408.17,0.02,967049.69,5.0,4.06
2022-07-01,xx002555,21.46,22.14,20.56,20.86,-0.03,sell,576,982124.33,12015.36,0.01,970108.97,5.0,3.07
2022-07-08,xx002555,20.86,21.33,19.73,19.8,-0.05,sell,461,981627.12,9127.8,0.01,972499.32,5.0,2.4
2022-07-15,xx002555,19.83,20.85,19.38,19.56,-0.01,sell,369,981533.58,7217.64,0.01,974315.94,5.0,1.82
2022-07-22,xx002555,19.55,21.75,19.46,21.1,0.08,sell,296,981981.5299999999,6245.6,0.01,975735.93,5.0,1.43
2022-07-29,xx002555,20.9,21.0,19.49,19.53,-0.07,sell,237,981590.82,4628.61,0.0,976962.21,5.0,1.23
2022-08-05,xx002555,19.45,19.79,18.61,19.72,0.01,sell,190,981616.78,3746.8,0.0,977869.98,5.0,0.91
2022-08-12,xx002555,19.7,20.5,19.14,20.18,0.02,sell,152,981679.8099999999,3067.36,0.0,978612.45,5.0,0.75
2022-08-19,xx002555,20.08,20.44,19.42,19.94,-0.01,sell,122,981641.63,2432.68,0.0,979208.95,5.0,0.6
2022-08-26,xx002555,19.92,20.85,19.38,20.02,0.0,sell,98,981643.2699999999,1961.96,0.0,979681.31,5.0,0.48
2022-09-02,xx002555,19.7,21.09,19.43,20.28,0.01,sell,79,981652.1699999999,1602.12,0.0,980050.05,5.0,0.37
2022-09-09,xx002555,20.26,20.33,18.87,19.3,-0.05,sell,64,981583.6999999998,1235.2,0.0,980348.5,5.0,0.3
2022-09-16,xx002555,19.26,19.55,18.76,18.77,-0.03,sell,52,981550.3099999999,976.04,0.0,980574.27,5.0,0.23
2022-09-23,xx002555,18.7,18.76,17.5,17.65,-0.06,sell,42,981497.28,741.3,0.0,980755.98,5.0,0.19
2022-09-30,xx002555,17.2,17.85,16.93,17.42,0.01,sell,34,981480.64,592.28,0.0,980888.36,5.0,0.14
2022-10-14,xx002555,17.42,17.5,14.3,15.26,-0.12,sell,28,981415.0,427.28,0.0,980987.72,5.0,0.1
2022-10-21,xx002555,15.13,15.5,14.78,14.87,-0.03,sell,23,981400.25,342.01,0.0,981058.24,5.0,0.08
2022-10-28,xx002555,14.83,15.04,13.96,14.14,-0.05,sell,19,981381.12,268.66,0.0,981112.46,5.0,0.06
2022-11-04,xx002555,14.08,15.73,14.06,15.42,0.09,sell,16,981396.3499999999,246.72,0.0,981149.63,5.0,0.04
2022-11-11,xx002555,15.3,16.09,15.09,15.74,0.02,sell,13,981395.0699999998,204.62,0.0,981190.45,5.0,0.05
2022-11-18,xx002555,16.19,19.9,15.97,18.49,0.17,sell,11,981421.1699999998,203.39,0.0,981217.78,5.0,0.03
2022-11-25,xx002555,18.27,18.78,17.17,17.61,-0.05,sell,9,981407.7499999998,158.49,0.0,981249.26,5.0,0.04
2022-12-02,xx002555,17.16,18.07,16.98,17.49,-0.01,sell,8,981401.3099999998,139.92,0.0,981261.39,5.0,0.02
2022-12-09,xx002555,17.62,18.23,17.05,17.36,-0.01,sell,7,981395.4999999998,121.52,0.0,981273.98,5.0,0.02
2022-12-16,xx002555,17.29,17.64,16.72,16.99,-0.02,sell,6,981388.1799999997,101.94,0.0,981286.24,5.0,0.02
2022-12-23,xx002555,17.0,17.74,16.5,17.57,0.03,sell,5,981386.0599999997,87.85,0.0,981298.21,5.0,0.02
2022-12-30,xx002555,17.56,18.42,17.15,18.1,0.03,sell,4,981383.1399999998,72.4,0.0,981310.74,5.0,0.02
2023-01-06,xx002555,18.02,20.88,17.89,19.79,0.09,sell,4,981389.8999999998,79.16,0.0,981310.74,,
2023-01-13,xx002555,19.69,20.75,19.66,20.03,0.01,sell,4,981390.8599999998,80.12,0.0,981310.74,,
2023-01-20,xx002555,20.11,21.4,19.51,21.19,0.06,sell,4,981395.4999999998,84.76,0.0,981310.74,,
2023-02-03,xx002555,21.65,21.78,20.05,21.61,0.02,sell,4,981397.1799999997,86.44,0.0,981310.74,,
2023-02-10,xx002555,21.63,23.07,21.45,21.69,0.0,sell,4,981397.4999999998,86.76,0.0,981310.74,,
2023-02-17,xx002555,21.78,24.29,21.38,22.36,0.03,sell,4,981400.1799999997,89.44,0.0,981310.74,,
2023-02-24,xx002555,22.64,24.5,22.53,22.71,0.02,sell,4,981401.5799999997,90.84,0.0,981310.74,,
2023-03-03,xx002555,22.5,24.14,21.55,23.7,0.04,sell,4,981405.5399999998,94.8,0.0,981310.74,,
2023-03-10,xx002555,23.75,23.93,21.77,21.83,-0.08,sell,4,981398.0599999997,87.32,0.0,981310.74,,
2023-03-17,xx002555,22.05,24.0,21.25,23.8,0.09,sell,4,981405.9399999997,95.2,0.0,981310.74,,
2023-03-24,xx002555,25.7,28.45,24.55,28.07,0.18,keep,4,981423.0199999998,112.28,0.0,981310.74,,
2023-03-31,xx002555,28.02,29.53,26.1,28.45,0.01,keep,4,981424.5399999998,113.8,0.0,981310.74,,
2023-04-07,xx002555,27.9,33.2,27.88,31.0,0.09,keep,4,981434.7399999998,124.0,0.0,981310.74,,
2023-04-14,xx002555,30.9,31.12,26.36,27.33,-0.12,keep,4,981420.0599999997,109.32,0.0,981310.74,,
