date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos
2022-01-07,xx300015_convert,42.16,42.38,38.38,38.73,-0.084,,,,,39935,,
2022-01-14,xx300015_convert,37.58,38.2,35.3,35.45,-0.0847,,,,,85313,,
2022-01-21,xx300015_convert,35.28,36.78,33.81,34.21,-0.035,,,,,21504,,
2022-01-28,xx300015_convert,34.0,34.77,32.2,32.27,-0.0567,,,,,60878,,
2022-02-11,xx300015_convert,32.7,34.13,31.59,32.4,0.004,,,,,26378,,
2022-02-18,xx300015_convert,32.1,35.51,32.02,35.05,0.0818,,,,,32912,,
2022-02-25,xx300015_convert,35.03,35.9,33.01,35.38,0.0094,,,,,64241,,
2022-03-04,xx300015_convert,35.1,36.58,34.61,34.98,-0.0113,,,,,59480,,
2022-03-11,xx300015_convert,34.6,34.63,30.37,32.5,-0.0709,,,,,89381,,
2022-03-18,xx300015_convert,31.87,32.2,25.02,28.61,-0.1197,,,,,79520,,
2022-03-25,xx300015_convert,28.83,31.22,27.95,29.66,0.0367,keep,0,1000000,1000000,15920,0.0,0.0
2022-04-01,xx300015_convert,29.07,32.76,28.54,32.09,0.0819,keep,0,1000000,1000000.0,37569,0.0,0.0
2022-04-08,xx300015_convert,31.95,32.62,31.26,32.14,0.0016,keep,0,1000000,1000000.0,88206,0.0,0.0
2022-04-15,xx300015_convert,31.57,35.88,30.9,34.55,0.075,keep,0,1000000,1000000.0,38165,0.0,0.0
2022-04-22,xx300015_convert,34.34,34.8,31.72,34.45,-0.0029,keep,0,1000000,1000000.0,50016,0.0,0.0
2022-04-29,xx300015_convert,33.8,36.63,33.47,35.92,0.0427,keep,0,1000000,1000000.0,22181,0.0,0.0
2022-05-06,xx300015_convert,35.7,36.57,35.06,36.18,0.0072,keep,0,1000000,1000000.0,34986,0.0,0.0
2022-05-13,xx300015_convert,35.88,36.4,31.3,35.45,-0.0202,keep,0,1000000,1000000.0,40047,0.0,0.0
2022-05-20,xx300015_convert,35.45,35.88,33.18,35.12,-0.0093,keep,0,1000000,1000000.0,87023,0.0,0.0
2022-05-27,xx300015_convert,35.12,35.39,33.2,33.64,-0.0421,keep,0,1000000,1000000.0,95139,0.0,0.0
2022-06-02,xx300015_convert,33.51,37.3,33.33,35.12,0.044,keep,0,1000000,1000000.0,11570,0.0,0.0
2022-06-10,xx300015_convert,34.97,37.95,34.7,37.1,0.0564,keep,0,1000000,1000000.0,90827,0.0,0.0
2022-06-17,xx300015_convert,36.56,40.48,36.01,40.0,0.0782,keep,0,1000000,1000000.0,50985,0.0,0.0
2022-06-24,xx300015_convert,40.88,42.07,40.0,41.86,0.0465,keep,0,1000000,1000000.0,85724,0.0,0.0
2022-07-01,xx300015_convert,41.85,45.0,40.71,43.65,0.0428,keep,0,1000000,1000000.0,19070,0.0,0.0
2022-07-08,xx300015_convert,43.66,45.81,41.8,43.24,-0.0094,keep,0,1000000,1000000.0,53430,0.0,0.0
2022-07-15,xx300015_convert,33.16,34.85,31.51,33.73,0.0163,keep,0,1000000,1000000.0,70479,0.0,0.0
2022-07-22,xx300015_convert,33.72,34.97,32.87,33.2,-0.0157,keep,0,1000000,1000000.0,53144,0.0,0.0
2022-07-29,xx300015_convert,32.84,33.85,30.0,30.39,-0.0846,keep,0,1000000,1000000.0,13296,0.0,0.0
2022-08-05,xx300015_convert,30.35,32.05,30.01,31.14,0.0247,keep,0,1000000,1000000.0,59559,0.0,0.0
2022-08-12,xx300015_convert,31.32,31.38,29.21,30.07,-0.0344,keep,0,1000000,1000000.0,74582,0.0,0.0
2022-08-19,xx300015_convert,29.8,30.04,28.0,28.37,-0.0565,keep,0,1000000,1000000.0,29961,0.0,0.0
2022-08-26,xx300015_convert,28.19,29.84,27.9,29.2,0.0293,keep,0,1000000,1000000.0,36821,0.0,0.0
2022-09-02,xx300015_convert,28.88,29.87,28.21,28.72,-0.0164,keep,0,1000000,1000000.0,79699,0.0,0.0
2022-09-09,xx300015_convert,28.78,30.51,26.64,30.0,0.0446,keep,0,1000000,1000000.0,69999,0.0,0.0
2022-09-16,xx300015_convert,29.75,30.43,27.75,27.75,-0.075,keep,0,1000000,1000000.0,12165,0.0,0.0
2022-09-23,xx300015_convert,27.63,27.93,25.16,25.79,-0.0706,keep,0,1000000,1000000.0,70261,0.0,0.0
2022-09-30,xx300015_convert,26.0,29.69,25.79,28.67,0.1117,keep,0,1000000,1000000.0,70646,0.0,0.0
2022-10-14,xx300015_convert,28.61,30.5,26.55,29.96,0.045,keep,0,1000000,1000000.0,24056,0.0,0.0
2022-10-21,xx300015_convert,30.0,31.14,29.23,30.54,0.0194,keep,0,1000000,1000000.0,40921,0.0,0.0
2022-10-28,xx300015_convert,30.6,30.6,24.88,25.32,-0.1709,sell,0,1000000,1000000.0,74733,0.0,0.0
2022-11-04,xx300015_convert,25.0,27.74,24.2,27.49,0.0857,sell,0,1000000.0,1000000.0,75904,0.0,0.0
2022-11-11,xx300015_convert,27.25,27.88,25.71,27.07,-0.0153,sell,0,1000000.0,1000000.0,85387,0.0,0.0
2022-11-18,xx300015_convert,26.93,28.44,26.44,28.11,0.0384,sell,0,1000000.0,1000000.0,65051,0.0,0.0
2022-11-25,xx300015_convert,27.71,27.74,26.11,26.42,-0.0601,sell,0,1000000.0,1000000.0,72184,0.0,0.0
2022-12-02,xx300015_convert,26.1,28.7,25.64,27.92,0.0568,sell,0,1000000.0,1000000.0,62565,0.0,0.0
2022-12-09,xx300015_convert,28.15,29.5,27.87,28.93,0.0362,keep,0,1000000.0,1000000.0,77446,0.0,0.0
2022-12-16,xx300015_convert,28.73,30.16,28.27,29.4,0.0162,keep,0,1000000.0,1000000.0,35474,0.0,0.0
2022-12-23,xx300015_convert,29.3,30.5,28.15,30.14,0.0252,keep,0,1000000.0,1000000.0,77896,0.0,0.0
2022-12-30,xx300015_convert,30.35,31.61,29.56,31.07,0.0309,keep,0,1000000.0,1000000.0,46584,0.0,0.0
2023-01-06,xx300015_convert,31.1,31.5,30.12,30.79,-0.009,keep,0,1000000.0,1000000.0,67663,0.0,0.0
2023-01-13,xx300015_convert,30.68,33.89,30.42,33.73,0.0955,keep,0,1000000.0,1000000.0,42515,0.0,0.0
2023-01-20,xx300015_convert,33.78,34.89,33.37,33.76,0.0009,keep,0,1000000.0,1000000.0,17145,0.0,0.0
2023-02-03,xx300015_convert,34.35,34.45,32.55,33.15,-0.0181,keep,0,1000000.0,1000000.0,27231,0.0,0.0
2023-02-10,xx300015_convert,32.8,32.8,31.88,32.6,-0.0166,keep,0,1000000.0,1000000.0,94471,0.0,0.0
2023-02-17,xx300015_convert,32.57,33.47,32.13,32.15,-0.0138,keep,0,1000000.0,1000000.0,84007,0.0,0.0
2023-02-24,xx300015_convert,32.06,32.8,31.25,31.3,-0.0264,keep,0,1000000.0,1000000.0,59780,0.0,0.0
2023-03-03,xx300015_convert,31.05,31.45,30.28,30.79,-0.0163,keep,0,1000000.0,1000000.0,92001,0.0,0.0
