date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission
2022-01-07,xx300124_convert,69.55,70.88,65.51,66.39,-0.0322,,,,,97010,,,
2022-01-14,xx300124_convert,65.8,66.36,62.63,64.0,-0.036,,,,,69228,,,
2022-01-21,xx300124_convert,63.5,68.58,63.5,67.42,0.0534,,,,,97195,,,
2022-01-28,xx300124_convert,66.79,68.79,58.2,59.99,-0.1102,,,,,25060,,,
2022-02-11,xx300124_convert,61.0,61.67,58.38,61.11,0.0187,,,,,41067,,,
2022-02-18,xx300124_convert,60.23,66.75,59.39,65.14,0.0659,,,,,91914,,,
2022-02-25,xx300124_convert,65.15,65.84,62.35,63.7,-0.0221,,,,,26148,,,
2022-03-04,xx300124_convert,63.7,64.31,61.25,61.64,-0.0323,,,,,48716,,,
2022-03-11,xx300124_convert,61.61,61.88,53.8,58.18,-0.0561,,,,,26563,,,
2022-03-18,xx300124_convert,57.36,57.55,51.51,56.9,-0.022,,,,,95826,,,
2022-03-25,xx300124_convert,57.39,58.36,54.83,54.83,-0.0364,keep,0,1000000,1000000,20833,0.0,0.0,
2022-04-01,xx300124_convert,54.0,57.5,53.65,56.75,0.035,keep,0,1000000,1000000.0,94825,0.0,0.0,
2022-04-08,xx300124_convert,56.73,57.19,55.28,56.04,-0.0125,keep,0,1000000,1000000.0,99513,0.0,0.0,
2022-04-15,xx300124_convert,55.33,55.99,51.98,52.6,-0.0614,keep,0,1000000,1000000.0,86858,0.0,0.0,
2022-04-22,xx300124_convert,51.0,54.58,48.4,50.43,-0.0413,keep,0,1000000,1000000.0,83638,0.0,0.0,
2022-04-29,xx300124_convert,50.0,58.32,47.5,57.7,0.1442,keep,0,1000000,1000000.0,41836,0.0,0.0,
2022-05-06,xx300124_convert,57.9,59.79,55.18,55.81,-0.0328,keep,0,1000000,1000000.0,15759,0.0,0.0,
2022-05-13,xx300124_convert,55.82,56.86,54.4,56.5,0.0124,keep,0,1000000,1000000.0,33465,0.0,0.0,
2022-05-20,xx300124_convert,56.57,60.96,56.13,60.1,0.0637,keep,0,1000000,1000000.0,16023,0.0,0.0,
2022-05-27,xx300124_convert,60.0,62.23,57.8,60.48,0.0063,keep,0,1000000,1000000.0,76355,0.0,0.0,
2022-06-02,xx300124_convert,59.91,64.6,59.51,64.1,0.0599,keep,0,1000000,1000000.0,76311,0.0,0.0,
2022-06-10,xx300124_convert,64.1,66.87,63.24,65.01,0.0142,keep,0,1000000,1000000.0,96093,0.0,0.0,
2022-06-17,xx300124_convert,65.01,66.68,63.6,64.95,-0.0009,keep,0,1000000,1000000.0,69773,0.0,0.0,
2022-06-24,xx300124_convert,64.95,70.1,64.01,69.8,0.0747,keep,0,1000000,1000000.0,48924,0.0,0.0,
2022-07-01,xx300124_convert,69.88,70.48,64.48,64.85,-0.0669,keep,0,1000000,1000000.0,42185,0.0,0.0,
2022-07-08,xx300124_convert,64.36,65.86,62.7,64.43,-0.0065,keep,0,1000000,1000000.0,30585,0.0,0.0,
2022-07-15,xx300124_convert,64.01,64.63,61.09,63.04,-0.0216,keep,0,1000000,1000000.0,16368,0.0,0.0,
2022-07-22,xx300124_convert,62.67,64.96,61.22,62.0,-0.0165,keep,0,1000000,1000000.0,77867,0.0,0.0,
2022-07-29,xx300124_convert,62.0,67.17,60.55,66.12,0.0665,keep,0,1000000,1000000.0,44244,0.0,0.0,
