date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission,tax
2022-01-07,xx601390_convert,5.81,6.33,5.76,6.25,0.0794,,,,,36643,,,,
2022-01-14,xx601390_convert,6.3,6.41,5.93,5.94,-0.0496,,,,,73791,,,,
2022-01-21,xx601390_convert,5.95,6.61,5.85,6.38,0.0741,,,,,61054,,,,
2022-01-28,xx601390_convert,6.36,6.62,6.07,6.22,-0.0251,,,,,81101,,,,
2022-02-11,xx601390_convert,6.35,6.81,6.32,6.67,0.0723,,,,,83685,,,,
2022-02-18,xx601390_convert,6.66,6.75,6.38,6.68,0.0015,,,,,76784,,,,
2022-02-25,xx601390_convert,6.68,6.69,6.05,6.17,-0.0763,,,,,98398,,,,
2022-03-04,xx601390_convert,6.08,6.55,6.08,6.29,0.0194,,,,,41886,,,,
2022-03-11,xx601390_convert,6.24,6.44,5.81,5.96,-0.0525,,,,,34482,,,,
2022-03-18,xx601390_convert,5.92,6.1,5.42,5.84,-0.0201,,,,,38837,,,,
2022-03-25,xx601390_convert,5.84,5.98,5.73,5.79,-0.0086,keep,0,1000000,1000000,85064,0.0,0.0,,
2022-04-01,xx601390_convert,5.74,6.14,5.7,6.1,0.0535,keep,0,1000000,1000000.0,96158,0.0,0.0,,
2022-04-08,xx601390_convert,6.09,6.96,6.08,6.76,0.1082,keep,0,1000000,1000000.0,68739,0.0,0.0,,
2022-04-15,xx601390_convert,6.8,7.07,6.65,6.74,-0.003,keep,0,1000000,1000000.0,59739,0.0,0.0,,
2022-04-22,xx601390_convert,6.7,6.77,6.32,6.52,-0.0326,keep,0,1000000,1000000.0,36872,0.0,0.0,,
2022-04-29,xx601390_convert,6.44,7.15,6.34,7.08,0.0859,keep,0,1000000,1000000.0,31389,0.0,0.0,,
2022-05-06,xx601390_convert,7.21,7.32,6.77,6.83,-0.0353,keep,0,1000000,1000000.0,38779,0.0,0.0,,
2022-05-13,xx601390_convert,6.8,7.21,6.75,7.01,0.0264,keep,0,1000000,1000000.0,84707,0.0,0.0,,
2022-05-20,xx601390_convert,7.02,7.09,6.57,6.98,-0.0043,keep,0,1000000,1000000.0,43619,0.0,0.0,,
2022-05-27,xx601390_convert,6.93,6.94,6.48,6.92,-0.0086,keep,0,1000000,1000000.0,88008,0.0,0.0,,
2022-06-02,xx601390_convert,6.93,7.09,6.42,6.49,-0.0621,keep,0,1000000,1000000.0,84483,0.0,0.0,,
2022-06-10,xx601390_convert,6.44,6.46,6.14,6.32,-0.0262,keep,0,1000000,1000000.0,42987,0.0,0.0,,
2022-06-17,xx601390_convert,6.28,6.55,6.06,6.31,-0.0016,keep,0,1000000,1000000.0,61406,0.0,0.0,,
2022-06-24,xx601390_convert,6.32,6.34,6.02,6.08,-0.0365,keep,0,1000000,1000000.0,76647,0.0,0.0,,
2022-07-01,xx601390_convert,6.06,6.35,5.98,6.28,0.0329,keep,0,1000000,1000000.0,66893,0.0,0.0,,
2022-07-08,xx601390_convert,6.28,6.4,6.1,6.28,0.0,keep,0,1000000,1000000.0,23728,0.0,0.0,,
2022-07-15,xx601390_convert,6.27,6.74,6.24,6.47,0.0303,keep,0,1000000,1000000.0,43582,0.0,0.0,,
2022-07-22,xx601390_convert,6.42,6.54,6.13,6.22,-0.0386,keep,0,1000000,1000000.0,63118,0.0,0.0,,
2022-07-29,xx601390_convert,6.23,6.29,5.76,5.78,-0.0394,keep,0,1000000,1000000.0,81097,0.0,0.0,,
2022-08-05,xx601390_convert,5.79,5.79,5.44,5.58,-0.0346,keep,0,1000000,1000000.0,89393,0.0,0.0,,
2022-08-12,xx601390_convert,5.55,5.65,5.46,5.62,0.0072,keep,0,1000000,1000000.0,22608,0.0,0.0,,
2022-08-19,xx601390_convert,5.6,5.65,5.5,5.59,-0.0053,keep,0,1000000,1000000.0,12388,0.0,0.0,,
2022-08-26,xx601390_convert,5.59,5.7,5.56,5.63,0.0072,keep,0,1000000,1000000.0,18672,0.0,0.0,,
2022-09-02,xx601390_convert,5.58,5.92,5.55,5.78,0.0266,keep,0,1000000,1000000.0,24873,0.0,0.0,,
2022-09-09,xx601390_convert,5.77,5.91,5.75,5.87,0.0156,keep,0,1000000,1000000.0,21119,0.0,0.0,,
