date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2022-01-07,xx600031,22.79,25.11,22.52,24.81,0.09,,,,,,,,
2022-01-14,xx600031,25.2,25.31,23.33,23.38,-0.06,,,,,,,,
2022-01-21,xx600031,23.31,24.6,23.08,23.18,-0.01,,,,,,,,
2022-01-28,xx600031,22.95,23.18,20.02,20.14,-0.13,,,,,,,,
2022-02-11,xx600031,20.54,21.38,20.37,20.82,0.03,,,,,,,,
2022-02-18,xx600031,20.66,21.0,20.25,20.89,0.0,,,,,,,,
2022-02-25,xx600031,20.85,20.86,20.06,20.17,-0.03,,,,,,,,
2022-03-04,xx600031,20.15,20.15,18.88,18.93,-0.06,,,,,,,,
2022-03-11,xx600031,18.72,18.72,16.35,17.87,-0.06,,,,,,,,
2022-03-18,xx600031,17.56,18.11,16.2,17.95,0.0,,,,,,,,
2022-03-25,xx600031,18.0,18.07,17.09,17.1,-0.05,keep,0,1000000,0.0,0.0,1000000.0,,
2022-04-01,xx600031,17.0,17.8,16.69,17.55,0.03,buy,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-08,xx600031,17.4,19.43,17.26,19.27,0.1,sell,11400,1021154.38,219678.0,0.22,801476.38,49.62,
2022-04-15,xx600031,19.2,19.2,18.1,18.43,-0.04,keep,9120,1013256.49,168081.6,0.17,845174.89,10.94,43.75
2022-04-22,xx600031,18.26,18.29,16.32,16.84,-0.09,keep,9120,998755.69,153580.8,0.15,845174.89,,
2022-04-29,xx600031,16.0,16.8,14.58,16.5,-0.02,sell,9120,995654.89,150480.0,0.15,845174.89,,
2022-05-06,xx600031,16.5,16.94,16.05,16.21,-0.02,keep,7296,993483.2100000001,118268.16,0.12,875215.05,7.52,30.08
2022-05-13,xx600031,16.22,16.53,15.47,16.0,-0.01,keep,7296,991951.05,116736.0,0.12,875215.05,,
2022-05-20,xx600031,16.46,16.8,15.59,16.59,0.04,keep,7296,996255.6900000001,121040.64,0.12,875215.05,,
2022-05-27,xx600031,16.72,17.3,15.81,16.98,0.02,keep,7296,999101.13,123886.08,0.12,875215.05,,
2022-06-02,xx600031,17.1,17.17,16.61,16.95,-0.0,keep,7296,998882.25,123667.2,0.12,875215.05,,
2022-06-10,xx600031,16.95,17.8,16.45,16.81,0.02,keep,7489,1001105.14,125890.09,0.13,875215.05,,
