date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xx600176_convert,18.31,18.59,17.54,18.35,0.0082,,,,,,,
2022-01-14,xx600176_convert,18.45,18.93,16.67,16.68,-0.091,,,,,,,
2022-01-21,xx600176_convert,16.63,17.2,16.53,16.6,-0.0048,,,,,,,
2022-01-28,xx600176_convert,16.55,16.98,16.01,16.23,-0.0223,,,,,,,
2022-02-11,xx600176_convert,16.42,17.39,16.3,17.04,0.0499,,,,,,,
2022-02-18,xx600176_convert,16.95,17.45,16.66,17.34,0.0176,,,,,,,
2022-02-25,xx600176_convert,17.3,17.34,16.5,17.1,-0.0138,,,,,,,
2022-03-04,xx600176_convert,17.17,17.41,16.33,16.35,-0.0439,,,,,,,
2022-03-11,xx600176_convert,16.32,16.57,14.51,15.93,-0.0257,,,,,,,
2022-03-18,xx600176_convert,15.8,16.25,14.53,16.17,0.0151,,,,,,,
2022-03-25,xx600176_convert,16.26,16.29,15.15,15.18,-0.0612,buy,0,1000000,1000000,0.0,0.0,
2022-04-01,xx600176_convert,14.99,15.51,14.72,15.19,0.0007,buy,13300,800450.12,1002477.12,202027.0,0.2015,49.88
2022-04-08,xx600176_convert,15.19,16.45,15.13,16.3,0.0731,buy,23800,640810.22,1028750.22,387940.0,0.3771,39.9
2022-04-15,xx600176_convert,16.1,16.4,15.52,16.03,-0.0166,keep,31700,513509.39999999997,1021660.4,508151.0,0.4974,31.82
2022-04-22,xx600176_convert,15.8,15.99,14.42,14.87,-0.0724,keep,31700,513509.39999999997,984888.3999999999,471379.0,0.4786,
2022-04-29,xx600176_convert,14.68,15.88,14.24,15.73,0.0578,keep,31700,513509.39999999997,1012150.3999999999,498641.0,0.4927,
2022-05-06,xx600176_convert,15.87,16.28,15.7,15.81,0.0051,keep,31700,513509.39999999997,1014686.3999999999,501177.0,0.4939,
2022-05-13,xx600176_convert,15.7,16.48,15.66,16.23,0.0266,buy,31700,513509.39999999997,1028000.3999999999,514491.0,0.5005,
2022-05-20,xx600176_convert,16.36,16.6,15.7,16.6,0.0228,buy,37900,411990.02999999997,1041130.03,629140.0,0.6043,25.37
2022-05-27,xx600176_convert,16.63,16.64,15.33,15.8,-0.019,keep,43962,330433.64999999997,1025033.25,694599.6,0.6776,20.38
2022-06-02,xx600176_convert,15.83,16.62,15.83,16.44,0.0405,buy,43962,330433.64999999997,1053168.93,722735.28,0.6862,
2022-06-10,xx600176_convert,16.37,16.74,16.07,16.5,0.0036,buy,47962,264897.26999999996,1056270.27,791373.0,0.7492,16.38
2022-06-17,xx600176_convert,16.38,16.95,16.2,16.53,0.0018,keep,51162,212436.15999999997,1058144.02,845707.86,0.7992,13.11
2022-06-24,xx600176_convert,16.5,17.04,16.43,16.89,0.0218,keep,51162,212436.15999999997,1076562.34,864126.18,0.8027,
2022-07-01,xx600176_convert,16.98,17.78,16.91,17.42,0.0314,keep,51162,212436.15999999997,1103678.2,891242.04,0.8075,
2022-07-08,xx600176_convert,17.45,17.57,15.74,15.76,-0.0953,keep,51162,212436.15999999997,1018749.28,806313.12,0.7915,
2022-07-15,xx600176_convert,15.82,15.82,14.87,14.87,-0.0565,keep,51162,212436.15999999997,973215.0999999999,760778.94,0.7817,
2022-07-22,xx600176_convert,14.89,15.44,14.8,15.06,0.0128,buy,51162,212436.15999999997,982935.8799999999,770499.72,0.7839,
2022-07-29,xx600176_convert,15.07,15.23,14.91,14.95,-0.0073,keep,53962,170201.59999999998,976933.4999999999,806731.9,0.8258,10.56
2022-08-05,xx600176_convert,14.85,14.88,14.02,14.61,-0.0227,keep,53962,170201.59999999998,958586.4199999999,788384.82,0.8224,
2022-08-12,xx600176_convert,14.51,15.14,14.48,15.04,0.0294,keep,53962,170201.59999999998,981790.08,811588.48,0.8266,
2022-08-19,xx600176_convert,15.04,15.19,14.72,14.8,-0.016,keep,53962,170201.59999999998,968839.2000000001,798637.6,0.8243,
2022-08-26,xx600176_convert,14.75,15.17,14.39,14.66,-0.0095,keep,53962,170201.59999999998,961284.52,791082.92,0.8229,
2022-09-02,xx600176_convert,14.36,14.67,14.09,14.12,-0.0368,keep,53962,170201.59999999998,932145.0399999999,761943.44,0.8174,
2022-09-09,xx600176_convert,14.13,14.9,14.02,14.84,0.051,keep,53962,170201.59999999998,970997.6799999999,800796.08,0.8247,
2022-09-16,xx600176_convert,14.87,15.04,14.03,14.03,-0.0546,keep,53962,170201.59999999998,927288.46,757086.86,0.8165,
2022-09-23,xx600176_convert,13.99,14.08,13.42,13.6,-0.0306,keep,53962,170201.59999999998,904084.7999999999,733883.2,0.8117,
2022-09-30,xx600176_convert,13.5,13.72,13.12,13.18,-0.0309,keep,53962,170201.59999999998,881420.76,711219.16,0.8069,
2022-10-14,xx600176_convert,13.17,13.4,12.6,13.32,0.0106,keep,53962,170201.59999999998,888975.44,718773.84,0.8085,
2022-10-21,xx600176_convert,13.3,13.44,12.57,12.62,-0.0526,keep,53962,170201.59999999998,851202.0399999999,681000.44,0.8,
2022-10-28,xx600176_convert,12.31,12.32,11.44,11.84,-0.0618,keep,53962,170201.59999999998,809111.6799999999,638910.08,0.7896,
2022-11-04,xx600176_convert,11.69,12.73,11.62,12.65,0.0684,buy,53962,170201.59999999998,852820.9,682619.3,0.8004,
2022-11-11,xx600176_convert,12.7,13.53,12.65,13.4,0.0593,buy,56562,137147.33999999997,895078.14,757930.8,0.8468,8.26
2022-11-18,xx600176_convert,13.6,14.0,13.13,13.63,0.0172,keep,58562,109920.53999999996,908120.6,798200.06,0.879,6.8
2022-11-25,xx600176_convert,13.61,14.35,13.46,14.0,0.0271,buy,58562,109920.53999999996,929788.5399999999,819868.0,0.8818,
2022-12-02,xx600176_convert,13.84,14.79,13.58,14.4,0.0286,buy,60062,89140.34999999996,954033.15,864892.8,0.9066,5.19
2022-12-09,xx600176_convert,14.43,15.17,14.43,14.75,0.0243,keep,61262,71807.34999999996,975421.85,903614.5,0.9264,5.0
2022-12-16,xx600176_convert,14.65,14.74,14.1,14.46,-0.0197,keep,61262,71807.34999999996,957655.87,885848.52,0.925,
2022-12-23,xx600176_convert,14.36,14.57,13.5,13.65,-0.056,keep,61262,71807.34999999996,908033.65,836226.3,0.9209,
2022-12-30,xx600176_convert,13.7,13.93,13.17,13.71,0.0044,keep,61262,71807.34999999996,911709.37,839902.02,0.9212,
2023-01-06,xx600176_convert,13.7,14.17,13.52,14.0,0.0212,keep,61262,71807.34999999996,929475.35,857668.0,0.9227,
2023-01-13,xx600176_convert,14.12,14.56,14.04,14.54,0.0386,keep,61262,71807.34999999996,962556.83,890749.48,0.9254,
2023-01-20,xx600176_convert,14.54,14.81,14.42,14.75,0.0144,keep,61262,71807.34999999996,975421.85,903614.5,0.9264,
2023-02-03,xx600176_convert,14.92,15.16,14.55,14.71,-0.0027,keep,61262,71807.34999999996,972971.37,901164.02,0.9262,
2023-02-10,xx600176_convert,14.52,14.98,14.45,14.86,0.0102,keep,61262,71807.34999999996,982160.6699999999,910353.32,0.9269,
2023-02-17,xx600176_convert,14.81,15.69,14.79,14.92,0.004,keep,61262,71807.34999999996,985836.39,914029.04,0.9272,
2023-02-24,xx600176_convert,14.97,15.76,14.97,15.3,0.0255,keep,61262,71807.34999999996,1009115.9500000001,937308.6,0.9288,
2023-03-03,xx600176_convert,15.3,15.8,15.04,15.61,0.0203,keep,61262,71807.34999999996,1028107.1699999999,956299.82,0.9302,
2023-03-10,xx600176_convert,15.71,15.77,14.61,14.67,-0.0602,keep,61262,71807.34999999996,970520.89,898713.54,0.926,
2023-03-17,xx600176_convert,14.64,14.85,14.33,14.46,-0.0143,keep,61262,71807.34999999996,957655.87,885848.52,0.925,
2023-03-24,xx600176_convert,14.52,15.28,14.19,14.84,0.0263,buy,61262,71807.34999999996,980935.4299999999,909128.08,0.9268,
2023-03-31,xx600176_convert,14.89,14.9,14.32,14.61,-0.0155,buy,62162,58392.34999999996,966579.1699999999,908186.82,0.9396,5.0
2023-04-07,xx600176_convert,14.65,15.25,14.52,15.22,0.0418,keep,62862,48125.34999999996,1004884.99,956759.64,0.9521,5.0
2023-04-14,xx600176_convert,15.22,15.57,14.72,14.85,-0.0243,keep,62862,48125.34999999996,981626.0499999999,933500.7,0.951,
2023-04-21,xx600176_convert,14.78,16.5,14.1,14.68,-0.0114,buy,62862,48125.34999999996,970939.51,922814.16,0.9504,
2023-04-28,xx600176_convert,14.66,14.87,14.0,14.58,-0.0068,keep,63462,39318.34999999996,964594.3099999999,925275.96,0.9592,5.0
2023-05-05,xx600176_convert,14.46,15.26,14.39,15.1,0.0357,buy,63462,39318.34999999996,997594.5499999999,958276.2,0.9606,
2023-05-12,xx600176_convert,15.17,15.47,14.31,14.39,-0.047,keep,63962,31723.349999999962,952136.53,920413.18,0.9667,5.0
2023-05-19,xx600176_convert,14.41,14.67,14.33,14.55,0.0111,keep,63962,31723.349999999962,962370.4500000001,930647.1,0.967,
2023-05-26,xx600176_convert,14.54,14.83,13.19,13.58,-0.0314,keep,66378,31723.349999999962,933136.59,901413.24,0.966,
2023-06-02,xx600176_convert,13.59,13.93,13.23,13.8,0.0162,buy,66378,31723.349999999962,947739.75,916016.4,0.9665,
2023-06-09,xx600176_convert,13.8,14.17,13.62,13.93,0.0094,,66778,26194.349999999962,956411.89,930217.54,0.9726,5.0
