date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx601888_convert,221.68,222.47,206.9,207.78,-0.053,,,,,,,,
2022-01-14,xx601888_convert,204.0,213.79,194.28,200.49,-0.0351,,,,,,,,
2022-01-21,xx601888_convert,190.0,203.0,185.12,200.66,0.0008,,,,,,,,
2022-01-28,xx601888_convert,204.0,214.48,201.62,206.56,0.0294,,,,,,,,
2022-02-11,xx601888_convert,214.6,230.5,204.96,225.43,0.0914,,,,,,,,
2022-02-18,xx601888_convert,229.88,231.88,218.01,221.35,-0.0181,,,,,,,,
2022-02-25,xx601888_convert,219.0,220.0,201.6,210.12,-0.0507,,,,,,,,
2022-03-04,xx601888_convert,208.0,210.1,194.0,201.45,-0.0413,,,,,,,,
2022-03-11,xx601888_convert,197.2,198.0,179.01,186.6,-0.0737,,,,,,,,
2022-03-18,xx601888_convert,178.88,180.08,159.89,176.45,-0.0544,,,,,,,,
2022-03-25,xx601888_convert,175.8,175.99,162.5,162.85,-0.0771,buy,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx601888_convert,157.82,177.3,155.73,174.26,0.0701,buy,1200,810556.65,1019668.65,209112.0,0.2051,47.35,
2022-04-08,xx601888_convert,168.2,168.6,160.81,164.48,-0.0561,buy,2100,659129.8,1004537.8,345408.0,0.3438,37.85,
2022-04-15,xx601888_convert,161.19,185.8,153.59,182.24,0.108,buy,2900,530137.56,1058633.56,528496.0,0.4992,32.24,
2022-04-22,xx601888_convert,179.02,186.0,171.32,176.98,-0.0289,buy,3400,440600.18000000005,1042332.18,601732.0,0.5773,22.38,
2022-04-29,xx601888_convert,168.38,187.66,166.1,181.99,0.0283,sell,3900,356384.13000000006,1066145.1300000001,709761.0,0.6657,21.05,
2022-05-06,xx601888_convert,179.0,182.8,161.88,163.69,-0.1006,buy,3120,495821.82000000007,1006534.6200000001,510712.8,0.5074,34.9,139.61
2022-05-13,xx601888_convert,159.5,179.49,155.18,173.0,0.0569,buy,3720,400091.8900000001,1043651.8900000001,643560.0,0.6166,23.93,
2022-05-20,xx601888_convert,174.55,178.0,165.32,175.75,0.0159,buy,4120,330250.43000000005,1054340.4300000002,724090.0,0.6868,17.46,
2022-05-27,xx601888_convert,176.03,176.5,161.0,164.95,-0.0615,buy,4420,277425.23000000004,1006504.23,729079.0,0.7244,13.2,
2022-06-02,xx601888_convert,169.89,179.8,166.3,175.39,0.0633,buy,4720,226442.49000000005,1054283.29,827840.8,0.7852,12.74,
2022-06-10,xx601888_convert,177.0,194.49,172.42,187.75,0.0705,buy,4920,191031.64000000004,1114761.6400000001,923730.0,0.8286,8.85,
2022-06-17,xx601888_convert,183.0,191.89,175.01,190.39,0.0141,buy,5120,154420.49000000005,1129217.29,974796.8,0.8632,9.15,
2022-06-24,xx601888_convert,190.9,204.23,190.9,201.12,0.0564,buy,5220,135324.49000000005,1185170.8900000001,1049846.4,0.8858,5.0,
2022-07-01,xx601888_convert,211.0,237.8,210.0,225.11,0.1193,buy,5320,114218.21000000005,1311803.4100000001,1197585.2,0.9129,5.28,
2022-07-08,xx601888_convert,219.8,229.2,204.5,211.97,-0.0584,buy,5420,92231.71000000005,1241109.1099999999,1148877.4,0.9257,5.5,
2022-07-15,xx601888_convert,206.5,212.89,200.87,204.36,-0.0289,keep,5459,92231.71000000005,1207832.95,1115601.24,0.9236,0.0,
2022-07-22,xx601888_convert,206.0,216.51,201.02,214.62,0.0502,buy,5459,92231.71000000005,1263842.29,1171610.58,0.927,,
2022-07-29,xx601888_convert,214.6,226.66,209.18,209.9,-0.022,keep,5459,92231.71000000005,1238075.81,1145844.1,0.9255,0.0,
2022-08-05,xx601888_convert,208.0,213.5,193.08,198.9,-0.0524,buy,5459,92231.71000000005,1178026.81,1085795.1,0.9217,,
2022-08-12,xx601888_convert,186.0,202.49,184.0,195.66,-0.0163,keep,5459,92231.71000000005,1160339.65,1068107.94,0.9205,0.0,
2022-08-19,xx601888_convert,194.01,196.49,187.0,188.0,-0.0391,keep,5459,92231.71000000005,1118523.71,1026292.0,0.9175,,
2022-08-26,xx601888_convert,187.0,201.18,186.66,192.41,0.0235,keep,5459,92231.71000000005,1142597.9,1050366.19,0.9193,,
2022-09-02,xx601888_convert,189.69,197.77,179.46,180.31,-0.0629,keep,5459,92231.71000000005,1076544.0,984312.29,0.9143,,
2022-09-09,xx601888_convert,179.0,191.6,175.2,191.09,0.0598,keep,5459,92231.71000000005,1135392.02,1043160.31,0.9188,,
2022-09-16,xx601888_convert,194.99,195.0,188.0,188.51,-0.0135,keep,5459,92231.71000000005,1121307.8,1029076.09,0.9177,,
2022-09-23,xx601888_convert,190.0,195.55,181.05,185.41,-0.0164,keep,5459,92231.71000000005,1104384.9,1012153.19,0.9165,,
2022-09-30,xx601888_convert,185.33,204.45,185.3,198.25,0.0693,keep,5459,92231.71000000005,1174478.46,1082246.75,0.9215,,
2022-10-14,xx601888_convert,197.2,197.65,174.44,185.46,-0.0645,buy,5459,92231.71000000005,1104657.85,1012426.14,0.9165,,
2022-10-21,xx601888_convert,184.96,192.5,174.15,175.57,-0.0533,buy,5459,92231.71000000005,1050668.34,958436.63,0.9122,0.0,
2022-10-28,xx601888_convert,174.05,178.0,165.03,167.45,-0.0462,keep,5559,74820.71000000005,1005675.26,930854.55,0.9256,5.0,
