date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xxx84_convert,84.57,92.32,84.14,91.74,0.0908,,,,,,,
2022-01-14,xxx84_convert,91.47,95.62,88.97,95.53,0.0413,,,,,,,
2022-01-21,xxx84_convert,94.91,95.01,88.33,89.2,-0.0664,,,,,,,
2022-01-28,xxx84_convert,86.45,92.9,85.18,88.91,-0.0032,,,,,,,
2022-02-04,xxx84_convert,87.87,93.07,84.92,91.9,0.0336,,,,,,,
2022-02-11,xxx84_convert,92.56,96.24,88.51,89.11,-0.0304,,,,,,,
2022-02-18,xxx84_convert,89.22,90.42,85.34,85.61,-0.0394,,,,,,,
2022-02-25,xxx84_convert,85.27,86.52,77.52,85.75,0.0017,,,,,,,
2022-03-04,xxx84_convert,83.01,85.49,76.51,79.23,-0.0759,,,,,,,
2022-03-11,xxx84_convert,78.39,81.65,74.63,80.24,0.0128,,,,,,,
2022-03-18,xxx84_convert,82.3,90.77,81.83,90.0,0.1216,keep,0,1000000,1000000,0.0,0.0,
2022-03-25,xxx84_convert,90.05,93.0,88.24,91.36,0.015,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-01,xxx84_convert,91.45,93.16,82.72,83.54,-0.0856,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-08,xxx84_convert,83.08,84.4,78.6,81.69,-0.0221,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-14,xxx84_convert,81.62,85.59,79.58,82.75,0.0131,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-22,xxx84_convert,76.3,78.24,70.25,70.32,-0.1503,buy,0,1000000,1000000.0,0.0,0.0,
2022-04-29,xxx84_convert,69.61,70.73,66.15,66.33,-0.0567,keep,2872,800051.36,990551.12,190499.76,0.1923,0.0
2022-05-06,xxx84_convert,67.62,71.6,66.46,67.42,0.0164,keep,2872,800051.36,993681.6,193630.24,0.1949,
2022-05-13,xxx84_convert,66.44,67.5,63.34,65.61,-0.0268,keep,2872,800051.36,988483.28,188431.92,0.1906,
2022-05-20,xxx84_convert,64.75,66.28,61.53,63.28,-0.0355,sell,2872,800051.36,981791.52,181740.16,0.1851,
2022-05-27,xxx84_convert,64.13,70.63,62.85,70.59,0.1154,sell,2298,836855.39879152,999071.21879152,162215.82,0.1624,0.8412
2022-06-03,xxx84_convert,70.12,71.73,68.88,70.07,-0.0073,sell,1839,869035.1583802301,997893.88838023,128858.73,0.1291,0.7304
2022-06-10,xxx84_convert,71.09,71.42,61.67,62.22,-0.1121,sell,1472,895120.9268936701,986708.7668936701,91587.84,0.0928,0.5915
2022-06-17,xxx84_convert,60.21,62.92,59.35,59.99,-0.0359,sell,1178,912819.3202328702,983487.5402328701,70668.22,0.0719,0.4067
2022-06-24,xxx84_convert,62.29,64.68,60.79,64.43,0.074,sell,943,927454.7849160702,988212.2749160702,60757.49,0.0615,0.3353
2022-07-01,xxx84_convert,65.4,65.61,60.99,63.92,-0.0079,sell,755,939747.8243843501,988007.4243843501,48259.6,0.0488,0.2805
2022-07-08,xxx84_convert,62.67,64.56,61.39,64.36,0.0069,sell,604,949209.2677204901,988082.7077204902,38873.44,0.0393,0.2167
2022-07-15,xxx84_convert,63.57,63.86,59.59,62.18,-0.0339,sell,484,956836.2932692901,986931.4132692901,30095.12,0.0305,0.1745
2022-07-22,xxx84_convert,63.69,63.89,60.83,62.99,0.013,keep,388,962949.4334664101,987389.5534664101,24440.12,0.0248,0.1398
2022-07-29,xxx84_convert,63.5,70.27,60.93,69.05,0.0961,keep,388,962949.4334664101,989740.8334664102,26791.4,0.0271,
2022-08-05,xxx84_convert,67.94,70.31,65.59,69.31,0.0038,keep,388,962949.4334664101,989841.7134664102,26892.28,0.0272,
2022-08-12,xxx84_convert,69.37,75.2,68.06,75.0,0.0821,keep,388,962949.4334664101,992049.4334664101,29100.0,0.0293,
2022-08-19,xxx84_convert,74.18,77.41,73.45,73.86,-0.0153,keep,388,962949.4334664101,991607.1134664102,28657.68,0.0289,
2022-08-26,xxx84_convert,72.5,74.61,71.83,71.89,-0.0266,keep,388,962949.4334664101,990842.7534664101,27893.32,0.0282,
2022-09-02,xxx84_convert,71.52,72.9,69.39,70.34,-0.0215,keep,388,962949.4334664101,990241.3534664102,27291.92,0.0276,
