date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xxx43_convert,72.27,73.39,70.83,71.26,-0.0186,,,,,,,
2022-01-14,xxx43_convert,71.99,72.57,71.16,71.77,0.0071,,,,,,,
2022-01-21,xxx43_convert,71.42,71.52,67.69,68.51,-0.0454,,,,,,,
2022-01-28,xxx43_convert,68.54,69.37,66.78,68.86,0.0051,,,,,,,
2022-02-04,xxx43_convert,68.64,68.85,63.87,63.9,-0.072,,,,,,,
2022-02-11,xxx43_convert,63.99,64.34,61.71,62.07,-0.0286,,,,,,,
2022-02-18,xxx43_convert,62.09,62.25,60.82,61.05,-0.0165,,,,,,,
2022-02-25,xxx43_convert,60.89,61.68,60.07,61.12,0.0012,,,,,,,
2022-03-04,xxx43_convert,60.25,62.23,59.18,61.86,0.0121,,,,,,,
2022-03-11,xxx43_convert,58.97,62.25,57.32,58.0,-0.0624,,,,,,,
2022-03-18,xxx43_convert,57.91,59.55,57.19,59.42,0.0244,keep,0,1000000,1000000,0.0,0.0,
2022-03-25,xxx43_convert,59.34,60.52,58.77,58.91,-0.0086,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-01,xxx43_convert,58.95,60.74,58.58,59.67,0.0129,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-08,xxx43_convert,59.68,62.82,59.24,62.3,0.0441,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-14,xxx43_convert,62.82,63.06,61.21,61.82,-0.0077,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-22,xxx43_convert,61.7,64.28,61.37,62.25,0.0071,keep,0,1000000,1000000.0,0.0,0.0,
2022-04-29,xxx43_convert,62.48,62.87,59.27,59.34,-0.0468,buy,0,1000000,1000000.0,0.0,0.0,
2022-05-06,xxx43_convert,59.55,62.38,59.15,61.18,0.0308,sell,3357,800057.0800000001,1005438.3400000001,205381.26,0.2043,0.0
2022-05-13,xxx43_convert,60.8,62.61,60.29,62.37,0.0195,sell,2686,840846.2335591101,1008372.05355911,167525.82,0.1661,0.9364
2022-05-20,xxx43_convert,62.37,63.93,61.8,63.84,0.0235,buy,2149,874332.78642239,1011524.94642239,137192.16,0.1356,0.7671
2022-05-27,xxx43_convert,64.39,65.46,63.43,64.8,0.0151,keep,4864,699486.78642239,1014673.98642239,315187.2,0.3106,0.0
2022-06-03,xxx43_convert,64.5,65.34,62.31,63.45,-0.0208,keep,4864,699486.78642239,1008107.5864223901,308620.8,0.3061,
2022-06-10,xxx43_convert,62.58,63.02,60.31,60.74,-0.0428,keep,4864,699486.78642239,994926.14642239,295439.36,0.2969,
2022-06-17,xxx43_convert,60.06,60.43,57.17,58.53,-0.0365,keep,4864,699486.78642239,984176.70642239,284689.92,0.2893,
2022-06-24,xxx43_convert,59.26,63.13,58.91,63.08,0.0777,buy,4864,699486.78642239,1006307.90642239,306821.12,0.3049,
2022-07-01,xxx43_convert,62.93,63.53,61.27,62.36,-0.0115,buy,7086,559634.1064223901,1001517.06642239,441882.96,0.4412,0.0
2022-07-08,xxx43_convert,61.9,63.2,61.36,62.84,0.0077,keep,8893,447762.7364223901,1006598.8564223901,558836.12,0.5552,0.0
2022-07-15,xxx43_convert,62.79,63.04,61.27,62.6,-0.0038,keep,8893,447762.7364223901,1004464.5364223901,556701.8,0.5542,
2022-07-22,xxx43_convert,62.68,62.68,60.58,60.8,-0.0288,keep,8893,447762.7364223901,988457.1364223901,540694.4,0.547,
2022-07-29,xxx43_convert,61.23,61.37,59.51,59.75,-0.0173,keep,8893,447762.7364223901,979119.4864223901,531356.75,0.5427,
2022-08-05,xxx43_convert,59.77,63.65,59.27,61.09,0.0225,keep,8893,447762.7364223901,991036.1064223901,543273.37,0.5482,
2022-08-12,xxx43_convert,61.0,63.41,60.81,62.96,0.0306,keep,8893,447762.7364223901,1007666.0164223901,559903.28,0.5556,
2022-08-19,xxx43_convert,63.85,66.89,63.66,65.34,0.0378,keep,8893,447762.7364223901,1028831.3564223901,581068.62,0.5648,
2022-08-26,xxx43_convert,65.21,65.25,62.35,62.37,-0.0455,keep,8893,447762.7364223901,1002419.1464223901,554656.41,0.5533,
2022-09-02,xxx43_convert,62.13,65.29,61.48,63.82,0.0232,keep,8893,447762.7364223901,1015313.9964223901,567551.26,0.559,
2022-09-09,xxx43_convert,63.78,65.77,62.8,65.28,0.023,keep,8893,447762.7364223901,1028297.7764223901,580535.04,0.5646,
2022-09-16,xxx43_convert,68.42,68.88,64.41,65.6,0.0048,keep,8893,447762.7364223901,1031143.53642239,583380.8,0.5658,
2022-09-23,xxx43_convert,65.35,65.86,62.3,62.86,-0.0416,keep,8893,447762.7364223901,1006776.7164223901,559013.98,0.5553,
2022-09-30,xxx43_convert,62.51,64.37,61.61,61.69,-0.0186,keep,8893,447762.7364223901,996371.90642239,548609.17,0.5506,
2022-10-07,xxx43_convert,62.4,65.97,61.45,64.29,0.0421,buy,8893,447762.7364223901,1019493.7064223902,571730.97,0.5608,
2022-10-14,xxx43_convert,64.57,67.0,64.1,66.17,0.0292,buy,10279,358254.8564223901,1038416.2864223901,680161.43,0.655,0.0
2022-10-21,xxx43_convert,66.84,67.94,65.7,67.79,0.0244,buy,11350,286658.5064223901,1056075.0064223902,769416.5,0.7286,0.0
2022-10-28,xxx43_convert,68.11,79.61,68.09,79.27,0.1692,buy,12191,229369.5864223901,1195750.1564223901,966380.57,0.8082,0.0
2022-11-04,xxx43_convert,78.06,81.32,77.16,80.34,0.0135,keep,12778,183542.4964223901,1210127.01642239,1026584.52,0.8483,0.0
2022-11-11,xxx43_convert,79.56,83.8,79.51,81.82,0.0185,keep,12778,183542.4964223901,1229038.45642239,1045495.96,0.8507,
2022-11-18,xxx43_convert,81.65,84.14,81.23,83.62,0.022,keep,12778,183542.4964223901,1252038.8564223903,1068496.36,0.8534,
2022-11-25,xxx43_convert,83.76,86.41,83.64,86.26,0.0314,keep,12778,183542.4964223901,1285772.7764223902,1102230.28,0.8573,
2022-12-02,xxx43_convert,86.92,89.07,84.71,89.03,0.0321,keep,12778,183542.4964223901,1321167.8364223903,1137625.34,0.8611,
2022-12-09,xxx43_convert,87.84,89.61,87.14,87.97,-0.0119,keep,12778,183542.4964223901,1307623.1564223901,1124080.66,0.8596,
2022-12-16,xxx43_convert,87.85,89.74,85.39,86.76,-0.0137,buy,12778,183542.4964223901,1292161.7764223902,1108619.28,0.858,
2022-12-23,xxx43_convert,86.0,86.62,81.81,84.75,-0.0232,buy,13204,146902.2364223901,1265941.2364223902,1119039.0,0.884,0.0
2022-12-30,xxx43_convert,85.25,85.89,84.45,85.85,0.013,keep,13548,117572.79642239009,1280668.5964223898,1163095.8,0.9082,0.0
2023-01-06,xxx43_convert,85.08,88.29,84.83,88.08,0.026,keep,13548,117572.79642239009,1310880.6364223901,1193307.84,0.9103,
2023-01-13,xxx43_convert,87.77,87.9,84.86,86.27,-0.0205,keep,13548,117572.79642239009,1286358.75642239,1168785.96,0.9086,
2023-01-20,xxx43_convert,86.05,86.37,82.51,83.01,-0.0378,sell,13548,117572.79642239009,1242192.27642239,1124619.48,0.9054,
2023-01-27,xxx43_convert,82.76,84.55,82.11,83.73,0.0087,sell,10839,341737.5164866401,1249286.9864866403,907549.47,0.7265,5.0299
2023-02-03,xxx43_convert,83.52,86.97,80.48,84.5,0.0092,sell,8672,522699.6283240701,1255483.62832407,732784.0,0.5837,4.0582
2023-02-10,xxx43_convert,84.5,87.18,84.5,86.7,0.0261,keep,6938,669202.0053592101,1270726.6053592102,601524.6,0.4734,3.283
2023-02-17,xxx43_convert,86.7,87.82,83.28,84.76,-0.0225,keep,6938,669202.0053592101,1257266.88535921,588064.88,0.4677,
2023-02-24,xxx43_convert,84.73,85.49,80.33,80.66,-0.0484,keep,6938,669202.0053592101,1228821.0853592101,559619.08,0.4554,
2023-03-03,xxx43_convert,81.16,81.31,79.21,81.07,0.0051,buy,6938,669202.0053592101,1231665.66535921,562463.66,0.4567,
2023-03-10,xxx43_convert,81.11,81.34,78.29,79.5,-0.0193,buy,8587,535435.1253592101,1218101.6253592102,682666.5,0.5604,0.0
2023-03-17,xxx43_convert,78.57,81.27,76.53,77.31,-0.0275,buy,9949,428409.1653592101,1197566.3553592102,769157.19,0.6423,0.0
2023-03-24,xxx43_convert,77.71,80.4,77.63,80.0,0.0348,buy,11051,342761.7253592101,1226841.72535921,884080.0,0.7206,0.0
2023-03-31,xxx43_convert,80.38,83.14,79.41,82.97,0.0373,buy,11903,274269.44535921013,1261861.3553592102,987591.91,0.7826,0.0
2023-04-06,xxx43_convert,82.94,84.83,81.82,83.37,0.0048,buy,12564,219439.49535921012,1266900.1753592102,1047460.68,0.8268,0.0
2023-04-14,xxx43_convert,83.5,83.5,81.74,83.0,-0.0043,buy,13089,175596.74535921012,1261983.74535921,1086387.0,0.8609,0.0
2023-04-21,xxx43_convert,83.41,86.88,82.97,86.57,0.043,buy,13509,140560.34535921013,1310034.47535921,1169474.13,0.8927,0.0
2023-04-28,xxx43_convert,86.62,87.37,80.08,82.21,-0.0503,buy,13833,112492.22535921013,1249703.15535921,1137210.93,0.91,0.0
2023-05-05,xxx43_convert,82.47,82.55,78.22,79.75,-0.0298,keep,14105,90057.66535921014,1214931.4153592102,1124873.75,0.9259,0.0
