date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos
2022-01-07,xxx9_convert,292.37,292.55,256.77,266.58,-0.0886,,,,,,
2022-01-14,xxx9_convert,267.35,267.35,246.09,250.62,-0.0598,,,,,,
2022-01-21,xxx9_convert,248.63,253.26,243.76,244.76,-0.0234,,,,,,
2022-01-28,xxx9_convert,241.31,254.37,233.67,246.77,0.0082,,,,,,
2022-02-04,xxx9_convert,245.91,254.47,244.98,246.43,-0.0013,,,,,,
2022-02-11,xxx9_convert,245.77,250.46,235.49,236.9,-0.0386,,,,,,
2022-02-18,xxx9_convert,237.9,238.56,226.71,228.44,-0.0357,,,,,,
2022-02-25,xxx9_convert,228.24,234.45,220.0,233.66,0.0228,,,,,,
2022-03-04,xxx9_convert,231.15,239.23,223.4,238.28,0.0197,,,,,,
2022-03-11,xxx9_convert,237.12,238.03,227.1,234.84,-0.0145,,,,,,
2022-03-18,xxx9_convert,235.97,248.46,232.45,242.53,0.0328,keep,0,1000000,1000000,0.0,0.0
2022-03-25,xxx9_convert,241.81,245.0,230.67,240.69,-0.0077,keep,0,1000000,1000000.0,0.0,0.0
2022-04-01,xxx9_convert,241.75,257.39,241.0,256.95,0.0675,keep,0,1000000,1000000.0,0.0,0.0
2022-04-08,xxx9_convert,256.98,269.14,256.13,266.41,0.0368,keep,0,1000000,1000000.0,0.0,0.0
2022-04-14,xxx9_convert,266.59,267.74,254.94,255.54,-0.0408,keep,0,1000000,1000000.0,0.0,0.0
2022-04-22,xxx9_convert,254.14,271.53,252.15,261.9,0.0249,keep,0,1000000,1000000.0,0.0,0.0
2022-04-29,xxx9_convert,262.1,263.0,240.68,241.02,-0.0797,keep,0,1000000,1000000.0,0.0,0.0
2022-05-06,xxx9_convert,241.38,246.47,232.73,244.07,0.0126,keep,0,1000000,1000000.0,0.0,0.0
2022-05-13,xxx9_convert,242.13,242.13,222.02,232.66,-0.0466,keep,0,1000000,1000000.0,0.0,0.0
2022-05-20,xxx9_convert,232.61,245.17,229.21,244.28,0.05,keep,0,1000000,1000000.0,0.0,0.0
2022-05-27,xxx9_convert,245.59,262.56,243.54,260.96,0.0682,keep,0,1000000,1000000.0,0.0,0.0
2022-06-03,xxx9_convert,257.76,269.5,245.68,266.73,0.0222,keep,0,1000000,1000000.0,0.0,0.0
2022-06-10,xxx9_convert,269.79,271.09,250.11,251.01,-0.0588,keep,0,1000000,1000000.0,0.0,0.0
2022-06-17,xxx9_convert,245.0,247.15,232.12,236.17,-0.0591,keep,0,1000000,1000000.0,0.0,0.0
2022-06-24,xxx9_convert,242.0,262.13,241.89,261.65,0.1078,keep,0,1000000,1000000.0,0.0,0.0
2022-07-01,xxx9_convert,262.23,264.09,247.15,258.4,-0.0125,keep,0,1000000,1000000.0,0.0,0.0
2022-07-08,xxx9_convert,255.49,260.58,249.63,255.01,-0.0131,keep,0,1000000,1000000.0,0.0,0.0
2022-07-15,xxx9_convert,255.0,260.79,251.17,257.2,0.0086,keep,0,1000000,1000000.0,0.0,0.0
2022-07-22,xxx9_convert,256.91,260.36,248.19,259.6,0.0093,keep,0,1000000,1000000.0,0.0,0.0
2022-07-29,xxx9_convert,259.35,273.95,255.38,270.83,0.0433,keep,0,1000000,1000000.0,0.0,0.0
2022-08-05,xxx9_convert,270.28,272.43,264.87,272.19,0.0051,keep,0,1000000,1000000.0,0.0,0.0
2022-08-12,xxx9_convert,274.75,279.97,270.35,277.72,0.0203,keep,0,1000000,1000000.0,0.0,0.0
2022-08-19,xxx9_convert,278.39,282.47,272.92,274.41,-0.0119,keep,0,1000000,1000000.0,0.0,0.0
2022-08-26,xxx9_convert,272.32,274.15,261.07,261.19,-0.0482,keep,0,1000000,1000000.0,0.0,0.0
2022-09-02,xxx9_convert,259.8,262.64,250.48,250.85,-0.0396,keep,0,1000000,1000000.0,0.0,0.0
2022-09-09,xxx9_convert,252.11,263.21,251.0,261.59,0.0429,keep,0,1000000,1000000.0,0.0,0.0
2022-09-16,xxx9_convert,262.06,265.56,243.97,245.89,-0.06,keep,0,1000000,1000000.0,0.0,0.0
2022-09-23,xxx9_convert,244.4,247.78,225.63,228.81,-0.0696,keep,0,1000000,1000000.0,0.0,0.0
