date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xxx23_convert,84.55,85.61,83.49,84.44,-0.0106,,,,,,,
2022-01-14,xxx23_convert,84.29,84.51,81.97,83.45,-0.0118,,,,,,,
2022-01-21,xxx23_convert,82.78,85.04,81.98,83.67,0.0026,,,,,,,
2022-01-28,xxx23_convert,84.18,84.75,79.59,83.05,-0.0075,,,,,,,
2022-02-04,xxx23_convert,82.24,83.27,80.81,81.12,-0.0232,,,,,,,
2022-02-11,xxx23_convert,81.47,81.73,79.39,79.53,-0.0196,,,,,,,
2022-02-18,xxx23_convert,79.56,79.94,77.38,79.55,0.0002,,,,,,,
2022-02-25,xxx23_convert,79.36,79.8,75.46,78.14,-0.0177,,,,,,,
2022-03-04,xxx23_convert,77.13,77.92,75.73,77.36,-0.0099,,,,,,,
2022-03-11,xxx23_convert,76.91,77.24,73.34,73.77,-0.0464,,,,,,,
2022-03-18,xxx23_convert,74.31,75.9,72.2,72.2,-0.0213,buy,0,1000000,1000000,0.0,0.0,
2022-03-25,xxx23_convert,73.6,75.06,72.86,74.78,0.0357,sell,2717,800001.63,1003178.89,203177.26,0.2025,0.0
2022-04-01,xxx23_convert,74.84,76.79,74.84,76.42,0.022,sell,2174,840633.40209651,1006770.48209651,166137.08,0.165,0.9179
2022-04-08,xxx23_convert,75.82,80.62,74.88,80.25,0.0501,sell,1740,873534.1995181701,1013169.1995181701,139635.0,0.1378,0.7426
2022-04-14,xxx23_convert,80.37,81.47,79.96,80.94,0.0087,sell,1392,901498.8508352902,1014167.3308352901,112668.48,0.1111,0.6287
2022-04-22,xxx23_convert,80.86,83.39,79.72,81.1,0.0019,sell,1114,923974.6457509903,1014320.0457509903,90345.4,0.0891,0.5051
2022-04-29,xxx23_convert,81.48,82.37,76.18,77.05,-0.0499,keep,892,942060.5795198502,1010789.1795198502,68728.6,0.068,0.4062
2022-05-06,xxx23_convert,77.07,77.55,73.93,76.84,-0.0027,keep,892,942060.5795198502,1010601.8595198502,68541.28,0.0678,
2022-05-13,xxx23_convert,76.35,78.44,76.06,78.4,0.0202,keep,892,942060.5795198502,1011993.3795198502,69932.8,0.0691,
2022-05-20,xxx23_convert,78.14,79.24,73.87,75.13,-0.0417,keep,892,942060.5795198502,1009076.5395198502,67015.96,0.0664,
2022-05-27,xxx23_convert,75.58,79.07,75.37,78.86,0.0496,sell,892,942060.5795198502,1012403.6995198502,70343.12,0.0695,
2022-06-03,xxx23_convert,78.52,79.56,77.26,78.93,0.001,keep,714,956035.0448674703,1012391.0648674703,56356.02,0.0557,0.3147
2022-06-10,xxx23_convert,79.2,79.68,75.15,76.63,-0.0292,sell,714,956035.0448674703,1010748.8648674702,54713.82,0.0541,
2022-06-17,xxx23_convert,75.43,76.83,72.69,74.04,-0.0338,keep,572,966744.4430670303,1009095.3230670303,42350.88,0.042,0.2418
2022-06-24,xxx23_convert,74.9,80.52,74.4,80.38,0.0857,keep,572,966744.4430670303,1012721.8030670303,45977.36,0.0454,
2022-07-01,xxx23_convert,79.56,82.02,78.77,81.97,0.0198,keep,572,966744.4430670303,1013631.2830670303,46886.84,0.0463,
2022-07-08,xxx23_convert,81.33,81.97,78.23,78.35,-0.0442,sell,572,966744.4430670303,1011560.6430670302,44816.2,0.0443,
2022-07-15,xxx23_convert,78.5,79.33,77.09,78.15,-0.0025,keep,458,975692.1015959702,1011484.8015959702,35792.7,0.0354,0.2015
2022-07-22,xxx23_convert,78.01,78.17,75.19,77.47,-0.0087,keep,458,975692.1015959702,1011173.3615959702,35481.26,0.0351,
2022-07-29,xxx23_convert,77.5,79.7,77.15,78.74,0.0163,keep,458,975692.1015959702,1011755.0215959703,36062.92,0.0356,
2022-08-05,xxx23_convert,78.96,81.76,78.76,80.43,0.0215,keep,458,975692.1015959702,1012529.0415959703,36836.94,0.0364,
2022-08-12,xxx23_convert,80.74,81.02,79.35,80.29,-0.0019,keep,458,975692.1015959702,1012464.9215959702,36772.82,0.0363,
2022-08-19,xxx23_convert,80.5,83.81,80.33,83.27,0.0372,keep,458,975692.1015959702,1013829.7615959703,38137.66,0.0376,
2022-08-26,xxx23_convert,82.99,83.07,79.07,79.21,-0.0487,keep,458,975692.1015959702,1011970.2815959703,36278.18,0.0358,
2022-09-02,xxx23_convert,78.97,80.42,77.77,78.17,-0.0131,keep,458,975692.1015959702,1011493.9615959702,35801.86,0.0354,
2022-09-09,xxx23_convert,77.68,79.11,76.85,78.03,-0.0018,keep,458,975692.1015959702,1011429.8415959702,35737.74,0.0353,
2022-09-16,xxx23_convert,78.14,78.62,74.53,75.69,-0.03,sell,458,975692.1015959702,1010358.1215959702,34666.02,0.0343,
2022-09-23,xxx23_convert,75.48,76.32,74.71,75.53,-0.0022,keep,367,982559.7165438002,1010279.2265438002,27719.51,0.0274,0.1551
2022-09-30,xxx23_convert,75.53,75.78,70.16,70.25,-0.07,keep,367,982559.7165438002,1008341.4665438002,25781.75,0.0256,
2022-10-07,xxx23_convert,70.83,72.42,68.74,68.99,-0.018,keep,367,982559.7165438002,1007879.0465438002,25319.33,0.0251,
2022-10-14,xxx23_convert,69.02,72.14,67.84,71.33,0.0339,keep,367,982559.7165438002,1008737.8265438002,26178.11,0.026,
2022-10-21,xxx23_convert,71.54,74.9,70.19,71.47,0.0021,keep,367,982559.7165438002,1008789.2065438002,26229.49,0.026,
2022-10-28,xxx23_convert,72.04,74.68,71.22,74.64,0.0444,keep,367,982559.7165438002,1009952.5965438002,27392.88,0.0271,
2022-11-04,xxx23_convert,74.61,75.1,72.07,73.19,-0.0194,keep,367,982559.7165438002,1009420.4465438002,26860.73,0.0266,
2022-11-11,xxx23_convert,73.49,75.38,73.11,74.57,0.0189,keep,367,982559.7165438002,1009926.9065438001,27367.19,0.0271,
2022-11-18,xxx23_convert,74.9,76.68,74.55,76.46,0.0254,keep,367,982559.7165438002,1010620.5365438001,28060.82,0.0278,
2022-11-25,xxx23_convert,76.7,77.39,76.09,76.77,0.0039,keep,367,982559.7165438002,1010734.3065438002,28174.59,0.0279,
2022-12-02,xxx23_convert,76.54,78.45,75.64,78.17,0.0182,keep,367,982559.7165438002,1011248.1065438002,28688.39,0.0284,
2022-12-09,xxx23_convert,77.48,78.36,76.69,77.78,-0.0049,keep,367,982559.7165438002,1011104.9765438002,28545.26,0.0282,
2022-12-16,xxx23_convert,77.99,79.84,77.22,77.76,-0.0002,keep,367,982559.7165438002,1011097.6365438002,28537.92,0.0282,
2022-12-23,xxx23_convert,77.6,79.58,77.13,79.45,0.0217,keep,367,982559.7165438002,1011717.8665438002,29158.15,0.0288,
2022-12-30,xxx23_convert,79.56,80.44,78.21,78.79,-0.0082,keep,367,982559.7165438002,1011475.6465438002,28915.93,0.0286,
2023-01-06,xxx23_convert,78.79,80.46,77.72,79.98,0.015,keep,367,982559.7165438002,1011912.3765438002,29352.66,0.029,
2023-01-13,xxx23_convert,79.96,80.4,76.35,77.85,-0.0267,keep,367,982559.7165438002,1011130.6665438002,28570.95,0.0283,
2023-01-20,xxx23_convert,78.16,78.97,74.03,75.44,-0.0309,keep,367,982559.7165438002,1010246.1965438002,27686.48,0.0274,
2023-01-27,xxx23_convert,75.54,75.99,70.94,71.59,-0.0511,keep,367,982559.7165438002,1008833.2465438002,26273.53,0.026,
2023-02-03,xxx23_convert,72.2,75.3,72.05,74.29,0.0377,keep,367,982559.7165438002,1009824.1465438002,27264.43,0.027,
2023-02-10,xxx23_convert,74.2,74.41,72.71,73.55,-0.0099,keep,367,982559.7165438002,1009552.5665438002,26992.85,0.0267,
2023-02-17,xxx23_convert,73.87,74.96,71.74,74.52,0.0131,keep,367,982559.7165438002,1009908.5565438002,27348.84,0.0271,
2023-02-24,xxx23_convert,73.9,75.04,72.75,73.13,-0.0187,keep,367,982559.7165438002,1009398.4265438002,26838.71,0.0266,
2023-03-03,xxx23_convert,73.42,74.14,71.82,73.95,0.0111,keep,367,982559.7165438002,1009699.3665438002,27139.65,0.0269,
2023-03-10,xxx23_convert,73.7,74.04,70.92,71.31,-0.0356,keep,367,982559.7165438002,1008730.4865438002,26170.77,0.0259,
2023-03-17,xxx23_convert,71.35,73.45,71.35,72.2,0.0125,keep,367,982559.7165438002,1009057.1165438002,26497.4,0.0263,
