date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos
2022-01-07,xxx92_convert,188.82,192.1,178.9,179.44,-0.048,,,,,,
2022-01-14,xxx92_convert,177.9,189.63,176.88,187.01,0.0421,,,,,,
2022-01-21,xxx92_convert,183.61,184.36,173.33,175.64,-0.0608,,,,,,
2022-01-28,xxx92_convert,175.78,183.25,169.39,177.29,0.0094,,,,,,
2022-02-04,xxx92_convert,177.68,188.25,167.51,171.42,-0.0331,,,,,,
2022-02-11,xxx92_convert,172.48,177.2,163.65,164.4,-0.041,,,,,,
2022-02-18,xxx92_convert,163.94,168.96,161.04,166.74,0.0144,,,,,,
2022-02-25,xxx92_convert,166.06,171.14,161.19,170.82,0.0245,,,,,,
2022-03-04,xxx92_convert,168.63,172.75,164.37,169.98,-0.005,,,,,,
2022-03-11,xxx92_convert,170.86,175.43,162.39,170.36,0.0024,,,,,,
2022-03-18,xxx92_convert,169.96,180.35,166.09,180.1,0.0571,keep,0,1000000,1000000,0.0,0.0
2022-03-25,xxx92_convert,179.29,186.2,177.73,184.9,0.0266,keep,0,1000000,1000000.0,0.0,0.0
2022-04-01,xxx92_convert,183.16,191.34,179.75,182.08,-0.0152,keep,0,1000000,1000000.0,0.0,0.0
2022-04-08,xxx92_convert,181.55,183.35,173.83,174.11,-0.0438,keep,0,1000000,1000000.0,0.0,0.0
2022-04-14,xxx92_convert,172.77,176.37,171.78,173.66,-0.0026,keep,0,1000000,1000000.0,0.0,0.0
2022-04-22,xxx92_convert,173.0,183.66,172.93,173.31,-0.002,keep,0,1000000,1000000.0,0.0,0.0
2022-04-29,xxx92_convert,173.06,176.88,160.5,170.25,-0.0177,keep,0,1000000,1000000.0,0.0,0.0
2022-05-06,xxx92_convert,170.55,176.87,165.74,167.45,-0.0165,keep,0,1000000,1000000.0,0.0,0.0
2022-05-13,xxx92_convert,166.11,170.84,162.67,169.74,0.0136,keep,0,1000000,1000000.0,0.0,0.0
2022-05-20,xxx92_convert,168.07,175.11,164.21,169.81,0.0006,keep,0,1000000,1000000.0,0.0,0.0
2022-05-27,xxx92_convert,170.27,178.35,166.37,177.97,0.048,keep,0,1000000,1000000.0,0.0,0.0
