date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xxx27_convert,565.03,568.72,534.24,536.18,-0.0555,,,,,,,
2022-01-14,xxx27_convert,529.29,530.41,501.86,502.99,-0.062,,,,,,,
2022-01-21,xxx27_convert,494.46,499.88,481.32,481.61,-0.0425,,,,,,,
2022-01-28,xxx27_convert,475.55,495.79,469.01,492.43,0.0224,,,,,,,
2022-02-04,xxx27_convert,492.0,526.44,490.63,519.77,0.0556,,,,,,,
2022-02-11,xxx27_convert,521.3,534.24,507.38,509.67,-0.0195,,,,,,,
2022-02-18,xxx27_convert,508.99,518.21,501.44,512.67,0.0059,,,,,,,
2022-02-25,xxx27_convert,510.0,518.25,482.98,517.49,0.0093,,,,,,,
2022-03-04,xxx27_convert,514.3,538.96,511.3,525.5,0.0155,,,,,,,
2022-03-11,xxx27_convert,523.45,545.29,515.71,527.42,0.0036,,,,,,,
2022-03-18,xxx27_convert,527.77,562.55,523.54,561.35,0.0643,buy,0,1000000,1000000,0.0,0.0,
2022-03-25,xxx27_convert,560.14,566.75,549.22,555.71,-0.0101,sell,357,800026.45,998414.9199999999,198388.47,0.1987,0.0
2022-04-01,xxx27_convert,556.74,586.32,553.5,575.57,0.0357,buy,286,839553.4414665699,1004166.4614665699,164613.02,0.1639,0.8385
2022-04-08,xxx27_convert,573.94,612.27,570.37,600.04,0.0425,buy,578,671960.0414665699,1018783.1614665699,346823.12,0.3404,0.0
2022-04-14,xxx27_convert,598.79,601.0,578.76,590.39,-0.0162,sell,802,537828.8414665699,1011321.6214665698,473492.78,0.4682,0.0
2022-04-22,xxx27_convert,585.38,609.18,571.05,571.7,-0.0317,keep,642,631486.0555833699,998517.4555833699,367031.4,0.3676,1.9859
2022-04-29,xxx27_convert,570.31,570.33,529.7,531.72,-0.0699,sell,642,631486.0555833699,972850.2955833699,341364.24,0.3509,
2022-05-06,xxx27_convert,532.23,546.14,498.82,503.36,-0.0533,sell,514,699608.76974401,958335.80974401,258727.04,0.27,1.4458
2022-05-13,xxx27_convert,496.1,510.63,479.76,497.27,-0.0121,sell,412,750208.87498123,955084.11498123,204875.24,0.2145,1.0748
2022-05-20,xxx27_convert,496.14,497.68,406.51,416.43,-0.1626,sell,330,790890.67088737,928312.57088737,137421.9,0.148,0.8641
2022-05-27,xxx27_convert,420.0,474.88,416.67,470.76,0.1304,buy,264,818609.42092723,942890.06092723,124280.64,0.1318,0.59
2022-06-03,xxx27_convert,470.76,491.13,456.7,476.25,0.0117,buy,611,655252.2309272301,946240.9809272301,290988.75,0.3075,0.0
2022-06-10,xxx27_convert,480.5,484.24,457.76,463.31,-0.0271,sell,883,524553.5109272301,933656.2409272301,409102.73,0.4382,0.0
2022-06-17,xxx27_convert,450.0,464.36,443.2,446.69,-0.0359,buy,707,603750.06682019,919559.8968201901,315809.83,0.3434,1.6841
2022-06-24,xxx27_convert,450.55,484.83,449.14,484.37,0.0844,buy,974,483450.54682019004,955226.92682019,471776.38,0.4939,0.0
2022-07-01,xxx27_convert,485.81,491.25,464.72,485.76,0.0028,keep,1173,386772.36682019004,956568.8468201901,569796.48,0.5957,0.0
2022-07-08,xxx27_convert,485.56,505.52,478.46,501.54,0.0325,buy,1173,386772.36682019004,975078.78682019,588306.42,0.6033,
2022-07-15,xxx27_convert,501.12,524.8,483.82,522.95,0.0427,sell,1327,309598.34682019,1003552.99682019,693954.65,0.6915,0.0
2022-07-22,xxx27_convert,521.86,537.11,515.66,529.72,0.0129,buy,1062,447885.66118994,1010448.30118994,562562.64,0.5567,2.9356
2022-07-29,xxx27_convert,531.42,542.12,508.76,541.3,0.0219,buy,1230,358605.42118994,1024404.4211899401,665799.0,0.6499,0.0
2022-08-05,xxx27_convert,541.42,552.71,533.35,540.67,-0.0011,keep,1362,287136.66118994,1023529.2011899399,736392.54,0.7195,0.0
2022-08-12,xxx27_convert,543.84,549.91,531.81,537.21,-0.0063,keep,1362,287136.66118994,1018816.6811899401,731680.02,0.7182,
2022-08-19,xxx27_convert,536.4,564.75,535.68,554.53,0.0322,keep,1362,287136.66118994,1042406.5211899399,755269.86,0.7245,
2022-08-26,xxx27_convert,553.0,553.0,531.67,531.82,-0.0409,sell,1362,287136.66118994,1011475.5011899401,724338.84,0.7161,
2022-09-02,xxx27_convert,527.03,536.01,516.05,519.11,-0.0239,keep,1090,430483.0584837,996312.9584837,565829.9,0.5679,3.0427
2022-09-09,xxx27_convert,520.16,538.06,512.53,536.58,0.0336,buy,1090,430483.0584837,1015355.2584837,584872.2,0.576,
2022-09-16,xxx27_convert,537.73,542.6,497.3,504.14,-0.0605,sell,1250,344444.6584837,974619.6584837,630175.0,0.6466,0.0
2022-09-23,xxx27_convert,502.16,506.71,463.53,466.4,-0.0749,sell,1000,469979.4924462,936379.4924462,466400.0,0.4981,2.666
2022-09-30,xxx27_convert,465.87,491.55,465.21,472.27,0.0125,keep,800,563149.5120342,940965.5120342,377816.0,0.4015,1.9804
2022-10-07,xxx27_convert,474.5,493.88,466.12,468.15,-0.0087,keep,800,563149.5120342,937669.5120342,374520.0,0.3994,
2022-10-14,xxx27_convert,469.69,479.74,449.03,454.65,-0.0288,sell,800,563149.5120342,926869.5120342,363720.0,0.3924,
2022-10-21,xxx27_convert,461.65,479.57,460.48,478.18,0.0518,sell,640,637010.3418838,943045.5418838,306035.2,0.3245,1.5702
2022-10-28,xxx27_convert,481.61,512.82,481.01,510.87,0.0685,keep,512,698653.8321110001,960219.272111,261565.44,0.2724,1.3098
2022-11-04,xxx27_convert,509.64,509.64,476.49,486.41,-0.048,sell,512,698653.8321110001,947695.7521110001,249041.92,0.2628,
2022-11-11,xxx27_convert,477.05,516.84,474.5,515.47,0.0598,buy,410,747310.87815332,958653.5781533201,211342.7,0.2205,1.034
2022-11-18,xxx27_convert,515.77,529.8,509.42,523.67,0.0159,keep,699,598250.45815332,964295.78815332,366045.33,0.3796,0.0
2022-11-25,xxx27_convert,525.74,536.8,522.08,533.66,0.019,buy,699,598250.45815332,971278.79815332,373028.34,0.3841,
2022-12-02,xxx27_convert,530.89,542.58,492.11,494.53,-0.0732,sell,924,478797.95815332,935743.67815332,456945.72,0.4883,0.0
2022-12-09,xxx27_convert,492.5,492.7,470.5,483.02,-0.0232,sell,740,569414.19327596,926848.99327596,357434.8,0.3856,1.9249
2022-12-16,xxx27_convert,482.73,497.97,456.88,461.45,-0.0447,sell,592,640855.2353702,914033.6353702,273178.4,0.2989,1.5179
2022-12-23,xxx27_convert,460.92,463.69,452.53,462.65,0.0026,keep,474,695241.45919322,914537.55919322,219296.1,0.2398,1.1562
2022-12-30,xxx27_convert,464.4,464.7,450.75,456.5,-0.0134,keep,474,695241.45919322,911622.45919322,216381.0,0.2374,
2023-01-06,xxx27_convert,458.0,484.42,447.9,482.87,0.0576,sell,474,695241.45919322,924121.83919322,228880.38,0.2477,
2023-01-13,xxx27_convert,482.93,486.87,475.48,485.25,0.0048,buy,380,740634.97472314,925029.97472314,184395.0,0.1993,0.9645
2023-01-20,xxx27_convert,485.13,490.48,468.07,480.11,-0.0106,keep,685,592667.27472314,921542.6247231402,328875.35,0.3569,0.0
2023-01-27,xxx27_convert,479.95,509.1,477.6,503.29,0.0482,buy,685,592667.27472314,937420.9247231401,344753.65,0.3678,
2023-02-03,xxx27_convert,500.37,530.05,500.37,514.8,0.0229,buy,921,474577.59472314006,948708.3947231399,474130.8,0.4998,0.0
2023-02-10,xxx27_convert,514.44,517.99,495.38,499.99,-0.0288,sell,1105,379918.7947231401,932407.74472314,552488.95,0.5925,0.0
2023-02-17,xxx27_convert,501.74,511.42,498.63,507.48,0.015,keep,884,490798.7698952101,939411.0898952101,448612.32,0.4775,2.3548
2023-02-24,xxx27_convert,500.82,505.46,484.7,488.61,-0.0372,sell,884,490798.7698952101,922730.0098952102,431931.24,0.4681,
2023-03-03,xxx27_convert,492.55,493.0,465.33,475.26,-0.0273,keep,708,577483.9685233701,913968.0485233702,336484.08,0.3682,1.8414
2023-03-10,xxx27_convert,476.52,495.21,468.38,471.14,-0.0087,keep,708,577483.9685233701,911051.0885233701,333567.12,0.3661,
2023-03-17,xxx27_convert,466.8,489.9,466.8,487.05,0.0338,sell,708,577483.9685233701,922315.3685233701,344831.4,0.3739,
2023-03-24,xxx27_convert,488.0,496.62,484.29,495.27,0.0169,keep,567,646289.0968059801,927107.18680598,280818.09,0.3029,1.4617
2023-03-31,xxx27_convert,497.28,499.86,485.41,496.87,0.0032,sell,567,646289.0968059801,928014.38680598,281725.29,0.3036,
2023-04-06,xxx27_convert,496.5,504.13,477.5,485.98,-0.0219,sell,454,702391.2751882101,923026.1951882101,220634.92,0.239,1.1916
2023-04-14,xxx27_convert,483.9,500.37,481.66,491.3,0.0111,sell,364,745940.4499261101,924773.6499261102,178833.2,0.1934,0.9253
2023-04-21,xxx27_convert,492.77,510.66,491.15,506.35,0.0306,keep,292,781418.4163049901,929272.6163049901,147854.2,0.1591,0.7536
2023-04-28,xxx27_convert,506.1,513.13,493.39,503.22,-0.0061,keep,292,781418.4163049901,928358.65630499,146940.24,0.1583,
2023-05-05,xxx27_convert,499.15,500.05,485.93,499.06,-0.0082,keep,292,781418.4163049901,927143.9363049901,145725.52,0.1572,
2023-05-12,xxx27_convert,497.37,506.03,495.1,504.07,0.01,buy,292,781418.4163049901,928606.8563049901,147188.44,0.1585,
2023-05-19,xxx27_convert,504.01,505.0,491.9,496.52,-0.0149,buy,602,625172.2163049901,924077.25630499,298905.04,0.3235,0.0
2023-05-26,xxx27_convert,497.0,510.75,476.75,507.26,0.0217,sell,853,500422.7063049901,933115.48630499,432692.78,0.4637,0.0
2023-06-02,xxx27_convert,509.79,518.5,501.59,512.59,0.0104,buy,683,587083.4661603901,937182.43616039,350098.97,0.3736,1.8401
2023-06-09,xxx27_convert,512.59,522.06,510.57,517.28,0.0092,buy,912,469698.06616039004,941457.42616039,471759.36,0.5011,0.0
2023-06-16,xxx27_convert,517.28,531.26,516.0,523.65,0.0122,buy,1093,376068.57616039005,948418.02616039,572349.45,0.6035,0.0
2023-06-23,xxx27_convert,521.95,525.4,516.54,524.44,0.0015,keep,1237,300906.33616039006,949638.6161603901,648732.28,0.6831,0.0
2023-06-30,xxx27_convert,524.4,539.56,521.26,538.38,0.0267,buy,1237,300906.33616039006,966882.39616039,665976.06,0.6888,
2023-07-07,xxx27_convert,537.25,546.05,524.63,525.05,-0.0247,buy,1349,240733.21616039006,949025.66616039,708292.45,0.7463,0.0
2023-07-14,xxx27_convert,525.06,546.86,525.06,546.7,0.0412,buy,1440,192951.84616039007,980199.8461603902,787248.0,0.8032,0.0
2023-07-21,xxx27_convert,546.18,562.05,546.1,557.86,0.0203,keep,1510,154718.54616039008,997087.14616039,842368.6,0.8448,0.0
2023-07-28,xxx27_convert,558.0,571.16,555.88,563.32,0.0098,buy,1510,154718.54616039008,1005331.7461603901,850613.2,0.8461,
2023-08-04,xxx27_convert,563.0,564.29,551.02,552.04,-0.02,buy,1564,124316.00616039007,987706.56616039,863390.56,0.8741,0.0
2023-08-11,xxx27_convert,554.99,569.21,551.84,562.96,0.0197,buy,1608,99896.00616039007,1005135.6861603901,905239.68,0.9006,0.0
2023-08-18,xxx27_convert,564.77,567.71,543.11,544.94,-0.032,buy,1643,80128.70616039007,975465.1261603901,895336.42,0.9179,0.0
2023-08-25,xxx27_convert,543.86,545.15,530.56,534.01,-0.0201,buy,1672,64356.47616039007,957221.19616039,892864.72,0.9328,0.0
2023-09-01,xxx27_convert,536.0,553.48,533.12,544.25,0.0192,buy,1696,51492.23616039007,974540.2361603901,923048.0,0.9472,0.0
2023-09-08,xxx27_convert,545.73,552.38,540.18,551.19,0.0128,buy,1714,41668.91616039007,986408.5761603902,944739.66,0.9578,0.0
2023-09-15,xxx27_convert,552.81,566.7,551.86,556.36,0.0094,buy,1729,33376.61616039007,995323.0561603901,961946.44,0.9665,0.0
2023-09-22,xxx27_convert,558.18,569.22,554.28,558.59,0.004,buy,1740,27236.52616039007,999183.1261603902,971946.6,0.9727,0.0
2023-09-29,xxx27_convert,559.49,572.18,544.73,564.96,0.0115,buy,1749,22201.02616039007,1010316.0661603902,988115.04,0.978,0.0
2023-10-06,xxx27_convert,567.91,576.19,542.63,557.53,-0.0132,buy,1756,18225.58616039007,997248.26616039,979022.68,0.9817,0.0
