date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xxx7_convert,145.13,152.42,131.13,132.0,-0.0827,,,,,,,
2022-01-14,xxx7_convert,129.08,141.25,125.03,136.88,0.037,,,,,,,
2022-01-21,xxx7_convert,134.5,136.39,118.39,118.81,-0.132,,,,,,,
2022-01-28,xxx7_convert,115.4,117.16,99.35,105.24,-0.1143,,,,,,,
2022-02-04,xxx7_convert,107.93,130.06,106.9,123.6,0.1744,,,,,,,
2022-02-11,xxx7_convert,123.56,132.96,111.81,113.18,-0.0843,,,,,,,
2022-02-18,xxx7_convert,115.51,121.88,109.89,113.83,0.0057,,,,,,,
2022-02-25,xxx7_convert,115.27,121.23,104.26,121.06,0.0636,,,,,,,
2022-03-04,xxx7_convert,120.31,124.61,106.81,108.41,-0.1046,,,,,,,
2022-03-11,xxx7_convert,108.53,111.71,100.08,104.29,-0.038,,,,,,,
2022-03-18,xxx7_convert,102.99,115.42,101.04,113.46,0.0877,buy,0,1000000,1000000,0.0,0.0,
2022-03-25,xxx7_convert,113.73,121.4,112.21,119.67,0.0548,keep,1758,800045.08,1010424.94,210379.86,0.2082,0.0
2022-04-01,xxx7_convert,117.7,125.67,106.1,108.19,-0.0958,sell,1758,800045.08,990243.1,190198.02,0.1921,
2022-04-08,xxx7_convert,109.97,110.94,100.42,101.0,-0.0665,sell,1407,838640.18771584,980747.18771584,142107.0,0.1449,0.8523
2022-04-14,xxx7_convert,98.6,99.59,92.92,93.06,-0.0785,sell,1126,866343.36249725,971128.9224972499,104785.56,0.1079,0.6152
2022-04-22,xxx7_convert,92.03,97.91,87.94,88.14,-0.0529,sell,901,887047.4009277499,966461.54092775,79414.14,0.0822,0.4616
2022-04-29,xxx7_convert,89.86,91.79,84.02,85.52,-0.0298,sell,721,903220.03987475,964879.95987475,61659.92,0.0639,0.3611
2022-05-06,xxx7_convert,85.66,99.69,85.32,95.34,0.115,sell,577,915553.36373315,970564.54373315,55011.18,0.0567,0.2761
2022-05-13,xxx7_convert,92.86,96.57,83.27,95.12,-0.0023,sell,462,926230.8758153999,970176.3158153999,43945.44,0.0453,0.2379
2022-05-20,xxx7_convert,93.86,104.22,88.26,93.5,-0.0171,buy,370,934864.8835491999,969459.8835491999,34595.0,0.0357,0.1923
2022-05-27,xxx7_convert,91.66,102.4,89.52,102.26,0.0936,keep,2409,747949.7535491999,994294.0935491999,246344.34,0.2478,0.0
