date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xxx52,170.21,174.3,169.1,173.95,0.02,,,,,,,
2022-01-14,xxx52,173.69,173.69,167.15,167.84,-0.04,,,,,,,
2022-01-21,xxx52,167.1,168.72,164.47,164.87,-0.02,,,,,,,
2022-01-28,xxx52,164.0,171.91,158.26,171.79,0.04,,,,,,,
2022-02-04,xxx52,171.5,173.62,169.43,171.63,-0.0,,,,,,,
2022-02-11,xxx52,171.41,172.24,167.54,167.71,-0.02,,,,,,,
2022-02-18,xxx52,167.71,168.1,162.94,163.36,-0.03,,,,,,,
2022-02-25,xxx52,163.57,166.99,155.72,166.0,0.02,,,,,,,
2022-03-04,xxx52,162.87,169.86,162.38,169.48,0.02,,,,,,,
2022-03-11,xxx52,168.3,173.12,167.36,169.35,-0.0,,,,,,,
2022-03-18,xxx52,170.68,177.0,170.35,174.84,0.03,keep,0,1000000,0.0,0.0,1000000.0,
2022-03-25,xxx52,174.66,177.7,173.91,176.92,0.01,buy,0,1000000.0,0.0,0.0,1000000.0,
2022-04-01,xxx52,176.65,180.21,175.6,178.19,0.01,keep,1132,1001731.96,201711.08,0.2,800020.88,0.0
2022-04-08,xxx52,178.19,183.19,175.52,182.12,0.02,keep,1132,1006180.72,206159.84,0.2,800020.88,
2022-04-14,xxx52,183.0,184.2,178.2,179.9,-0.01,keep,1132,1003667.68,203646.8,0.2,800020.88,
2022-04-22,xxx52,179.73,185.94,176.74,181.54,0.01,keep,1132,1005524.16,205503.28,0.2,800020.88,
2022-04-29,xxx52,182.34,186.69,180.2,180.46,-0.01,keep,1132,1004301.6,204280.72,0.2,800020.88,
2022-05-06,xxx52,180.47,181.41,174.69,176.37,-0.02,sell,1132,999671.72,199650.84,0.2,800020.88,
2022-05-13,xxx52,175.45,179.18,174.59,176.85,0.0,keep,906,999895.5604677601,160226.1,0.16,839669.46,0.86
2022-05-20,xxx52,176.85,179.7,172.69,176.98,0.0,keep,906,1000013.3404677601,160343.88,0.16,839669.46,
2022-05-27,xxx52,177.6,181.74,177.46,181.09,0.02,keep,906,1003737.0004677601,164067.54,0.16,839669.46,
2022-06-03,xxx52,178.0,180.17,174.59,176.42,-0.03,sell,906,999505.9804677601,159836.52,0.16,839669.46,
2022-06-10,xxx52,177.21,179.45,170.62,172.55,-0.02,sell,725,996840.7153915601,125098.75,0.13,871741.97,0.7
2022-06-17,xxx52,170.08,172.25,167.26,169.46,-0.02,sell,580,994688.3802734102,98286.8,0.1,896401.58,0.54
2022-06-24,xxx52,170.75,182.53,169.56,182.29,0.08,keep,464,1000789.5505467702,84582.56,0.08,916206.99,0.43
2022-07-01,xxx52,181.64,183.35,175.03,179.52,-0.02,sell,464,999504.2705467702,83297.28,0.08,916206.99,
2022-07-08,xxx52,178.83,179.99,174.61,178.28,-0.01,keep,372,998978.2341185302,66320.16,0.07,932658.07,0.36
2022-07-15,xxx52,177.7,179.02,172.3,178.23,-0.0,keep,372,998959.6341185302,66301.56,0.07,932658.07,
2022-07-22,xxx52,177.74,178.19,169.76,172.12,-0.03,sell,372,996686.7141185302,64028.64,0.06,932658.07,
2022-07-29,xxx52,172.12,176.09,171.13,174.52,0.01,sell,298,997400.8978535901,52006.96,0.05,945393.94,0.28
2022-08-05,xxx52,174.17,175.49,169.79,171.11,-0.02,sell,239,996564.4450483501,40895.29,0.04,955669.16,0.22
2022-08-12,xxx52,171.3,171.48,165.15,165.3,-0.03,sell,192,995457.2103921201,31737.6,0.03,963719.61,0.17
2022-08-19,xxx52,166.0,170.12,165.13,169.31,0.02,sell,154,996100.8334101001,26073.74,0.03,970027.09,0.14
2022-08-26,xxx52,168.9,168.92,164.2,164.27,-0.03,sell,124,995463.1634394,20369.48,0.02,975093.68,0.11
2022-09-02,xxx52,163.47,166.2,161.27,162.74,-0.01,sell,100,995290.6381995601,16274.0,0.02,979016.64,0.09
2022-09-09,xxx52,163.94,166.22,162.16,165.71,0.02,sell,80,995551.9669689601,13256.8,0.01,982295.17,0.07
2022-09-16,xxx52,166.11,167.63,160.81,167.6,0.01,sell,64,995679.1092553601,10726.4,0.01,984952.71,0.06
2022-09-23,xxx52,166.3,167.48,162.83,166.72,-0.01,sell,52,995617.58592228,8669.44,0.01,986948.15,0.04
2022-09-30,xxx52,165.8,167.67,163.32,163.36,-0.02,sell,42,995467.12991638,6861.12,0.01,988606.01,0.04
2022-10-07,xxx52,164.29,166.04,159.17,160.2,-0.02,sell,34,995367.0213653401,5446.8,0.01,989920.22,0.03
2022-10-14,xxx52,160.63,165.99,159.18,164.46,0.03,sell,28,995488.8004132201,4604.88,0.0,990883.92,0.02
2022-10-21,xxx52,165.4,169.37,163.05,168.71,0.03,sell,23,995591.18245227,3880.33,0.0,991710.85,0.02
2022-10-28,xxx52,169.81,175.39,168.52,174.87,0.04,sell,19,995712.56771307,3322.53,0.0,992390.04,0.01
2022-11-04,xxx52,174.52,175.16,168.94,171.48,-0.02,sell,16,995657.23636194,2743.68,0.0,992913.56,0.01
2022-11-11,xxx52,171.67,175.0,166.82,169.25,-0.01,sell,13,995628.77519036,2200.25,0.0,993428.53,0.01
2022-11-18,xxx52,170.25,176.64,170.25,176.2,0.04,sell,11,995707.19780228,1938.2,0.0,993769.0,0.01
2022-11-25,xxx52,175.89,178.12,174.83,177.24,0.01,keep,9,995715.91017732,1595.16,0.0,994120.75,0.01
2022-12-02,xxx52,176.75,179.96,174.66,178.88,0.01,keep,9,995730.67017732,1609.92,0.0,994120.75,
2022-12-09,xxx52,178.36,180.0,175.66,175.74,-0.02,sell,9,995702.41017732,1581.66,0.0,994120.75,
2022-12-16,xxx52,175.95,181.04,174.86,175.67,-0.0,sell,8,995702.0463635799,1405.36,0.0,994296.69,0.0
2022-12-23,xxx52,175.35,178.18,174.07,177.48,0.01,keep,7,995714.3825624399,1242.36,0.0,994472.02,0.0
2022-12-30,xxx52,178.11,178.45,175.4,176.65,-0.0,keep,7,995708.57256244,1236.55,0.0,994472.02,
2023-01-06,xxx52,176.16,180.93,176.01,180.25,0.02,keep,7,995733.7725624399,1261.75,0.0,994472.02,
2023-01-13,xxx52,179.3,179.76,172.11,173.43,-0.04,sell,7,995686.0325624399,1214.01,0.0,994472.02,
2023-01-20,xxx52,174.0,174.58,167.48,168.74,-0.03,sell,6,995658.4487896499,1012.44,0.0,994646.01,0.0
2023-01-27,xxx52,169.1,175.0,166.01,168.23,-0.0,sell,5,995656.2451197599,841.15,0.0,994815.1,0.0
2023-02-03,xxx52,167.93,168.54,161.05,164.61,-0.02,sell,4,995641.4514744399,658.44,0.0,994983.01,0.0
2023-02-10,xxx52,164.55,164.85,161.07,162.15,-0.02,sell,4,995631.61147444,648.6,0.0,994983.01,0.0
2023-02-17,xxx52,161.33,162.97,156.62,160.39,-0.01,sell,4,995624.57147444,641.56,0.0,994983.01,0.0
2023-02-24,xxx52,159.65,160.35,155.21,155.97,-0.03,sell,4,995606.89147444,623.88,0.0,994983.01,0.0
2023-03-03,xxx52,156.45,156.9,151.23,154.02,-0.01,sell,4,995599.09147444,616.08,0.0,994983.01,0.0
2023-03-10,xxx52,154.66,156.25,150.71,151.61,-0.02,sell,4,995589.4514744399,606.44,0.0,994983.01,0.0
2023-03-17,xxx52,152.09,155.91,151.57,152.38,0.01,sell,4,995592.53147444,609.52,0.0,994983.01,0.0
2023-03-24,xxx52,152.47,154.13,150.11,152.65,0.0,sell,4,995593.61147444,610.6,0.0,994983.01,0.0
2023-03-31,xxx52,154.2,155.19,151.73,155.0,0.02,sell,4,995603.01147444,620.0,0.0,994983.01,0.0
2023-04-06,xxx52,154.95,167.23,153.94,165.15,0.07,sell,4,995643.61147444,660.6,0.0,994983.01,0.0
2023-04-14,xxx52,164.63,166.33,163.1,165.84,0.0,sell,4,995646.37147444,663.36,0.0,994983.01,0.0
2023-04-21,xxx52,165.74,166.24,159.65,162.69,-0.02,sell,4,995633.77147444,650.76,0.0,994983.01,0.0
2023-04-28,xxx52,162.69,165.35,161.87,163.7,0.01,sell,4,995637.81147444,654.8,0.0,994983.01,0.0
2023-05-05,xxx52,163.6,166.18,161.25,162.68,-0.01,sell,4,995633.73147444,650.72,0.0,994983.01,0.0
2023-05-12,xxx52,161.99,162.57,159.39,160.78,-0.01,sell,4,995626.13147444,643.12,0.0,994983.01,0.0
2023-05-19,xxx52,160.8,161.03,157.56,158.91,-0.01,sell,4,995618.65147444,635.64,0.0,994983.01,0.0
2023-05-26,xxx52,158.0,159.14,153.72,154.35,-0.03,sell,4,995600.41147444,617.4,0.0,994983.01,0.0
2023-06-02,xxx52,153.97,157.31,153.15,156.97,0.02,sell,4,995610.89147444,627.88,0.0,994983.01,0.0
