date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission
2022-01-07,xxx37_convert,93.3,97.99,91.06,95.69,0.0292,,,,,98217,,,
2022-01-14,xxx37_convert,95.21,98.3,94.19,97.47,0.0186,,,,,43662,,,
2022-01-21,xxx37_convert,96.77,97.14,92.67,93.2,-0.0438,,,,,90584,,,
2022-01-28,xxx37_convert,92.01,93.42,88.65,90.71,-0.0267,,,,,91688,,,
2022-02-04,xxx37_convert,90.7,98.48,89.85,95.38,0.0516,,,,,48356,,,
2022-02-11,xxx37_convert,95.69,98.84,94.21,94.74,-0.0066,,,,,70662,,,
2022-02-18,xxx37_convert,95.07,96.24,92.28,92.77,-0.0208,,,,,53377,,,
2022-02-25,xxx37_convert,92.44,93.47,87.95,92.82,0.0006,,,,,34135,,,
2022-03-04,xxx37_convert,91.77,94.28,89.05,91.58,-0.0133,,,,,50448,,,
2022-03-11,xxx37_convert,91.73,97.39,90.88,93.0,0.0156,,,,,48482,,,
2022-03-18,xxx37_convert,93.56,97.28,91.06,97.0,0.0431,keep,0,1000000,1000000,10007,0.0,0.0,
2022-03-25,xxx37_convert,97.84,98.98,97.17,98.51,0.0157,keep,0,1000000,1000000.0,62991,0.0,0.0,
2022-04-01,xxx37_convert,97.62,100.0,96.55,98.42,-0.0008,keep,0,1000000,1000000.0,87871,0.0,0.0,
2022-04-08,xxx37_convert,98.08,98.69,94.05,94.57,-0.0391,keep,0,1000000,1000000.0,97734,0.0,0.0,
2022-04-14,xxx37_convert,94.65,94.92,92.4,92.86,-0.0181,keep,0,1000000,1000000.0,46653,0.0,0.0,
2022-04-22,xxx37_convert,92.63,99.03,92.63,93.6,0.008,keep,0,1000000,1000000.0,58016,0.0,0.0,
2022-04-29,xxx37_convert,92.91,93.0,89.53,90.18,-0.0365,keep,0,1000000,1000000.0,85247,0.0,0.0,
2022-05-06,xxx37_convert,89.77,91.83,83.42,88.01,-0.024,keep,0,1000000,1000000.0,48848,0.0,0.0,
2022-05-13,xxx37_convert,86.56,86.75,81.01,83.68,-0.0492,keep,0,1000000,1000000.0,38564,0.0,0.0,
2022-05-20,xxx37_convert,83.57,87.27,81.64,83.64,-0.0005,keep,0,1000000,1000000.0,93738,0.0,0.0,
2022-05-27,xxx37_convert,84.13,88.44,82.42,88.4,0.0569,keep,0,1000000,1000000.0,70315,0.0,0.0,
2022-06-03,xxx37_convert,87.46,90.37,86.85,90.28,0.0213,keep,0,1000000,1000000.0,96391,0.0,0.0,
2022-06-10,xxx37_convert,91.1,92.22,86.77,87.06,-0.0357,keep,0,1000000,1000000.0,24496,0.0,0.0,
