date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos
2022-01-07,xxx96_convert,56.08,61.17,56.08,61.0,0.086,,,,,77710,,
2022-01-14,xxx96_convert,62.0,63.57,60.76,63.25,0.0369,,,,,78168,,
2022-01-21,xxx96_convert,63.3,63.55,55.07,55.1,-0.1289,,,,,48241,,
2022-01-28,xxx96_convert,54.32,58.74,53.68,58.08,0.054,,,,,78080,,
2022-02-04,xxx96_convert,57.51,60.24,56.72,59.7,0.0279,,,,,43399,,
2022-02-11,xxx96_convert,59.71,60.5,58.2,58.55,-0.0191,,,,,34360,,
2022-02-18,xxx96_convert,58.5,59.09,56.9,57.1,-0.0248,,,,,82419,,
2022-02-25,xxx96_convert,57.3,58.31,53.77,57.34,0.0042,,,,,74304,,
2022-03-04,xxx96_convert,55.55,56.93,53.55,55.25,-0.0365,,,,,66043,,
2022-03-11,xxx96_convert,54.86,55.53,52.44,52.65,-0.047,,,,,63463,,
2022-03-18,xxx96_convert,53.35,56.73,53.19,56.53,0.0737,keep,0,1000000,1000000,78697,0.0,0.0
2022-03-25,xxx96_convert,56.17,57.78,55.63,57.12,0.0105,keep,0,1000000,1000000.0,72594,0.0,0.0
2022-04-01,xxx96_convert,56.7,57.92,52.47,52.9,-0.0739,keep,0,1000000,1000000.0,58744,0.0,0.0
2022-04-08,xxx96_convert,52.54,53.7,51.14,52.25,-0.0123,keep,0,1000000,1000000.0,30544,0.0,0.0
2022-04-14,xxx96_convert,51.94,53.35,49.78,52.71,0.0089,keep,0,1000000,1000000.0,82090,0.0,0.0
2022-04-22,xxx96_convert,52.61,53.88,50.76,50.83,-0.0356,keep,0,1000000,1000000.0,53301,0.0,0.0
2022-04-29,xxx96_convert,50.49,51.07,48.42,48.56,-0.0446,keep,0,1000000,1000000.0,77694,0.0,0.0
2022-05-06,xxx96_convert,49.06,50.61,47.85,49.29,0.0151,keep,0,1000000,1000000.0,64678,0.0,0.0
