date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xxx83,116.47,117.8,107.47,107.57,-0.08,,,,,,,
2022-01-14,xxx83,106.61,107.01,99.09,100.12,-0.07,,,,,,,
2022-01-21,xxx83,99.17,99.36,95.47,96.31,-0.04,,,,,,,
2022-01-28,xxx83,94.75,98.64,93.79,97.21,0.01,,,,,,,
2022-02-04,xxx83,97.03,99.15,93.83,95.0,-0.02,,,,,,,
2022-02-11,xxx83,95.35,97.97,93.36,93.73,-0.01,,,,,,,
2022-02-18,xxx83,93.75,95.55,92.42,93.34,-0.0,,,,,,,
2022-02-25,xxx83,93.6,94.04,87.25,92.58,-0.01,,,,,,,
2022-03-04,xxx83,91.29,93.5,89.44,90.03,-0.03,,,,,,,
2022-03-11,xxx83,90.04,90.05,82.54,82.73,-0.08,,,,,,,
2022-03-18,xxx83,82.32,90.09,78.92,89.6,0.08,keep,0,1000000,0.0,0.0,1000000.0,
2022-03-25,xxx83,89.61,89.72,85.56,87.45,-0.02,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-01,xxx83,87.48,92.63,86.75,91.49,0.05,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-08,xxx83,87.89,88.46,81.34,81.52,-0.11,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-14,xxx83,80.88,81.74,79.25,79.5,-0.02,sell,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-04-22,xxx83,79.04,81.54,77.78,77.92,-0.02,buy,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-04-29,xxx83,77.38,78.08,74.48,74.64,-0.04,sell,2584,992894.0,192869.76,0.19,800024.24,0.0
2022-05-06,xxx83,75.25,82.87,73.38,76.52,0.03,sell,2068,997090.56329536,158243.36,0.16,838847.2,0.88
2022-05-13,xxx83,75.24,76.55,68.39,75.6,-0.01,sell,1655,995034.4916785699,125118.0,0.13,869916.49,0.7
2022-05-20,xxx83,74.94,75.44,70.33,73.39,-0.03,keep,1324,991886.1214511399,97168.36,0.1,894717.76,0.56
2022-05-27,xxx83,73.73,76.72,71.27,76.71,0.05,keep,1324,996281.80145114,101564.04,0.1,894717.76,
2022-06-03,xxx83,76.97,79.9,75.85,79.05,0.03,keep,1324,999379.9614511399,104662.2,0.1,894717.76,
2022-06-10,xxx83,79.7,81.3,75.66,75.67,-0.04,sell,1324,994904.8414511399,100187.08,0.1,894717.76,
2022-06-17,xxx83,73.09,75.27,70.35,71.87,-0.05,sell,1060,990192.6448796198,76182.2,0.08,914010.44,0.44
2022-06-24,xxx83,73.06,78.15,72.03,78.11,0.09,sell,848,995733.9744330199,66237.28,0.07,929496.69,0.35
2022-07-01,xxx83,78.0,79.89,74.87,79.26,0.01,sell,679,996494.24753551,53817.54,0.05,942676.71,0.3
2022-07-08,xxx83,78.02,80.47,77.36,79.28,0.0,sell,544,996336.1403121599,43128.32,0.04,953207.82,0.24
2022-07-15,xxx83,78.85,80.21,75.73,79.62,0.0,sell,436,996436.6686510398,34714.32,0.03,961722.35,0.19
2022-07-22,xxx83,80.03,84.43,80.0,83.59,0.05,keep,349,997856.8421014999,29172.91,0.03,968683.93,0.16
2022-07-29,xxx83,83.59,84.98,80.0,84.78,0.01,keep,349,998272.1521014998,29588.22,0.03,968683.93,
2022-08-05,xxx83,84.19,88.28,83.62,85.73,0.01,keep,349,998603.7021014999,29919.77,0.03,968683.93,
2022-08-12,xxx83,86.15,88.4,84.46,88.31,0.03,keep,349,999504.1221014999,30820.19,0.03,968683.93,
2022-08-19,xxx83,88.11,89.93,86.55,86.92,-0.02,keep,349,999019.0121014998,30335.08,0.03,968683.93,
2022-08-26,xxx83,85.38,87.99,83.96,84.06,-0.03,keep,349,998020.8721014999,29336.94,0.03,968683.93,
2022-09-02,xxx83,83.2,85.77,82.55,82.94,-0.01,keep,349,997629.9921014998,28946.06,0.03,968683.93,
2022-09-09,xxx83,83.07,89.95,81.67,88.69,0.07,keep,349,999636.7421014998,30952.81,0.03,968683.93,
2022-09-16,xxx83,89.77,93.48,86.07,91.31,0.03,keep,349,1000551.1221014999,31867.19,0.03,968683.93,
2022-09-23,xxx83,90.89,92.55,83.23,84.17,-0.08,keep,349,998059.2621014998,29375.33,0.03,968683.93,
2022-09-30,xxx83,84.31,87.48,83.17,84.26,0.0,keep,349,998090.6721014999,29406.74,0.03,968683.93,
2022-10-07,xxx83,84.75,90.9,83.8,87.03,0.03,keep,349,999057.4021014998,30373.47,0.03,968683.93,
2022-10-14,xxx83,87.01,90.7,84.71,86.37,-0.01,keep,349,998827.0621014999,30143.13,0.03,968683.93,
2022-10-21,xxx83,87.9,90.47,86.47,88.61,0.03,keep,349,999608.8221014999,30924.89,0.03,968683.93,
2022-10-28,xxx83,86.9,88.23,82.43,87.1,-0.02,keep,349,999081.8321014999,30397.9,0.03,968683.93,
2022-11-04,xxx83,86.6,93.6,82.97,91.86,0.05,keep,349,1000743.0721014999,32059.14,0.03,968683.93,
2022-11-11,xxx83,91.67,98.67,89.28,97.38,0.06,keep,349,1002669.5521014999,33985.62,0.03,968683.93,
2022-11-18,xxx83,97.13,99.53,95.1,97.95,0.01,keep,349,1002868.4821014999,34184.55,0.03,968683.93,
2022-11-25,xxx83,96.99,100.08,96.7,99.56,0.02,keep,349,1003430.3721014999,34746.44,0.03,968683.93,
2022-12-02,xxx83,98.99,105.54,98.2,105.05,0.06,keep,349,1005346.3821014998,36662.45,0.04,968683.93,
2022-12-09,xxx83,103.39,104.24,101.06,101.79,-0.03,keep,349,1004208.6421014998,35524.71,0.04,968683.93,
2022-12-16,xxx83,101.13,105.2,98.02,98.83,-0.03,keep,349,1003175.6021014999,34491.67,0.03,968683.93,
2022-12-23,xxx83,98.43,99.07,96.17,98.27,-0.01,keep,349,1002980.1621014999,34296.23,0.03,968683.93,
2022-12-30,xxx83,98.57,100.65,98.21,99.2,0.01,keep,349,1003304.7321014999,34620.8,0.03,968683.93,
2023-01-06,xxx83,100.56,107.0,99.47,106.69,0.08,keep,349,1005918.7421014998,37234.81,0.04,968683.93,
2023-01-13,xxx83,106.52,107.3,104.17,107.23,0.0,keep,349,1006107.2021014999,37423.27,0.04,968683.93,
2023-01-20,xxx83,106.95,107.6,103.89,105.04,-0.02,keep,349,1005342.8921014998,36658.96,0.04,968683.93,
2023-01-27,xxx83,105.04,109.76,104.4,109.02,0.04,keep,349,1006731.9121014999,38047.98,0.04,968683.93,
2023-02-03,xxx83,108.26,110.83,103.04,104.3,-0.04,keep,349,1005084.6321014998,36400.7,0.04,968683.93,
2023-02-10,xxx83,104.0,107.38,103.3,107.09,0.03,keep,349,1006058.3421014999,37374.41,0.04,968683.93,
2023-02-17,xxx83,107.45,109.1,106.23,107.1,0.0,keep,349,1006061.8321014999,37377.9,0.04,968683.93,
2023-02-24,xxx83,105.5,105.95,100.82,101.6,-0.05,keep,349,1004142.3321014999,35458.4,0.04,968683.93,
2023-03-03,xxx83,102.33,104.69,100.91,104.55,0.03,keep,349,1005171.8821014998,36487.95,0.04,968683.93,
2023-03-10,xxx83,104.45,105.94,99.03,99.38,-0.05,keep,349,1003367.5521014999,34683.62,0.03,968683.93,
2023-03-17,xxx83,98.91,100.71,97.28,98.7,-0.01,keep,349,1003130.2321014999,34446.3,0.03,968683.93,
2023-03-24,xxx83,99.1,101.48,97.19,98.34,-0.0,keep,349,1003004.5921014999,34320.66,0.03,968683.93,
2023-03-31,xxx83,98.92,104.28,98.08,104.13,0.06,keep,349,1005025.3021014999,36341.37,0.04,968683.93,
2023-04-06,xxx83,104.06,105.7,103.35,104.68,0.01,keep,349,1005217.2521014998,36533.32,0.04,968683.93,
2023-04-14,xxx83,103.55,108.17,103.07,107.47,0.03,keep,349,1006190.9621014999,37507.03,0.04,968683.93,
2023-04-21,xxx83,107.96,109.23,106.19,108.19,0.01,keep,349,1006442.2421014998,37758.31,0.04,968683.93,
2023-04-28,xxx83,108.19,114.31,108.04,114.29,0.06,keep,349,1008571.1421014998,39887.21,0.04,968683.93,
2023-05-05,xxx83,114.25,115.48,103.8,107.21,-0.06,keep,349,1006100.2221014999,37416.29,0.04,968683.93,
2023-05-12,xxx83,107.47,108.12,104.83,106.12,-0.01,keep,349,1005719.8121014999,37035.88,0.04,968683.93,
2023-05-19,xxx83,106.11,107.15,104.95,105.51,-0.01,keep,349,1005506.9221014999,36822.99,0.04,968683.93,
2023-05-26,xxx83,105.52,105.7,97.73,98.53,-0.07,keep,349,1003070.9021014998,34386.97,0.03,968683.93,
2023-06-02,xxx83,98.89,99.66,96.52,99.5,0.01,keep,349,1003409.4321014999,34725.5,0.03,968683.93,
2023-06-09,xxx83,100.04,100.87,96.92,97.96,-0.02,keep,349,1002871.9721014999,34188.04,0.03,968683.93,
2023-06-16,xxx83,97.96,102.51,97.52,101.87,0.04,keep,349,1004236.5621014999,35552.63,0.04,968683.93,
2023-06-23,xxx83,101.86,102.49,97.52,98.34,-0.03,keep,349,1003004.5921014999,34320.66,0.03,968683.93,
2023-06-30,xxx83,98.34,99.46,97.3,99.06,0.01,keep,349,1003255.8721014999,34571.94,0.03,968683.93,
2023-07-07,xxx83,98.73,99.57,95.55,96.05,-0.03,keep,349,1002205.3821014998,33521.45,0.03,968683.93,
2023-07-14,xxx83,96.3,102.2,96.23,101.61,0.06,keep,349,1004145.8221014999,35461.89,0.04,968683.93,
2023-07-21,xxx83,100.83,103.55,99.86,102.82,0.01,keep,349,1004568.1121014999,35884.18,0.04,968683.93,
2023-07-28,xxx83,102.88,103.77,100.54,101.25,-0.02,keep,349,1004020.1821014999,35336.25,0.04,968683.93,
2023-08-04,xxx83,101.31,104.46,99.29,100.68,-0.01,keep,349,1003821.2521014998,35137.32,0.04,968683.93,
2023-08-11,xxx83,101.42,102.37,99.47,100.99,0.0,keep,349,1003929.4421014999,35245.51,0.04,968683.93,
2023-08-18,xxx83,100.48,101.22,95.79,97.23,-0.04,keep,349,1002617.2021014999,33933.27,0.03,968683.93,
2023-08-25,xxx83,97.32,97.57,93.71,95.48,-0.02,keep,349,1002006.4521014999,33322.52,0.03,968683.93,
2023-09-01,xxx83,95.94,99.72,95.83,98.0,0.03,keep,349,1002885.9321014999,34202.0,0.03,968683.93,
2023-09-08,xxx83,97.52,97.81,94.75,95.28,-0.03,keep,349,1001936.6521014998,33252.72,0.03,968683.93,
2023-09-15,xxx83,95.65,97.78,95.2,96.23,0.01,keep,349,1002268.2021014999,33584.27,0.03,968683.93,
2023-09-22,xxx83,96.3,96.97,93.03,93.68,-0.03,keep,349,1001378.2521014998,32694.32,0.03,968683.93,
2023-09-29,xxx83,92.89,93.47,90.21,91.27,-0.03,keep,349,1000537.1621014999,31853.23,0.03,968683.93,
2023-10-06,xxx83,91.05,93.34,89.21,92.85,0.02,keep,349,1001088.5821014999,32404.65,0.03,968683.93,
2023-10-13,xxx83,92.45,93.97,90.77,91.48,-0.01,keep,349,1000610.4521014999,31926.52,0.03,968683.93,
