date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xxx16,2423.0,2518.25,2396.61,2434.58,0.01,,,,,,,
2022-01-14,xxx16,2433.74,2495.0,2362.41,2450.95,0.01,,,,,,,
2022-01-21,xxx16,2424.14,2482.53,2339.31,2345.86,-0.04,,,,,,,
2022-01-28,xxx16,2317.32,2438.94,2218.67,2412.94,0.03,,,,,,,
2022-02-04,xxx16,2405.78,2487.44,2373.13,2442.93,0.01,,,,,,,
2022-02-11,xxx16,2467.4,2687.0,2454.16,2530.01,0.04,,,,,,,
2022-02-18,xxx16,2521.57,2715.66,2514.14,2616.41,0.03,,,,,,,
2022-02-25,xxx16,2588.46,2617.75,2138.72,2281.46,-0.13,,,,,,,
2022-03-04,xxx16,2241.8,2241.8,1963.71,1985.04,-0.13,,,,,,,
2022-03-11,xxx16,1970.26,2082.99,1796.45,2017.4,0.02,,,,,,,
2022-03-18,xxx16,2010.2,2239.72,1985.75,2186.31,0.08,buy,0,1000000,0.0,0.0,1000000.0,
2022-03-25,xxx16,2204.5,2298.08,2142.0,2247.93,0.03,keep,90,1003907.791,202313.69,0.2,801594.1,0.0
2022-04-01,xxx16,2260.77,2420.89,2220.7,2367.83,0.05,keep,90,1014698.809,213104.71,0.21,801594.1,
2022-04-08,xxx16,2375.67,2379.96,2166.38,2167.42,-0.08,sell,90,996661.891,195067.79,0.2,801594.1,
2022-04-14,xxx16,2150.0,2307.46,2144.95,2227.29,0.03,keep,72,1000657.9851617799,160364.88,0.16,840293.11,0.81
2022-04-22,xxx16,2210.0,2337.9,2173.0,2213.87,-0.01,keep,72,999691.7523617799,159398.65,0.16,840293.11,
2022-04-29,xxx16,2192.07,2363.45,2158.95,2210.31,-0.0,keep,72,999435.43236178,159142.33,0.16,840293.11,
2022-05-06,xxx16,2207.0,2308.0,1997.24,2194.23,-0.01,keep,72,998277.6651617798,157984.56,0.16,840293.11,
2022-05-13,xxx16,2105.35,2143.21,2001.93,2101.89,-0.04,sell,72,991629.17796178,151336.07,0.15,840293.11,
2022-05-20,xxx16,2086.11,2161.0,2033.61,2115.9,0.01,keep,58,992220.0857823505,122722.19,0.12,869497.89,0.61
2022-05-27,xxx16,2157.39,2274.17,2019.35,2265.98,0.07,keep,58,1000924.7315823504,131426.84,0.13,869497.89,
2022-06-03,xxx16,2243.32,2383.9,2195.04,2335.87,0.03,keep,58,1004978.3573823505,135480.47,0.13,869497.89,
2022-06-10,xxx16,2366.44,2393.31,2096.53,2104.96,-0.1,sell,58,991585.5715823505,122087.68,0.12,869497.89,
2022-06-17,xxx16,2006.45,2016.15,1832.3,1906.87,-0.09,sell,47,981191.1567857105,89622.89,0.09,891568.27,0.46
2022-06-24,xxx16,1949.58,1953.87,1795.01,1931.05,0.01,keep,38,982493.9272459805,73379.9,0.07,909114.03,0.37
2022-07-01,xxx16,1939.91,1954.0,1703.05,1767.98,-0.08,sell,38,976297.2672459804,67183.24,0.07,909114.03,
2022-07-08,xxx16,1711.53,1807.45,1689.46,1769.48,0.0,keep,31,975948.2948195405,54853.88,0.06,921094.41,0.25
2022-07-15,xxx16,1737.66,1762.33,1669.34,1698.59,-0.04,sell,31,973750.7048195405,52656.29,0.05,921094.41,
2022-07-22,xxx16,1744.91,1857.59,1729.15,1809.88,0.07,keep,25,976810.5942481405,45247.0,0.05,931563.59,0.22
2022-07-29,xxx16,1818.83,1946.46,1794.75,1935.69,0.07,keep,25,979955.8417481405,48392.25,0.05,931563.59,
2022-08-05,xxx16,1923.75,1974.07,1862.99,1924.97,-0.01,keep,25,979687.8442481405,48124.25,0.05,931563.59,
2022-08-12,xxx16,1922.88,2122.99,1919.3,2120.98,0.1,keep,25,984588.0942481405,53024.5,0.05,931563.59,
2022-08-19,xxx16,2102.0,2161.05,2083.92,2086.92,-0.02,keep,25,983736.5917481405,52173.0,0.05,931563.59,
2022-08-26,xxx16,2018.43,2042.06,1908.0,1910.96,-0.08,sell,25,979337.5942481405,47774.0,0.05,931563.59,
2022-09-02,xxx16,1897.0,1924.99,1801.91,1837.91,-0.04,sell,20,977806.5444691904,36758.2,0.04,941048.34,0.2
2022-09-09,xxx16,1837.91,1984.99,1780.09,1981.03,0.08,keep,16,980096.2696095904,31696.48,0.03,948399.79,0.15
2022-09-16,xxx16,2010.21,2030.95,1854.39,1876.45,-0.05,sell,16,978422.9896095904,30023.2,0.03,948399.79,
2022-09-23,xxx16,1849.1,1926.45,1646.04,1669.88,-0.11,sell,13,975655.3827599206,21708.44,0.02,953946.94,0.12
