date,code,open,high,low,close,change,decision
2022-01-31,xxx13,155.83,160.32,129.26,142.97,-0.077,
2022-02-28,xxx13,143.02,157.5,139.25,148.46,0.0384,
2022-03-31,xxx13,147.86,148.65,128.38,137.16,-0.0761,
2022-04-29,xxx13,137.34,139.26,111.36,111.63,-0.1861,
2022-05-31,xxx13,111.71,116.44,99.47,110.44,-0.0107,
2022-06-30,xxx13,112.01,112.85,92.01,94.4,-0.1452,
2022-07-29,xxx13,94.24,106.34,90.23,106.1,0.1239,
2022-08-31,xxx13,104.87,126.48,103.86,112.08,0.0564,
2022-09-30,xxx13,111.79,117.49,94.28,94.33,-0.1584,
2022-10-31,xxx13,95.73,107.43,90.71,106.54,0.1294,
2022-11-30,xxx13,107.7,108.84,86.28,97.87,-0.0814,
2022-12-30,xxx13,97.87,99.69,84.07,86.88,-0.1123,
2023-01-31,xxx13,88.98,110.58,87.83,108.49,0.2487,
2023-02-28,xxx13,108.5,118.18,98.96,99.61,-0.0819,
2023-03-31,xxx13,99.19,102.7,90.46,100.13,0.0052,
2023-04-28,xxx13,100.21,102.56,96.46,102.5,0.0237,
2023-05-31,xxx13,102.41,103.91,87.01,87.96,-0.1419,
2023-06-30,xxx13,88.4,94.52,87.11,89.28,0.015,
2023-07-31,xxx13,89.12,90.95,85.16,88.89,-0.0044,
2023-08-31,xxx13,89.12,92.53,82.46,83.68,-0.0586,
2023-09-29,xxx13,82.11,86.19,79.22,81.05,-0.0314,
2023-10-31,xxx13,80.92,86.29,78.73,81.59,0.0067,
2023-11-30,xxx13,81.53,96.51,80.18,92.69,0.136,
2023-12-20,xxx13,92.74,94.83,89.931,91.27,-0.0153,
