date,code,open,high,low,close,change,decision
2022-01-31,xxx71,214.65,219.45,192.74,202.21,-0.0566,
2022-02-28,xxx71,225.01,233.72,199.05,210.42,0.0406,
2022-03-31,xxx71,209.47,223.97,198.53,214.46,0.0192,
2022-04-29,xxx71,214.9,215.21,179.56,179.98,-0.1608,
2022-05-31,xxx71,180.28,184.61,165.34,182.25,0.0126,
2022-06-30,xxx71,182.24,188.88,169.46,182.54,0.0016,
2022-07-29,xxx71,181.78,195.73,175.13,194.89,0.0677,
2022-08-31,xxx71,193.08,209.39,191.6,194.51,-0.0019,
2022-09-30,xxx71,194.38,200.96,160.11,161.54,-0.1695,
2022-10-31,xxx71,160.63,174.8,154.87,167.77,0.0386,
2022-11-30,xxx71,168.96,189.73,160.07,189.73,0.1309,
2022-12-30,xxx71,189.58,191.6,171.89,173.84,-0.0838,
2023-01-31,xxx71,174.27,186.08,157.61,185.23,0.0655,
2023-02-28,xxx71,184.68,193.71,176.09,182.49,-0.0148,
2023-03-31,xxx71,181.93,194.12,178.21,193.99,0.063,
2023-04-28,xxx71,192.83,197.8,172.13,179.81,-0.0731,
2023-05-31,xxx71,179.95,182.69,166.15,167.0,-0.0712,
2023-06-30,xxx71,167.51,180.27,166.18,179.25,0.0734,
2023-07-31,xxx71,178.26,192.98,177.59,187.13,0.044,
2023-08-31,xxx71,186.86,187.0,166.4,169.4,-0.0947,
2023-09-29,xxx71,170.52,170.68,150.54,155.87,-0.0799,
2023-10-31,xxx71,155.15,158.49,133.68,141.25,-0.0938,
2023-11-30,xxx71,141.38,153.46,136.52,151.61,0.0733,
2023-12-20,xxx71,151.99,163.815,151.02,156.96,0.0353,
