date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2014-01-30,xx002493,8.33,8.57,7.6,8.1,-0.03,,,,,,,
2014-02-28,xx002493,8.03,9.83,7.89,8.93,0.1,,,,,,,
2014-03-31,xx002493,8.89,10.0,8.66,8.84,-0.01,,,,,,,
2014-04-30,xx002493,8.88,9.13,7.7,7.97,-0.1,,,,,,,
2014-05-30,xx002493,7.91,8.37,7.65,7.87,0.0,,,,,,,
2014-06-30,xx002493,7.88,9.17,7.77,8.14,0.03,,,,,,,
2014-07-31,xx002493,8.15,9.12,8.02,8.83,0.08,,,,,,,
2014-08-29,xx002493,8.78,11.5,8.6,10.96,0.24,,,,,,,
2014-09-30,xx002493,10.96,14.2,10.82,12.86,0.17,,,,,,,
2014-10-31,xx002493,12.8,13.56,10.63,11.27,-0.12,,,,,,,
2014-11-28,xx002493,11.27,12.2,10.6,11.87,0.05,keep,0,1000000,0.0,0.0,1000000.0,
2014-12-31,xx002493,11.9,12.5,11.07,12.13,0.02,buy,0,1000000.0,0.0,0.0,1000000.0,
2015-01-30,xx002493,12.21,16.0,11.74,14.32,0.18,keep,16300,1034180.2,233416.0,0.23,800764.2,49.8
2015-02-27,xx002493,13.85,16.8,13.85,15.65,0.09,keep,16300,1055859.2,255095.0,0.24,800764.2,
2015-03-31,xx002493,15.5,19.94,15.3,19.69,0.26,keep,16300,1121711.2,320947.0,0.29,800764.2,
2015-04-30,xx002493,19.6,28.59,19.22,25.2,0.28,keep,16300,1211524.2,410760.0,0.34,800764.2,
2015-05-29,xx002493,25.2,34.85,20.31,27.93,0.11,keep,16300,1256023.2,455259.0,0.36,800764.2,
2015-06-30,xx002493,28.2,35.0,18.59,21.24,-0.24,keep,16326,1147528.44,346764.24,0.3,800764.2,
2015-07-31,xx002493,21.3,22.03,11.47,17.41,-0.18,keep,16326,1084999.8599999999,284235.66,0.26,800764.2,
2015-08-31,xx002493,17.41,22.45,14.81,16.78,-0.04,keep,16326,1074714.48,273950.28,0.25,800764.2,
2015-09-30,xx002493,16.68,16.68,6.53,6.92,-0.18,keep,32628,1026549.96,225785.76,0.22,800764.2,
2015-10-30,xx002493,7.26,11.95,7.21,11.12,0.61,keep,32628,1163587.56,362823.36,0.31,800764.2,
2015-11-30,xx002493,10.88,15.2,10.75,13.06,0.17,keep,32628,1226885.88,426121.68,0.35,800764.2,
2015-12-31,xx002493,13.2,16.37,11.82,15.5,0.19,,32628,1306498.2,505734.0,0.39,800764.2,
