date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2018-01-31,xx002493,14.61,16.65,13.4,15.45,0.08,,,,,,,,
2018-02-28,xx002493,15.63,17.1,13.24,16.7,0.08,,,,,,,,
2018-03-30,xx002493,16.15,17.01,13.8,14.75,-0.12,,,,,,,,
2018-04-27,xx002493,14.77,15.33,14.0,15.01,0.02,,,,,,,,
2018-05-31,xx002493,15.15,15.54,10.08,10.58,0.07,,,,,,,,
2018-06-29,xx002493,10.55,10.96,9.4,10.32,-0.02,,,,,,,,
2018-07-31,xx002493,10.32,11.88,9.8,11.65,0.13,,,,,,,,
2018-08-31,xx002493,11.65,12.33,10.61,11.5,-0.01,,,,,,,,
2018-09-28,xx002493,11.38,11.57,10.26,11.2,-0.03,,,,,,,,
2018-10-31,xx002493,10.96,11.23,8.27,10.32,-0.08,,,,,,,,
2018-11-30,xx002493,10.31,10.8,9.72,10.04,-0.03,keep,0,1000000,0.0,0.0,1000000.0,,
2018-12-28,xx002493,10.3,10.71,9.2,10.09,0.0,buy,0,1000000.0,0.0,0.0,1000000.0,,
2019-01-31,xx002493,10.07,10.93,9.93,10.52,0.04,keep,19800,1008662.1,208296.0,0.21,800366.1,49.9,
2019-02-28,xx002493,10.64,11.5,10.4,11.21,0.07,sell,19800,1022324.1,221958.0,0.22,800366.1,,
2019-03-29,xx002493,11.31,12.8,10.65,12.61,0.12,sell,15840,1044800.56,199742.4,0.19,845058.16,11.19,44.75
2019-04-30,xx002493,12.75,15.26,12.56,13.21,0.05,sell,12672,1052765.1500000001,167397.12,0.16,885368.03,10.09,40.36
2019-05-31,xx002493,12.8,12.9,11.18,11.48,-0.12,sell,10224,1035389.93,117371.52,0.11,918018.41,8.17,32.69
2019-06-28,xx002493,11.48,12.4,10.95,12.06,0.05,keep,8180,1040084.5900000002,98650.8,0.09,941433.79,5.86,23.44
2019-07-31,xx002493,12.33,12.8,11.03,11.9,-0.01,keep,8180,1038775.7900000002,97342.0,0.09,941433.79,,
2019-08-30,xx002493,11.89,12.04,10.5,10.83,-0.09,keep,8180,1030023.1900000002,88589.4,0.09,941433.79,,
2019-09-30,xx002493,10.89,11.86,10.71,10.95,0.01,keep,8180,1031004.7900000002,89571.0,0.09,941433.79,,
2019-10-31,xx002493,10.97,11.45,10.79,11.02,0.01,keep,8180,1031577.3900000001,90143.6,0.09,941433.79,,
2019-11-29,xx002493,11.08,12.18,10.93,12.15,0.1,keep,8180,1040820.7900000002,99387.0,0.1,941433.79,,
2019-12-31,xx002493,12.16,12.9,11.64,12.39,0.02,,8180,1042783.9900000002,101350.2,0.1,941433.79,,
