date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xx000063,33.58,34.16,32.51,33.5,0.0,,,,,,,
2022-01-14,xx000063,33.7,34.76,32.93,33.0,-0.01,,,,,,,
2022-01-21,xx000063,33.0,34.67,32.85,32.95,-0.0,,,,,,,
2022-01-28,xx000063,32.7,32.86,29.7,30.14,-0.09,,,,,,,
2022-02-11,xx000063,30.65,30.85,29.15,30.06,-0.0,,,,,,,
2022-02-18,xx000063,29.88,29.88,29.01,29.39,-0.02,,,,,,,
2022-02-25,xx000063,29.69,30.58,28.88,29.2,-0.01,,,,,,,
2022-03-04,xx000063,29.21,29.4,28.62,28.75,-0.02,,,,,,,
2022-03-11,xx000063,27.78,27.79,23.9,25.04,-0.13,,,,,,,
2022-03-18,xx000063,24.6,25.1,22.2,24.0,-0.04,,,,,,,
2022-03-25,xx000063,24.16,28.5,23.45,25.36,0.06,keep,0,1000000,0.0,0.0,1000000.0,
2022-04-01,xx000063,24.7,25.48,23.35,23.93,-0.06,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-08,xx000063,23.9,24.02,22.73,22.98,-0.04,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-15,xx000063,22.8,22.86,21.52,22.69,-0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-22,xx000063,22.5,23.22,21.39,22.81,0.01,buy,0,1000000.0,0.0,0.0,1000000.0,
2022-04-29,xx000063,22.5,24.28,21.71,24.13,0.06,buy,8800,1014206.48,212344.0,0.21,801862.48,49.52
2022-05-06,xx000063,24.0,24.1,23.05,23.23,-0.04,keep,15400,1001098.86,357742.0,0.36,643356.86,39.62
2022-05-13,xx000063,22.99,23.97,22.38,23.26,0.01,keep,15601,1006236.12,362879.26,0.36,643356.86,
2022-05-20,xx000063,23.53,24.15,23.01,23.78,0.02,keep,15601,1014348.64,370991.78,0.37,643356.86,
2022-05-27,xx000063,23.64,24.55,22.3,24.1,0.01,keep,15601,1019340.96,375984.1,0.37,643356.86,
2022-06-02,xx000063,24.22,24.39,23.82,24.22,0.0,keep,15601,1021213.08,377856.22,0.37,643356.86,
2022-06-10,xx000063,24.21,25.25,23.9,24.47,0.01,keep,15601,1025113.33,381756.47,0.37,643356.86,
2022-06-17,xx000063,24.29,26.25,24.01,25.7,0.05,keep,15601,1044302.56,400945.7,0.38,643356.86,
2022-06-24,xx000063,25.82,25.95,24.63,24.9,-0.03,keep,15601,1031821.76,388464.9,0.38,643356.86,
2022-07-01,xx000063,25.0,26.12,24.51,25.26,0.01,keep,15601,1037438.12,394081.26,0.38,643356.86,
2022-07-08,xx000063,25.26,25.36,24.5,24.67,-0.02,keep,15601,1028233.53,384876.67,0.37,643356.86,
2022-07-15,xx000063,24.6,24.88,23.45,23.48,-0.05,keep,15601,1009668.34,366311.48,0.36,643356.86,
2022-07-22,xx000063,23.55,25.6,23.5,25.0,0.06,keep,15601,1033381.86,390025.0,0.38,643356.86,
2022-07-29,xx000063,25.03,25.15,24.38,24.42,-0.02,keep,15601,1024333.28,380976.42,0.37,643356.86,
2022-08-05,xx000063,24.18,25.44,22.87,25.38,0.04,keep,15601,1039310.24,395953.38,0.38,643356.86,
2022-08-12,xx000063,25.44,25.85,24.75,25.06,-0.01,keep,15601,1034317.9199999999,390961.06,0.38,643356.86,
2022-08-19,xx000063,24.95,25.17,24.11,24.68,-0.02,keep,15601,1028389.54,385032.68,0.37,643356.86,
2022-08-26,xx000063,24.62,25.1,23.8,24.53,-0.01,keep,15601,1026049.39,382692.53,0.37,643356.86,
2022-09-02,xx000063,24.67,24.94,23.91,24.27,-0.01,keep,15601,1021993.13,378636.27,0.37,643356.86,
2022-09-09,xx000063,24.27,24.97,23.75,24.76,0.02,keep,15601,1029637.62,386280.76,0.38,643356.86,
2022-09-16,xx000063,24.76,25.35,24.56,24.56,-0.01,keep,15601,1026517.4199999999,383160.56,0.37,643356.86,
2022-09-23,xx000063,24.46,24.47,22.06,22.33,-0.09,keep,15601,991727.19,348370.33,0.35,643356.86,
2022-09-30,xx000063,22.03,22.25,21.05,21.4,-0.04,keep,15601,977218.26,333861.4,0.34,643356.86,
2022-10-14,xx000063,21.4,21.84,20.3,21.77,0.02,keep,15601,982990.63,339633.77,0.35,643356.86,
2022-10-21,xx000063,21.57,22.44,21.5,22.02,0.01,keep,15601,986890.88,343534.02,0.35,643356.86,
2022-10-28,xx000063,22.06,23.0,21.3,21.36,-0.03,keep,15601,976594.22,333237.36,0.34,643356.86,
2022-11-04,xx000063,21.34,23.31,21.28,23.2,0.09,keep,15601,1005300.06,361943.2,0.36,643356.86,
2022-11-11,xx000063,23.0,24.23,22.67,23.83,0.03,keep,15601,1015128.69,371771.83,0.37,643356.86,
2022-11-18,xx000063,24.0,25.46,23.87,25.12,0.05,keep,15601,1035253.98,391897.12,0.38,643356.86,
