date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2022-01-07,xx002230,54.31,54.5,49.65,49.69,-0.05,,,,,,,,
2022-01-14,xx002230,49.7,50.31,46.3,46.81,-0.06,,,,,,,,
2022-01-21,xx002230,46.81,49.59,46.81,47.81,0.02,,,,,,,,
2022-01-28,xx002230,47.81,48.58,43.37,43.4,-0.09,,,,,,,,
2022-02-11,xx002230,44.37,47.6,43.58,47.2,0.09,,,,,,,,
2022-02-18,xx002230,47.2,51.09,46.45,50.94,0.08,,,,,,,,
2022-02-25,xx002230,51.1,51.49,48.3,49.29,-0.03,,,,,,,,
2022-03-04,xx002230,49.25,50.65,48.3,49.41,0.0,,,,,,,,
2022-03-11,xx002230,49.0,49.0,44.3,46.54,-0.06,,,,,,,,
2022-03-18,xx002230,45.75,48.33,43.81,47.38,0.02,,,,,,,,
2022-03-25,xx002230,47.38,49.1,46.47,46.48,-0.02,keep,0,1000000,0.0,0.0,1000000.0,,
2022-04-01,xx002230,45.88,47.29,45.6,46.38,-0.0,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-08,xx002230,46.22,46.61,43.86,44.87,-0.03,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-15,xx002230,44.63,44.65,40.44,41.58,-0.07,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-22,xx002230,41.43,41.58,38.5,38.56,-0.07,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-29,xx002230,38.4,38.4,32.83,37.0,-0.04,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-05-06,xx002230,36.82,37.53,36.11,36.54,-0.01,buy,0,1000000.0,0.0,0.0,1000000.0,,
2022-05-13,xx002230,36.53,37.46,35.31,35.79,-0.02,sell,5400,995900.67,193266.0,0.19,802634.67,49.33,
2022-05-20,xx002230,36.0,36.78,34.91,36.1,0.01,keep,4320,997407.28,155952.0,0.16,841455.28,9.72,38.87
2022-05-27,xx002230,36.38,37.04,33.98,34.96,-0.03,keep,4320,992482.48,151027.2,0.15,841455.28,,
2022-06-02,xx002230,35.06,36.98,34.91,36.92,0.06,keep,4320,1000949.68,159494.4,0.16,841455.28,,
2022-06-10,xx002230,37.14,39.33,36.85,37.89,0.03,buy,4320,1005140.0800000001,163684.8,0.16,841455.28,,
2022-06-17,xx002230,37.4,39.23,36.51,38.63,0.02,sell,8731,1014088.66,337278.53,0.33,676810.13,41.15,
2022-06-24,xx002230,39.28,43.2,38.98,41.75,0.08,sell,6985,1036913.5900000001,291623.75,0.28,745289.84,17.14,68.57
2022-07-01,xx002230,41.94,43.72,40.6,41.16,-0.01,keep,5588,1033794.91,230002.08,0.22,803792.83,14.64,58.58
2022-07-08,xx002230,42.39,44.66,41.72,42.6,0.04,keep,5588,1041841.6300000001,238048.8,0.23,803792.83,,
