date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2020-01-31,xxx92,129.13,135.7,119.96,120.65,-0.06,,,,,,,
2020-02-28,xxx92,121.06,134.3,108.61,114.14,-0.05,,,,,,,
2020-03-31,xxx92,115.16,120.12,93.09,99.93,-0.12,,,,,,,
2020-04-30,xxx92,96.1,119.81,96.07,116.07,0.16,,,,,,,
2020-05-29,xxx92,112.38,119.26,105.45,118.74,0.02,,,,,,,
2020-06-30,xxx92,117.77,135.68,116.83,126.97,0.07,,,,,,,
2020-07-31,xxx92,126.6,137.65,124.67,127.55,0.0,,,,,,,
2020-08-31,xxx92,128.15,143.59,127.68,142.15,0.11,,,,,,,
2020-09-30,xxx92,143.0,148.37,134.12,142.79,0.0,,,,,,,
2020-10-30,xxx92,145.44,155.88,140.84,144.59,0.01,,,,,,,
2020-11-30,xxx92,146.46,164.63,144.22,161.25,0.12,keep,0,1000000,0.0,0.0,1000000.0,
2020-12-31,xxx92,162.63,167.24,159.56,164.13,0.02,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-01-29,xxx92,164.6,175.47,160.76,165.69,0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-02-26,xxx92,167.36,181.8,167.02,172.27,0.04,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-03-31,xxx92,174.5,190.45,161.67,188.99,0.1,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-04-30,xxx92,191.11,197.58,179.13,180.51,-0.04,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-05-28,xxx92,181.49,191.03,175.0,189.82,0.05,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-06-30,xxx92,191.38,193.01,182.5,192.3,0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-07-30,xxx92,192.02,194.25,182.16,190.62,-0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-08-31,xxx92,192.4,193.9,181.96,190.91,0.0,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-09-30,xxx92,191.78,200.92,187.12,192.21,0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-10-29,xxx92,193.43,202.26,183.55,187.48,-0.02,sell,0,1000000.0,0.0,0.0,1000000.0,
2021-11-30,xxx92,186.73,196.91,186.08,192.37,0.03,sell,0,1000000.0,0.0,0.0,1000000.0,0.0
2021-12-31,xxx92,195.73,199.9,182.77,188.47,-0.02,,0,1000000.0,0.0,0.0,1000000.0,0.0
