date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash
2022-01-31,xxx87,24.77,27.48,23.56,25.5,0.04,,,,,,
2022-02-28,xxx87,24.19,24.91,22.65,23.69,-0.07,,,,,,
2022-03-31,xxx87,23.61,24.15,22.81,23.63,-0.0,,,,,,
2022-04-29,xxx87,23.72,24.24,18.81,18.86,-0.2,,,,,,
2022-05-31,xxx87,19.0,21.53,18.86,21.29,0.13,,,,,,
2022-06-30,xxx87,21.44,21.47,18.67,20.96,-0.02,,,,,,
2022-07-29,xxx87,20.97,21.39,18.18,18.78,-0.1,,,,,,
2022-08-31,xxx87,18.85,18.87,17.5,17.54,-0.07,,,,,,
2022-09-30,xxx87,17.49,17.67,15.34,15.34,-0.13,,,,,,
2022-10-31,xxx87,15.73,18.59,14.46,18.23,0.19,,,,,,
2022-11-30,xxx87,18.57,19.39,18.07,19.28,0.06,keep,0,1000000,0.0,0.0,1000000.0
2022-12-30,xxx87,19.29,19.52,17.64,18.41,-0.05,keep,0,1000000.0,0.0,0.0,1000000.0
2023-01-31,xxx87,18.51,22.84,15.15,20.37,0.11,keep,0,1000000.0,0.0,0.0,1000000.0
2023-02-28,xxx87,20.47,20.5,18.83,18.91,-0.07,keep,0,1000000.0,0.0,0.0,1000000.0
2023-03-31,xxx87,18.83,19.25,18.03,19.25,0.02,keep,0,1000000.0,0.0,0.0,1000000.0
2023-04-28,xxx87,19.27,19.99,17.19,17.67,-0.08,keep,0,1000000.0,0.0,0.0,1000000.0
2023-05-31,xxx87,17.74,17.76,15.0,15.73,-0.11,keep,0,1000000.0,0.0,0.0,1000000.0
2023-06-30,xxx87,15.75,16.13,14.85,15.95,0.01,keep,0,1000000.0,0.0,0.0,1000000.0
2023-07-31,xxx87,15.95,16.23,13.43,14.52,-0.09,keep,0,1000000.0,0.0,0.0,1000000.0
2023-08-31,xxx87,14.56,14.99,13.89,14.79,0.02,keep,0,1000000.0,0.0,0.0,1000000.0
2023-09-29,xxx87,14.81,15.73,14.32,15.02,0.02,keep,0,1000000.0,0.0,0.0,1000000.0
2023-10-31,xxx87,15.04,15.91,14.12,15.4,0.03,keep,0,1000000.0,0.0,0.0,1000000.0
2023-11-30,xxx87,15.49,16.6,15.43,16.57,0.08,keep,0,1000000.0,0.0,0.0,1000000.0
2023-12-20,xxx87,16.6,17.34,16.1,16.4,-0.01,,0,1000000.0,0.0,0.0,1000000.0
