date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2016-01-29,xx000792,25.7,25.86,16.79,18.6,-0.28,,,,,,,
2016-02-29,xx000792,18.25,19.6,15.78,16.27,-0.13,,,,,,,
2016-03-31,xx000792,16.28,19.58,16.09,19.24,0.18,,,,,,,
2016-04-29,xx000792,19.0,19.93,17.3,17.58,-0.09,,,,,,,
2016-05-31,xx000792,17.73,19.27,17.02,18.5,0.05,,,,,,,
2016-06-30,xx000792,18.5,22.3,17.43,21.1,0.14,,,,,,,
2016-07-29,xx000792,21.0,22.78,19.72,19.98,-0.05,,,,,,,
2016-08-31,xx000792,19.77,21.29,19.0,20.29,0.02,,,,,,,
2016-09-30,xx000792,20.3,20.53,18.29,18.66,-0.08,,,,,,,
2016-10-31,xx000792,18.95,19.88,18.72,18.94,0.02,,,,,,,
2016-11-30,xx000792,18.94,21.46,18.78,20.32,0.07,keep,0,1000000,0.0,0.0,1000000.0,
2016-12-30,xx000792,20.49,20.64,18.94,19.07,-0.06,buy,0,1000000.0,0.0,0.0,1000000.0,
2017-01-26,xx000792,19.36,20.12,17.7,18.57,-0.03,keep,10300,991710.12,191271.0,0.19,800439.12,49.88
2017-02-28,xx000792,18.55,19.08,18.38,18.6,0.0,keep,10300,992019.12,191580.0,0.19,800439.12,
2017-03-31,xx000792,18.6,19.19,18.13,18.39,-0.01,keep,10300,989856.12,189417.0,0.19,800439.12,
2017-04-28,xx000792,18.6,19.15,15.8,16.06,-0.13,keep,10300,965857.12,165418.0,0.17,800439.12,
2017-05-31,xx000792,15.96,16.14,13.83,14.16,-0.12,keep,10300,946287.12,145848.0,0.15,800439.12,
2017-06-30,xx000792,14.14,14.88,9.72,10.45,0.11,keep,15465,962048.37,161609.25,0.17,800439.12,
2017-07-31,xx000792,10.44,11.77,9.45,11.59,0.11,keep,15465,979678.47,179239.35,0.18,800439.12,
2017-08-31,xx000792,11.65,12.59,10.93,11.64,0.0,keep,15465,980451.72,180012.6,0.18,800439.12,
2017-09-29,xx000792,11.61,20.68,11.38,18.92,0.63,keep,15465,1093036.92,292597.8,0.27,800439.12,
2017-10-31,xx000792,19.22,19.73,14.82,15.43,-0.18,keep,15465,1039064.07,238624.95,0.23,800439.12,
2017-11-30,xx000792,15.39,16.2,12.45,13.72,-0.11,keep,15465,1012618.92,212179.8,0.21,800439.12,
2017-12-29,xx000792,13.61,14.53,12.22,13.91,0.01,,15465,1015557.27,215118.15,0.21,800439.12,
