date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash
2020-01-23,xx000792,9.24,9.25,8.15,8.48,-0.04,,,,,,
2020-02-28,xx000792,8.06,10.08,7.66,9.56,0.13,,,,,,
2020-03-31,xx000792,9.6,10.74,8.31,8.91,-0.07,,,,,,
2020-04-29,xx000792,9.36,10.1,8.76,8.84,-0.01,,,,,,
2021-08-31,xx000792,39.22,45.65,31.32,39.81,3.5,,,,,,
2021-09-30,xx000792,39.79,42.3,27.85,29.93,-0.25,,,,,,
2021-10-29,xx000792,30.0,33.5,27.51,28.95,-0.03,,,,,,
2021-11-30,xx000792,28.68,29.79,24.44,28.59,-0.01,,,,,,
2021-12-31,xx000792,28.45,35.66,26.58,35.39,0.24,,,,,,
,,,,,,,,0,1000000,0.0,0.0,1000000.0
