date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2020-01-23,xx002475,37.0,47.53,36.35,45.15,0.24,,,,,,,,
2020-02-28,xx002475,40.64,51.63,40.64,47.8,0.06,,,,,,,,
2020-03-31,xx002475,48.01,50.6,33.9,38.16,-0.2,,,,,,,,
2020-04-30,xx002475,38.0,48.2,37.9,47.31,0.24,,,,,,,,
2020-05-29,xx002475,46.61,50.0,43.3,44.5,-0.06,,,,,,,,
2020-06-30,xx002475,45.8,56.5,41.72,51.35,0.5,,,,,,,,
2020-07-31,xx002475,51.06,61.12,49.0,58.59,0.14,,,,,,,,
2020-08-31,xx002475,59.88,60.33,49.5,55.0,-0.06,,,,,,,,
2020-09-30,xx002475,54.89,59.19,50.31,57.13,0.04,,,,,,,,
2020-10-30,xx002475,59.1,63.88,54.45,54.86,-0.04,,,,,,,,
2020-11-30,xx002475,54.9,61.68,49.22,51.69,-0.06,buy,0,1000000,0.0,0.0,1000000.0,,
2020-12-31,xx002475,52.0,58.22,48.8,56.12,0.09,keep,3800,1015568.59,213256.0,0.21,802312.59,49.41,
2021-01-29,xx002475,55.8,63.26,50.04,53.1,-0.05,keep,3800,1004092.59,201780.0,0.2,802312.59,,
2021-02-26,xx002475,53.49,54.1,45.55,46.5,-0.12,sell,3800,979012.59,176700.0,0.18,802312.59,,
2021-03-31,xx002475,47.1,49.8,31.9,33.83,-0.27,sell,3040,940899.45,102843.2,0.11,838056.25,8.95,35.79
2021-04-30,xx002475,34.11,38.62,32.58,36.96,0.09,keep,2432,948649.86,89886.72,0.09,858763.14,5.18,20.73
2021-05-31,xx002475,36.65,40.33,31.95,39.0,0.06,keep,2432,953611.14,94848.0,0.1,858763.14,,
2021-06-30,xx002475,38.95,50.08,37.38,46.0,0.18,keep,2432,970635.14,111872.0,0.12,858763.14,,
2021-07-30,xx002475,46.58,47.22,36.1,36.98,-0.19,keep,2438,948920.38,90157.24,0.1,858763.14,,
2021-08-31,xx002475,36.31,42.7,33.6,33.86,-0.08,keep,2438,941313.8200000001,82550.68,0.09,858763.14,,
2021-09-30,xx002475,33.8,37.36,32.8,35.71,0.05,keep,2438,945824.12,87060.98,0.09,858763.14,,
2021-10-29,xx002475,37.0,40.1,34.56,38.64,0.08,keep,2438,952967.46,94204.32,0.1,858763.14,,
2021-11-30,xx002475,38.64,43.95,38.0,39.65,0.03,keep,2438,955429.84,96666.7,0.1,858763.14,,
2021-12-31,xx002475,39.58,50.88,38.1,49.2,0.24,,2438,978712.74,119949.6,0.12,858763.14,,
