date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xx300142,54.93,59.42,52.54,58.65,0.04,,,,,,,
2022-01-14,xx300142,58.99,61.31,55.38,57.25,-0.02,,,,,,,
2022-01-21,xx300142,55.8,56.85,52.0,54.46,-0.05,,,,,,,
2022-01-28,xx300142,53.5,54.98,47.89,48.2,-0.11,,,,,,,
2022-02-11,xx300142,49.5,53.26,49.1,49.86,0.03,,,,,,,
2022-02-18,xx300142,49.1,51.38,48.82,50.0,0.0,,,,,,,
2022-02-25,xx300142,50.05,51.34,43.88,47.35,-0.05,,,,,,,
2022-03-04,xx300142,47.0,47.26,45.01,45.58,-0.04,,,,,,,
2022-03-11,xx300142,44.97,45.33,39.49,44.06,-0.03,,,,,,,
2022-03-18,xx300142,45.44,59.94,44.47,57.7,0.31,,,,,,,
2022-03-25,xx300142,57.69,61.15,56.53,57.01,-0.01,keep,0,1000000,0.0,0.0,1000000.0,
2022-04-01,xx300142,55.97,57.48,52.56,53.85,-0.06,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-08,xx300142,55.39,60.38,54.61,59.1,0.1,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-15,xx300142,60.1,61.15,47.0,55.26,-0.06,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-22,xx300142,55.31,61.0,51.39,51.9,-0.06,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-29,xx300142,51.86,55.01,47.7,53.45,0.03,buy,0,1000000.0,0.0,0.0,1000000.0,
2022-05-06,xx300142,52.5,53.0,48.76,49.17,-0.08,keep,3800,987258.12,186846.0,0.19,800412.12,49.88
2022-05-13,xx300142,48.97,54.39,48.6,51.44,0.05,keep,3800,995884.12,195472.0,0.2,800412.12,
2022-05-20,xx300142,52.0,52.1,46.34,47.53,-0.08,keep,3800,981026.12,180614.0,0.18,800412.12,
2022-05-27,xx300142,47.59,49.54,46.03,47.9,0.01,keep,3800,982432.12,182020.0,0.19,800412.12,
2022-06-02,xx300142,47.8,48.63,44.88,46.86,-0.02,keep,3800,978480.12,178068.0,0.18,800412.12,
2022-06-10,xx300142,45.51,47.65,44.63,45.14,-0.04,keep,3800,971944.12,171532.0,0.18,800412.12,
2022-06-17,xx300142,44.85,47.51,43.13,47.29,0.05,keep,3800,980114.12,179702.0,0.18,800412.12,
2022-06-24,xx300142,47.5,48.85,46.13,47.89,0.01,keep,3800,982394.12,181982.0,0.19,800412.12,
2022-07-01,xx300142,47.6,49.0,45.34,48.55,0.01,keep,3800,984902.12,184490.0,0.19,800412.12,
2022-07-08,xx300142,49.08,51.32,47.75,47.8,-0.02,keep,3800,982052.12,181640.0,0.18,800412.12,
2022-07-15,xx300142,48.01,48.58,44.12,44.53,-0.07,keep,3800,969626.12,169214.0,0.17,800412.12,
2022-07-22,xx300142,44.69,45.6,43.12,43.25,-0.03,keep,3800,964762.12,164350.0,0.17,800412.12,
2022-07-29,xx300142,42.0,44.6,41.4,43.43,0.0,keep,3800,965446.12,165034.0,0.17,800412.12,
2022-08-05,xx300142,43.0,43.45,40.31,43.39,-0.0,keep,3800,965294.12,164882.0,0.17,800412.12,
2022-08-12,xx300142,43.56,45.4,42.58,44.36,0.02,keep,3800,968980.12,168568.0,0.17,800412.12,
2022-08-19,xx300142,44.33,44.8,41.9,44.62,0.01,keep,3800,969968.12,169556.0,0.17,800412.12,
2022-08-26,xx300142,44.1,44.39,41.7,41.92,-0.06,keep,3800,959708.12,159296.0,0.17,800412.12,
2022-09-02,xx300142,41.01,44.9,40.98,44.0,0.05,keep,3800,967612.12,167200.0,0.17,800412.12,
2022-09-09,xx300142,43.8,44.3,40.96,41.82,-0.05,keep,3800,959328.12,158916.0,0.17,800412.12,
2022-09-16,xx300142,41.58,42.45,39.58,39.6,-0.05,keep,3800,950892.12,150480.0,0.16,800412.12,
2022-09-23,xx300142,39.6,40.29,37.21,37.65,-0.05,keep,3800,943482.12,143070.0,0.15,800412.12,
2022-09-30,xx300142,37.26,38.4,35.25,37.1,-0.01,keep,3800,941392.12,140980.0,0.15,800412.12,
2022-10-14,xx300142,37.94,40.81,35.77,40.0,0.08,keep,3800,952412.12,152000.0,0.16,800412.12,
2022-10-21,xx300142,39.7,41.2,39.18,40.04,0.0,keep,3800,952564.12,152152.0,0.16,800412.12,
2022-10-28,xx300142,40.1,40.73,36.88,38.79,-0.03,keep,3800,947814.12,147402.0,0.16,800412.12,
2022-11-04,xx300142,38.36,44.5,37.91,43.4,0.12,keep,3800,965332.12,164920.0,0.17,800412.12,
2022-11-11,xx300142,43.0,43.9,41.0,41.16,-0.05,keep,3800,956820.12,156408.0,0.16,800412.12,
2022-11-18,xx300142,41.17,47.88,40.56,47.05,0.14,keep,3800,979202.12,178790.0,0.18,800412.12,
2022-11-25,xx300142,46.49,46.52,42.43,43.34,-0.08,keep,3800,965104.12,164692.0,0.17,800412.12,
2022-12-02,xx300142,42.9,45.3,39.73,41.01,-0.05,keep,3800,956250.12,155838.0,0.16,800412.12,
2022-12-09,xx300142,40.35,41.08,38.55,40.7,-0.01,keep,3800,955072.12,154660.0,0.16,800412.12,
2022-12-16,xx300142,40.32,43.7,39.5,40.51,-0.0,keep,3800,954350.12,153938.0,0.16,800412.12,
2022-12-23,xx300142,40.9,40.95,38.91,39.98,-0.01,keep,3800,952336.12,151924.0,0.16,800412.12,
2022-12-30,xx300142,39.75,40.85,38.39,40.19,0.01,keep,3800,953134.12,152722.0,0.16,800412.12,
2023-01-06,xx300142,40.0,40.56,39.18,39.98,-0.01,keep,3800,952336.12,151924.0,0.16,800412.12,
2023-01-13,xx300142,39.99,40.54,38.12,39.26,-0.02,keep,3800,949600.12,149188.0,0.16,800412.12,
2023-01-20,xx300142,39.2,41.58,39.02,40.81,0.04,keep,3800,955490.12,155078.0,0.16,800412.12,
2023-02-03,xx300142,40.81,41.32,39.63,40.45,-0.01,keep,3800,954122.12,153710.0,0.16,800412.12,
2023-02-10,xx300142,40.16,40.29,38.88,39.25,-0.03,keep,3800,949562.12,149150.0,0.16,800412.12,
2023-02-17,xx300142,39.29,39.55,37.5,38.2,-0.03,keep,3800,945572.12,145160.0,0.15,800412.12,
2023-02-24,xx300142,38.5,39.28,38.25,38.55,0.01,keep,3800,946902.12,146490.0,0.15,800412.12,
2023-03-03,xx300142,38.5,38.76,37.81,38.57,0.0,keep,3800,946978.12,146566.0,0.15,800412.12,
2023-03-10,xx300142,38.52,39.5,38.18,38.91,0.01,keep,3800,948270.12,147858.0,0.16,800412.12,
2023-03-17,xx300142,38.85,39.12,36.94,37.0,-0.05,keep,3800,941012.12,140600.0,0.15,800412.12,
2023-03-24,xx300142,37.48,38.75,36.19,36.33,-0.02,keep,3800,938466.12,138054.0,0.15,800412.12,
2023-03-31,xx300142,36.09,36.48,33.75,34.49,-0.05,keep,3800,931474.12,131062.0,0.14,800412.12,
2023-04-07,xx300142,34.65,36.28,33.88,36.09,0.05,keep,3800,937554.12,137142.0,0.15,800412.12,
2023-04-14,xx300142,36.12,36.59,34.72,35.1,-0.03,keep,3800,933792.12,133380.0,0.14,800412.12,
2023-04-21,xx300142,35.1,35.23,32.59,32.59,-0.07,keep,3800,924254.12,123842.0,0.13,800412.12,
2023-04-28,xx300142,32.85,33.4,31.34,31.92,-0.02,keep,3800,921708.12,121296.0,0.13,800412.12,
2023-05-05,xx300142,32.0,32.14,30.48,30.48,-0.05,keep,3800,916236.12,115824.0,0.13,800412.12,
2023-05-12,xx300142,30.3,31.09,29.45,29.81,-0.02,keep,3800,913690.12,113278.0,0.12,800412.12,
2023-05-19,xx300142,29.61,30.62,29.39,29.76,-0.0,keep,3800,913500.12,113088.0,0.12,800412.12,
