date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash
2014-01-31,xxx93,74.91,77.33,70.84,72.28,-0.04,,,,,,
2014-02-28,xxx93,72.14,77.71,69.57,77.27,0.07,,,,,,
2014-03-31,xxx93,76.7,83.32,75.65,81.99,0.06,,,,,,
2014-04-30,xxx93,82.35,83.05,73.61,75.04,-0.08,,,,,,
2014-05-30,xxx93,75.05,79.74,74.26,79.63,0.06,,,,,,
2014-06-30,xxx93,79.77,82.54,77.53,81.75,0.03,,,,,,
2014-07-31,xxx93,81.74,87.24,80.54,81.05,-0.01,,,,,,
2014-08-29,xxx93,81.14,87.23,78.74,86.68,0.07,,,,,,
2014-09-30,xxx93,87.12,88.85,85.58,86.25,-0.0,,,,,,
2014-10-31,xxx93,86.0,95.67,80.72,95.01,0.1,,,,,,
2014-11-28,xxx93,95.45,99.42,93.01,98.63,0.04,keep,0,1000000,0.0,0.0,1000000.0
2014-12-31,xxx93,98.75,104.0,95.75,101.09,0.03,keep,0,1000000.0,0.0,0.0,1000000.0
2015-01-30,xxx93,101.5,114.32,98.46,106.25,0.05,keep,0,1000000.0,0.0,0.0,1000000.0
2015-02-27,xxx93,106.73,116.58,105.07,113.63,0.07,keep,0,1000000.0,0.0,0.0,1000000.0
2015-03-31,xxx93,113.77,123.76,111.65,118.29,0.04,keep,0,1000000.0,0.0,0.0,1000000.0
2015-04-30,xxx93,119.52,122.32,111.12,111.4,-0.06,keep,0,1000000.0,0.0,0.0,1000000.0
2015-05-29,xxx93,112.29,121.85,111.74,120.21,0.08,keep,0,1000000.0,0.0,0.0,1000000.0
2015-06-30,xxx93,120.54,124.11,115.36,122.0,0.01,keep,0,1000000.0,0.0,0.0,1000000.0
2015-07-31,xxx93,122.95,126.05,116.66,121.4,-0.0,keep,0,1000000.0,0.0,0.0,1000000.0
2015-08-31,xxx93,121.61,126.21,95.0,115.7,-0.05,keep,0,1000000.0,0.0,0.0,1000000.0
2015-09-30,xxx93,113.36,125.12,111.0,116.01,0.0,keep,0,1000000.0,0.0,0.0,1000000.0
2015-10-30,xxx93,115.94,125.99,110.07,117.78,0.02,keep,0,1000000.0,0.0,0.0,1000000.0
2015-11-30,xxx93,118.64,119.95,109.61,112.71,-0.04,keep,0,1000000.0,0.0,0.0,1000000.0
2015-12-31,xxx93,113.53,121.09,113.05,117.64,0.04,,0,1000000.0,0.0,0.0,1000000.0
