date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2020-01-31,xxx44,37.0,37.38,32.97,33.39,-0.09,,,,,,,
2020-02-28,xxx44,33.56,35.79,29.33,30.5,-0.09,,,,,,,
2020-03-31,xxx44,30.52,32.3,14.33,20.78,-0.32,,,,,,,
2020-04-30,xxx44,19.5,24.99,17.79,22.29,0.07,,,,,,,
2020-05-29,xxx44,21.65,28.83,20.12,25.88,0.16,,,,,,,
2020-06-30,xxx44,25.99,31.66,24.25,25.3,-0.02,,,,,,,
2020-07-31,xxx44,25.3,27.33,23.33,24.89,-0.02,,,,,,,
2020-08-31,xxx44,25.06,31.12,24.82,29.63,0.19,,,,,,,
2020-09-30,xxx44,29.53,33.33,28.24,29.59,-0.0,,,,,,,
2020-10-30,xxx44,29.52,38.03,29.15,34.53,0.17,,,,,,,
2020-11-30,xxx44,35.12,46.71,34.23,43.84,0.27,keep,0,1000000,0.0,0.0,1000000.0,
2020-12-31,xxx44,44.78,45.45,40.06,41.64,-0.05,keep,0,1000000.0,0.0,0.0,1000000.0,
2021-01-29,xxx44,41.95,56.97,40.04,50.68,0.22,buy,0,1000000.0,0.0,0.0,1000000.0,
2021-02-26,xxx44,51.46,57.05,49.35,51.33,0.01,sell,3885,999456.1000000001,199417.05,0.2,800039.05,0.0
2021-03-31,xxx44,52.41,62.24,50.25,57.46,0.12,sell,3108,1019338.5825262,178585.68,0.18,840752.9,0.95
2021-04-30,xxx44,57.92,63.44,54.71,57.22,-0.0,sell,2487,1019020.32342289,142306.14,0.14,876714.18,0.83
2021-05-28,xxx44,57.6,60.72,53.52,59.31,0.04,sell,1990,1023362.65321306,118026.9,0.12,905335.75,0.66
2021-06-30,xxx44,59.99,64.3,58.41,59.17,-0.0,sell,1592,1023405.88453822,94198.64,0.09,929207.24,0.55
2021-07-30,xxx44,59.44,59.73,52.63,56.84,-0.04,sell,1274,1020519.70982268,72414.16,0.07,948105.55,0.43
2021-08-31,xxx44,57.37,58.6,47.07,49.01,-0.14,sell,1020,1012664.8536384399,49990.2,0.05,962674.65,0.34
2021-09-30,xxx44,49.1,54.21,47.8,52.71,0.08,keep,816,1015700.1390608799,43011.36,0.04,972688.78,0.23
2021-10-29,xxx44,53.03,59.35,52.25,54.43,0.03,keep,816,1017103.65906088,44414.88,0.04,972688.78,
2021-11-30,xxx44,54.85,65.18,54.42,57.87,0.06,keep,816,1019910.69906088,47221.92,0.05,972688.78,
2021-12-31,xxx44,59.25,63.29,53.14,58.63,0.01,,816,1020530.8590608799,47842.08,0.05,972688.78,
