date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xxx3,139.43,139.83,133.88,135.56,-0.04,,,,,,,
2022-01-14,xxx3,134.79,135.97,127.02,128.16,-0.05,,,,,,,
2022-01-21,xxx3,127.4,127.93,124.61,125.83,-0.02,,,,,,,
2022-01-28,xxx3,124.01,125.53,119.0,125.35,-0.0,,,,,,,
2022-02-04,xxx3,125.52,130.94,125.13,129.71,0.03,,,,,,,
2022-02-11,xxx3,129.87,130.79,125.15,125.49,-0.03,,,,,,,
2022-02-18,xxx3,125.0,125.57,114.84,116.79,-0.07,,,,,,,
2022-02-25,xxx3,116.54,122.93,114.43,122.41,0.05,,,,,,,
2022-03-04,xxx3,121.05,122.07,117.38,121.41,-0.01,,,,,,,
2022-03-11,xxx3,120.54,120.89,113.88,114.02,-0.06,,,,,,,
2022-03-18,xxx3,114.9,122.67,114.58,122.45,0.07,keep,0,1000000,0.0,0.0,1000000.0,
2022-03-25,xxx3,121.93,123.1,116.61,118.95,-0.03,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-01,xxx3,119.38,122.07,117.26,118.58,-0.0,sell,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-04-08,xxx3,117.87,124.36,117.57,123.25,0.04,keep,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-04-14,xxx3,123.48,123.5,117.25,117.69,-0.04,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-22,xxx3,117.02,124.35,115.54,119.64,0.02,sell,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-04-29,xxx3,119.16,120.31,113.13,113.5,-0.05,keep,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-05-06,xxx3,113.5,116.33,110.28,112.27,-0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-05-13,xxx3,110.69,111.2,104.63,109.88,-0.02,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-05-20,xxx3,109.4,115.43,107.81,113.24,0.03,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-05-27,xxx3,113.85,116.92,111.83,116.69,0.03,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-06-03,xxx3,115.56,118.09,113.23,116.57,-0.0,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-06-10,xxx3,117.38,118.23,109.1,109.63,-0.06,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-06-17,xxx3,107.68,108.1,101.24,102.53,-0.06,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-06-24,xxx3,104.86,109.64,103.29,109.45,0.07,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-07-01,xxx3,109.9,110.47,106.74,110.22,0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-07-08,xxx3,108.74,109.92,107.2,109.26,-0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-07-15,xxx3,108.6,110.37,103.76,108.82,-0.0,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-07-22,xxx3,108.56,112.0,106.7,109.2,0.0,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-07-29,xxx3,109.09,111.35,107.47,108.84,-0.0,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-08-05,xxx3,108.38,110.9,108.11,109.25,0.0,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-08-12,xxx3,109.79,112.13,107.55,111.48,0.02,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-08-19,xxx3,111.31,112.53,108.79,110.06,-0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-08-26,xxx3,108.97,109.31,101.63,101.9,-0.07,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-09-02,xxx3,101.5,105.65,101.21,102.5,0.01,keep,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-09-09,xxx3,102.5,109.07,102.24,108.48,0.06,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-09-16,xxx3,108.78,109.67,103.41,104.0,-0.04,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-09-23,xxx3,103.25,104.11,98.81,100.68,-0.03,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-09-30,xxx3,100.18,100.73,96.67,96.76,-0.04,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-10-07,xxx3,97.8,105.09,97.4,101.79,0.05,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-10-14,xxx3,102.12,103.92,97.68,100.91,-0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-10-21,xxx3,102.12,106.67,93.25,95.06,-0.06,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-10-28,xxx3,96.05,100.02,95.9,99.49,0.05,buy,0,1000000.0,0.0,0.0,1000000.0,0.0
2022-11-04,xxx3,99.13,101.23,95.35,98.07,-0.01,sell,2017,997841.8099999999,197807.19,0.2,800034.62,0.0
2022-11-11,xxx3,98.78,105.91,98.13,104.09,0.06,sell,1614,1007839.30615249,168001.26,0.17,839838.05,0.88
2022-11-18,xxx3,103.67,105.3,101.55,103.87,-0.0,buy,1292,1007415.86688557,134200.04,0.13,873215.83,0.74
2022-11-25,xxx3,103.73,107.35,102.87,106.96,0.03,buy,2975,1016827.4068855699,318206.0,0.31,698621.41,0.0
2022-12-02,xxx3,106.72,108.65,103.44,108.09,0.01,keep,4284,1021969.3968855699,463057.56,0.45,558911.84,0.0
2022-12-09,xxx3,106.89,108.48,103.13,107.51,-0.01,keep,4284,1019484.6768855699,460572.84,0.45,558911.84,
2022-12-16,xxx3,107.73,112.91,105.78,106.91,-0.01,keep,4284,1016914.2768855698,458002.44,0.45,558911.84,
2022-12-23,xxx3,106.74,108.4,105.62,108.18,0.01,keep,4284,1022354.95688557,463443.12,0.45,558911.84,
2022-12-30,xxx3,108.35,110.76,107.38,109.79,0.01,keep,4284,1029252.19688557,470340.36,0.46,558911.84,
2023-01-06,xxx3,110.51,112.74,108.75,112.33,0.02,keep,4284,1040133.5568855698,481221.72,0.46,558911.84,
2023-01-13,xxx3,113.52,115.69,110.89,113.51,0.01,keep,4284,1045188.6768855699,486276.84,0.47,558911.84,
2023-01-20,xxx3,113.5,114.28,110.59,112.82,-0.01,keep,4284,1042232.7168855697,483320.88,0.46,558911.84,
2023-01-27,xxx3,112.43,114.7,109.59,109.95,-0.03,keep,4284,1029937.6368855699,471025.8,0.46,558911.84,
2023-02-03,xxx3,109.81,112.37,108.87,111.79,0.02,keep,4284,1037820.19688557,478908.36,0.46,558911.84,
2023-02-10,xxx3,111.57,112.41,107.51,108.16,-0.03,keep,4284,1022269.2768855698,463357.44,0.45,558911.84,
2023-02-17,xxx3,108.32,109.14,105.49,106.74,-0.01,keep,4284,1016185.9968855698,457274.16,0.45,558911.84,
2023-02-24,xxx3,105.85,106.14,99.89,100.46,-0.06,keep,4284,989282.4768855697,430370.64,0.44,558911.84,
2023-03-03,xxx3,101.28,104.51,99.66,104.45,0.04,keep,4284,1006375.6368855699,447463.8,0.44,558911.84,
2023-03-10,xxx3,104.51,104.6,96.56,96.96,-0.07,keep,4284,974288.4768855697,415376.64,0.43,558911.84,
2023-03-17,xxx3,96.6,99.5,96.39,97.01,0.0,keep,4284,974502.6768855699,415590.84,0.43,558911.84,
2023-03-24,xxx3,97.26,99.31,96.44,98.05,0.01,keep,4284,978958.0368855698,420046.2,0.43,558911.84,
2023-03-31,xxx3,99.0,101.41,96.61,101.26,0.03,keep,4284,992709.6768855699,433797.84,0.44,558911.84,
2023-04-06,xxx3,100.8,105.55,100.04,104.93,0.04,keep,4284,1008431.95688557,449520.12,0.45,558911.84,
2023-04-14,xxx3,104.42,104.91,101.8,103.96,-0.01,keep,4284,1004276.4768855697,445364.64,0.44,558911.84,
2023-04-21,xxx3,104.0,112.7,103.93,111.66,0.07,keep,4284,1037263.2768855698,478351.44,0.46,558911.84,
2023-04-28,xxx3,111.75,111.75,107.67,110.47,-0.01,keep,4284,1032165.3168855698,473253.48,0.46,558911.84,
2023-05-05,xxx3,110.46,112.95,109.93,111.26,0.01,keep,4284,1035549.6768855699,476637.84,0.46,558911.84,
2023-05-12,xxx3,110.46,111.58,109.26,110.49,-0.01,keep,4284,1032250.9968855698,473339.16,0.46,558911.84,
2023-05-19,xxx3,110.64,110.98,107.87,108.93,-0.01,keep,4284,1025567.95688557,466656.12,0.46,558911.84,
2023-05-26,xxx3,108.68,109.32,101.34,102.87,-0.06,keep,4284,999606.9168855699,440695.08,0.44,558911.84,
2023-06-02,xxx3,102.25,104.5,100.38,104.2,0.01,keep,4284,1005304.6368855699,446392.8,0.44,558911.84,
2023-06-09,xxx3,104.06,105.01,100.54,101.69,-0.02,keep,4284,994551.7968855698,435639.96,0.44,558911.84,
2023-06-16,xxx3,101.84,106.57,100.79,106.2,0.04,keep,4284,1013872.6368855699,454960.8,0.45,558911.84,
2023-06-23,xxx3,105.2,108.5,104.9,108.05,0.02,keep,4284,1021798.0368855698,462886.2,0.45,558911.84,
2023-06-30,xxx3,108.1,109.34,106.77,109.02,0.01,keep,4284,1025953.5168855698,467041.68,0.46,558911.84,
2023-07-07,xxx3,108.25,108.48,106.07,106.35,-0.02,keep,4284,1014515.2368855698,455603.4,0.45,558911.84,
2023-07-14,xxx3,106.58,108.47,106.29,107.93,0.01,keep,4284,1021283.95688557,462372.12,0.45,558911.84,
2023-07-21,xxx3,107.54,114.79,105.96,114.29,0.06,keep,4284,1048530.19688557,489618.36,0.47,558911.84,
2023-07-28,xxx3,113.84,115.83,112.32,112.73,-0.01,keep,4284,1041847.1568855699,482935.32,0.46,558911.84,
2023-08-04,xxx3,112.85,112.89,107.14,107.65,-0.05,keep,4284,1020084.43688557,461172.6,0.45,558911.84,
2023-08-11,xxx3,107.99,108.59,103.67,105.31,-0.02,keep,4284,1010059.8768855699,451148.04,0.45,558911.84,
2023-08-18,xxx3,105.14,106.22,103.28,103.71,-0.02,keep,4284,1003205.4768855697,444293.64,0.44,558911.84,
2023-08-25,xxx3,103.78,106.11,103.29,104.21,0.0,keep,4284,1005347.4768855697,446435.64,0.44,558911.84,
2023-09-01,xxx3,105.07,105.22,101.89,102.85,-0.01,keep,4284,999521.2368855698,440609.4,0.44,558911.84,
2023-09-08,xxx3,102.78,102.85,99.77,100.73,-0.02,keep,4284,990439.1568855699,431527.32,0.44,558911.84,
2023-09-15,xxx3,100.8,103.62,100.55,101.74,0.01,keep,4284,994765.9968855698,435854.16,0.44,558911.84,
2023-09-22,xxx3,102.07,102.07,98.02,98.15,-0.04,keep,4284,979386.43688557,420474.6,0.43,558911.84,
2023-09-29,xxx3,97.97,98.51,94.76,96.85,-0.01,keep,4284,973817.2368855698,414905.4,0.43,558911.84,
2023-10-06,xxx3,95.76,97.51,94.53,96.88,0.0,keep,4284,973945.7568855698,415033.92,0.43,558911.84,
2023-10-13,xxx3,96.41,98.49,89.67,90.87,-0.06,keep,4284,948198.9168855699,389287.08,0.41,558911.84,
2023-10-20,xxx3,91.1,98.15,90.87,96.78,0.06,keep,4284,973517.3568855699,414605.52,0.43,558911.84,
2023-10-27,xxx3,96.88,98.15,92.38,92.85,-0.04,keep,4284,956681.2368855698,397769.4,0.42,558911.84,
2023-11-03,xxx3,93.53,97.17,91.64,95.84,0.03,buy,4284,969490.3968855699,410578.56,0.42,558911.84,
