date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx002352_convert,69.22,72.67,67.21,68.6,-0.0046,,,,,,,,
2022-01-14,xx002352_convert,68.98,71.5,64.64,65.99,-0.038,,,,,,,,
2022-01-21,xx002352_convert,66.4,68.3,65.17,67.4,0.0214,,,,,,,,
2022-01-28,xx002352_convert,67.18,67.18,63.0,63.35,-0.0601,,,,,,,,
2022-02-11,xx002352_convert,64.5,66.68,61.53,62.59,-0.012,,,,,,,,
2022-02-18,xx002352_convert,61.99,62.04,59.28,61.4,-0.019,,,,,,,,
2022-02-25,xx002352_convert,61.9,62.75,57.83,59.9,-0.0244,,,,,,,,
2022-03-04,xx002352_convert,59.85,60.4,56.28,58.74,-0.0194,,,,,,,,
2022-03-11,xx002352_convert,58.03,58.3,51.08,53.71,-0.0856,,,,,,,,
2022-03-18,xx002352_convert,52.7,52.88,46.7,49.5,-0.0784,,,,,,,,
2022-03-25,xx002352_convert,49.55,49.57,44.7,44.94,-0.0921,keep,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx002352_convert,43.99,49.5,42.51,49.0,0.0903,buy,0,1000000,1000000.0,0.0,0.0,,
2022-04-08,xx002352_convert,49.01,50.27,47.26,48.26,-0.0151,sell,4000,803870.98,996910.98,193040.0,0.1936,49.02,
2022-04-15,xx002352_convert,49.24,54.0,47.95,50.11,0.0383,keep,3200,843205.75,1003557.75,160352.0,0.1598,9.85,39.38
2022-04-22,xx002352_convert,49.95,52.51,47.38,48.58,-0.0305,keep,3200,843205.75,998661.75,155456.0,0.1557,,
2022-04-29,xx002352_convert,47.85,51.65,44.6,51.3,0.056,keep,3200,843205.75,1007365.75,164160.0,0.163,,
2022-05-06,xx002352_convert,50.05,51.53,48.65,49.17,-0.0415,keep,3200,843205.75,1000549.75,157344.0,0.1573,,
2022-05-13,xx002352_convert,49.18,51.47,47.8,49.8,0.0128,keep,3200,843205.75,1002565.75,159360.0,0.159,,
2022-05-20,xx002352_convert,49.78,50.75,46.6,50.54,0.0149,keep,3200,843205.75,1004933.75,161728.0,0.1609,,
2022-05-27,xx002352_convert,50.54,51.8,47.75,50.08,-0.0091,keep,3200,843205.75,1003461.75,160256.0,0.1597,,
2022-06-02,xx002352_convert,51.13,53.27,50.25,51.87,0.0357,keep,3200,843205.75,1009189.75,165984.0,0.1645,,
2022-06-10,xx002352_convert,51.71,53.72,50.16,52.6,0.0141,keep,3200,843205.75,1011525.75,168320.0,0.1664,,
2022-06-17,xx002352_convert,51.56,52.38,50.09,51.9,-0.0098,keep,3211,843205.75,1009856.65,166650.9,0.165,,
2022-06-24,xx002352_convert,52.78,53.11,49.07,52.62,0.0139,keep,3211,843205.75,1012168.57,168962.82,0.1669,,
2022-07-01,xx002352_convert,52.62,57.1,52.52,55.98,0.0639,buy,3211,843205.75,1022957.53,179751.78,0.1757,,
2022-07-08,xx002352_convert,55.9,57.29,53.15,54.38,-0.0286,keep,6211,675433.82,1013188.0,337754.18,0.3334,41.93,
2022-07-15,xx002352_convert,54.0,54.08,50.73,50.88,-0.0644,keep,6211,675433.82,991449.5,316015.68,0.3187,,
2022-07-22,xx002352_convert,51.03,54.79,50.88,53.0,0.0417,keep,6211,675433.82,1004616.82,329183.0,0.3277,,
2022-07-29,xx002352_convert,53.2,53.74,49.37,49.84,-0.0596,sell,6211,675433.82,984990.06,309556.24,0.3143,,
2022-08-05,xx002352_convert,49.84,49.84,47.47,48.82,-0.0205,sell,4969,737245.32,979831.8999999999,242586.58,0.2476,15.47,61.89
2022-08-12,xx002352_convert,48.79,50.0,47.76,49.79,0.0199,keep,3976,785623.31,983588.3500000001,197965.04,0.2013,12.11,48.44
2022-08-19,xx002352_convert,49.79,50.71,49.26,49.88,0.0018,sell,3976,785623.31,983946.1900000001,198322.88,0.2016,,
2022-08-26,xx002352_convert,49.62,50.99,48.57,49.37,-0.0102,sell,3181,825013.9600000001,982059.93,157045.97,0.1599,9.86,39.44
2022-09-02,xx002352_convert,48.89,50.2,48.0,48.45,-0.0186,sell,2545,856062.7800000001,979368.0300000001,123305.25,0.1259,7.77,31.09
2022-09-09,xx002352_convert,48.18,50.51,46.58,50.38,0.0398,keep,2036,880550.6600000001,983124.3400000002,102573.68,0.1043,6.13,24.52
2022-09-16,xx002352_convert,50.51,52.16,48.51,48.7,-0.0333,sell,2036,880550.6600000001,979703.8600000001,99153.2,0.1012,,
2022-09-23,xx002352_convert,48.77,49.68,44.73,46.7,-0.0411,sell,1629,900371.1300000001,976445.4300000002,76074.3,0.0779,5.0,19.85
2022-09-30,xx002352_convert,46.02,49.56,45.45,47.22,0.0111,sell,1304,915304.4300000002,976879.3100000002,61574.88,0.063,5.0,14.95
2022-10-14,xx002352_convert,47.4,49.75,44.03,49.45,0.0472,keep,1044,927608.5100000002,979234.3100000003,51625.8,0.0527,5.0,12.32
2022-10-21,xx002352_convert,49.1,51.92,49.03,51.21,0.0356,keep,1044,927608.5100000002,981071.7500000002,53463.24,0.0545,,
2022-10-28,xx002352_convert,50.81,51.68,48.57,49.88,-0.026,sell,1044,927608.5100000002,979683.2300000002,52074.72,0.0532,,
2022-11-04,xx002352_convert,49.5,50.77,47.28,50.02,0.0028,keep,836,937887.1400000002,979703.8600000002,41816.72,0.0427,5.0,10.29
2022-11-11,xx002352_convert,49.41,52.75,49.0,52.53,0.0502,keep,836,937887.1400000002,981802.2200000002,43915.08,0.0447,,
2022-11-18,xx002352_convert,52.57,55.15,51.57,52.49,-0.0008,keep,836,937887.1400000002,981768.7800000003,43881.64,0.0447,,
2022-11-25,xx002352_convert,51.7,52.35,50.19,50.95,-0.0293,keep,836,937887.1400000002,980481.3400000002,42594.2,0.0434,,
2022-12-02,xx002352_convert,49.95,55.7,49.03,53.58,0.0516,keep,836,937887.1400000002,982680.0200000003,44792.88,0.0456,,
2022-12-09,xx002352_convert,54.57,58.85,54.25,58.03,0.0831,buy,836,937887.1400000002,986400.2200000002,48513.08,0.0492,,
2022-12-16,xx002352_convert,57.81,60.36,56.3,58.31,0.0048,buy,4036,752816.8800000002,988156.0400000003,235339.16,0.2382,46.26,
2022-12-23,xx002352_convert,58.59,59.0,56.55,58.18,-0.0022,keep,6536,606280.2600000002,986544.7400000002,380264.48,0.3855,36.62,
2022-12-30,xx002352_convert,57.6,60.91,56.71,57.76,-0.0072,keep,6536,606280.2600000002,983799.6200000002,377519.36,0.3837,,
2023-01-06,xx002352_convert,57.5,60.46,56.91,59.61,0.032,buy,6536,606280.2600000002,995891.2200000002,389610.96,0.3912,,
2023-01-13,xx002352_convert,60.0,60.51,57.68,60.38,0.0129,keep,8536,486230.26000000024,1001633.9400000002,515403.68,0.5146,30.0,
