date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos
2022-01-07,xx000725_convert,5.05,5.18,5.01,5.15,0.0198,,,,,,
2022-01-14,xx000725_convert,5.17,5.22,4.95,4.97,-0.035,,,,,,
2022-01-21,xx000725_convert,4.97,5.11,4.94,4.99,0.004,,,,,,
2022-01-28,xx000725_convert,4.97,5.0,4.8,4.85,-0.0281,,,,,,
2022-02-11,xx000725_convert,4.92,5.04,4.89,5.0,0.0309,,,,,,
2022-02-18,xx000725_convert,4.97,4.97,4.87,4.91,-0.018,,,,,,
2022-02-25,xx000725_convert,4.89,4.97,4.74,4.79,-0.0244,,,,,,
2022-03-04,xx000725_convert,4.77,4.78,4.64,4.65,-0.0292,,,,,,
2022-03-11,xx000725_convert,4.62,4.63,4.04,4.44,-0.0452,,,,,,
2022-03-18,xx000725_convert,4.4,4.47,4.08,4.3,-0.0315,,,,,,
2022-03-25,xx000725_convert,4.32,4.38,4.21,4.23,-0.0163,keep,0,1000000,1000000,0.0,0.0
2022-04-01,xx000725_convert,4.2,4.35,4.15,4.31,0.0189,keep,0,1000000,1000000.0,0.0,0.0
2022-04-08,xx000725_convert,4.31,4.33,4.12,4.2,-0.0255,keep,0,1000000,1000000.0,0.0,0.0
2022-04-15,xx000725_convert,4.19,4.19,4.06,4.11,-0.0214,keep,0,1000000,1000000.0,0.0,0.0
2022-04-22,xx000725_convert,4.09,4.14,3.88,3.96,-0.0365,keep,0,1000000,1000000.0,0.0,0.0
2022-04-29,xx000725_convert,3.91,3.93,3.59,3.8,-0.0404,keep,0,1000000,1000000.0,0.0,0.0
2022-05-06,xx000725_convert,3.79,3.84,3.66,3.67,-0.0342,keep,0,1000000,1000000.0,0.0,0.0
2022-05-13,xx000725_convert,3.65,3.93,3.61,3.82,0.0409,keep,0,1000000,1000000.0,0.0,0.0
2022-05-20,xx000725_convert,3.84,3.99,3.77,3.94,0.0314,keep,0,1000000,1000000.0,0.0,0.0
2022-05-27,xx000725_convert,3.9,3.98,3.83,3.93,-0.0025,keep,0,1000000,1000000.0,0.0,0.0
2022-06-02,xx000725_convert,3.76,3.79,3.71,3.76,0.0108,keep,0,1000000,1000000.0,0.0,0.0
2022-06-10,xx000725_convert,3.75,3.81,3.65,3.71,-0.0133,keep,0,1000000,1000000.0,0.0,0.0
2022-06-17,xx000725_convert,3.68,4.06,3.58,3.88,0.0458,keep,0,1000000,1000000.0,0.0,0.0
2022-06-24,xx000725_convert,3.9,3.95,3.81,3.89,0.0026,keep,0,1000000,1000000.0,0.0,0.0
2022-07-01,xx000725_convert,3.9,4.02,3.86,3.93,0.0103,keep,0,1000000,1000000.0,0.0,0.0
2022-07-08,xx000725_convert,3.91,4.01,3.83,3.92,-0.0025,keep,0,1000000,1000000.0,0.0,0.0
2022-07-15,xx000725_convert,3.91,3.92,3.69,3.74,-0.0459,keep,0,1000000,1000000.0,0.0,0.0
2022-07-22,xx000725_convert,3.74,3.96,3.73,3.89,0.0401,keep,0,1000000,1000000.0,0.0,0.0
2022-07-29,xx000725_convert,3.89,3.96,3.83,3.89,0.0,keep,0,1000000,1000000.0,0.0,0.0
2022-08-05,xx000725_convert,3.88,3.9,3.69,3.84,-0.0129,keep,0,1000000,1000000.0,0.0,0.0
2022-08-12,xx000725_convert,3.84,3.98,3.83,3.95,0.0286,keep,0,1000000,1000000.0,0.0,0.0
2022-08-19,xx000725_convert,3.94,4.03,3.9,3.95,0.0,keep,0,1000000,1000000.0,0.0,0.0
2022-08-26,xx000725_convert,3.95,3.98,3.78,3.79,-0.0405,keep,0,1000000,1000000.0,0.0,0.0
2022-09-02,xx000725_convert,3.77,3.81,3.6,3.62,-0.0449,keep,0,1000000,1000000.0,0.0,0.0
2022-09-09,xx000725_convert,3.62,3.67,3.55,3.62,0.0,keep,0,1000000,1000000.0,0.0,0.0
2022-09-16,xx000725_convert,3.63,3.64,3.45,3.45,-0.047,keep,0,1000000,1000000.0,0.0,0.0
2022-09-23,xx000725_convert,3.43,3.44,3.31,3.39,-0.0174,keep,0,1000000,1000000.0,0.0,0.0
2022-09-30,xx000725_convert,3.36,3.38,3.22,3.27,-0.0354,keep,0,1000000,1000000.0,0.0,0.0
2022-10-14,xx000725_convert,3.32,3.59,3.22,3.55,0.0856,keep,0,1000000,1000000.0,0.0,0.0
2022-10-21,xx000725_convert,3.53,3.68,3.52,3.6,0.0141,keep,0,1000000,1000000.0,0.0,0.0
2022-10-28,xx000725_convert,3.61,3.65,3.48,3.51,-0.025,keep,0,1000000,1000000.0,0.0,0.0
2022-11-04,xx000725_convert,3.42,3.6,3.3,3.54,0.0085,keep,0,1000000,1000000.0,0.0,0.0
2022-11-11,xx000725_convert,3.57,3.65,3.46,3.55,0.0028,keep,0,1000000,1000000.0,0.0,0.0
