date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xx300760_convert,376.8,377.8,325.0,327.99,-0.1387,,,,,,,
2022-01-14,xx300760_convert,330.0,343.32,312.6,337.8,0.0299,,,,,,,
2022-01-21,xx300760_convert,337.0,358.3,332.0,342.22,0.0131,,,,,,,
2022-01-28,xx300760_convert,337.0,345.6,321.96,323.28,-0.0553,,,,,,,
2022-02-11,xx300760_convert,332.88,341.0,295.61,296.5,-0.0828,,,,,,,
2022-02-18,xx300760_convert,294.43,322.99,290.8,319.0,0.0759,,,,,,,
2022-02-25,xx300760_convert,320.47,333.0,308.45,325.91,0.0217,,,,,,,
2022-03-04,xx300760_convert,323.1,331.95,310.8,313.26,-0.0388,,,,,,,
2022-03-11,xx300760_convert,310.1,312.84,277.3,306.7,-0.0209,,,,,,,
2022-03-18,xx300760_convert,310.3,326.32,288.0,317.12,0.034,,,,,,,
2022-03-25,xx300760_convert,320.68,320.9,299.98,300.0,-0.054,buy,0,1000000,1000000,0.0,0.0,
2022-04-01,xx300760_convert,297.5,312.0,286.0,305.96,0.0199,buy,600,821449.37,1005025.37,183576.0,0.1827,44.63
2022-04-08,xx300760_convert,304.1,313.23,296.64,307.99,0.0066,buy,1100,669356.36,1008145.36,338789.0,0.3361,38.01
2022-04-15,xx300760_convert,307.08,345.5,302.05,340.8,0.1065,keep,1500,546489.65,1057689.65,511200.0,0.4833,30.71
2022-04-22,xx300760_convert,338.0,341.93,288.02,302.0,-0.1138,keep,1500,546489.65,999489.65,453000.0,0.4532,
2022-04-29,xx300760_convert,296.64,326.77,295.18,312.5,0.0348,keep,1500,546489.65,1015239.65,468750.0,0.4617,
2022-05-06,xx300760_convert,319.84,323.8,304.29,306.0,-0.0208,keep,1500,546489.65,1005489.65,459000.0,0.4565,
2022-05-13,xx300760_convert,309.9,315.34,294.22,305.5,-0.0016,keep,1500,546489.65,1004739.65,458250.0,0.4561,
2022-05-20,xx300760_convert,307.5,309.96,295.0,304.55,0.0086,keep,1517,546489.65,1008492.0,462002.35,0.4581,
2022-05-27,xx300760_convert,307.0,307.0,280.0,294.93,-0.0316,keep,1517,546489.65,993898.46,447408.81,0.4502,
2022-06-02,xx300760_convert,295.0,305.68,288.31,298.0,0.0104,keep,1517,546489.65,998555.65,452066.0,0.4527,
2022-06-10,xx300760_convert,298.02,317.9,292.58,306.55,0.0287,keep,1517,546489.65,1011526.0,465036.35,0.4597,
2022-06-17,xx300760_convert,301.75,309.61,292.35,307.59,0.0034,keep,1517,546489.65,1013103.6799999999,466614.03,0.4606,
2022-06-24,xx300760_convert,307.81,321.54,306.3,319.3,0.0381,keep,1517,546489.65,1030867.75,484378.1,0.4699,
2022-07-01,xx300760_convert,322.2,327.68,305.66,312.04,-0.0227,keep,1517,546489.65,1019854.3300000001,473364.68,0.4641,
2022-07-08,xx300760_convert,312.04,346.5,311.5,316.66,0.0148,keep,1517,546489.65,1026862.8700000001,480373.22,0.4678,
2022-07-15,xx300760_convert,319.08,327.7,310.0,317.05,0.0012,keep,1517,546489.65,1027454.5,480964.85,0.4681,
2022-07-22,xx300760_convert,317.05,317.95,295.02,303.29,-0.0434,keep,1517,546489.65,1006580.5800000001,460090.93,0.4571,
2022-07-29,xx300760_convert,303.28,309.91,288.07,289.5,-0.0455,keep,1517,546489.65,985661.15,439171.5,0.4456,
2022-08-05,xx300760_convert,290.43,300.29,285.1,299.17,0.0334,keep,1517,546489.65,1000330.54,453840.89,0.4537,
2022-08-12,xx300760_convert,297.81,307.8,293.63,306.15,0.0233,keep,1517,546489.65,1010919.2,464429.55,0.4594,
2022-08-19,xx300760_convert,306.05,307.97,288.15,289.5,-0.0544,keep,1517,546489.65,985661.15,439171.5,0.4456,
2022-08-26,xx300760_convert,293.8,305.0,288.5,295.07,0.0192,keep,1517,546489.65,994110.8400000001,447621.19,0.4503,
2022-09-02,xx300760_convert,290.5,300.9,285.57,296.0,0.0032,keep,1517,546489.65,995521.65,449032.0,0.4511,
2022-09-09,xx300760_convert,300.9,302.96,288.58,299.46,0.0117,keep,1517,546489.65,1000770.47,454280.82,0.4539,
2022-09-16,xx300760_convert,300.0,311.28,297.21,298.3,-0.0039,keep,1517,546489.65,999010.75,452521.1,0.453,
2022-09-23,xx300760_convert,298.28,300.5,254.79,255.89,-0.1422,keep,1517,546489.65,934674.78,388185.13,0.4153,
2022-09-30,xx300760_convert,255.3,301.88,253.37,299.0,0.1685,keep,1517,546489.65,1000072.65,453583.0,0.4536,
2022-10-14,xx300760_convert,301.0,349.0,295.1,340.17,0.1377,keep,1517,546489.65,1062527.54,516037.89,0.4857,
2022-10-21,xx300760_convert,340.0,347.0,324.7,331.55,-0.0253,keep,1517,546489.65,1049451.0,502961.35,0.4793,
2022-10-28,xx300760_convert,326.9,334.0,308.1,322.51,-0.0273,keep,1517,546489.65,1035737.3200000001,489247.67,0.4724,
2022-11-04,xx300760_convert,317.67,332.98,314.0,318.85,-0.0113,keep,1517,546489.65,1030185.1000000001,483695.45,0.4695,
2022-11-11,xx300760_convert,316.84,321.99,299.76,302.31,-0.0519,keep,1517,546489.65,1005093.92,458604.27,0.4563,
2022-11-18,xx300760_convert,308.36,343.0,308.04,326.52,0.0801,keep,1517,546489.65,1041820.49,495330.84,0.4754,
2022-11-25,xx300760_convert,321.01,330.2,312.8,329.01,0.0076,keep,1517,546489.65,1045597.8200000001,499108.17,0.4773,
2022-12-02,xx300760_convert,323.79,338.25,318.08,328.0,-0.0031,keep,1517,546489.65,1044065.65,497576.0,0.4766,
2022-12-09,xx300760_convert,331.0,334.66,303.36,311.44,-0.0505,keep,1517,546489.65,1018944.13,472454.48,0.4637,
2022-12-16,xx300760_convert,312.0,318.0,304.51,310.76,-0.0022,keep,1517,546489.65,1017912.5700000001,471422.92,0.4631,
2022-12-23,xx300760_convert,311.24,318.05,302.82,316.0,0.0169,keep,1517,546489.65,1025861.65,479372.0,0.4673,
2022-12-30,xx300760_convert,319.0,320.0,310.01,315.97,-0.0001,keep,1517,546489.65,1025816.1400000001,479326.49,0.4673,
2023-01-06,xx300760_convert,315.97,323.96,309.0,318.1,0.0067,keep,1517,546489.65,1029047.3500000001,482557.7,0.4689,
2023-01-13,xx300760_convert,318.18,330.82,315.97,330.82,0.04,keep,1517,546489.65,1048343.5900000001,501853.94,0.4787,
2023-01-20,xx300760_convert,332.73,348.3,332.03,341.05,0.0309,keep,1517,546489.65,1063862.5,517372.85,0.4863,
2023-02-03,xx300760_convert,353.0,353.0,322.45,325.52,-0.0455,keep,1517,546489.65,1040303.49,493813.84,0.4747,
2023-02-10,xx300760_convert,317.11,328.46,313.98,324.16,-0.0042,keep,1517,546489.65,1038240.3700000001,491750.72,0.4736,
2023-02-17,xx300760_convert,322.13,329.4,318.66,318.98,-0.016,keep,1517,546489.65,1030382.31,483892.66,0.4696,
2023-02-24,xx300760_convert,318.05,326.6,314.5,315.04,-0.0124,keep,1517,546489.65,1024405.3300000001,477915.68,0.4665,
2023-03-03,xx300760_convert,314.42,319.95,309.0,313.1,-0.0062,keep,1517,546489.65,1021462.3500000001,474972.7,0.465,
2023-03-10,xx300760_convert,312.92,314.1,303.0,309.76,-0.0107,keep,1517,546489.65,1016395.5700000001,469905.92,0.4623,
2023-03-17,xx300760_convert,310.38,317.0,297.23,298.95,-0.0349,keep,1517,546489.65,999996.8,453507.15,0.4535,
2023-03-24,xx300760_convert,298.95,313.7,294.4,304.0,0.0169,buy,1517,546489.65,1007657.65,461168.0,0.4577,
2023-03-31,xx300760_convert,304.0,315.94,301.0,311.71,0.0254,buy,1817,455263.85000000003,1021640.9199999999,566377.07,0.5544,22.8
2023-04-07,xx300760_convert,311.71,311.95,300.21,309.0,-0.0087,buy,2017,392904.26,1016157.26,623253.0,0.6133,15.59
2023-04-14,xx300760_convert,309.1,315.8,304.2,312.5,0.0113,buy,2217,331066.8,1023879.3,692812.5,0.6767,15.46
2023-04-21,xx300760_convert,311.88,319.2,298.88,301.5,-0.0352,keep,2417,268673.20999999996,997398.71,728725.5,0.7306,15.59
2023-04-28,xx300760_convert,303.91,312.0,297.2,311.9,0.0345,buy,2417,268673.20999999996,1022535.5099999999,753862.3,0.7372,
2023-05-05,xx300760_convert,314.28,316.51,309.14,314.36,0.0079,buy,2517,237236.34999999998,1028480.47,791244.12,0.7693,7.86
2023-05-12,xx300760_convert,315.36,315.86,298.01,306.79,-0.0241,buy,2617,205691.46999999997,1008560.9,802869.43,0.7961,7.88
2023-05-19,xx300760_convert,306.83,313.77,305.11,311.05,0.0139,buy,2717,174999.79999999996,1020122.6499999999,845122.85,0.8285,7.67
2023-05-26,xx300760_convert,313.45,325.0,308.58,317.36,0.0203,buy,2817,143645.95999999996,1037649.08,894003.12,0.8616,7.84
2023-06-02,xx300760_convert,313.38,314.3,297.16,301.58,-0.0361,buy,2857,143645.95999999996,1005260.0199999999,861614.06,0.8571,0.0
2023-06-09,xx300760_convert,302.5,305.9,290.69,302.0,0.0014,,2857,143645.95999999996,1006459.96,862814.0,0.8573,0.0
