date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx600089_convert,21.2,21.32,19.4,19.68,-0.0704,,,,,,,,
2022-01-14,xx600089_convert,19.7,20.1,18.8,19.52,-0.0081,,,,,,,,
2022-01-21,xx600089_convert,19.95,20.45,19.35,19.42,-0.0051,,,,,,,,
2022-01-28,xx600089_convert,19.39,19.82,17.93,18.65,-0.0396,,,,,,,,
2022-02-11,xx600089_convert,18.97,19.87,18.97,19.14,0.0263,,,,,,,,
2022-02-18,xx600089_convert,18.96,20.18,18.71,19.95,0.0423,,,,,,,,
2022-02-25,xx600089_convert,19.93,20.8,19.58,20.1,0.0075,,,,,,,,
2022-03-04,xx600089_convert,20.09,21.13,19.85,20.02,-0.004,,,,,,,,
2022-03-11,xx600089_convert,19.91,21.19,18.3,21.18,0.0579,,,,,,,,
2022-03-18,xx600089_convert,21.01,21.48,19.7,20.66,-0.0246,,,,,,,,
2022-03-25,xx600089_convert,20.53,20.95,19.35,19.35,-0.0634,keep,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx600089_convert,19.37,20.74,19.36,20.63,0.0661,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-08,xx600089_convert,20.4,20.5,19.4,19.6,-0.0499,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-15,xx600089_convert,19.63,19.9,18.68,19.69,0.0046,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-22,xx600089_convert,19.5,20.32,18.5,18.99,-0.0356,keep,0,1000000,1000000.0,0.0,0.0,,
2022-04-29,xx600089_convert,18.85,19.55,17.53,19.38,0.0205,keep,0,1000000,1000000.0,0.0,0.0,,
2022-05-06,xx600089_convert,19.52,19.57,18.65,18.75,-0.0325,keep,0,1000000,1000000.0,0.0,0.0,,
2022-05-13,xx600089_convert,18.72,20.44,18.38,20.09,0.0715,keep,0,1000000,1000000.0,0.0,0.0,,
2022-05-20,xx600089_convert,20.29,21.86,19.91,21.56,0.0732,keep,0,1000000,1000000.0,0.0,0.0,,
2022-05-27,xx600089_convert,21.35,22.0,20.93,21.42,-0.0065,keep,0,1000000,1000000.0,0.0,0.0,,
2022-06-02,xx600089_convert,21.63,22.79,21.18,22.54,0.0523,keep,0,1000000,1000000.0,0.0,0.0,,
2022-06-10,xx600089_convert,22.73,25.9,22.6,25.48,0.1304,buy,0,1000000,1000000.0,0.0,0.0,,
2022-06-17,xx600089_convert,25.81,28.78,25.75,28.15,0.1048,buy,7700,801136.3,1017891.3,216755.0,0.2129,49.7,
2022-06-24,xx600089_convert,28.4,28.68,24.88,26.71,-0.0295,buy,13475,642000.53,1001917.78,359917.25,0.3592,39.77,
2022-07-01,xx600089_convert,26.75,28.8,25.42,27.67,0.0359,buy,18175,516197.09,1019099.3400000001,502902.25,0.4935,31.44,
2022-07-08,xx600089_convert,28.0,30.84,27.28,28.43,0.0275,buy,21775,415335.88,1034399.13,619063.25,0.5985,25.21,
2022-07-15,xx600089_convert,28.6,28.6,26.61,27.18,-0.044,buy,24675,332346.14,1003012.64,670666.5,0.6687,20.74,
2022-07-22,xx600089_convert,27.22,27.45,25.81,26.11,-0.0394,keep,27075,266977.8,973906.05,706928.25,0.7259,16.34,
2022-07-29,xx600089_convert,26.05,26.08,24.87,24.98,-0.0433,keep,27075,266977.8,943311.3,676333.5,0.717,,
2022-08-05,xx600089_convert,24.78,24.82,23.12,24.1,-0.0352,keep,27075,266977.8,919485.3,652507.5,0.7096,,
2022-08-12,xx600089_convert,23.81,24.75,23.58,23.89,-0.0087,keep,27075,266977.8,913799.55,646821.75,0.7078,,
2022-08-19,xx600089_convert,23.94,26.65,23.84,25.96,0.0866,buy,27075,266977.8,969844.8,702867.0,0.7247,,
2022-08-26,xx600089_convert,25.8,25.99,24.68,25.46,-0.0193,buy,29075,215344.88999999998,955594.39,740249.5,0.7746,12.91,
2022-09-02,xx600089_convert,25.47,27.2,23.92,24.09,-0.0538,keep,30675,174566.69999999998,913527.45,738960.75,0.8089,10.19,
2022-09-09,xx600089_convert,23.86,26.02,23.8,25.09,0.0415,keep,30675,174566.69999999998,944202.45,769635.75,0.8151,,
2022-09-16,xx600089_convert,25.09,25.28,22.53,22.56,-0.1008,keep,30675,174566.69999999998,866594.7,692028.0,0.7986,,
2022-09-23,xx600089_convert,22.56,23.22,22.12,22.33,-0.0102,keep,30675,174566.69999999998,859539.45,684972.75,0.7969,,
2022-09-30,xx600089_convert,22.01,22.68,21.45,21.67,-0.0296,keep,30675,174566.69999999998,839293.95,664727.25,0.792,,
2022-10-14,xx600089_convert,21.91,23.27,21.19,22.85,0.0545,keep,30675,174566.69999999998,875490.45,700923.75,0.8006,,
2022-10-21,xx600089_convert,22.58,23.06,21.47,21.73,-0.049,keep,30675,174566.69999999998,841134.45,666567.75,0.7925,,
2022-10-28,xx600089_convert,21.8,22.32,20.6,20.73,-0.046,keep,30675,174566.69999999998,810459.45,635892.75,0.7846,,
2022-11-04,xx600089_convert,20.6,22.08,20.3,22.03,0.0627,buy,30675,174566.69999999998,850336.95,675770.25,0.7947,,
2022-11-11,xx600089_convert,22.0,22.6,21.42,21.8,-0.0104,sell,32175,141543.44999999998,842958.45,701415.0,0.8321,8.25,
2022-11-18,xx600089_convert,21.89,22.24,21.34,21.64,-0.0073,sell,25740,282165.25,839178.85,557013.6,0.6638,35.2,140.8
2022-11-25,xx600089_convert,21.42,22.1,21.29,21.54,-0.0046,sell,20592,392246.16000000003,835797.8400000001,443551.68,0.5307,27.55,110.22
2022-12-02,xx600089_convert,21.2,21.94,20.68,21.41,-0.006,sell,16474,479397.5,832105.8400000001,352708.34,0.4239,21.82,87.26
2022-12-09,xx600089_convert,21.46,21.57,20.86,21.06,-0.0163,keep,13180,549965.48,827536.28,277570.8,0.3354,17.66,70.66
2022-12-16,xx600089_convert,20.99,20.99,20.26,20.42,-0.0304,keep,13180,549965.48,819101.0800000001,269135.6,0.3286,,
2022-12-23,xx600089_convert,20.3,20.46,18.42,18.59,-0.0896,keep,13180,549965.48,794981.6799999999,245016.2,0.3082,,
2022-12-30,xx600089_convert,18.59,20.2,18.5,20.08,0.0802,keep,13180,549965.48,814619.8799999999,264654.4,0.3249,,
2023-01-06,xx600089_convert,20.01,20.52,19.6,20.19,0.0055,keep,13180,549965.48,816069.6799999999,266104.2,0.3261,,
