date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos
2022-01-07,xx000100_convert,6.18,6.44,6.14,6.35,0.0292,,,,,,
2022-01-14,xx000100_convert,6.37,6.47,6.15,6.16,-0.0299,,,,,,
2022-01-21,xx000100_convert,6.15,6.21,6.07,6.08,-0.013,,,,,,
2022-01-28,xx000100_convert,6.05,6.06,5.52,5.61,-0.0773,,,,,,
2022-02-11,xx000100_convert,5.72,5.94,5.66,5.84,0.041,,,,,,
2022-02-18,xx000100_convert,5.8,5.86,5.63,5.73,-0.0188,,,,,,
2022-02-25,xx000100_convert,5.7,5.83,5.58,5.64,-0.0157,,,,,,
2022-03-04,xx000100_convert,5.62,5.62,5.38,5.39,-0.0443,,,,,,
2022-03-11,xx000100_convert,5.36,5.36,4.75,5.11,-0.0519,,,,,,
2022-03-18,xx000100_convert,5.04,5.19,4.6,4.88,-0.045,,,,,,
2022-03-25,xx000100_convert,4.98,5.1,4.86,4.87,-0.002,keep,0,1000000,1000000,0.0,0.0
2022-04-01,xx000100_convert,4.83,4.97,4.75,4.89,0.0041,keep,0,1000000,1000000.0,0.0,0.0
2022-04-08,xx000100_convert,4.87,4.94,4.74,4.88,-0.002,keep,0,1000000,1000000.0,0.0,0.0
2022-04-15,xx000100_convert,4.86,4.87,4.69,4.76,-0.0246,keep,0,1000000,1000000.0,0.0,0.0
2022-04-22,xx000100_convert,4.74,4.77,4.32,4.47,-0.0609,sell,0,1000000,1000000.0,0.0,0.0
2022-04-29,xx000100_convert,4.37,4.45,4.03,4.18,-0.0649,sell,0,1000000.0,1000000.0,0.0,0.0
2022-05-06,xx000100_convert,4.17,4.23,4.09,4.11,-0.0167,sell,0,1000000.0,1000000.0,0.0,0.0
2022-05-13,xx000100_convert,4.1,4.42,3.96,4.25,0.0341,sell,0,1000000.0,1000000.0,0.0,0.0
2022-05-20,xx000100_convert,4.27,4.6,4.13,4.46,0.0494,keep,0,1000000.0,1000000.0,0.0,0.0
