date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx603993_convert,5.62,5.64,5.5,5.55,-0.0054,,,,,,,,
2022-01-14,xx603993_convert,5.54,5.88,5.52,5.62,0.0126,,,,,,,,
2022-01-21,xx603993_convert,5.58,5.7,5.52,5.69,0.0125,,,,,,,,
2022-01-28,xx603993_convert,5.69,5.71,5.02,5.17,-0.0914,,,,,,,,
2022-02-11,xx603993_convert,5.26,5.87,5.25,5.79,0.1199,,,,,,,,
2022-02-18,xx603993_convert,5.75,5.82,5.6,5.8,0.0017,,,,,,,,
2022-02-25,xx603993_convert,5.78,5.89,5.62,5.74,-0.0103,,,,,,,,
2022-03-04,xx603993_convert,5.77,6.13,5.76,5.78,0.007,,,,,,,,
2022-03-11,xx603993_convert,5.86,5.95,5.01,5.21,-0.0986,,,,,,,,
2022-03-18,xx603993_convert,5.12,5.2,4.6,5.17,-0.0077,,,,,,,,
2022-03-25,xx603993_convert,5.22,5.6,5.16,5.47,0.058,buy,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx603993_convert,5.38,5.41,5.13,5.28,-0.0347,keep,37000,800520.14,995880.14,195360.0,0.1962,49.86,
2022-04-08,xx603993_convert,5.27,5.49,5.2,5.41,0.0246,sell,37000,800520.14,1000690.14,200170.0,0.2,,
2022-04-15,xx603993_convert,5.41,5.64,5.01,5.52,0.0203,keep,29600,840430.1900000001,1003822.1900000001,163392.0,0.1628,9.99,39.96
2022-04-22,xx603993_convert,5.49,5.49,4.78,4.95,-0.1033,sell,29600,840430.1900000001,986950.1900000001,146520.0,0.1485,,
2022-04-29,xx603993_convert,4.83,4.83,4.18,4.68,-0.0545,sell,23680,868928.93,979751.3300000001,110822.4,0.1131,7.13,28.53
2022-05-06,xx603993_convert,4.71,4.79,4.51,4.55,-0.0278,keep,18944,891160.3099999999,977355.5099999999,86195.2,0.0882,5.56,22.26
2022-05-13,xx603993_convert,4.5,4.65,4.32,4.44,-0.0242,keep,18944,891160.3099999999,975271.6699999999,84111.36,0.0862,,
2022-05-20,xx603993_convert,4.48,4.7,4.39,4.69,0.0563,sell,18944,891160.3099999999,980007.6699999999,88847.36,0.0907,,
2022-05-27,xx603993_convert,4.67,4.83,4.54,4.75,0.0128,keep,15156,908789.7399999999,980780.7399999999,71991.0,0.0734,5.0,17.65
2022-06-02,xx603993_convert,4.75,4.85,4.7,4.84,0.0189,keep,15156,908789.7399999999,982144.7799999999,73355.04,0.0747,,
2022-06-10,xx603993_convert,4.9,5.76,4.86,5.68,0.1736,sell,15156,908789.7399999999,994875.8199999998,86086.08,0.0865,,
2022-06-17,xx603993_convert,5.67,6.13,5.59,6.11,0.0757,keep,12125,925923.0399999998,1000006.7899999998,74083.75,0.0741,5.0,17.16
2022-06-24,xx603993_convert,6.12,6.27,5.47,5.75,-0.0589,keep,12125,925923.0399999998,995641.7899999998,69718.75,0.07,,
2022-07-01,xx603993_convert,5.66,6.06,5.6,5.71,-0.007,keep,12125,925923.0399999998,995156.7899999998,69233.75,0.0696,,
