date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission,tax
2022-01-07,xx600031_convert,22.79,25.11,22.52,24.81,0.0882,,,,,,,,
2022-01-14,xx600031_convert,25.2,25.31,23.33,23.38,-0.0576,,,,,,,,
2022-01-21,xx600031_convert,23.31,24.6,23.08,23.18,-0.0086,,,,,,,,
2022-01-28,xx600031_convert,22.95,23.18,20.02,20.14,-0.1311,,,,,,,,
2022-02-11,xx600031_convert,20.54,21.38,20.37,20.82,0.0338,,,,,,,,
2022-02-18,xx600031_convert,20.66,21.0,20.25,20.89,0.0034,,,,,,,,
2022-02-25,xx600031_convert,20.85,20.86,20.06,20.17,-0.0345,,,,,,,,
2022-03-04,xx600031_convert,20.15,20.15,18.88,18.93,-0.0615,,,,,,,,
2022-03-11,xx600031_convert,18.72,18.72,16.35,17.87,-0.056,,,,,,,,
2022-03-18,xx600031_convert,17.56,18.11,16.2,17.95,0.0045,,,,,,,,
2022-03-25,xx600031_convert,18.0,18.07,17.09,17.1,-0.0474,buy,0,1000000,1000000,0.0,0.0,,
2022-04-01,xx600031_convert,17.0,17.8,16.69,17.55,0.0263,buy,11700,800933.25,1006268.25,205335.0,0.2041,49.75,
2022-04-08,xx600031_convert,17.4,19.43,17.26,19.27,0.098,buy,20800,642462.64,1043278.64,400816.0,0.3842,39.61,
2022-04-15,xx600031_convert,19.2,19.2,18.1,18.43,-0.0436,sell,27400,515644.94,1020626.94,504982.0,0.4948,31.7,
2022-04-22,xx600031_convert,18.26,18.29,16.32,16.84,-0.0863,buy,21920,615529.9299999999,984662.73,369132.8,0.3749,25.0,100.01
2022-04-29,xx600031_convert,16.0,16.8,14.58,16.5,-0.0202,buy,29520,493823.50999999995,980903.51,487080.0,0.4966,30.42,
2022-05-06,xx600031_convert,16.5,16.94,16.05,16.21,-0.0176,buy,35420,396390.16,970548.3600000001,574158.2,0.5916,24.35,
2022-05-13,xx600031_convert,16.22,16.53,15.47,16.0,-0.013,buy,40220,318466.68,961986.6799999999,643520.0,0.6689,19.48,
2022-05-20,xx600031_convert,16.46,16.8,15.59,16.59,0.0369,buy,44020,255865.03,986156.8300000001,730291.8,0.7405,15.65,
2022-05-27,xx600031_convert,16.72,17.3,15.81,16.98,0.0235,sell,47020,205662.48,1004062.08,798399.6,0.7952,12.55,
2022-06-02,xx600031_convert,17.1,17.17,16.61,16.95,-0.0018,sell,37616,366175.94999999995,1003767.1499999999,637591.2,0.6352,40.18,160.71
2022-06-10,xx600031_convert,16.95,17.8,16.45,16.81,0.0181,buy,30892,496840.0299999999,1016134.5499999998,519294.52,0.511,32.71,130.83
2022-06-17,xx600031_convert,16.59,18.95,16.51,17.99,0.0702,buy,36792,398875.5399999999,1060763.6199999999,661888.08,0.624,24.49,
2022-06-24,xx600031_convert,18.01,18.75,17.77,18.11,0.0067,buy,41192,319567.7199999999,1065554.8399999999,745987.12,0.7001,19.82,
2022-07-01,xx600031_convert,18.04,20.38,18.02,19.84,0.0955,buy,44692,256376.9299999999,1143066.21,886689.28,0.7757,15.79,
2022-07-08,xx600031_convert,20.17,20.17,18.5,19.01,-0.0418,buy,47192,205914.31999999992,1103034.24,897119.92,0.8133,12.61,
2022-07-15,xx600031_convert,19.01,19.65,17.5,17.66,-0.071,sell,49292,165962.32999999993,1036459.0499999999,870496.72,0.8399,9.99,
2022-07-22,xx600031_convert,17.74,18.94,17.67,17.91,0.0142,keep,39434,340526.1899999999,1046789.1299999999,706262.94,0.6747,43.7,174.78
2022-07-29,xx600031_convert,18.0,18.19,16.92,17.04,-0.0486,buy,39434,340526.1899999999,1012481.5499999998,671955.36,0.6637,,
2022-08-05,xx600031_convert,17.0,17.09,16.07,16.5,-0.0317,buy,43434,272469.1799999999,989130.1799999999,716661.0,0.7245,17.01,
2022-08-12,xx600031_convert,16.45,16.89,16.07,16.8,0.0182,buy,46734,218137.5999999999,1003268.7999999999,785131.2,0.7826,13.58,
2022-08-19,xx600031_convert,16.77,16.87,16.25,16.26,-0.0321,buy,49234,176177.1099999999,976721.95,800544.84,0.8196,10.49,
2022-08-26,xx600031_convert,16.18,16.37,15.25,15.52,-0.0455,sell,51334,142169.6099999999,938873.2899999998,796703.68,0.8486,8.5,
2022-09-02,xx600031_convert,15.27,16.07,15.21,15.61,0.0058,sell,41068,298632.94999999995,939704.4299999999,641071.48,0.6822,39.16,156.66
2022-09-09,xx600031_convert,15.55,16.31,15.26,16.26,0.0416,keep,32855,426103.43,960325.73,534222.3,0.5563,31.91,127.63
2022-09-16,xx600031_convert,16.18,16.46,15.6,15.6,-0.0406,sell,32855,426103.43,938641.4299999999,512538.0,0.546,,
2022-09-23,xx600031_convert,15.56,15.56,14.25,14.42,-0.0756,sell,26284,528154.7599999999,907170.0399999998,379015.28,0.4178,25.54,102.18
2022-09-30,xx600031_convert,14.39,14.47,13.71,13.88,-0.0374,sell,21028,603641.5599999999,895510.2,291868.64,0.3259,18.9,75.58
2022-10-14,xx600031_convert,13.88,14.89,13.42,14.66,0.0562,sell,16823,661892.01,908517.19,246625.18,0.2715,14.58,58.32
2022-10-21,xx600031_convert,14.58,15.08,14.45,14.49,-0.0116,buy,13459,710844.23,905865.14,195020.91,0.2153,12.25,49.01
2022-10-28,xx600031_convert,14.51,14.95,14.06,14.36,-0.009,sell,23159,569965.02,902528.26,332563.24,0.3685,35.21,
2022-11-04,xx600031_convert,13.99,15.55,13.3,15.36,0.0696,sell,18528,634625.4700000001,919215.55,284590.08,0.3096,16.19,64.74
2022-11-11,xx600031_convert,15.3,16.21,14.81,15.9,0.0352,sell,14823,691204.11,926889.81,235685.7,0.2543,14.16,56.65
2022-11-18,xx600031_convert,16.3,16.45,15.4,15.48,-0.0264,sell,11859,739427.32,923004.6399999999,183577.32,0.1989,12.07,48.28
2022-11-25,xx600031_convert,15.38,15.97,15.18,15.9,0.0271,buy,9488,775824.04,926683.24,150859.2,0.1628,9.11,36.44
2022-12-02,xx600031_convert,15.6,16.36,15.08,15.7,-0.0126,sell,19388,621246.41,925638.01,304391.6,0.3288,38.63,
2022-12-09,xx600031_convert,15.81,17.04,15.8,16.91,0.0771,buy,15511,682426.44,944717.45,262291.01,0.2776,15.31,61.26
2022-12-16,xx600031_convert,16.84,17.07,16.37,16.71,-0.0118,buy,23511,547592.74,940461.55,392868.81,0.4177,33.7,
2022-12-23,xx600031_convert,16.65,16.84,15.67,16.14,-0.0341,buy,30011,439275.67,923653.21,484377.54,0.5244,27.07,
2022-12-30,xx600031_convert,16.14,16.4,15.5,15.8,-0.0211,keep,35411,352043.87,911537.67,559493.8,0.6138,21.8,
2023-01-06,xx600031_convert,15.8,16.53,15.51,16.5,0.0443,buy,35411,352043.87,936325.37,584281.5,0.624,,
2023-01-13,xx600031_convert,16.56,17.04,16.51,17.02,0.0315,buy,39611,282432.47,956611.69,674179.22,0.7048,17.4,
2023-01-20,xx600031_convert,17.06,17.43,16.81,17.27,0.0147,buy,42911,226087.38999999998,967160.36,741072.97,0.7662,14.08,
2023-02-03,xx600031_convert,17.5,17.59,16.49,16.66,-0.0353,sell,45411,182301.44999999998,938848.71,756547.26,0.8058,10.94,
2023-02-10,xx600031_convert,16.51,16.76,16.4,16.53,-0.0078,sell,36329,331967.13999999996,932485.51,600518.37,0.644,37.46,149.85
2023-02-17,xx600031_convert,16.66,18.47,16.62,18.03,0.0907,buy,29064,452778.18999999994,976802.11,524023.92,0.5365,30.24,120.96
2023-02-24,xx600031_convert,18.39,19.73,18.33,18.66,0.0349,buy,33964,362595.64999999997,996363.8899999999,633768.24,0.6361,22.54,
2023-03-03,xx600031_convert,18.5,19.45,18.4,19.29,0.0338,buy,37864,290388.6,1020785.1599999999,730396.56,0.7155,18.05,
2023-03-10,xx600031_convert,19.0,19.1,17.7,17.78,-0.0783,buy,40864,233344.33999999997,959906.26,726561.92,0.7569,14.26,
2023-03-17,xx600031_convert,17.83,18.37,17.27,17.47,-0.0174,buy,43464,186948.73999999996,946264.82,759316.08,0.8024,11.6,
2023-03-24,xx600031_convert,17.47,17.96,16.65,16.94,-0.0303,keep,45564,150231.55999999997,922085.72,771854.16,0.8371,9.18,
2023-03-31,xx600031_convert,16.94,17.38,16.54,17.09,0.0089,buy,45564,150231.55999999997,928920.32,778688.76,0.8383,,
2023-04-07,xx600031_convert,17.13,17.85,17.13,17.4,0.0181,buy,47264,121086.27999999997,943479.8799999999,822393.6,0.8717,7.28,
2023-04-14,xx600031_convert,17.42,17.62,16.91,16.99,-0.0236,buy,48564,98421.61999999997,923523.9799999999,825102.36,0.8934,5.66,
2023-04-21,xx600031_convert,17.0,17.44,16.56,16.6,-0.023,sell,49664,79705.61999999997,904128.02,824422.4,0.9118,5.0,
2023-04-28,xx600031_convert,16.61,16.66,15.82,16.49,-0.0066,buy,39732,244370.72999999995,899551.4099999999,655180.68,0.7283,41.22,164.87
2023-05-05,xx600031_convert,16.44,16.5,16.06,16.24,-0.0152,sell,42632,196653.79999999996,888997.4799999999,692343.68,0.7788,11.93,
