date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2022-01-07,xx000725,5.05,5.18,5.01,5.15,0.02,,,,,,,,
2022-01-14,xx000725,5.17,5.22,4.95,4.97,-0.04,,,,,,,,
2022-01-21,xx000725,4.97,5.11,4.94,4.99,0.0,,,,,,,,
2022-01-28,xx000725,4.97,5.0,4.8,4.85,-0.03,,,,,,,,
2022-02-11,xx000725,4.92,5.04,4.89,5.0,0.03,,,,,,,,
2022-02-18,xx000725,4.97,4.97,4.87,4.91,-0.02,,,,,,,,
2022-02-25,xx000725,4.89,4.97,4.74,4.79,-0.02,,,,,,,,
2022-03-04,xx000725,4.77,4.78,4.64,4.65,-0.03,,,,,,,,
2022-03-11,xx000725,4.62,4.63,4.04,4.44,-0.05,,,,,,,,
2022-03-18,xx000725,4.4,4.47,4.08,4.3,-0.03,,,,,,,,
2022-03-25,xx000725,4.32,4.38,4.21,4.23,-0.02,keep,0,1000000,0.0,0.0,1000000.0,,
2022-04-01,xx000725,4.2,4.35,4.15,4.31,0.02,buy,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-08,xx000725,4.31,4.33,4.12,4.2,-0.03,sell,46200,994406.1,194040.0,0.2,800366.1,49.9,
2022-04-15,xx000725,4.19,4.19,4.06,4.11,-0.02,keep,36960,990846.6199999999,151905.6,0.15,838941.02,9.66,38.62
2022-04-22,xx000725,4.09,4.14,3.88,3.96,-0.04,sell,36960,985302.6199999999,146361.6,0.15,838941.02,,
2022-04-29,xx000725,3.91,3.93,3.59,3.8,-0.04,sell,29568,980092.18,112358.4,0.11,867733.78,7.21,28.83
2022-05-06,xx000725,3.79,3.84,3.66,3.67,-0.03,sell,23655,976870.8300000001,86813.85,0.09,890056.98,5.59,22.35
2022-05-13,xx000725,3.65,3.93,3.61,3.82,0.04,sell,18924,979545.28,72289.68,0.07,907255.6,5.0,17.22
2022-05-20,xx000725,3.84,3.99,3.77,3.94,0.03,sell,15140,981380.43,59651.6,0.06,921728.83,5.0,14.49
2022-05-27,xx000725,3.9,3.98,3.83,3.93,-0.0,sell,12112,981091.1300000001,47600.16,0.05,933490.97,5.0,11.78
2022-06-02,xx000725,3.76,3.79,3.71,3.76,0.01,sell,10237,981563.7400000001,38491.12,0.04,943072.62,5.0,9.6
2022-06-10,xx000725,3.75,3.81,3.65,3.71,-0.01,keep,8190,981100.6400000001,30384.9,0.03,950715.74,5.0,7.66
2022-06-17,xx000725,3.68,4.06,3.58,3.88,0.05,sell,8190,982492.9400000001,31777.2,0.03,950715.74,,
2022-06-24,xx000725,3.9,3.95,3.81,3.89,0.0,keep,6552,982563.4700000001,25487.28,0.03,957076.19,5.0,6.37
2022-07-01,xx000725,3.9,4.02,3.86,3.93,0.01,keep,6552,982825.55,25749.36,0.03,957076.19,,
2022-07-08,xx000725,3.91,4.01,3.83,3.92,-0.0,keep,6552,982760.03,25683.84,0.03,957076.19,,
2022-07-15,xx000725,3.91,3.92,3.69,3.74,-0.05,sell,6552,981580.67,24504.48,0.02,957076.19,,
2022-07-22,xx000725,3.74,3.96,3.73,3.89,0.04,keep,5242,982343.9800000001,20391.38,0.02,961952.6,5.0,4.89
2022-07-29,xx000725,3.89,3.96,3.83,3.89,0.0,keep,5242,982343.9800000001,20391.38,0.02,961952.6,,
2022-08-05,xx000725,3.88,3.9,3.69,3.84,-0.01,sell,5242,982081.8800000001,20129.28,0.02,961952.6,,
