date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission,tax
2022-01-07,xx300308_convert,42.88,43.12,41.13,42.33,-0.004,,,,,67612,,,,
2022-01-14,xx300308_convert,42.0,43.96,38.29,39.07,-0.077,,,,,27915,,,,
2022-01-21,xx300308_convert,39.1,41.49,37.8,38.49,-0.0148,,,,,58836,,,,
2022-01-28,xx300308_convert,37.91,39.18,35.35,35.8,-0.0699,,,,,94571,,,,
2022-02-11,xx300308_convert,36.73,37.4,34.34,34.74,-0.0296,,,,,44497,,,,
2022-02-18,xx300308_convert,34.33,37.78,33.94,37.36,0.0754,,,,,70998,,,,
2022-02-25,xx300308_convert,38.23,39.4,36.36,37.07,-0.0078,,,,,34110,,,,
2022-03-04,xx300308_convert,36.81,38.96,36.35,37.65,0.0156,,,,,19180,,,,
2022-03-11,xx300308_convert,37.54,37.54,34.08,35.39,-0.06,,,,,35306,,,,
2022-03-18,xx300308_convert,34.9,35.26,31.01,33.23,-0.061,,,,,60512,,,,
2022-03-25,xx300308_convert,33.5,34.89,32.15,32.2,-0.031,keep,0,1000000,1000000,79264,0.0,0.0,,
2022-04-01,xx300308_convert,32.01,32.16,31.02,31.68,-0.0161,keep,0,1000000,1000000.0,88072,0.0,0.0,,
2022-04-08,xx300308_convert,31.41,31.41,29.71,30.9,-0.0246,keep,0,1000000,1000000.0,50813,0.0,0.0,,
2022-04-15,xx300308_convert,30.91,30.97,28.65,29.2,-0.055,keep,0,1000000,1000000.0,68511,0.0,0.0,,
2022-04-22,xx300308_convert,29.0,30.74,28.45,28.77,-0.0147,keep,0,1000000,1000000.0,34626,0.0,0.0,,
2022-04-29,xx300308_convert,29.29,31.16,28.9,30.62,0.0643,keep,0,1000000,1000000.0,86319,0.0,0.0,,
2022-05-06,xx300308_convert,30.85,32.67,30.18,31.95,0.0434,keep,0,1000000,1000000.0,60702,0.0,0.0,,
2022-05-13,xx300308_convert,31.95,32.94,30.6,31.72,-0.0072,keep,0,1000000,1000000.0,56539,0.0,0.0,,
2022-05-20,xx300308_convert,31.7,32.58,30.62,31.34,-0.012,keep,0,1000000,1000000.0,68365,0.0,0.0,,
2022-05-27,xx300308_convert,31.39,32.36,29.6,30.23,-0.0284,keep,0,1000000,1000000.0,99468,0.0,0.0,,
2022-06-02,xx300308_convert,30.28,33.33,29.8,33.17,0.0973,keep,0,1000000,1000000.0,40364,0.0,0.0,,
2022-06-10,xx300308_convert,33.47,34.24,32.39,33.48,0.0093,keep,0,1000000,1000000.0,33827,0.0,0.0,,
2022-06-17,xx300308_convert,33.23,33.37,31.4,32.58,-0.0269,keep,0,1000000,1000000.0,76452,0.0,0.0,,
2022-06-24,xx300308_convert,32.7,33.5,30.18,30.5,-0.0638,keep,0,1000000,1000000.0,95113,0.0,0.0,,
2022-07-01,xx300308_convert,30.79,32.57,30.51,31.0,0.0164,keep,0,1000000,1000000.0,55971,0.0,0.0,,
2022-07-08,xx300308_convert,31.12,31.4,29.9,30.01,-0.0319,keep,0,1000000,1000000.0,92773,0.0,0.0,,
2022-07-15,xx300308_convert,29.98,30.58,28.46,29.23,-0.026,keep,0,1000000,1000000.0,25788,0.0,0.0,,
2022-07-22,xx300308_convert,29.68,34.65,29.59,33.36,0.1413,buy,0,1000000,1000000.0,75116,0.0,0.0,,
2022-07-29,xx300308_convert,33.25,34.89,32.51,32.79,-0.0171,sell,6000,800390.11,997130.11,57530,196740.0,0.1973,49.89,
2022-08-05,xx300308_convert,32.79,33.88,31.41,33.8,0.0308,sell,4800,839676.9400000001,1001916.9400000001,26117,162240.0,0.1619,9.83,39.34
2022-08-12,xx300308_convert,33.96,35.38,31.56,34.02,0.0065,keep,3840,872228.2000000001,1002865.0000000001,81781,130636.8,0.1303,8.15,32.59
2022-08-19,xx300308_convert,34.12,35.17,32.63,33.45,-0.0168,keep,3840,872228.2000000001,1000676.2000000001,37734,128448.0,0.1284,,
2022-08-26,xx300308_convert,33.38,33.43,29.96,30.13,-0.0993,keep,3840,872228.2000000001,987927.4,43130,115699.2,0.1171,,
2022-09-02,xx300308_convert,29.6,30.14,28.52,29.23,-0.0299,keep,3840,872228.2000000001,984471.4,63423,112243.2,0.114,,
2022-09-09,xx300308_convert,29.23,30.17,28.8,29.33,0.0034,keep,3840,872228.2000000001,984855.4,50823,112627.2,0.1144,,
2022-09-16,xx300308_convert,29.47,29.72,26.28,26.33,-0.1023,keep,3840,872228.2000000001,973335.4,43686,101107.2,0.1039,,
2022-09-23,xx300308_convert,26.5,27.43,26.03,27.1,0.0292,keep,3840,872228.2000000001,976292.2000000001,33795,104064.0,0.1066,,
2022-09-30,xx300308_convert,26.8,27.7,26.05,26.08,-0.0376,keep,3840,872228.2000000001,972375.4,85151,100147.2,0.103,,
2022-10-14,xx300308_convert,26.08,28.09,25.36,27.72,0.0629,keep,3840,872228.2000000001,978673.0,59204,106444.8,0.1088,,
2022-10-21,xx300308_convert,27.48,28.97,27.37,28.18,0.0166,keep,3840,872228.2000000001,980439.4,35416,108211.2,0.1104,,
2022-10-28,xx300308_convert,28.2,30.32,27.14,29.12,0.0334,keep,3840,872228.2000000001,984049.0000000001,44690,111820.8,0.1136,,
2022-11-04,xx300308_convert,29.4,30.4,28.12,30.28,0.0398,keep,3840,872228.2000000001,988503.4000000001,39795,116275.2,0.1176,,
2022-11-11,xx300308_convert,30.23,30.4,29.1,29.27,-0.0334,keep,3840,872228.2000000001,984625.0000000001,51895,112396.8,0.1142,,
2022-11-18,xx300308_convert,29.27,30.56,28.6,29.91,0.0219,keep,3840,872228.2000000001,987082.6000000001,40562,114854.4,0.1164,,
2022-11-25,xx300308_convert,29.7,29.99,28.54,28.58,-0.0445,keep,3840,872228.2000000001,981975.4,96580,109747.2,0.1118,,
2022-12-02,xx300308_convert,28.0,29.2,27.8,28.61,0.001,keep,3840,872228.2000000001,982090.6000000001,61328,109862.4,0.1119,,
2022-12-09,xx300308_convert,28.85,28.95,27.72,28.18,-0.015,keep,3840,872228.2000000001,980439.4,57112,108211.2,0.1104,,
2022-12-16,xx300308_convert,28.1,29.85,27.55,28.05,-0.0046,keep,3840,872228.2000000001,979940.2000000001,99744,107712.0,0.1099,,
2022-12-23,xx300308_convert,27.99,28.25,26.03,26.33,-0.0613,keep,3840,872228.2000000001,973335.4,80537,101107.2,0.1039,,
2022-12-30,xx300308_convert,26.3,27.52,26.3,27.03,0.0266,keep,3840,872228.2000000001,976023.4000000001,10662,103795.2,0.1063,,
2023-01-06,xx300308_convert,27.2,28.86,26.88,28.42,0.0514,keep,3840,872228.2000000001,981361.0000000001,62298,109132.8,0.1112,,
2023-01-13,xx300308_convert,28.54,28.54,27.7,27.82,-0.0211,keep,3840,872228.2000000001,979057.0000000001,77209,106828.8,0.1091,,
2023-01-20,xx300308_convert,27.87,29.29,27.71,28.99,0.0421,keep,3840,872228.2000000001,983549.8,12428,111321.6,0.1132,,
2023-02-03,xx300308_convert,29.4,31.7,28.82,31.56,0.0887,keep,3840,872228.2000000001,993418.6000000001,61443,121190.4,0.122,,
2023-02-10,xx300308_convert,31.93,36.88,31.35,34.95,0.1074,keep,3840,872228.2000000001,1006436.2000000001,44824,134208.0,0.1333,,
2023-02-17,xx300308_convert,35.29,36.65,33.17,33.35,-0.0458,keep,3840,872228.2000000001,1000292.2000000001,76181,128064.0,0.128,,
2023-02-24,xx300308_convert,33.4,35.38,33.3,34.87,0.0456,keep,3840,872228.2000000001,1006129.0,61644,133900.8,0.1331,,
2023-03-03,xx300308_convert,34.76,37.77,34.39,35.43,0.0161,keep,3840,872228.2000000001,1008279.4000000001,85395,136051.2,0.1349,,
2023-03-10,xx300308_convert,35.25,36.48,33.96,34.32,-0.0313,keep,3840,872228.2000000001,1004017.0,98662,131788.8,0.1313,,
2023-03-17,xx300308_convert,34.21,35.45,32.36,34.61,0.0084,keep,3840,872228.2000000001,1005130.6000000001,40450,132902.4,0.1322,,
2023-03-24,xx300308_convert,34.65,52.82,34.62,52.23,0.5091,keep,3840,872228.2000000001,1072791.4000000001,79420,200563.2,0.187,,
2023-03-31,xx300308_convert,51.0,60.2,50.8,58.9,0.1277,keep,3840,872228.2000000001,1098404.2000000002,61960,226176.0,0.2059,,
2023-04-07,xx300308_convert,60.6,73.31,59.6,70.5,0.1969,keep,3840,872228.2000000001,1142948.2000000002,73523,270720.0,0.2369,,
2023-04-14,xx300308_convert,71.0,77.88,63.77,66.51,-0.0566,keep,3840,872228.2000000001,1127626.6,24809,255398.4,0.2265,,
2023-04-21,xx300308_convert,65.3,82.0,63.86,78.19,0.1756,keep,3840,872228.2000000001,1172477.8,90483,300249.6,0.2561,,
2023-04-28,xx300308_convert,80.57,91.11,75.31,90.0,0.151,keep,3840,872228.2000000001,1217828.2000000002,16937,345600.0,0.2838,,
2023-05-05,xx300308_convert,86.5,87.8,75.88,78.39,-0.129,keep,3840,872228.2000000001,1173245.8,36869,301017.6,0.2566,,
2023-05-12,xx300308_convert,78.2,84.8,72.05,75.83,-0.0327,keep,3840,872228.2000000001,1163415.4000000001,82993,291187.2,0.2503,,
2023-05-19,xx300308_convert,77.0,99.59,72.49,93.55,0.2337,keep,3840,872228.2000000001,1231460.2000000002,92400,359232.0,0.2917,,
2023-05-26,xx300308_convert,93.55,99.89,85.08,91.45,-0.0224,keep,3840,872228.2000000001,1223396.2000000002,84852,351168.0,0.287,,
2023-06-02,xx300308_convert,94.38,112.8,94.01,106.7,0.1668,keep,3840,872228.2000000001,1281956.2000000002,19378,409728.0,0.3196,,
2023-06-09,xx300308_convert,105.0,118.5,103.27,115.2,0.0816,,3846,872228.2000000001,1315287.4000000001,51313,443059.2,0.3369,,
