date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos
2022-01-07,xx600585_convert,40.46,44.15,40.02,43.96,0.0908,,,,,58141,,
2022-01-14,xx600585_convert,43.96,44.5,39.0,39.06,-0.1115,,,,,90417,,
2022-01-21,xx600585_convert,39.1,43.15,38.72,41.19,0.0545,,,,,37717,,
2022-01-28,xx600585_convert,42.35,42.4,39.18,39.21,-0.0481,,,,,52192,,
2022-02-11,xx600585_convert,39.84,44.45,39.78,44.08,0.1242,,,,,73027,,
2022-02-18,xx600585_convert,43.69,44.12,41.8,43.53,-0.0125,,,,,64693,,
2022-02-25,xx600585_convert,43.54,43.76,40.12,40.31,-0.074,,,,,88058,,
2022-03-04,xx600585_convert,40.5,41.34,39.61,39.95,-0.0089,,,,,75031,,
2022-03-11,xx600585_convert,39.95,40.88,36.65,38.05,-0.0476,,,,,63843,,
2022-03-18,xx600585_convert,37.58,38.35,33.8,37.65,-0.0105,,,,,85668,,
2022-03-25,xx600585_convert,37.8,37.87,36.59,36.87,-0.0207,keep,0,1000000,1000000,32859,0.0,0.0
2022-04-01,xx600585_convert,37.01,39.99,36.68,39.7,0.0768,keep,0,1000000,1000000.0,10525,0.0,0.0
2022-04-08,xx600585_convert,39.61,41.83,39.46,40.92,0.0307,keep,0,1000000,1000000.0,87736,0.0,0.0
2022-04-15,xx600585_convert,40.98,41.2,39.02,39.94,-0.0239,keep,0,1000000,1000000.0,15747,0.0,0.0
2022-04-22,xx600585_convert,39.74,40.07,36.9,38.32,-0.0406,keep,0,1000000,1000000.0,64265,0.0,0.0
2022-04-29,xx600585_convert,38.0,40.97,36.9,39.96,0.0428,keep,0,1000000,1000000.0,88603,0.0,0.0
2022-05-06,xx600585_convert,39.98,40.56,38.87,38.93,-0.0258,keep,0,1000000,1000000.0,44692,0.0,0.0
2022-05-13,xx600585_convert,38.89,39.58,37.59,38.22,-0.0182,keep,0,1000000,1000000.0,11719,0.0,0.0
2022-05-20,xx600585_convert,38.58,38.69,36.81,37.97,-0.0065,keep,0,1000000,1000000.0,94155,0.0,0.0
2022-05-27,xx600585_convert,37.97,38.15,36.73,37.22,-0.0198,keep,0,1000000,1000000.0,39088,0.0,0.0
2022-06-02,xx600585_convert,37.05,37.36,36.03,36.22,-0.0269,keep,0,1000000,1000000.0,58504,0.0,0.0
2022-06-10,xx600585_convert,35.78,35.97,34.7,35.6,-0.0171,keep,0,1000000,1000000.0,10703,0.0,0.0
2022-06-17,xx600585_convert,35.4,37.31,35.02,37.1,0.0421,keep,0,1000000,1000000.0,31509,0.0,0.0
2022-06-24,xx600585_convert,37.22,37.22,33.55,33.96,-0.0219,keep,0,1000000,1000000.0,41045,0.0,0.0
2022-07-01,xx600585_convert,33.96,35.95,33.71,35.56,0.0471,keep,0,1000000,1000000.0,72872,0.0,0.0
2022-07-08,xx600585_convert,35.77,36.35,34.57,35.0,-0.0157,keep,0,1000000,1000000.0,66206,0.0,0.0
2022-07-15,xx600585_convert,34.6,36.06,34.0,34.0,-0.0286,keep,0,1000000,1000000.0,63312,0.0,0.0
2022-07-22,xx600585_convert,34.0,35.41,33.05,33.28,-0.0212,keep,0,1000000,1000000.0,36499,0.0,0.0
2022-07-29,xx600585_convert,33.29,33.54,32.44,32.5,-0.0234,keep,0,1000000,1000000.0,97322,0.0,0.0
2022-08-05,xx600585_convert,32.43,32.5,30.85,32.03,-0.0145,keep,0,1000000,1000000.0,55047,0.0,0.0
2022-08-12,xx600585_convert,32.03,33.0,31.95,32.88,0.0265,keep,0,1000000,1000000.0,37015,0.0,0.0
2022-08-19,xx600585_convert,32.88,33.22,31.58,31.9,-0.0298,keep,0,1000000,1000000.0,10663,0.0,0.0
2022-08-26,xx600585_convert,31.89,32.34,31.0,31.81,-0.0028,keep,0,1000000,1000000.0,73969,0.0,0.0
2022-09-02,xx600585_convert,31.55,32.27,30.67,31.17,-0.0201,keep,0,1000000,1000000.0,96200,0.0,0.0
