date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xx601600,6.11,6.12,5.7,5.99,-0.02,,,,,,,
2022-01-14,xx601600,5.97,6.38,5.9,5.93,-0.01,,,,,,,
2022-01-21,xx601600,5.86,6.1,5.76,5.84,-0.02,,,,,,,
2022-01-28,xx601600,5.71,5.77,5.1,5.26,-0.1,,,,,,,
2022-02-11,xx601600,5.37,6.38,5.33,6.15,0.17,,,,,,,
2022-02-18,xx601600,6.17,6.34,5.91,6.26,0.02,,,,,,,
2022-02-25,xx601600,6.2,6.53,6.06,6.33,0.01,,,,,,,
2022-03-04,xx601600,6.46,7.5,6.23,7.11,0.12,,,,,,,
2022-03-11,xx601600,7.39,7.43,5.96,6.37,-0.1,,,,,,,
2022-03-18,xx601600,6.18,6.3,5.32,5.98,-0.06,,,,,,,
2022-03-25,xx601600,6.11,6.34,5.98,6.0,0.0,keep,0,1000000,0.0,0.0,1000000.0,
2022-04-01,xx601600,5.89,6.18,5.68,5.81,-0.03,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-08,xx601600,5.74,5.9,5.56,5.72,-0.02,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-15,xx601600,5.65,5.98,5.32,5.72,0.0,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-22,xx601600,5.61,5.74,5.1,5.25,-0.08,sell,0,1000000.0,0.0,0.0,1000000.0,
2022-04-29,xx601600,5.13,5.14,4.31,4.76,-0.09,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-05-06,xx601600,4.67,4.75,4.43,4.46,-0.06,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-05-13,xx601600,4.4,4.68,4.32,4.56,0.02,buy,0,1000000.0,0.0,0.0,1000000.0,
2022-05-20,xx601600,4.62,5.07,4.45,5.07,0.11,keep,43100,1018914.11,218517.0,0.21,800397.11,49.89
2022-05-27,xx601600,5.18,5.37,4.86,5.02,-0.01,keep,43100,1016759.11,216362.0,0.21,800397.11,
2022-06-02,xx601600,5.03,5.27,4.94,5.04,0.0,keep,43100,1017621.11,217224.0,0.21,800397.11,
2022-06-10,xx601600,5.04,5.21,4.95,5.15,0.02,keep,43100,1022362.11,221965.0,0.22,800397.11,
2022-06-17,xx601600,5.08,5.19,4.72,4.99,-0.03,keep,43100,1015466.11,215069.0,0.21,800397.11,
2022-06-24,xx601600,4.98,4.99,4.61,4.74,-0.05,keep,43100,1004691.11,204294.0,0.2,800397.11,
2022-07-01,xx601600,4.75,4.99,4.67,4.74,-0.0,keep,43100,1004691.11,204294.0,0.2,800397.11,
2022-07-08,xx601600,4.7,4.88,4.6,4.67,-0.01,keep,43100,1001674.11,201277.0,0.2,800397.11,
2022-07-15,xx601600,4.64,4.64,4.38,4.38,-0.06,keep,43100,989175.11,188778.0,0.19,800397.11,
2022-07-22,xx601600,4.43,4.72,4.43,4.53,0.03,keep,43100,995640.11,195243.0,0.2,800397.11,
2022-07-29,xx601600,4.75,4.78,4.54,4.67,0.03,keep,43100,1001674.11,201277.0,0.2,800397.11,
2022-08-05,xx601600,4.63,4.65,4.35,4.49,-0.04,keep,43100,993916.11,193519.0,0.19,800397.11,
2022-08-12,xx601600,4.46,4.69,4.44,4.66,0.04,keep,43100,1001243.11,200846.0,0.2,800397.11,
2022-08-19,xx601600,4.61,4.66,4.47,4.49,-0.03,keep,43385,995195.76,194798.65,0.2,800397.11,
2022-08-26,xx601600,4.47,4.79,4.43,4.7,0.05,keep,43385,1004306.61,203909.5,0.2,800397.11,
2022-09-02,xx601600,4.62,4.72,4.43,4.45,-0.05,keep,43385,993460.36,193063.25,0.19,800397.11,
2022-09-09,xx601600,4.44,5.07,4.43,5.01,0.13,keep,43385,1017755.96,217358.85,0.21,800397.11,
2022-09-16,xx601600,5.07,5.09,4.48,4.49,-0.1,keep,43385,995195.76,194798.65,0.2,800397.11,
2022-09-23,xx601600,4.48,4.54,4.36,4.4,-0.02,keep,43385,991291.11,190894.0,0.19,800397.11,
2022-09-30,xx601600,4.33,4.33,4.01,4.13,-0.06,keep,43385,979577.1599999999,179180.05,0.18,800397.11,
2022-10-14,xx601600,4.12,4.27,4.04,4.25,0.03,keep,43385,984783.36,184386.25,0.19,800397.11,
2022-10-21,xx601600,4.2,4.24,4.07,4.12,-0.03,keep,43385,979143.31,178746.2,0.18,800397.11,
2022-10-28,xx601600,4.13,4.17,3.92,3.92,-0.05,keep,43385,970466.3099999999,170069.2,0.18,800397.11,
2022-11-04,xx601600,3.88,4.14,3.85,4.12,0.05,keep,43385,979143.31,178746.2,0.18,800397.11,
2022-11-11,xx601600,4.18,4.38,4.16,4.34,0.05,keep,43385,988688.01,188290.9,0.19,800397.11,
2022-11-18,xx601600,4.42,4.44,4.28,4.3,-0.01,keep,43385,986952.61,186555.5,0.19,800397.11,
2022-11-25,xx601600,4.26,4.5,4.21,4.47,0.04,keep,43385,994328.0599999999,193930.95,0.2,800397.11,
2022-12-02,xx601600,4.41,4.59,4.29,4.44,-0.01,keep,43385,993026.51,192629.4,0.19,800397.11,
