date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2022-01-07,xx688008,84.1,85.87,74.88,75.48,-0.1,,,,,,,,
2022-01-14,xx688008,75.98,79.62,72.33,75.5,0.0,,,,,,,,
2022-01-21,xx688008,75.7,84.48,75.7,77.2,0.02,,,,,,,,
2022-01-28,xx688008,76.81,78.8,71.07,71.25,-0.08,,,,,,,,
2022-02-11,xx688008,72.0,76.88,66.62,71.48,0.0,,,,,,,,
2022-02-18,xx688008,71.45,77.78,69.89,74.31,0.04,,,,,,,,
2022-02-25,xx688008,74.4,81.81,72.01,77.13,0.04,,,,,,,,
2022-03-04,xx688008,77.1,79.55,74.31,76.83,-0.0,,,,,,,,
2022-03-11,xx688008,76.9,77.65,71.6,76.88,0.0,,,,,,,,
2022-03-18,xx688008,75.7,77.5,70.4,74.5,-0.03,,,,,,,,
2022-03-25,xx688008,74.4,77.18,70.71,71.07,-0.05,keep,0,1000000,0.0,0.0,1000000.0,,
2022-04-01,xx688008,69.89,71.21,64.48,65.17,-0.08,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-08,xx688008,65.83,65.85,58.18,60.76,-0.07,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-15,xx688008,60.58,61.08,54.6,60.6,-0.0,keep,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-22,xx688008,60.67,63.33,57.37,57.64,-0.05,buy,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-29,xx688008,56.86,58.5,51.16,58.05,0.01,sell,3500,1004080.24,203175.0,0.2,800905.24,49.76,
2022-05-06,xx688008,58.79,62.26,58.0,59.4,0.02,keep,2800,1008319.7999999999,166320.0,0.16,841999.8,10.29,41.15
2022-05-13,xx688008,59.4,66.42,58.39,65.35,0.1,keep,2800,1024979.7999999999,182980.0,0.18,841999.8,,
2022-05-20,xx688008,65.6,66.23,62.3,64.48,-0.01,sell,2800,1022543.7999999999,180544.0,0.18,841999.8,,
2022-05-27,xx688008,64.33,65.3,59.88,60.0,-0.07,sell,2240,1012373.9799999999,134400.0,0.13,877973.98,9.0,36.02
2022-06-02,xx688008,60.5,67.86,59.21,67.44,0.12,buy,1792,1025892.1099999999,120852.48,0.12,905039.63,6.77,27.1
2022-06-10,xx688008,68.0,72.85,67.39,68.91,0.02,sell,4392,1030822.1399999999,302652.72,0.29,728169.42,44.21,
2022-06-17,xx688008,67.8,68.59,57.8,59.24,-0.14,sell,3514,995783.9999999999,208169.36,0.21,787614.64,14.88,59.52
2022-06-24,xx688008,59.29,60.17,55.33,56.88,-0.04,keep,2812,989123.75,159946.56,0.16,829177.19,10.4,41.61
2022-07-01,xx688008,57.3,61.81,57.07,60.24,0.06,keep,2812,998572.07,169394.88,0.17,829177.19,,
2022-07-08,xx688008,59.03,59.84,55.01,56.19,-0.07,keep,2812,987183.47,158006.28,0.16,829177.19,,
2022-07-15,xx688008,55.91,55.91,52.1,54.13,-0.04,keep,2812,981390.75,152213.56,0.16,829177.19,,
2022-07-22,xx688008,54.67,60.29,52.55,55.85,0.03,keep,2812,986227.3899999999,157050.2,0.16,829177.19,,
2022-07-29,xx688008,56.0,59.18,55.38,57.3,0.03,keep,2812,990304.7899999999,161127.6,0.16,829177.19,,
2022-08-05,xx688008,57.3,63.13,55.4,62.91,0.1,keep,2826,1006960.85,177783.66,0.18,829177.19,,
2022-08-12,xx688008,63.8,64.79,59.58,59.6,-0.05,keep,2826,997606.7899999999,168429.6,0.17,829177.19,,
2022-08-19,xx688008,59.69,60.5,54.94,54.98,-0.08,sell,2826,984550.6699999999,155373.48,0.16,829177.19,,
2022-08-26,xx688008,54.52,56.5,53.17,53.39,-0.03,sell,2261,980651.63,120714.79,0.12,859936.84,7.7,30.8
2022-09-02,xx688008,52.16,58.59,52.13,57.54,0.08,keep,1809,987569.04,104089.86,0.11,883479.18,5.89,23.57
2022-09-09,xx688008,57.74,59.6,54.65,57.16,-0.01,keep,1809,986881.62,103402.44,0.1,883479.18,,
2022-09-16,xx688008,57.05,60.1,55.81,56.27,-0.02,keep,1809,985271.6100000001,101792.43,0.1,883479.18,,
2022-09-23,xx688008,56.11,57.26,52.3,52.48,-0.07,sell,1809,978415.5,94936.32,0.1,883479.18,,
2022-09-30,xx688008,52.49,54.49,51.2,52.33,-0.0,keep,1448,978174.3500000001,75773.84,0.08,902400.51,5.0,18.95
2022-10-14,xx688008,51.3,51.82,41.8,47.09,-0.1,keep,1448,970586.8300000001,68186.32,0.07,902400.51,,
2022-10-21,xx688008,46.58,50.2,46.0,49.09,0.04,keep,1448,973482.8300000001,71082.32,0.07,902400.51,,
2022-10-28,xx688008,48.6,56.18,48.58,54.1,0.1,keep,1448,980737.3100000002,78336.8,0.08,902400.51,,
2022-11-04,xx688008,54.1,67.8,53.85,65.51,0.21,keep,1448,997258.9900000001,94858.48,0.1,902400.51,,
2022-11-11,xx688008,65.0,67.6,62.14,65.84,0.0,keep,1448,997736.8300000001,95336.32,0.1,902400.51,,
2022-11-18,xx688008,65.5,74.49,63.6,68.78,0.04,keep,1448,1001993.9500000002,99593.44,0.1,902400.51,,
2022-11-25,xx688008,67.9,71.58,67.39,68.88,0.0,keep,1448,1002138.7500000001,99738.24,0.1,902400.51,,
2022-12-02,xx688008,68.2,70.66,64.82,66.1,-0.04,keep,1448,998113.31,95712.8,0.1,902400.51,,
2022-12-09,xx688008,66.79,71.98,65.66,68.5,0.04,keep,1448,1001588.5100000001,99188.0,0.1,902400.51,,
2022-12-16,xx688008,68.52,71.56,65.0,65.4,-0.05,keep,1448,997099.7100000002,94699.2,0.09,902400.51,,
2022-12-23,xx688008,64.9,66.38,62.82,63.27,-0.03,keep,1448,994015.4700000001,91614.96,0.09,902400.51,,
2022-12-30,xx688008,63.0,64.79,62.3,62.6,-0.01,keep,1448,993045.3100000002,90644.8,0.09,902400.51,,
2023-01-06,xx688008,62.7,67.15,61.33,64.05,0.02,keep,1448,995144.9100000001,92744.4,0.09,902400.51,,
2023-01-13,xx688008,64.08,66.31,60.81,61.5,-0.04,keep,1448,991452.5100000001,89052.0,0.09,902400.51,,
2023-01-20,xx688008,61.3,64.65,60.48,64.65,0.05,keep,1448,996013.7100000002,93613.2,0.09,902400.51,,
2023-02-03,xx688008,65.22,66.15,54.1,56.51,-0.13,sell,1448,984226.9900000001,81826.48,0.08,902400.51,,
2023-02-10,xx688008,56.52,63.36,56.24,60.9,0.08,sell,1159,989293.6700000002,70583.1,0.07,918710.57,5.0,16.33
2023-02-17,xx688008,60.02,67.8,59.67,61.05,0.0,keep,928,989208.4200000003,56654.4,0.06,932554.02,5.0,13.86
2023-02-24,xx688008,61.52,61.84,57.35,58.33,-0.04,keep,928,986684.2600000002,54130.24,0.05,932554.02,,
2023-03-03,xx688008,58.31,59.28,56.58,57.62,-0.01,keep,928,986025.3800000002,53471.36,0.05,932554.02,,
