date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission,tax
2022-01-07,xx300347,123.0,123.63,109.31,111.1,-0.13,,,,,,,,
2022-01-14,xx300347,110.5,127.47,108.68,123.32,0.11,,,,,,,,
2022-01-21,xx300347,123.88,125.24,114.37,116.4,-0.06,,,,,,,,
2022-01-28,xx300347,116.06,121.4,103.0,103.27,-0.11,,,,,,,,
2022-02-11,xx300347,105.0,108.68,88.01,88.6,-0.14,,,,,,,,
2022-02-18,xx300347,90.45,102.53,89.5,102.23,0.15,,,,,,,,
2022-02-25,xx300347,102.23,106.22,96.5,104.8,0.03,,,,,,,,
2022-03-04,xx300347,103.0,106.3,95.0,96.19,-0.08,,,,,,,,
2022-03-11,xx300347,95.44,96.18,80.21,92.39,-0.04,,,,,,,,
2022-03-18,xx300347,90.0,96.34,85.74,94.53,0.02,,,,,,,,
2022-03-25,xx300347,95.77,105.8,91.8,98.8,0.05,keep,0,1000000,0.0,0.0,1000000.0,,
2022-04-01,xx300347,97.6,109.2,95.5,104.38,0.06,buy,0,1000000.0,0.0,0.0,1000000.0,,
2022-04-08,xx300347,105.1,108.0,99.39,99.97,-0.04,sell,1900,990184.07,189943.0,0.19,800241.07,49.93,
2022-04-15,xx300347,98.7,106.93,94.0,105.35,0.05,sell,1520,997828.3899999999,160132.0,0.16,837696.39,9.38,37.5
2022-04-22,xx300347,103.9,105.23,92.01,95.03,-0.1,keep,1216,984795.95,115556.48,0.12,869239.47,7.9,31.58
2022-04-29,xx300347,92.5,93.47,83.0,89.55,-0.06,sell,1216,978132.27,108892.8,0.11,869239.47,,
2022-05-06,xx300347,87.8,89.48,81.6,81.76,-0.09,sell,973,970098.26,79552.48,0.08,890545.78,5.33,21.33
2022-05-13,xx300347,81.02,90.23,77.36,88.4,0.08,keep,779,975104.6,68863.6,0.07,906241.0,5.0,15.72
2022-05-20,xx300347,88.79,89.25,83.38,89.01,0.01,keep,779,975579.79,69338.79,0.07,906241.0,,
2022-05-27,xx300347,89.98,90.2,78.13,82.35,-0.07,sell,779,970391.65,64150.65,0.07,906241.0,,
2022-06-02,xx300347,82.3,87.73,81.07,82.0,0.0,keep,627,970474.4,51414.0,0.05,919060.4,5.0,12.84
2022-06-10,xx300347,82.6,99.77,82.19,95.65,0.17,buy,627,979032.9500000001,59972.55,0.06,919060.4,,
2022-06-17,xx300347,92.5,97.48,89.7,97.45,0.02,keep,2527,989503.6100000001,246256.15,0.25,743247.46,43.94,
2022-06-24,xx300347,97.18,106.75,95.33,104.46,0.07,sell,2527,1007217.8800000001,263970.42,0.26,743247.46,,
2022-07-01,xx300347,105.6,118.47,105.6,115.3,0.1,sell,2022,1029640.3600000001,233136.6,0.23,796503.76,13.33,53.32
2022-07-08,xx300347,115.6,134.8,113.97,119.9,0.04,sell,1618,1037141.9500000002,193998.2,0.19,843143.75,11.67,46.7
2022-07-15,xx300347,119.0,125.28,111.71,117.41,-0.02,keep,1295,1033575.43,152045.95,0.15,881529.48,9.61,38.43
2022-07-22,xx300347,117.0,117.46,108.3,110.02,-0.06,sell,1295,1024005.3800000001,142475.9,0.14,881529.48,,
2022-07-29,xx300347,110.02,110.8,101.1,101.99,-0.07,sell,1036,1015648.1000000001,105661.64,0.1,909986.46,7.12,28.49
2022-08-05,xx300347,102.1,111.45,98.86,106.44,0.04,keep,829,1019331.4400000001,88238.76,0.09,931092.68,5.28,21.13
2022-08-12,xx300347,105.39,109.53,99.25,108.51,0.02,keep,829,1021047.4700000001,89954.79,0.09,931092.68,,
2022-08-19,xx300347,108.47,108.47,101.5,103.5,-0.05,sell,829,1016894.18,85801.5,0.08,931092.68,,
2022-08-26,xx300347,102.4,108.2,97.6,104.91,0.01,keep,664,1017625.38,69660.24,0.07,947965.14,5.0,16.89
2022-09-02,xx300347,104.54,111.5,100.13,104.83,-0.0,keep,664,1017572.26,69607.12,0.07,947965.14,,
2022-09-09,xx300347,104.83,106.18,99.03,101.97,-0.03,keep,664,1015673.22,67708.08,0.07,947965.14,,
2022-09-16,xx300347,100.03,100.99,91.37,91.65,-0.1,sell,664,1008820.74,60855.6,0.06,947965.14,,
2022-09-23,xx300347,90.98,92.9,85.6,87.38,-0.05,sell,532,1006442.3300000001,46486.16,0.05,959956.17,5.0,12.01
2022-09-30,xx300347,86.47,95.2,86.1,91.18,0.04,sell,426,1007949.4500000001,38842.68,0.04,969106.77,5.0,9.16
2022-10-14,xx300347,91.39,92.17,75.23,90.63,-0.01,keep,341,1007766.13,30904.83,0.03,976861.3,5.0,7.77
2022-10-21,xx300347,89.39,93.4,84.61,85.69,-0.05,keep,341,1006081.5900000001,29220.29,0.03,976861.3,,
2022-10-28,xx300347,86.55,91.67,77.51,85.87,0.0,keep,341,1006142.9700000001,29281.67,0.03,976861.3,,
2022-11-04,xx300347,84.51,96.63,81.53,94.57,0.1,sell,341,1009109.67,32248.37,0.03,976861.3,,
