date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xxx38_convert,57.1,57.82,55.75,56.64,-0.0194,,,,,,,
2022-01-14,xxx38_convert,56.75,57.03,55.11,56.24,-0.007,,,,,,,
2022-01-21,xxx38_convert,55.44,57.93,55.33,56.77,0.0094,,,,,,,
2022-01-28,xxx38_convert,57.06,57.37,54.65,57.33,0.0098,,,,,,,
2022-02-04,xxx38_convert,56.75,58.21,40.8,43.52,-0.241,,,,,,,
2022-02-11,xxx38_convert,43.1,44.02,41.96,42.13,-0.0319,,,,,,,
2022-02-18,xxx38_convert,42.27,42.51,41.28,41.63,-0.0119,,,,,,,
2022-02-25,xxx38_convert,41.73,42.68,40.11,42.6,0.0234,,,,,,,
2022-03-04,xxx38_convert,42.15,44.28,41.87,44.28,0.0396,,,,,,,
2022-03-11,xxx38_convert,44.17,44.73,43.1,43.63,-0.0148,,,,,,,
2022-03-18,xxx38_convert,43.7,44.12,42.71,43.25,-0.0087,keep,0,1000000,1000000,0.0,0.0,
2022-03-25,xxx38_convert,43.29,45.55,43.05,45.51,0.0523,buy,0,1000000,1000000.0,0.0,0.0,
2022-04-01,xxx38_convert,45.58,48.03,45.32,47.66,0.0473,sell,4386,800042.26,1009079.02,209036.76,0.2072,0.0
2022-04-08,xxx38_convert,47.75,50.29,46.83,50.13,0.0518,keep,3509,841909.2564094199,1017815.42640942,175906.17,0.1728,0.9836
2022-04-14,xxx38_convert,49.93,50.14,47.76,49.03,-0.0219,sell,3509,841909.2564094199,1013955.52640942,172046.27,0.1697,
2022-04-22,xxx38_convert,49.03,50.71,48.56,48.65,-0.0076,keep,2808,876271.4713669999,1012880.6713669999,136609.2,0.1349,0.805
2022-04-29,xxx38_convert,48.65,49.34,46.71,46.78,-0.0385,keep,2808,876271.4713669999,1007629.7113669999,131358.24,0.1304,
2022-05-06,xxx38_convert,46.87,47.95,46.07,47.06,0.0059,keep,2808,876271.4713669999,1008415.9513669999,132144.48,0.131,
2022-05-13,xxx38_convert,47.06,48.36,45.4,46.73,-0.0071,keep,2808,876271.4713669999,1007489.3113669999,131217.84,0.1302,
2022-05-20,xxx38_convert,46.86,47.89,46.35,47.15,0.0091,keep,2808,876271.4713669999,1008668.6713669999,132397.2,0.1313,
2022-05-27,xxx38_convert,47.8,49.86,47.41,49.85,0.0573,buy,2808,876271.4713669999,1016250.271367,139978.8,0.1377,
2022-06-03,xxx38_convert,49.47,49.68,48.08,48.73,-0.0225,keep,6349,701062.791367,1010449.561367,309386.77,0.3062,0.0
2022-06-10,xxx38_convert,49.1,49.23,45.7,46.01,-0.0557,keep,6349,701062.791367,993180.281367,292117.49,0.2941,
2022-06-17,xxx38_convert,45.26,45.44,40.17,40.91,-0.1108,keep,6349,701062.791367,960800.3813669999,259737.59,0.2703,
2022-06-24,xxx38_convert,41.23,43.36,41.01,43.29,0.0583,sell,6349,701062.791367,975911.0013669999,274848.21,0.2816,
2022-07-01,xxx38_convert,43.21,46.13,43.09,46.07,0.0643,keep,5080,755882.2891192,989917.8891192,234035.6,0.2364,1.3022
2022-07-08,xxx38_convert,45.84,45.9,42.75,44.29,-0.0387,sell,5080,755882.2891192,980875.4891191999,224993.2,0.2294,
2022-07-15,xxx38_convert,44.24,44.97,42.74,44.23,-0.0013,sell,4064,800818.90452392,980569.62452392,179750.72,0.1833,1.0646
2022-07-22,xxx38_convert,44.3,44.52,42.73,44.02,-0.0047,keep,3252,836781.53266284,979934.57266284,143153.04,0.1461,0.8519
2022-07-29,xxx38_convert,44.1,46.75,43.88,46.49,0.0561,keep,3252,836781.53266284,987967.01266284,151185.48,0.153,
2022-08-05,xxx38_convert,46.41,46.6,43.96,44.77,-0.0371,sell,3252,836781.53266284,982373.57266284,145592.04,0.1482,
2022-08-12,xxx38_convert,45.37,46.3,44.7,46.17,0.0313,keep,2602,866264.83614884,986399.17614884,120134.34,0.1218,0.6965
2022-08-19,xxx38_convert,46.03,47.23,45.99,46.14,-0.0006,keep,2602,866264.83614884,986321.11614884,120056.28,0.1217,
