date,code,open,high,low,close,change,decision,hold_num,cash,equity,stock_value,actual_pos,commission
2022-01-07,xxx32_convert,344.0,386.55,343.99,378.65,0.1043,,,,,,,
2022-01-14,xxx32_convert,381.27,385.89,372.52,379.56,0.0024,,,,,,,
2022-01-21,xxx32_convert,380.64,388.1,359.86,364.28,-0.0403,,,,,,,
2022-01-28,xxx32_convert,356.57,382.88,347.01,373.79,0.026,,,,,,,
2022-02-04,xxx32_convert,374.0,379.69,363.54,369.49,-0.0116,,,,,,,
2022-02-11,xxx32_convert,370.32,399.73,368.7,392.67,0.0628,,,,,,,
2022-02-18,xxx32_convert,394.11,397.69,366.0,369.1,-0.06,,,,,,,
2022-02-25,xxx32_convert,365.23,370.47,326.75,346.98,-0.06,,,,,,,
2022-03-04,xxx32_convert,348.0,390.78,346.0,390.07,0.1241,,,,,,,
2022-03-11,xxx32_convert,394.32,405.49,362.3,389.48,-0.0014,,,,,,,
2022-03-18,xxx32_convert,393.0,414.93,381.74,413.15,0.0606,buy,0,1000000,1000000,0.0,0.0,
2022-03-25,xxx32_convert,415.0,436.95,414.41,436.45,0.0564,keep,481,800380.19,1010312.6399999999,209932.45,0.2078,0.0
2022-04-01,xxx32_convert,437.98,437.98,409.34,416.8,-0.045,sell,481,800380.19,1000860.99,200480.8,0.2003,
2022-04-08,xxx32_convert,418.56,422.47,401.82,418.3,0.0036,sell,385,840560.1347792,1001605.6347792,161045.5,0.1608,0.8552
2022-04-14,xxx32_convert,416.49,439.41,416.49,436.75,0.044,sell,308,872628.4121680399,1007147.4121680399,134519.0,0.1336,0.6826
2022-04-22,xxx32_convert,432.5,446.76,401.61,403.57,-0.076,sell,247,899009.74088935,998691.53088935,99681.79,0.0998,0.5613
2022-04-29,xxx32_convert,391.93,391.93,372.19,377.55,-0.0645,sell,198,918213.4117726699,992968.3117726699,74754.9,0.0753,0.4091
2022-05-06,xxx32_convert,374.96,398.41,371.6,377.46,-0.0004,keep,159,932836.15004762,992852.29004762,60016.14,0.0604,0.3117
2022-05-13,xxx32_convert,372.0,374.55,354.3,366.69,-0.0286,keep,159,932836.15004762,991139.8600476199,58303.71,0.0588,
2022-05-20,xxx32_convert,368.92,386.01,307.64,313.31,-0.1456,sell,159,932836.15004762,982652.44004762,49816.29,0.0507,
2022-05-27,xxx32_convert,316.95,360.88,316.18,360.73,0.1513,keep,128,942661.0800306799,988834.5200306799,46173.44,0.0467,0.21
2022-06-03,xxx32_convert,358.3,363.64,348.56,361.0,0.0008,keep,128,942661.0800306799,988869.0800306799,46208.0,0.0467,
2022-06-10,xxx32_convert,363.17,368.51,333.38,335.23,-0.0714,sell,128,942661.0800306799,985570.5200306799,42909.44,0.0435,
2022-06-17,xxx32_convert,325.0,335.27,314.64,322.72,-0.0374,keep,103,950785.6564359299,984025.81643593,33240.16,0.0338,0.1736
2022-06-24,xxx32_convert,330.9,334.87,295.59,310.87,-0.0367,sell,103,950785.6564359299,982805.2664359299,32019.61,0.0326,
2022-07-01,xxx32_convert,317.63,320.69,294.29,301.63,-0.0298,sell,83,957137.92065553,982173.21065553,25035.29,0.0255,0.1358
