date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xxx10,3351.0,3428.0,3238.74,3251.08,-0.02,,,,,,,
2022-01-14,xxx10,3211.71,3337.56,3126.09,3242.76,-0.0,,,,,,,
2022-01-21,xxx10,3182.1,3194.69,2841.41,2852.86,-0.12,,,,,,,
2022-01-28,xxx10,2780.0,2903.7,2707.04,2879.56,0.01,,,,,,,
2022-02-04,xxx10,2895.0,3224.0,2766.66,3152.79,0.1,,,,,,,
2022-02-11,xxx10,3170.4,3276.69,3054.68,3065.87,-0.03,,,,,,,
2022-02-18,xxx10,3035.02,3206.98,3017.86,3052.03,-0.0,,,,,,,
2022-02-25,xxx10,3009.57,3079.8,2790.0,3075.77,0.01,,,,,,,
2022-03-04,xxx10,3048.5,3089.0,2876.14,2912.82,-0.05,,,,,,,
2022-03-11,xxx10,2908.87,2993.5,2671.45,2910.49,-0.0,,,,,,,
2022-03-18,xxx10,2919.62,3231.88,2817.68,3225.01,0.11,keep,0,1000000,0.0,0.0,1000000.0,
2022-03-25,xxx10,3222.42,3327.4,3191.06,3295.47,0.02,buy,0,1000000.0,0.0,0.0,1000000.0,
2022-04-01,xxx10,3299.5,3416.63,3246.39,3271.2,-0.01,sell,60,998301.4,196272.0,0.2,802029.4,0.0
2022-04-08,xxx10,3282.5,3367.89,3084.62,3089.21,-0.06,sell,48,989700.53138452,148282.08,0.15,841418.45,0.83
2022-04-14,xxx10,3054.26,3120.5,2992.0,3034.13,-0.02,sell,39,987237.1891602702,118331.07,0.12,868906.12,0.58
2022-04-22,xxx10,3030.47,3172.98,2873.95,2887.0,-0.05,sell,32,982502.89674965,92384.0,0.09,890118.9,0.45
2022-04-29,xxx10,2880.46,2924.43,2432.5,2485.63,-0.14,sell,26,972027.61049895,64626.38,0.07,907401.23,0.36
2022-05-06,xxx10,2448.02,2524.41,2261.63,2295.45,-0.08,sell,21,967845.4754629,48204.45,0.05,919641.03,0.26
2022-05-13,xxx10,2226.25,2280.0,2048.11,2261.1,-0.01,sell,17,966984.49968274,38438.7,0.04,928545.8,0.19
2022-05-20,xxx10,2262.0,2316.0,2100.19,2151.82,-0.05,sell,14,965457.10652037,30125.48,0.03,935331.63,0.14
2022-05-27,xxx10,2169.22,2303.74,2025.2,2302.93,0.07,sell,12,967305.11257555,27635.16,0.03,939669.95,0.09
2022-06-03,xxx10,2325.6,2512.2,2313.5,2447.0,0.06,sell,10,968791.0360627658,24470.0,0.03,944321.04,0.1
2022-06-10,xxx10,125.25,128.99,109.05,109.65,-0.96,sell,8,945448.7105646856,877.2,0.0,944571.51,0.01
2022-06-17,xxx10,104.19,109.06,101.43,106.22,-0.03,sell,7,945419.2282579058,743.54,0.0,944675.69,0.0
2022-06-24,xxx10,108.2,116.71,103.56,116.46,0.1,sell,6,945482.6358669157,698.76,0.0,944783.88,0.0
2022-07-01,xxx10,117.09,117.98,102.52,109.56,-0.06,sell,5,945448.7532892356,547.8,0.0,944900.95,0.0
2022-07-08,xxx10,107.6,116.99,106.32,115.54,0.05,sell,4,945470.7009108455,462.16,0.0,945008.54,0.0
2022-07-15,xxx10,114.08,115.59,106.01,113.55,-0.02,sell,4,945462.7409108455,454.2,0.0,945008.54,0.0
2022-07-22,xxx10,115.0,125.5,113.15,122.42,0.08,sell,4,945498.2209108456,489.68,0.0,945008.54,0.0
2022-07-29,xxx10,122.69,137.65,114.53,134.95,0.1,sell,4,945548.3409108456,539.8,0.0,945008.54,0.0
2022-08-05,xxx10,134.96,143.56,133.51,140.8,0.04,sell,4,945571.7409108455,563.2,0.0,945008.54,0.0
2022-08-12,xxx10,142.05,144.6,136.21,143.55,0.02,sell,4,945582.7409108455,574.2,0.0,945008.54,0.0
2022-08-19,xxx10,142.8,146.57,137.91,138.23,-0.04,sell,4,945561.4609108455,552.92,0.0,945008.54,0.0
2022-08-26,xxx10,135.72,137.83,130.5,130.75,-0.05,sell,4,945531.5409108455,523.0,0.0,945008.54,0.0
2022-09-02,xxx10,129.9,132.07,123.66,127.51,-0.02,sell,4,945518.5809108455,510.04,0.0,945008.54,0.0
2022-09-09,xxx10,127.92,133.69,124.74,133.27,0.05,sell,4,945541.6209108455,533.08,0.0,945008.54,0.0
2022-09-16,xxx10,134.1,136.49,120.7,123.53,-0.07,sell,4,945502.6609108455,494.12,0.0,945008.54,0.0
2022-09-23,xxx10,122.16,124.71,112.06,113.78,-0.08,sell,4,945463.6609108455,455.12,0.0,945008.54,0.0
2022-09-30,xxx10,113.3,118.7,112.84,113.0,-0.01,sell,4,945460.5409108455,452.0,0.0,945008.54,0.0
2022-10-07,xxx10,113.58,123.0,112.45,114.56,0.01,sell,4,945466.7809108455,458.24,0.0,945008.54,0.0
2022-10-14,xxx10,115.1,116.25,105.35,106.9,-0.07,sell,4,945436.1409108455,427.6,0.0,945008.54,0.0
2022-10-21,xxx10,110.11,119.59,110.09,119.32,0.12,sell,4,945485.8209108455,477.28,0.0,945008.54,0.0
2022-10-28,xxx10,119.98,121.32,97.66,103.41,-0.13,sell,4,945422.1809108455,413.64,0.0,945008.54,0.0
2022-11-04,xxx10,103.56,104.87,88.04,90.98,-0.12,sell,4,945372.4609108455,363.92,0.0,945008.54,0.0
2022-11-11,xxx10,91.95,101.19,85.87,100.79,0.11,sell,4,945411.7009108455,403.16,0.0,945008.54,0.0
2022-11-18,xxx10,98.77,103.79,92.48,94.14,-0.07,sell,4,945385.1009108456,376.56,0.0,945008.54,0.0
2022-11-25,xxx10,93.97,95.02,90.59,93.41,-0.01,sell,4,945382.1809108455,373.64,0.0,945008.54,0.0
2022-12-02,xxx10,93.93,97.23,91.44,94.13,0.01,sell,4,945385.0609108455,376.52,0.0,945008.54,0.0
2022-12-09,xxx10,93.05,94.06,87.48,89.09,-0.05,sell,4,945364.9009108455,356.36,0.0,945008.54,0.0
2022-12-16,xxx10,89.21,96.25,86.73,87.86,-0.01,sell,4,945359.9809108455,351.44,0.0,945008.54,0.0
2022-12-23,xxx10,87.51,87.63,82.25,85.25,-0.03,sell,4,945349.5409108455,341.0,0.0,945008.54,0.0
2022-12-30,xxx10,84.97,85.35,81.69,84.0,-0.01,sell,4,945344.5409108455,336.0,0.0,945008.54,0.0
2023-01-06,xxx10,85.46,86.98,81.43,86.08,0.02,sell,4,945352.8609108455,344.32,0.0,945008.54,0.0
2023-01-13,xxx10,87.46,98.37,87.08,98.12,0.14,sell,4,945401.0209108455,392.48,0.0,945008.54,0.0
2023-01-20,xxx10,98.68,99.32,92.86,97.25,-0.01,sell,4,945397.5409108455,389.0,0.0,945008.54,0.0
2023-01-27,xxx10,97.56,103.49,91.52,102.24,0.05,sell,4,945417.5009108455,408.96,0.0,945008.54,0.0
2023-02-03,xxx10,101.09,114.0,99.01,103.39,0.01,sell,4,945422.1009108456,413.56,0.0,945008.54,0.0
2023-02-10,xxx10,102.93,103.95,96.23,97.61,-0.06,sell,4,945398.9809108455,390.44,0.0,945008.54,0.0
2023-02-17,xxx10,97.85,101.17,95.65,97.2,-0.0,sell,4,945397.3409108456,388.8,0.0,945008.54,0.0
2023-02-24,xxx10,95.34,97.01,92.32,93.5,-0.04,sell,4,945382.5409108455,374.0,0.0,945008.54,0.0
2023-03-03,xxx10,94.28,94.94,90.39,94.9,0.02,sell,4,945388.1409108455,379.6,0.0,945008.54,0.0
2023-03-10,xxx10,95.19,96.55,90.25,90.73,-0.04,sell,4,945371.4609108455,362.92,0.0,945008.54,0.0
2023-03-17,xxx10,89.97,100.99,88.12,98.95,0.09,sell,4,945404.3409108456,395.8,0.0,945008.54,0.0
2023-03-24,xxx10,98.41,102.1,95.7,98.13,-0.01,sell,4,945401.0609108455,392.52,0.0,945008.54,0.0
2023-03-31,xxx10,99.07,103.49,96.29,103.29,0.05,sell,4,945421.7009108455,413.16,0.0,945008.54,0.0
2023-04-06,xxx10,102.3,104.2,99.8,102.06,-0.01,sell,4,945416.7809108455,408.24,0.0,945008.54,0.0
2023-04-14,xxx10,100.96,103.2,97.71,102.51,0.0,sell,4,945418.5809108455,410.04,0.0,945008.54,0.0
2023-04-21,xxx10,103.16,108.15,101.39,106.96,0.04,sell,4,945436.3809108455,427.84,0.0,945008.54,0.0
2023-04-28,xxx10,107.66,110.86,102.45,105.45,-0.01,sell,4,945430.3409108456,421.8,0.0,945008.54,0.0
2023-05-05,xxx10,104.95,105.96,101.15,105.66,0.0,sell,4,945431.1809108455,422.64,0.0,945008.54,0.0
2023-05-12,xxx10,105.04,113.28,104.7,110.26,0.04,sell,4,945449.5809108455,441.04,0.0,945008.54,0.0
2023-05-19,xxx10,111.15,118.6,109.25,116.25,0.05,sell,4,945473.5409108455,465.0,0.0,945008.54,0.0
2023-05-26,xxx10,116.77,121.5,113.78,120.11,0.03,sell,4,945488.9809108455,480.44,0.0,945008.54,0.0
2023-06-02,xxx10,122.37,126.39,119.17,124.25,0.03,sell,4,945505.5409108455,497.0,0.0,945008.54,0.0
2023-06-09,xxx10,123.36,127.4,120.63,123.43,-0.01,sell,4,945502.2609108455,493.72,0.0,945008.54,0.0
2023-06-16,xxx10,124.02,128.41,123.53,125.49,0.02,sell,4,945510.5009108455,501.96,0.0,945008.54,0.0
2023-06-23,xxx10,124.97,130.84,123.85,129.33,0.03,sell,4,945525.8609108455,517.32,0.0,945008.54,0.0
2023-06-30,xxx10,129.33,131.49,127.1,130.36,0.01,sell,4,945529.9809108455,521.44,0.0,945008.54,0.0
2023-07-07,xxx10,130.82,131.85,127.37,129.78,-0.0,sell,4,945527.6609108455,519.12,0.0,945008.54,0.0
2023-07-14,xxx10,129.07,136.65,125.92,134.68,0.04,sell,4,945547.2609108455,538.72,0.0,945008.54,0.0
2023-07-21,xxx10,134.56,135.99,128.42,130.0,-0.03,sell,4,945528.5409108455,520.0,0.0,945008.54,0.0
2023-07-28,xxx10,130.31,133.01,126.11,132.21,0.02,sell,4,945537.3809108455,528.84,0.0,945008.54,0.0
2023-08-04,xxx10,133.2,143.63,126.41,139.57,0.06,sell,4,945566.8209108455,558.28,0.0,945008.54,0.0
2023-08-11,xxx10,140.99,142.54,137.0,138.41,-0.01,sell,4,945562.1809108455,553.64,0.0,945008.54,0.0
2023-08-18,xxx10,138.3,141.28,131.15,133.22,-0.04,sell,4,945541.4209108455,532.88,0.0,945008.54,0.0
2023-08-25,xxx10,133.74,136.78,130.58,133.26,0.0,sell,4,945541.5809108455,533.04,0.0,945008.54,0.0
2023-09-01,xxx10,133.78,139.96,131.85,138.12,0.04,sell,4,945561.0209108455,552.48,0.0,945008.54,0.0
