date,code,open,high,low,close,change,decision,hold_num,cash,equity,follower number,stock_value,actual_pos,commission
2022-01-07,xxx25_convert,146.08,155.63,145.94,154.69,0.0662,,,,,91346,,,
2022-01-14,xxx25_convert,156.79,162.3,154.1,160.56,0.038,,,,,39524,,,
2022-01-21,xxx25_convert,160.62,162.4,145.325,146.52,-0.0875,,,,,89917,,,
2022-01-28,xxx25_convert,143.24,154.51,138.6,142.62,-0.0267,,,,,67377,,,
2022-02-04,xxx25_convert,141.34,151.88,140.41,150.35,0.0541,,,,,57922,,,
2022-02-11,xxx25_convert,150.96,160.5,150.32,156.0,0.0375,,,,,72154,,,
2022-02-18,xxx25_convert,156.6,160.54,153.1,153.96,-0.013,,,,,72231,,,
2022-02-25,xxx25_convert,153.52,155.09,141.03,153.59,-0.0024,,,,,49113,,,
2022-03-04,xxx25_convert,148.98,153.51,131.02,134.12,-0.1268,,,,,83927,,,
2022-03-11,xxx25_convert,132.49,135.01,122.43,130.09,-0.03,,,,,99744,,,
2022-03-18,xxx25_convert,132.95,141.2,131.16,138.21,0.0624,keep,0,1000000,1000000,33512,0.0,0.0,
2022-03-25,xxx25_convert,138.2,140.7,132.88,135.88,-0.0169,keep,0,1000000,1000000.0,27748,0.0,0.0,
2022-04-01,xxx25_convert,134.95,137.86,130.06,130.89,-0.0367,keep,0,1000000,1000000.0,88896,0.0,0.0,
2022-04-08,xxx25_convert,130.97,132.8655,126.83,131.76,0.0066,keep,0,1000000,1000000.0,88182,0.0,0.0,
2022-04-14,xxx25_convert,131.95,135.0,130.305,132.59,0.0063,keep,0,1000000,1000000.0,21503,0.0,0.0,
2022-04-22,xxx25_convert,132.23,144.73,132.0,135.28,0.0203,keep,0,1000000,1000000.0,75556,0.0,0.0,
2022-04-29,xxx25_convert,133.92,136.85,119.88,124.62,-0.0788,keep,0,1000000,1000000.0,24570,0.0,0.0,
2022-05-06,xxx25_convert,125.54,134.46,123.75,127.04,0.0194,keep,0,1000000,1000000.0,94007,0.0,0.0,
2022-05-13,xxx25_convert,124.78,126.46,111.58,116.46,-0.0834,keep,0,1000000,1000000.0,78971,0.0,0.0,
2022-05-20,xxx25_convert,115.83,120.98,110.29,113.7,-0.0237,keep,0,1000000,1000000.0,55623,0.0,0.0,
2022-05-27,xxx25_convert,116.57,126.46,113.75,126.46,0.1123,keep,0,1000000,1000000.0,10090,0.0,0.0,
2022-06-03,xxx25_convert,124.96,128.95,123.43,124.05,-0.0191,keep,0,1000000,1000000.0,25305,0.0,0.0,
2022-06-10,xxx25_convert,125.26,128.61,111.44,112.58,-0.0925,keep,0,1000000,1000000.0,62174,0.0,0.0,
2022-06-17,xxx25_convert,109.01,110.91,98.54,107.26,-0.0473,keep,0,1000000,1000000.0,58492,0.0,0.0,
2022-06-24,xxx25_convert,110.69,111.7,102.3681,110.09,0.0264,keep,0,1000000,1000000.0,95227,0.0,0.0,
2022-07-01,xxx25_convert,111.25,113.37,101.57,106.82,-0.0298,keep,0,1000000,1000000.0,44771,0.0,0.0,
2022-07-08,xxx25_convert,103.68,110.41,102.49,108.61,0.0168,keep,0,1000000,1000000.0,68132,0.0,0.0,
2022-07-15,xxx25_convert,107.37,109.115,101.98,108.15,-0.0043,keep,0,1000000,1000000.0,36927,0.0,0.0,
2022-07-22,xxx25_convert,110.45,114.94,107.53,108.93,0.0072,keep,0,1000000,1000000.0,75265,0.0,0.0,
2022-07-29,xxx25_convert,109.7,111.75,105.05,109.83,0.0083,keep,0,1000000,1000000.0,16674,0.0,0.0,
2022-08-05,xxx25_convert,108.42,110.02,105.07,106.33,-0.0318,keep,0,1000000,1000000.0,42530,0.0,0.0,
2022-08-12,xxx25_convert,107.0,116.55,105.6,115.74,0.0884,keep,0,1000000,1000000.0,39055,0.0,0.0,
2022-08-19,xxx25_convert,113.07,115.94,111.83,112.21,-0.0305,keep,0,1000000,1000000.0,88386,0.0,0.0,
2022-08-26,xxx25_convert,109.84,114.41,107.89,109.82,-0.0213,keep,0,1000000,1000000.0,89890,0.0,0.0,
2022-09-02,xxx25_convert,108.85,108.93,102.26,104.22,-0.0511,keep,0,1000000,1000000.0,31390,0.0,0.0,
2022-09-09,xxx25_convert,104.64,108.95,101.12,108.32,0.0393,keep,0,1000000,1000000.0,28269,0.0,0.0,
2022-09-16,xxx25_convert,109.68,111.37,98.53,101.68,-0.0613,keep,0,1000000,1000000.0,57064,0.0,0.0,
2022-09-23,xxx25_convert,100.09,103.4,92.19,93.78,-0.0776,keep,0,1000000,1000000.0,83492,0.0,0.0,
2022-09-30,xxx25_convert,92.95,95.66,90.27,92.17,-0.0171,keep,0,1000000,1000000.0,48947,0.0,0.0,
2022-10-07,xxx25_convert,94.1,99.97,91.96,93.87,0.0185,keep,0,1000000,1000000.0,35152,0.0,0.0,
2022-10-14,xxx25_convert,94.55,99.5943,90.71,95.39,0.0162,keep,0,1000000,1000000.0,79824,0.0,0.0,
2022-10-21,xxx25_convert,98.24,100.41,92.94,96.25,0.0091,keep,0,1000000,1000000.0,33215,0.0,0.0,
2022-10-28,xxx25_convert,97.57,107.42,96.43,107.1,0.1127,keep,0,1000000,1000000.0,55780,0.0,0.0,
2022-11-04,xxx25_convert,106.07,108.3299,98.35,102.53,-0.0426,keep,0,1000000,1000000.0,97979,0.0,0.0,
2022-11-11,xxx25_convert,103.74,118.4,101.39,116.25,0.1339,keep,0,1000000,1000000.0,69429,0.0,0.0,
2022-11-18,xxx25_convert,114.4,115.53,97.55,98.96,-0.1488,keep,0,1000000,1000000.0,93468,0.0,0.0,
2022-11-25,xxx25_convert,98.19,103.53,98.05,101.72,0.0279,keep,0,1000000,1000000.0,65252,0.0,0.0,
2022-12-02,xxx25_convert,100.12,103.37,97.5,97.69,-0.0396,keep,0,1000000,1000000.0,30692,0.0,0.0,
2022-12-09,xxx25_convert,96.33,96.89,92.5,94.41,-0.0334,keep,0,1000000,1000000.0,32538,0.0,0.0,
2022-12-16,xxx25_convert,94.93,103.22,89.22,90.1,-0.0458,keep,0,1000000,1000000.0,67731,0.0,0.0,
2022-12-23,xxx25_convert,89.83,90.76,86.98,90.69,0.0064,keep,0,1000000,1000000.0,38131,0.0,0.0,
2022-12-30,xxx25_convert,90.83,93.07,89.54,92.96,0.025,keep,0,1000000,1000000.0,91016,0.0,0.0,
2023-01-06,xxx25_convert,92.66,97.98,91.53,97.07,0.0442,keep,0,1000000,1000000.0,97231,0.0,0.0,
