date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xxx98,52.07,54.64,51.98,54.24,0.04,,,,,,,
2022-01-14,xxx98,54.49,54.83,53.08,53.28,-0.02,,,,,,,
2022-01-21,xxx98,53.1,53.94,52.58,53.16,-0.0,,,,,,,
2022-01-28,xxx98,53.11,53.85,50.81,52.9,-0.0,,,,,,,
2022-02-04,xxx98,52.52,54.57,52.21,53.31,0.01,,,,,,,
2022-02-11,xxx98,53.23,53.66,52.51,53.32,0.0,,,,,,,
2022-02-18,xxx98,53.25,53.96,52.5,53.83,0.01,,,,,,,
2022-02-25,xxx98,54.0,54.54,51.71,54.12,0.01,,,,,,,
2022-03-04,xxx98,53.8,55.39,53.26,55.11,0.02,,,,,,,
2022-03-11,xxx98,54.75,55.34,52.78,53.04,-0.04,,,,,,,
2022-03-18,xxx98,53.43,53.67,50.8,50.8,-0.04,keep,0,1000000,0.0,0.0,1000000.0,
2022-03-25,xxx98,51.37,51.81,50.93,51.28,0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-01,xxx98,51.36,52.18,50.82,52.12,0.02,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-08,xxx98,52.02,53.68,51.64,53.53,0.03,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-14,xxx98,53.87,54.7,53.42,53.83,0.01,keep,0,1000000.0,0.0,0.0,1000000.0,
2022-04-22,xxx98,53.76,55.51,51.46,51.91,-0.04,buy,0,1000000.0,0.0,0.0,1000000.0,
2022-04-29,xxx98,51.34,51.44,46.17,46.3,-0.11,sell,3894,980335.2999999999,180292.2,0.18,800043.1,0.0
2022-05-06,xxx98,46.51,48.44,45.55,48.27,0.04,sell,3116,986628.567701,150409.32,0.15,836219.25,0.85
2022-05-13,xxx98,48.13,49.44,47.41,48.18,-0.0,keep,2493,986310.04401004,120112.74,0.12,866197.3,0.7
2022-05-20,xxx98,47.98,49.6,47.76,49.53,0.03,keep,2493,989675.59401004,123478.29,0.12,866197.3,
2022-05-27,xxx98,49.79,51.6,48.86,51.4,0.04,keep,2493,994337.50401004,128140.2,0.13,866197.3,
2022-06-03,xxx98,51.26,51.63,50.39,50.81,-0.01,sell,2493,992866.63401004,126669.33,0.13,866197.3,
2022-06-10,xxx98,50.93,51.96,50.47,50.82,0.0,sell,1995,992940.7722266801,101385.9,0.1,891554.87,0.59
2022-06-17,xxx98,50.62,50.79,48.01,49.03,-0.04,sell,1596,989999.6706844901,78251.88,0.08,911747.79,0.47
2022-06-24,xxx98,49.31,52.18,49.22,50.96,0.04,keep,1277,992550.0424627902,65075.92,0.07,927474.12,0.37
2022-07-01,xxx98,51.29,51.77,50.32,51.64,0.01,keep,1277,993418.4024627901,65944.28,0.07,927474.12,
2022-07-08,xxx98,51.42,51.88,50.36,50.49,-0.02,sell,1277,991949.8524627901,64475.73,0.06,927474.12,
2022-07-15,xxx98,50.37,51.36,49.73,51.02,0.01,keep,1022,992458.0624399902,52142.44,0.05,940315.62,0.3
2022-07-22,xxx98,51.06,51.17,43.76,44.45,-0.13,sell,1022,985743.5224399902,45427.9,0.05,940315.62,
2022-07-29,xxx98,44.38,46.5,44.05,46.19,0.04,keep,818,987150.3080829101,37783.42,0.04,949366.89,0.21
2022-08-05,xxx98,46.29,46.5,44.36,44.95,-0.03,keep,818,986135.9880829101,36769.1,0.04,949366.89,
2022-08-12,xxx98,44.95,45.26,44.35,45.15,0.0,keep,818,986299.58808291,36932.7,0.04,949366.89,
2022-08-19,xxx98,45.03,46.05,43.91,44.42,-0.02,keep,818,985702.4480829102,36335.56,0.04,949366.89,
2022-08-26,xxx98,44.4,44.47,43.22,43.25,-0.03,keep,818,984745.3880829101,35378.5,0.04,949366.89,
2022-09-02,xxx98,43.02,43.56,41.15,41.3,-0.05,keep,818,983150.2880829101,33783.4,0.03,949366.89,
2022-09-09,xxx98,41.35,42.32,40.71,42.24,0.02,keep,818,983919.20808291,34552.32,0.04,949366.89,
2022-09-16,xxx98,42.59,42.85,40.66,41.25,-0.02,keep,818,983109.3880829101,33742.5,0.03,949366.89,
2022-09-23,xxx98,41.06,41.25,39.11,39.52,-0.04,keep,818,981694.2480829101,32327.36,0.03,949366.89,
2022-09-30,xxx98,39.23,39.7,37.95,37.97,-0.04,keep,818,980426.3480829101,31059.46,0.03,949366.89,
2022-10-07,xxx98,38.5,39.85,36.81,36.85,-0.03,keep,818,979510.1880829101,30143.3,0.03,949366.89,
2022-10-14,xxx98,37.13,37.32,35.04,36.38,-0.01,keep,818,979125.7280829101,29758.84,0.03,949366.89,
2022-10-21,xxx98,36.72,37.7,34.55,35.35,-0.03,keep,818,978283.1880829101,28916.3,0.03,949366.89,
2022-10-28,xxx98,35.66,38.04,35.57,37.67,0.07,keep,818,980180.9480829102,30814.06,0.03,949366.89,
2022-11-04,xxx98,37.51,38.34,36.8,37.24,-0.01,keep,818,979829.20808291,30462.32,0.03,949366.89,
2022-11-11,xxx98,37.32,38.69,36.98,38.3,0.03,keep,818,980696.2880829101,31329.4,0.03,949366.89,
2022-11-18,xxx98,38.45,38.99,37.29,38.55,0.01,keep,818,980900.7880829101,31533.9,0.03,949366.89,
2022-11-25,xxx98,38.6,39.36,38.52,39.02,0.01,keep,818,981285.2480829101,31918.36,0.03,949366.89,
2022-12-02,xxx98,39.01,39.23,37.7,38.18,-0.02,keep,818,980598.1280829101,31231.24,0.03,949366.89,
2022-12-09,xxx98,37.98,38.11,36.62,37.4,-0.02,keep,818,979960.08808291,30593.2,0.03,949366.89,
2022-12-16,xxx98,37.69,38.62,36.67,37.12,-0.01,keep,818,979731.0480829101,30364.16,0.03,949366.89,
2022-12-23,xxx98,37.33,38.54,36.58,38.41,0.03,keep,818,980786.2680829101,31419.38,0.03,949366.89,
2022-12-30,xxx98,38.49,39.69,38.32,39.4,0.03,keep,818,981596.08808291,32229.2,0.03,949366.89,
2023-01-06,xxx98,39.77,42.58,39.38,42.19,0.07,keep,818,983878.3080829101,34511.42,0.04,949366.89,
2023-01-13,xxx98,41.38,42.18,41.02,41.86,-0.01,keep,818,983608.3680829101,34241.48,0.03,949366.89,
2023-01-20,xxx98,41.85,41.92,39.46,40.0,-0.04,keep,818,982086.8880829101,32720.0,0.03,949366.89,
2023-01-27,xxx98,39.99,44.73,32.79,40.64,0.02,keep,818,982610.4080829101,33243.52,0.03,949366.89,
2023-02-03,xxx98,40.84,42.0,40.7,41.51,0.02,keep,818,983322.0680829101,33955.18,0.03,949366.89,
2023-02-10,xxx98,41.51,41.59,39.72,40.01,-0.04,keep,818,982095.0680829101,32728.18,0.03,949366.89,
2023-02-17,xxx98,40.01,40.58,39.66,40.22,0.0,keep,818,982266.8480829101,32899.96,0.03,949366.89,
2023-02-24,xxx98,39.9,39.98,38.09,38.74,-0.04,keep,818,981056.20808291,31689.32,0.03,949366.89,
2023-03-03,xxx98,38.99,39.15,37.94,38.26,-0.01,keep,818,980663.5680829101,31296.68,0.03,949366.89,
2023-03-10,xxx98,38.37,38.63,36.41,36.68,-0.04,keep,818,979371.1280829101,30004.24,0.03,949366.89,
2023-03-17,xxx98,36.54,37.33,36.16,36.79,0.0,keep,818,979461.1080829101,30094.22,0.03,949366.89,
2023-03-24,xxx98,36.96,37.95,36.93,37.66,0.02,keep,818,980172.7680829101,30805.88,0.03,949366.89,
