date,code,open,high,low,close,change,decision,hold_num,equity,stock_value,actual_pos,cash,commission
2022-01-07,xxx27,565.03,568.72,534.24,536.18,-0.06,,,,,,,
2022-01-14,xxx27,529.29,530.41,501.86,502.99,-0.06,,,,,,,
2022-01-21,xxx27,494.46,499.88,481.32,481.61,-0.04,,,,,,,
2022-01-28,xxx27,475.55,495.79,469.01,492.43,0.02,,,,,,,
2022-02-04,xxx27,492.0,526.44,490.63,519.77,0.06,,,,,,,
2022-02-11,xxx27,521.3,534.24,507.38,509.67,-0.02,,,,,,,
2022-02-18,xxx27,508.99,518.21,501.44,512.67,0.01,,,,,,,
2022-02-25,xxx27,510.0,518.25,482.98,517.49,0.01,,,,,,,
2022-03-04,xxx27,514.3,538.96,511.3,525.5,0.02,,,,,,,
2022-03-11,xxx27,523.45,545.29,515.71,527.42,0.0,,,,,,,
2022-03-18,xxx27,527.77,562.55,523.54,561.35,0.06,buy,0,1000000,0.0,0.0,1000000.0,
2022-03-25,xxx27,560.14,566.75,549.22,555.71,-0.01,keep,357,998414.9199999999,198388.47,0.2,800026.45,0.0
2022-04-01,xxx27,556.74,586.32,553.5,575.57,0.04,keep,357,1005504.94,205478.49,0.2,800026.45,
2022-04-08,xxx27,573.94,612.27,570.37,600.04,0.04,keep,357,1014240.73,214214.28,0.21,800026.45,
2022-04-14,xxx27,598.79,601.0,578.76,590.39,-0.02,keep,357,1010795.6799999999,210769.23,0.21,800026.45,
2022-04-22,xxx27,585.38,609.18,571.05,571.7,-0.03,sell,357,1004123.35,204096.9,0.2,800026.45,
2022-04-29,xxx27,570.31,570.33,529.7,531.72,-0.07,sell,286,992588.8112337,152071.92,0.15,840516.89,0.86
2022-05-06,xxx27,532.23,546.14,498.82,503.36,-0.05,sell,229,986122.22738336,115269.44,0.12,870852.79,0.64
2022-05-13,xxx27,496.1,510.63,479.76,497.27,-0.01,sell,184,984674.04322331,91497.68,0.09,893176.36,0.47
2022-05-20,xxx27,496.14,497.68,406.51,416.43,-0.16,sell,148,972668.3038650301,61631.64,0.06,911036.66,0.38
2022-05-27,xxx27,420.0,474.88,416.67,470.76,0.13,keep,119,979236.5546401199,56020.44,0.06,923216.11,0.26
2022-06-03,xxx27,470.76,491.13,456.7,476.25,0.01,keep,119,979889.86464012,56673.75,0.06,923216.11,
2022-06-10,xxx27,480.5,484.24,457.76,463.31,-0.03,keep,119,978350.00464012,55133.89,0.06,923216.11,
2022-06-17,xxx27,450.0,464.36,443.2,446.69,-0.04,keep,119,976372.2246401199,53156.11,0.05,923216.11,
2022-06-24,xxx27,450.55,484.83,449.14,484.37,0.08,keep,119,980856.14464012,57640.03,0.06,923216.11,
2022-07-01,xxx27,485.81,491.25,464.72,485.76,0.0,keep,119,981021.5546401199,57805.44,0.06,923216.11,
2022-07-08,xxx27,485.56,505.52,478.46,501.54,0.03,keep,119,982899.37464012,59683.26,0.06,923216.11,
2022-07-15,xxx27,501.12,524.8,483.82,522.95,0.04,keep,119,985447.16464012,62231.05,0.06,923216.11,
2022-07-22,xxx27,521.86,537.11,515.66,529.72,0.01,keep,119,986252.79464012,63036.68,0.06,923216.11,
2022-07-29,xxx27,531.42,542.12,508.76,541.3,0.02,keep,119,987630.8146401199,64414.7,0.07,923216.11,
2022-08-05,xxx27,541.42,552.71,533.35,540.67,-0.0,keep,119,987555.8446401199,64339.73,0.07,923216.11,
2022-08-12,xxx27,543.84,549.91,531.81,537.21,-0.01,keep,119,987144.10464012,63927.99,0.06,923216.11,
2022-08-19,xxx27,536.4,564.75,535.68,554.53,0.03,keep,119,989205.1846401199,65989.07,0.07,923216.11,
2022-08-26,xxx27,553.0,553.0,531.67,531.82,-0.04,keep,119,986502.6946401199,63286.58,0.06,923216.11,
2022-09-02,xxx27,527.03,536.01,516.05,519.11,-0.02,keep,119,984990.2046401199,61774.09,0.06,923216.11,
2022-09-09,xxx27,520.16,538.06,512.53,536.58,0.03,keep,119,987069.13464012,63853.02,0.06,923216.11,
2022-09-16,xxx27,537.73,542.6,497.3,504.14,-0.06,keep,119,983208.77464012,59992.66,0.06,923216.11,
2022-09-23,xxx27,502.16,506.71,463.53,466.4,-0.07,keep,119,978717.7146401199,55501.6,0.06,923216.11,
2022-09-30,xxx27,465.87,491.55,465.21,472.27,0.01,keep,119,979416.24464012,56200.13,0.06,923216.11,
2022-10-07,xxx27,474.5,493.88,466.12,468.15,-0.01,keep,119,978925.9646401199,55709.85,0.06,923216.11,
2022-10-14,xxx27,469.69,479.74,449.03,454.65,-0.03,keep,119,977319.4646401199,54103.35,0.06,923216.11,
2022-10-21,xxx27,461.65,479.57,460.48,478.18,0.05,keep,119,980119.53464012,56903.42,0.06,923216.11,
2022-10-28,xxx27,481.61,512.82,481.01,510.87,0.07,keep,119,984009.64464012,60793.53,0.06,923216.11,
2022-11-04,xxx27,509.64,509.64,476.49,486.41,-0.05,keep,119,981098.90464012,57882.79,0.06,923216.11,
2022-11-11,xxx27,477.05,516.84,474.5,515.47,0.06,keep,119,984557.04464012,61340.93,0.06,923216.11,
2022-11-18,xxx27,515.77,529.8,509.42,523.67,0.02,keep,119,985532.8446401199,62316.73,0.06,923216.11,
2022-11-25,xxx27,525.74,536.8,522.08,533.66,0.02,keep,119,986721.65464012,63505.54,0.06,923216.11,
2022-12-02,xxx27,530.89,542.58,492.11,494.53,-0.07,keep,119,982065.1846401199,58849.07,0.06,923216.11,
2022-12-09,xxx27,492.5,492.7,470.5,483.02,-0.02,keep,119,980695.49464012,57479.38,0.06,923216.11,
2022-12-16,xxx27,482.73,497.97,456.88,461.45,-0.04,keep,119,978128.66464012,54912.55,0.06,923216.11,
2022-12-23,xxx27,460.92,463.69,452.53,462.65,0.0,keep,119,978271.4646401199,55055.35,0.06,923216.11,
2022-12-30,xxx27,464.4,464.7,450.75,456.5,-0.01,keep,119,977539.61464012,54323.5,0.06,923216.11,
2023-01-06,xxx27,458.0,484.42,447.9,482.87,0.06,keep,119,980677.64464012,57461.53,0.06,923216.11,
2023-01-13,xxx27,482.93,486.87,475.48,485.25,0.0,keep,119,980960.86464012,57744.75,0.06,923216.11,
2023-01-20,xxx27,485.13,490.48,468.07,480.11,-0.01,keep,119,980349.2046401199,57133.09,0.06,923216.11,
2023-01-27,xxx27,479.95,509.1,477.6,503.29,0.05,keep,119,983107.62464012,59891.51,0.06,923216.11,
2023-02-03,xxx27,500.37,530.05,500.37,514.8,0.02,keep,119,984477.3146401199,61261.2,0.06,923216.11,
2023-02-10,xxx27,514.44,517.99,495.38,499.99,-0.03,keep,119,982714.92464012,59498.81,0.06,923216.11,
2023-02-17,xxx27,501.74,511.42,498.63,507.48,0.02,keep,119,983606.23464012,60390.12,0.06,923216.11,
2023-02-24,xxx27,500.82,505.46,484.7,488.61,-0.04,keep,119,981360.7046401199,58144.59,0.06,923216.11,
2023-03-03,xxx27,492.55,493.0,465.33,475.26,-0.03,sell,119,979772.0546401199,56555.94,0.06,923216.11,
2023-03-10,xxx27,476.52,495.21,468.38,471.14,-0.01,keep,96,979405.0517487898,45229.44,0.05,934175.61,0.23
2023-03-17,xxx27,466.8,489.9,466.8,487.05,0.03,keep,96,980932.41174879,46756.8,0.05,934175.61,
2023-03-24,xxx27,488.0,496.62,484.29,495.27,0.02,keep,96,981721.53174879,47545.92,0.05,934175.61,
2023-03-31,xxx27,497.28,499.86,485.41,496.87,0.0,keep,96,981875.1317487899,47699.52,0.05,934175.61,
2023-04-06,xxx27,496.5,504.13,477.5,485.98,-0.02,keep,96,980829.6917487899,46654.08,0.05,934175.61,
2023-04-14,xxx27,483.9,500.37,481.66,491.3,0.01,keep,96,981340.41174879,47164.8,0.05,934175.61,
2023-04-21,xxx27,492.77,510.66,491.15,506.35,0.03,keep,96,982785.2117487899,48609.6,0.05,934175.61,
2023-04-28,xxx27,506.1,513.13,493.39,503.22,-0.01,keep,96,982484.7317487899,48309.12,0.05,934175.61,
2023-05-05,xxx27,499.15,500.05,485.93,499.06,-0.01,keep,96,982085.3717487899,47909.76,0.05,934175.61,
2023-05-12,xxx27,497.37,506.03,495.1,504.07,0.01,keep,96,982566.3317487899,48390.72,0.05,934175.61,
2023-05-19,xxx27,504.01,505.0,491.9,496.52,-0.01,keep,96,981841.53174879,47665.92,0.05,934175.61,
2023-05-26,xxx27,497.0,510.75,476.75,507.26,0.02,keep,96,982872.5717487899,48696.96,0.05,934175.61,
2023-06-02,xxx27,509.79,518.5,501.59,512.59,0.01,keep,96,983384.2517487899,49208.64,0.05,934175.61,
2023-06-09,xxx27,512.59,522.06,510.57,517.28,0.01,keep,96,983834.4917487899,49658.88,0.05,934175.61,
2023-06-16,xxx27,517.28,531.26,516.0,523.65,0.01,keep,96,984446.0117487899,50270.4,0.05,934175.61,
2023-06-23,xxx27,521.95,525.4,516.54,524.44,0.0,keep,96,984521.8517487899,50346.24,0.05,934175.61,
2023-06-30,xxx27,524.4,539.56,521.26,538.38,0.03,sell,96,985860.0917487899,51684.48,0.05,934175.61,
2023-07-07,xxx27,537.25,546.05,524.63,525.05,-0.02,sell,77,984811.8051290299,40428.85,0.04,944382.96,0.22
2023-07-14,xxx27,525.06,546.86,525.06,546.7,0.04,sell,62,986153.9379532799,33895.4,0.03,952258.54,0.17
2023-07-21,xxx27,546.18,562.05,546.1,557.86,0.02,sell,50,986705.4388904399,27893.0,0.03,958812.44,0.14
2023-07-28,xxx27,558.0,571.16,555.88,563.32,0.01,keep,40,986925.02052254,22532.8,0.02,964392.22,0.12
2023-08-04,xxx27,563.0,564.29,551.02,552.04,-0.02,sell,40,986473.8205225399,22081.6,0.02,964392.22,
2023-08-11,xxx27,554.99,569.21,551.84,562.96,0.02,keep,32,986846.6863338999,18014.72,0.02,968831.97,0.09
2023-08-18,xxx27,564.77,567.71,543.11,544.94,-0.03,sell,32,986270.0463338998,17438.08,0.02,968831.97,
2023-08-25,xxx27,543.86,545.15,530.56,534.01,-0.02,sell,26,985979.2570947999,13884.26,0.01,972095.0,0.07
2023-09-01,xxx27,536.0,553.48,533.12,544.25,0.02,keep,21,986204.1402208499,11429.25,0.01,974774.89,0.06
2023-09-08,xxx27,545.73,552.38,540.18,551.19,0.01,keep,21,986349.8802208499,11574.99,0.01,974774.89,
2023-09-15,xxx27,552.81,566.7,551.86,556.36,0.01,keep,21,986458.45022085,11683.56,0.01,974774.89,
2023-09-22,xxx27,558.18,569.22,554.28,558.59,0.0,keep,21,986505.2802208499,11730.39,0.01,974774.89,
2023-09-29,xxx27,559.49,572.18,544.73,564.96,0.01,keep,21,986639.0502208499,11864.16,0.01,974774.89,
2023-10-06,xxx27,567.91,576.19,542.63,557.53,-0.01,keep,21,986483.0202208499,11708.13,0.01,974774.89,
2023-10-13,xxx27,555.0,569.14,549.78,566.84,0.02,keep,21,986678.5302208499,11903.64,0.01,974774.89,
2023-10-20,xxx27,569.69,577.3,552.01,552.93,-0.02,keep,21,986386.4202208499,11611.53,0.01,974774.89,
2023-10-27,xxx27,554.14,556.92,540.23,543.03,-0.02,keep,21,986178.5202208499,11403.63,0.01,974774.89,
2023-11-03,xxx27,545.74,562.99,543.64,560.9,0.03,keep,21,986553.7902208499,11778.9,0.01,974774.89,
2023-11-10,xxx27,560.49,577.88,560.13,577.12,0.03,keep,21,986894.4102208499,12119.52,0.01,974774.89,
2023-11-17,xxx27,575.0,599.89,572.24,577.15,-0.0,keep,21,986895.0402208499,12120.15,0.01,974774.89,
2023-11-24,xxx27,577.34,594.2,577.34,591.36,0.02,keep,21,987193.45022085,12418.56,0.01,974774.89,
